AGN,CV,HM-STAR,HMXB,LM-STAR,LMXB,NS,YSO,Class,Class_prob,name
0.0,0.0033333333333333335,0.1370157828282828,0.0,0.8531510601679084,0.0,0.0,0.006499823670475384,LM-STAR,0.8531510601679084,2CXO J110355.5-584754
0.0,0.0,0.00669955127215654,0.002222222222222222,0.9877368995671719,0.0,0.0,0.00334132693844924,LM-STAR,0.9877368995671719,2CXO J110414.8-585305
0.0,0.05316792393525067,0.006945778405524168,0.0,0.7815848166347115,0.007222222222222222,0.0,0.1510792588022915,LM-STAR,0.7815848166347115,2CXO J110415.1-584545
0.0,0.10126984126984126,0.07945726495726495,0.008611111111111111,0.24550000000000002,0.1302777777777778,0.008222222222222223,0.4266617826617826,YSO,0.4266617826617826,2CXO J110418.5-584728
0.0,0.5200555555555556,0.035333333333333335,0.0,0.005333333333333333,0.29425396825396816,0.0,0.14502380952380947,CV,0.5200555555555556,2CXO J110420.3-585010
0.34632443265584867,0.039306910230056766,0.01953082856194416,0.0,0.0,0.48499749862688796,0.09706255214748466,0.012777777777777777,LMXB,0.48499749862688796,2CXO J110423.1-585445
0.0014608313349320538,0.11663889285941169,0.03177777777777778,0.0,0.04965473628774728,0.5768346640970438,0.0489404442456147,0.17469265339747267,LMXB,0.5768346640970438,2CXO J110423.6-584935
0.0,0.0,0.008077846940706448,0.0,0.9767346722746906,0.0,0.0,0.015187480784603084,LM-STAR,0.9767346722746906,2CXO J110424.3-584835
0.0,0.2482142857142857,0.012777777777777779,0.0011111111111111111,0.3600555555555556,0.11150000000000002,0.0,0.2663412698412699,LM-STAR,0.3600555555555556,2CXO J110424.9-585059
0.8455531370590846,0.00011253092905806188,0.013824947272432837,0.0,0.0,0.01680986140232711,0.12362408553661794,7.54378004793921e-05,AGN,0.8455531370590846,2CXO J110428.3-585400
0.19480502951682363,0.009322573846848564,0.0015631278292304492,0.0,1.6583747927031506e-05,0.2382623209660125,0.5333581930843783,0.022672171008779527,NS,0.5333581930843783,2CXO J110429.5-584406
0.0,0.0035,0.456365964557975,0.0,0.48158937898262527,0.0033333333333333335,0.0,0.055211323126066296,LM-STAR,0.48158937898262527,2CXO J110430.1-585147
0.0011111111111111111,0.05674603174603174,0.0058871456010689376,0.0033333333333333335,0.5488223017204474,0.0022222222222222222,0.0,0.3818778542657852,LM-STAR,0.5488223017204474,2CXO J110430.3-584948
0.0,0.009333333333333332,0.00805994712707486,0.0,0.8128974589702778,0.0011111111111111111,0.0011111111111111111,0.16748703834709172,LM-STAR,0.8128974589702778,2CXO J110431.6-585501
0.0,0.01372222222222222,0.09001282051282052,0.02944444444444444,0.05716239316239316,0.025388888888888888,0.0,0.7842692307692308,YSO,0.7842692307692308,2CXO J110432.8-584405
