,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
2,2CXO J110400.3-584704,166.0016666666667,-58.78446666666667,LM-STAR,3.180412124125789e-15,1.2853920274534162e-15,2.2181798123317566e-16,1.673202115439197e-15,,,2.98,12.956649,13.270132,12.480425,11.949999809265137,11.6899995803833,11.618000030517578,11.593,11.682,12.799
14,2CXO J110414.8-585305,166.06174999999996,-58.884927777777776,LM-STAR,1.8358546195047692e-14,7.275579209591511e-16,2.922797884560803e-15,1.470819038952774e-14,,0.987,12.15,12.473644,12.772521,12.010019,11.479999542236328,11.178999900817873,11.092000007629396,11.032,11.092,10.264
20,2CXO J110423.1-584858,166.09641666666664,-58.81636666666667,LM-STAR,1.939206031479416e-15,6.633808461756789e-16,8.754351115155373e-17,1.1882816741521837e-15,,0.653,4.0,11.996346,12.289273,11.541873,11.015000343322754,10.786999702453612,10.718000411987305,10.686,10.71,
25,2CXO J110424.3-584835,166.1015,-58.80980833333333,LM-STAR,3.321806983288687e-15,5.476679625350868e-16,4.014797884560803e-16,2.3726592322975202e-15,,0.458,5.7,13.287255,13.631284,12.77194,12.187999725341797,11.892999649047852,11.802000045776367,,,
28,2CXO J110426.2-585128,166.10941666666665,-58.85791944444445,LM-STAR,1.6173219792136925e-15,2.3936536824085963e-16,1.0731324446929148e-16,1.2706433665035413e-15,,0.671,3.76,13.068168,13.417681,12.544246,11.97599983215332,11.651000022888184,11.498000144958496,11.726,11.746,
29,2CXO J110427.2-585312,166.1137083333333,-58.88671111111111,LM-STAR,1.953709675339036e-15,4.077190105702642e-16,1.7413989422804012e-16,1.3718507705407309e-15,,0.382,4.38,14.319957,14.852334,13.615177,12.75,12.248000144958496,12.116000175476074,,,
47,2CXO J110435.5-584824,166.14804166666664,-58.806925,LM-STAR,3.3573276155811104e-14,4.399797884560803e-15,6.543478271250295e-15,2.263e-14,,0.998,20.68,12.34267,12.645993,11.873609,11.390000343322754,11.034000396728516,10.961999893188477,10.896,10.93,
54,2CXO J110436.7-584757,166.15312499999996,-58.79936388888888,LM-STAR,2.23112021154392e-15,4.2822021154391976e-16,2.769e-16,1.526e-15,,0.351,5.35,13.437493,13.790999,12.896311,12.284000396728516,11.96500015258789,11.85099983215332,11.628,11.722,11.002
65,2CXO J110438.6-584929,166.16108333333332,-58.824938888888894,LM-STAR,4.849231386522633e-15,6.94651598066553e-16,3.4057978845608033e-16,3.814e-15,,0.906,6.99,9.729494,9.751677,9.578799,9.449999809265137,9.368000030517578,9.253000259399414,9.23,9.264,9.552
68,2CXO J110439.0-584957,166.16258333333332,-58.83257222222223,LM-STAR,1.4650573806541028e-15,5.737587876733405e-16,7.28445344096882e-17,8.184540585710739e-16,,0.95,2.89,15.109249,15.718637,14.357297,13.42300033569336,12.89900016784668,12.729999542236328,12.623,12.783,12.184
70,2CXO J110439.4-584939,166.1645833333333,-58.82757777777778,LM-STAR,5.7967809610472256e-15,7.978845608028655e-18,5.316e-16,5.257202115439197e-15,,,8.9,12.228724,12.48199,11.820057,11.407999992370604,11.182000160217283,11.088000297546388,11.061,11.088,
75,2CXO J110441.2-585647,166.1717083333333,-58.946527777777774,LM-STAR,9.899015200440372e-15,3.2035946204061368e-15,8.029000000000001e-16,5.892520580034236e-15,,0.984,7.72,12.252909,12.56774,11.772851,11.321999549865724,10.949999809265137,10.916999816894531,10.82,10.882,12.837
76,2CXO J110441.4-584352,166.1725,-58.73130833333334,NS,2.7655449296579462e-14,2.5049999999999998e-14,2.443e-15,1.624492965794634e-16,,0.651,12.6,,,,,,,,,
79,2CXO J110442.4-584557,166.17704166666664,-58.76606388888889,LM-STAR,2.265078784336175e-15,1.1848585727922552e-15,2.4727978845608027e-16,8.329404230878394e-16,,,2.86,14.24829,14.703908,13.629712,12.885000228881836,12.461000442504885,12.376999855041504,12.302,12.474,11.414
87,2CXO J110444.6-584941,166.18595833333333,-58.82809166666667,LM-STAR,3.548233660528579e-15,1.841517566333013e-16,2.5387978845608027e-16,3.110202115439197e-15,,0.987,6.32,12.195616,12.446716,11.790575,11.373000144958496,11.12399959564209,11.065999984741213,11.032,11.085,10.173
88,2CXO J110445.0-585009,166.18749999999997,-58.83593333333334,LMXB,1.1997840193344748e-14,8.077797884560803e-15,2.0640423087839428e-15,1.856e-15,,1.0,10.54,,,,,,,,,
97,2CXO J110448.6-584926,166.20254166666663,-58.82399166666667,LM-STAR,6.167469302255966e-16,7.978845608028655e-18,1.230680846175679e-16,4.857000000000001e-16,,,3.06,12.609324,13.349789,11.770342,10.61400032043457,10.036999702453612,9.901000022888184,9.767,9.823,10.433
98,2CXO J110448.7-584358,166.20333333333332,-58.73289166666667,LM-STAR,3.9758923135108456e-15,5.053002923564546e-16,1.5159202115439198e-16,3.319e-15,,0.011,4.65,13.3578,13.76251,12.766422,12.128999710083008,11.715999603271484,11.619999885559082,11.366,11.409,10.405
101,2CXO J110449.9-585549,166.20829166666664,-58.93033888888888,CV,1.469396308126156e-14,1.2992021154391971e-14,1.6077978845608029e-15,9.414404230878394e-17,,0.179,8.02,17.817636,18.222666,16.73073,15.677000045776367,15.17199993133545,13.074999809265137,,,
102,2CXO J110450.0-585559,166.20837499999996,-58.93306944444444,LM-STAR,2.2109617153256668e-14,1.279638307648642e-15,2.112e-15,1.8717978845608027e-14,,0.85,15.45,11.698784,11.988625,11.247206,10.793999671936035,10.55500030517578,10.435999870300291,,,
103,2CXO J110450.1-590013,166.20879166666666,-59.00378611111111,LM-STAR,4.5532250032595466e-15,1.1337939609008718e-15,1.9849565425005882e-16,3.220935388108617e-15,,0.452,2.97,13.72558,14.095009,13.168415,12.534000396728516,12.159000396728516,12.116000175476074,11.998,12.058,10.565
110,2CXO J110451.8-585147,166.21616666666662,-58.86320555555556,LM-STAR,8.100776615297285e-15,8.655797884560808e-16,9.063989422804017e-16,6.328797884560803e-15,,0.991,10.17,13.696711,14.137936,13.082735,12.343999862670898,11.906999588012695,11.803999900817873,11.751,11.82,11.892
114,2CXO J110453.8-585722,166.2242083333333,-58.95616666666667,LM-STAR,2.024456490242402e-15,4.409907967557437e-16,3.2862021154391973e-16,1.2548454819427385e-15,,0.989,3.94,13.979021,14.397814,13.396935,12.718999862670898,12.350000381469728,12.215999603271484,12.044,12.26,
117,2CXO J110454.2-584554,166.22612499999997,-58.7651,AGN,4.4306563118561266e-15,3.755137503547814e-15,6.188849621825262e-16,5.663384612578737e-17,,0.131,4.54,,,,,,,,,
121,2CXO J110454.4-584312,166.22679166666663,-58.72005277777778,LM-STAR,5.189704202495883e-15,4.133042024958843e-16,6.024e-16,4.174e-15,,0.146,7.06,13.888062,14.175936,13.197831,12.526000022888184,12.029000282287598,11.979000091552734,,,
123,2CXO J110454.9-584712,166.22912499999998,-58.786858333333335,LM-STAR,2.341579003724094e-15,2.5332834805490983e-16,2.5979353881086173e-16,1.828457116858323e-15,,0.262,5.73,13.414476,13.772511,12.889278,12.32900047302246,11.97700023651123,11.894000053405762,11.677,11.852,
127,2CXO J110455.7-585534,166.23220833333332,-58.926141666666666,LM-STAR,3.755786125760005e-15,7.216067967901118e-16,4.87520096672373e-16,2.5466592322975203e-15,,0.431,5.47,10.919867,11.091734,10.615109,10.312000274658203,10.156999588012695,10.104999542236328,9.996,10.103,10.424
128,2CXO J110456.0-584644,166.2334583333333,-58.77911111111111,LM-STAR,1.9487334740300038e-15,3.9543158833390014e-16,3.1810000000000003e-16,1.2352018856961032e-15,,0.174,4.67,14.608756,15.148208,13.891913,12.98799991607666,12.467000007629396,12.390000343322754,12.287,12.408,12.124
129,2CXO J110456.1-584727,166.23391666666663,-58.79096944444444,LM-STAR,1.6295338902716726e-15,1.9771579416695002e-16,2.371797884560803e-16,1.1946383076486422e-15,,0.114,4.78,13.608162,13.957634,12.994587,12.35200023651123,11.980999946594238,11.854000091552734,11.661,11.749,
132,2CXO J110456.3-585015,166.23479166666664,-58.83753055555556,YSO,1.2552797884560804e-14,3.007e-15,3.163e-15,6.3827978845608016e-15,,1.0,12.68,16.743721,,,13.182000160217283,12.640999794006348,12.529999732971191,12.293,12.253,11.65
136,2CXO J110457.1-585629,166.23795833333332,-58.941447222222216,LM-STAR,2.7510258357428857e-15,7.136279511820829e-16,2.216e-16,1.815797884560803e-15,,0.133,4.38,11.860192,12.088889,11.484895,11.163000106811523,10.881999969482422,10.859000205993652,10.831,10.86,11.194
142,2CXO J110458.3-585053,166.24295833333332,-58.84810555555556,AGN,6.374110669093223e-15,5.669531157230222e-15,6.440041160068473e-16,6.057539585615353e-17,,0.013,6.37,,,,,,,,,
143,2CXO J110458.5-584450,166.24379166666665,-58.74739722222223,LM-STAR,4.451141734426208e-15,6.774676940543084e-16,6.735999999999999e-16,3.1000740403719e-15,,0.98,6.91,12.841857,13.148143,12.372396,11.880999565124512,11.586000442504885,11.517999649047852,11.377,11.436,11.867
153,2CXO J110500.5-585242,166.252375,-58.87856666666666,LM-STAR,2.540320762025977e-16,7.978845608028655e-18,7.978845608028655e-18,2.380743849865405e-16,,,2.0,15.887057,16.417501,15.145753,,,,12.983573975937825,12.970165766744843,
156,2CXO J110500.7-585652,166.25312499999998,-58.947963888888886,LM-STAR,2.429213307082652e-15,5.099280228091112e-16,1.9242393653682407e-16,1.7268613477367168e-15,,0.82,3.7,11.19341,11.375968,10.881606,10.553999900817873,10.354999542236328,10.298999786376951,10.311,10.344,10.617
164,2CXO J110503.5-584801,166.26491666666666,-58.800475,LM-STAR,7.642326244312394e-16,2.258013307072109e-16,6.363129372402852e-17,4.747999999999999e-16,,0.301,2.59,15.237689,15.682098,14.439886,13.574000358581545,13.09000015258789,12.972999572753906,12.633313778803176,12.648509412402486,
165,2CXO J110504.0-584753,166.266875,-58.798202777777774,LM-STAR,1.4305192686958681e-15,7.978845608028655e-18,3.7177978845608013e-16,1.0507606346317592e-15,,,4.06,13.644609,13.798226,12.919275,12.354000091552734,12.022000312805176,11.930999755859377,11.658,11.779,9.573
170,2CXO J110505.5-585038,166.2732916666667,-58.84397222222223,YSO,9.459876983787601e-16,3.280680846175678e-16,4.4042021154391964e-16,1.7749940221727256e-16,,0.998,3.88,17.561495,18.206629,16.786747,15.932000160217283,15.24899959564209,15.121999740600586,,,
173,2CXO J110506.2-584441,166.27612499999998,-58.744925,LM-STAR,7.33468544554439e-15,2.6599248109126308e-15,1.0237606346317593e-15,3.651e-15,,0.921,7.84,13.399471,13.721294,12.900288,12.404000282287598,12.074999809265137,11.986000061035156,,,
174,2CXO J110506.3-584209,166.27645833333332,-58.702625000000005,LM-STAR,1.2520089400731072e-14,1.160271280750673e-15,1.2840742701149936e-15,1.0075743849865404e-14,,0.798,9.25,13.102275,13.451756,12.581051,11.93000030517578,11.583000183105469,11.493000030517578,11.497,11.565,11.695
191,2CXO J110510.3-585029,166.29324999999997,-58.84151111111111,LM-STAR,5.8733836747198346e-15,1.023356174010271e-15,8.128253852703656e-16,4.0372021154391966e-15,,0.262,8.18,15.494361,16.153315,14.689833,13.680999755859377,13.045000076293944,12.95699977874756,,,
193,2CXO J110511.8-584630,166.29920833333333,-58.775016666666666,LM-STAR,3.1567021154391973e-15,9.965000000000001e-16,3.3199999999999997e-16,1.828202115439197e-15,,0.003,4.78,13.723861,14.110178,13.17058,12.553000450134276,12.18299961090088,12.112000465393066,,,
201,2CXO J110514.3-584941,166.30995833333333,-58.82819444444445,YSO,4.5840615774798106e-15,2.719797884560803e-15,5.509817890237305e-16,1.3132819038952774e-15,,1.0,5.96,17.820787,18.98923,16.506708,14.92199993133545,14.206000328063965,14.019000053405762,13.974,14.142,10.982
202,2CXO J110514.8-585909,166.3118333333333,-58.98596388888889,LM-STAR,1.1478300000000002e-14,4.181e-15,6.843000000000001e-16,6.613000000000001e-15,,0.191,6.88,12.551964,12.846985,12.092455,11.55799961090088,11.28600025177002,11.22599983215332,11.079,11.167,10.83
204,2CXO J110515.1-584831,166.31320833333334,-58.80885833333333,LM-STAR,4.918914621575804e-15,1.914922945926877e-16,5.152202115439197e-16,4.212202115439197e-15,,0.413,8.29,12.575594,12.862728,12.128795,11.638999938964844,11.395000457763672,11.319000244140623,11.322,11.371,12.647
222,2CXO J110518.8-585230,166.328625,-58.875052777777775,LM-STAR,5.9618519192562e-16,7.978845608028655e-18,7.978845608028655e-18,5.8022750070956295e-16,,,2.55,14.652389,15.16382,13.985495,13.21399974822998,12.718000411987305,12.609999656677246,,,
227,2CXO J110519.6-585221,166.33195833333332,-58.87263055555555,LM-STAR,1.7316539184718004e-15,1.7433777653542612e-16,1.944281214665996e-16,1.3628880204697749e-15,,0.737,3.31,14.768438,15.299176,14.054457,13.206000328063965,12.710000038146973,12.640999794006348,,,
231,2CXO J110520.7-584757,166.33625,-58.79931944444444,LM-STAR,1.6865849621825264e-14,1.6126698094935054e-15,3.1010528859799278e-15,1.2152126926351827e-14,,0.19,14.39,14.233187,14.741745,13.565154,12.73799991607666,12.244000434875488,12.119999885559082,12.136,12.198,10.933
233,2CXO J110520.8-585224,166.33675,-58.87355555555556,LM-STAR,2.3213538004454704e-15,3.925592039150098e-16,2.8279459653046023e-16,1.6460000000000005e-15,,0.699,4.65,14.495326,14.857312,13.962255,13.380999565124512,13.06999969482422,12.965999603271484,13.041,13.235,12.486
235,2CXO J110521.2-584320,166.338625,-58.72232222222223,LM-STAR,3.436678845608029e-15,7.978845608028655e-18,2.607e-16,3.168e-15,,,3.94,13.590514,14.054886,12.964751,12.246999740600586,11.781000137329102,11.68000030517578,,,
240,2CXO J110522.3-584435,166.343,-58.74315555555555,LM-STAR,5.563036460690223e-15,5.739183645855011e-16,5.433202115439197e-16,4.445797884560803e-15,,0.531,7.3,11.645756,11.884285,11.253838,10.803000450134276,10.571999549865724,10.54800033569336,10.461,10.513,
241,2CXO J110522.4-585338,166.34370833333332,-58.89416111111111,YSO,9.83629570200141e-16,2.248521269263518e-16,3.1131480807437998e-16,4.474626351994093e-16,,0.784,3.64,18.680826,19.285145,17.558975,15.529000282287598,15.423999786376951,15.017999649047852,14.758,15.074,
243,2CXO J110522.8-584322,166.34520833333332,-58.72288055555556,LM-STAR,1.9242487699730808e-15,7.978845608028655e-18,1.0461069206753261e-16,1.81165923229752e-15,,,3.95,13.2812,13.628441,12.769186,12.1850004196167,11.880000114440918,11.815999984741213,11.741,11.805,10.289
249,2CXO J110523.8-585218,166.34941666666666,-58.87183055555556,LM-STAR,5.054576912160573e-16,7.978845608028655e-18,7.978845608028655e-18,4.895000000000006e-16,,,2.17,16.0641,16.545752,15.418793,14.574000358581545,14.154000282287598,14.067999839782717,14.131243008808635,14.21276821039161,
251,2CXO J110524.6-584358,166.35254166666667,-58.73301944444445,LM-STAR,9.482437340924914e-16,7.978845608028655e-18,1.7578404230878392e-16,7.644808461756787e-16,,,2.93,13.58013,13.952992,13.042453,12.430999755859377,12.08199977874756,12.04300022125244,12.07,12.143,11.041
253,2CXO J110525.1-585102,166.35491666666667,-58.85073888888889,LM-STAR,6.743540779399161e-16,2.5819544387580726e-16,7.978845608028655e-18,4.0817978845608014e-16,,,2.65,11.774014,12.06879,11.31506,10.77299976348877,10.52299976348877,10.44200038909912,10.388,10.452,10.154
257,2CXO J110526.3-585124,166.3598333333333,-58.856902777777776,LM-STAR,1.5750347182481774e-15,1.8630604494746907e-16,1.0440951947638712e-16,1.2843191538243212e-15,,0.549,3.59,14.494283,14.983194,13.848518,13.079999923706056,12.58899974822998,12.552000045776367,12.428,12.528,
259,2CXO J110526.5-584525,166.36054166666665,-58.757080555555554,AGN,6.256871418596529e-15,5.290137503547814e-15,8.934721546757964e-16,7.32617603729191e-17,,0.631,5.52,,,,,,,,,
263,2CXO J110528.5-584930,166.369125,-58.82518055555556,LM-STAR,6.479520096672373e-15,5.916e-16,6.141222121115699e-16,5.273797884560803e-15,,0.968,8.66,12.886455,13.267041,12.317951,11.67300033569336,11.29800033569336,11.22599983215332,11.191,11.268,12.703
274,2CXO J110532.0-585708,166.38370833333332,-58.952444444444446,LM-STAR,1.6710521877369793e-15,5.387316554540947e-16,1.061186465867811e-16,1.0262018856961033e-15,,,3.58,13.960292,14.380972,13.378955,12.710000038146973,12.33199977874756,12.225000381469728,12.222,12.322,12.23
282,2CXO J110533.2-585105,166.38841666666664,-58.85160277777778,LM-STAR,2.911934717346811e-15,2.7822234635195917e-16,1.8925525413652879e-16,2.4444571168583228e-15,,0.253,5.76,12.076157,12.322375,11.678807,11.225000381469728,11.038999557495115,11.045000076293944,10.91142025289509,10.967801394346198,
283,2CXO J110533.4-584659,166.38945833333332,-58.78306666666666,LM-STAR,1.5412822600421414e-15,5.8228119079032015e-16,8.11212807957413e-17,8.778797884560803e-16,,0.87,2.16,14.907544,15.471105,14.201993,13.284000396728516,12.779000282287598,12.678000450134276,12.732,12.928,12.098
288,2CXO J110535.6-584907,166.39862499999998,-58.81883611111112,LM-STAR,3.864532487937433e-15,2.0433823602161383e-16,5.781202115439197e-16,3.082074040371901e-15,,0.989,5.76,14.124236,14.593124,13.48438,12.651000022888184,12.225000381469728,12.130999565124512,,,
289,2CXO J110535.7-585212,166.39895833333333,-58.87000555555556,LM-STAR,1.047448150702245e-14,4.719487177148949e-16,9.053306738683585e-16,9.097202115439195e-15,,0.821,10.76,12.039777,12.31218,11.606029,11.107999801635742,10.87600040435791,10.815999984741213,10.790727602732966,10.768045578872645,
315,2CXO J110544.6-584722,166.43612499999998,-58.78957777777777,LM-STAR,1.5940800803618517e-15,5.398486938392187e-16,1.4141223269831163e-16,9.128191538243212e-16,,0.407,3.14,13.861375,14.26383,13.291493,12.60200023651123,12.20300006866455,12.156999588012695,12.169,12.322,11.549
316,2CXO J110544.8-584753,166.43691666666666,-58.79825833333333,LM-STAR,2.6868425772647215e-15,5.5732236572080195e-16,2.565202115439197e-16,1.873000000000001e-15,,0.846,4.26,13.94645,14.380594,13.337014,12.597999572753906,12.196000099182127,12.093000411987305,12.029,12.182,11.964
319,2CXO J110545.6-585618,166.44029166666667,-58.93833333333333,YSO,2.7489394518572777e-15,4.4490043110367795e-16,6.583797884560804e-16,1.64565923229752e-15,,0.254,4.72,17.470991,18.098427,15.67634,14.097999572753906,13.493000030517578,13.211999893188477,13.246,13.16,
321,2CXO J110545.9-584724,166.44166666666666,-58.79017777777778,YSO,3.4336710514582625e-15,7.577532999681806e-16,9.664606346317592e-16,1.7094571168583225e-15,,0.998,5.86,17.462439,18.419134,16.167513,14.668999671936035,14.100000381469728,13.791999816894531,,,
323,2CXO J110547.5-584615,166.44825,-58.77088888888889,LM-STAR,1.8263042793005002e-15,6.96553221580902e-16,7.615e-17,1.0536010577195986e-15,,,3.09,12.283995,12.540783,11.873035,11.427000045776367,11.208000183105469,11.138999938964844,11.069,11.152,11.122
324,2CXO J110548.7-584707,166.4529583333333,-58.785402777777776,LM-STAR,2.520465641228473e-15,4.717093523466546e-16,3.3175628888181794e-16,1.717e-15,,0.641,3.87,15.173372,15.795944,14.370352,13.406000137329102,12.8149995803833,12.666999816894531,12.516,12.658,12.542
330,2CXO J110551.5-584652,166.46499999999995,-58.78111666666666,LM-STAR,7.333429247658443e-15,1.106106920675326e-15,6.531202115439197e-16,5.574202115439198e-15,,0.919,7.7,12.256683,12.511803,11.848254,11.418999671936035,11.175000190734863,11.15999984741211,11.09,11.203,10.692
334,2CXO J110552.1-585534,166.46737499999998,-58.92623055555556,LM-STAR,8.689797827795783e-15,8.425660962078258e-16,9.80433847027154e-16,6.866797884560803e-15,,0.084,7.23,12.03914,12.336847,11.577565,11.062000274658203,10.80799961090088,10.729999542236328,,,
339,2CXO J110553.8-584643,166.47429166666666,-58.77862777777778,LM-STAR,3.1510881966026325e-15,5.837323446833769e-16,2.1335585191925622e-16,2.354e-15,,0.977,3.6,13.877428,14.259112,13.283987,12.593999862670898,12.241999626159668,12.149999618530272,12.267,12.332,
347,2CXO J110557.8-585051,166.49120833333333,-58.84750833333334,LM-STAR,2.319133449252961e-15,5.16151522383374e-16,2.0418404230878395e-16,1.598797884560803e-15,,0.703,2.97,14.230618,14.680997,13.617588,12.902000427246094,12.5,12.402000427246094,12.325,12.425,12.859
352,2CXO J110600.0-585211,166.50029166666664,-58.86974722222222,LM-STAR,2.612086388392442e-15,1.0432973102030685e-15,2.443797884560803e-16,1.3244092897332933e-15,,0.831,3.58,13.759273,14.078785,13.272948,12.73900032043457,12.437999725341797,12.366999626159668,12.326,12.514,11.81
353,2CXO J110601.1-584847,166.50479166666665,-58.813091666666665,LM-STAR,3.206418683972416e-15,7.272717771718117e-16,6.508344362468973e-17,2.414063463175914e-15,,0.187,4.67,12.649175,12.937514,12.202607,11.71500015258789,11.472999572753906,11.432000160217283,11.193,11.232,10.819
354,2CXO J110601.1-585025,166.50487499999997,-58.84031111111111,LM-STAR,9.131957782211927e-15,7.8119714758016895e-16,1.0277606346317592e-15,7.323e-15,,0.136,10.16,12.141655,12.385083,11.736341,11.270000457763672,11.071000099182127,11.04300022125244,10.888,10.969,
358,2CXO J110604.7-585259,166.51991666666663,-58.88321111111111,AGN,5.692847090144396e-15,4.4920000000000004e-15,1.1122819038952777e-15,8.856518624911806e-17,,0.906,4.27,,,,,,,,,
361,2CXO J110605.9-585032,166.52462499999996,-58.84238611111111,YSO,6.1227755814533615e-15,2.4029248109126307e-15,1.906202115439197e-15,1.813648655101534e-15,,0.923,6.89,16.905848,,,13.843999862670898,13.140000343322754,12.973999977111816,12.924,13.049,11.936
