,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
54, 2CXO J110506.3-584209,166.27645833333332,-58.702625000000005,LM-STAR,1.2520089400731072e-14,1.160271280750673e-15,1.2840742701149936e-15,1.0075743849865404e-14,,0.798,9.25,13.102275,13.451756,12.581051,11.93,11.583,11.493,11.497,11.565,11.695
55, 2CXO J110507.1-584543,166.27983333333333,-58.762,YSO,5.454412577763636e-15,8.073808461756789e-16,1.2412338470271542e-15,3.405797884560803e-15,,0.253,7.73,16.425606,17.332321,15.46254,14.208,13.462,13.331,13.349,13.854,11.898
59, 2CXO J110510.3-585029,166.29324999999997,-58.84151111111111,LM-STAR,5.8733836747198346e-15,1.023356174010271e-15,8.128253852703656e-16,4.0372021154391966e-15,,0.262,8.18,15.494361,16.153315,14.689833,13.681,13.045,12.957,12.933,12.994,
64, 2CXO J110514.3-584941,166.30995833333333,-58.82819444444445,YSO,4.5840615774798106e-15,2.719797884560803e-15,5.509817890237305e-16,1.3132819038952774e-15,,1.0,5.96,17.838081,18.98923,16.506708,14.922,14.206,14.019,13.974,14.142,10.982
65, 2CXO J110514.8-585909,166.3118333333333,-58.98596388888889,LM-STAR,1.1478300000000002e-14,4.181e-15,6.843000000000001e-16,6.613000000000001e-15,,0.191,6.88,12.551964,12.846985,12.092455,11.558,11.286,11.226,11.079,11.167,10.83
66, 2CXO J110515.1-584744,166.313125,-58.79577222222222,YSO,2.5864110605578493e-15,9.163326744360086e-16,8.05447712253483e-16,8.646306738683584e-16,,1.0,5.49,19.2109,20.890175,17.962404,16.16,15.441,15.028,,,
67, 2CXO J110515.1-584831,166.31320833333334,-58.80885833333333,LM-STAR,4.918914621575804e-15,1.914922945926877e-16,5.152202115439197e-16,4.212202115439197e-15,,0.413,8.29,12.575594,12.862728,12.128795,11.639,11.395,11.319,11.322,11.371,12.647
68, 2CXO J110515.6-585437,166.31529166666664,-58.910402777777776,LMXB,2.869819522314638e-15,1.966478271250294e-15,6.058445390946868e-16,2.974967119696574e-16,,0.942,5.03,20.780518,20.315619,18.94243,,,,,,
74, 2CXO J110519.6-584459,166.33195833333332,-58.749944444444445,AGN,6.353821728749707e-15,5.387541734426208e-15,8.723689815170008e-16,9.391101280649726e-17,,0.35,6.24,,,,,,,,,
76, 2CXO J110520.7-584757,166.33625,-58.79931944444444,LM-STAR,1.6865849621825264e-14,1.6126698094935054e-15,3.1010528859799278e-15,1.2152126926351827e-14,,0.19,14.39,14.233187,14.741745,13.565154,12.738,12.244,12.12,12.136,12.198,10.933
