name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
 2CXO J110429.5-584406,166.1232083333333,-58.735194444444446,1.3429952897459532,7.49,1.4567328237690196e-14,0.8167000128514705,,0.897,,,,0,extent,NS,0.515865,0.14622913435678517,0,0.8318969830419332,0.17684,0.0147,0.013378333333333334,0.00029,0.00025,0.25780000000000003,0.515865,0.020876666666666665,0.1488120682400326,0.03792226388413669,0.02819488002444641,0.0018491401567537601,0.0015620307103062791,0.16398355454653762,0.14622913435678517,0.020952284638313265
 2CXO J110430.1-585147,166.12579166666666,-58.86307222222222,0.3826216805274667,15.53,2.2539924810912643e-14,-0.5078954303064115,,1.0,9.837023,9.589,9.445,9,,LM-STAR,0.51491,0.1100158870136281,0,0.42513206457518216,0.0,0.00047000000000000004,0.42256,0.51491,2.9999999999999997e-05,0.00035999999999999997,0.0,0.06167,0.0,0.0022099737518767003,0.10721072959615817,0.1100158870136281,0.0005471740119919801,0.0018638331132035063,0.0,0.03794141076252505
 2CXO J110430.3-584948,166.12645833333332,-58.83013611111112,0.6371760926505086,7.81,4.936343642195254e-15,-0.8238906704541074,,0.941,16.835651,14.388,13.103,8,,YSO,0.50746,0.1468036092870326,0,0.20759463425705493,0.0006,0.03579,0.0057599999999999995,0.44548000000000004,0.00283,0.00199,8.999999999999999e-05,0.50746,0.0024588708884457603,0.036890877420262536,0.00798035626310543,0.15175902082051143,0.005632301734000306,0.004728875369711309,0.0011371865252425362,0.1468036092870326
 2CXO J110431.6-585501,166.13204166666665,-58.91701666666666,0.885057783472197,7.63,7.0789648132519656e-15,-0.8530685854638681,,0.719,15.49906,13.686,12.59,8,conf,LM-STAR,0.6928300000000001,0.13625585035790846,0,1.5165116990254552,0.00049,0.0087,0.009519999999999999,0.6928300000000001,0.00102,0.00213,7.000000000000001e-05,0.28524,0.002250547703330228,0.012824760211188144,0.012046356906331254,0.13625585035790846,0.0038954813277404846,0.004978743605357469,0.000834143750078963,0.13251227075973712
 2CXO J110432.8-584405,166.13679166666662,-58.73486666666667,1.6335814582444652,7.32,3.312941480807438e-15,-0.35549657975884313,,0.999,16.05,13.812,12.836,9,,YSO,0.679475,0.14962632593368191,1,2.018862248179588,0.002085,0.014870000000000001,0.14434,0.08979999999999999,0.03503,0.03404,0.00035999999999999997,0.679475,0.004909366239839606,0.013666377349900376,0.1154412885023859,0.05463464967348964,0.03749406492906452,0.031107009596649537,0.0025449708990235784,0.14962632593368191
 2CXO J110433.5-585034,166.13991666666664,-58.84295555555556,0.4613102588964903,10.08,9.397116349155844e-15,-0.29673777745832164,,1.0,18.200813,15.227,,6,,YSO,0.325635,0.0716802611242093,0,0.4612560634875905,0.0024100000000000002,0.21656,0.004615,0.249395,0.00423,0.190725,0.00643,0.325635,0.005006692218118364,0.06971819724452878,0.007153876777870366,0.0936075389396941,0.006726986870237843,0.06494549478056422,0.008259741117209628,0.0716802611242093
 2CXO J110434.8-584908,166.14516666666665,-58.81900555555556,0.7307320155510949,6.79,5.984783282353841e-15,0.637820375033669,,0.497,,,,0,,AGN,0.86882,0.13504608489343575,1,3.1798281472318095,0.86882,0.00026000000000000003,0.013529999999999999,1e-05,0.0,0.02529,0.08764,0.00445,0.13504608489343575,0.002736766319927571,0.016760668841666798,0.00031622776601683783,0.0,0.06282565529274615,0.11062127945141227,0.007556758869026101
 2CXO J110435.5-584824,166.14804166666664,-58.806925,0.3399603332787462,20.68,3.3573276155811104e-14,-0.7378988059347164,,0.998,12.34267,11.39,10.896,8,extent,LM-STAR,0.9895900000000001,0.012102825222995633,1,48.45953017279431,0.0,8.999999999999999e-05,0.00434,0.9895900000000001,1e-05,0.00016,0.0,0.005810000000000001,0.0,0.0010454630519501837,0.00777334064767683,0.012102825222995633,0.0003162277660168379,0.0013327325974013603,0.0,0.008198238293140241
 2CXO J110435.9-584520,166.14966666666663,-58.75575833333333,0.8365731432672509,9.37,1.1078062314460444e-14,-0.23409505558796062,,0.997,7.413162,6.006,5.362,9,,LM-STAR,0.8030700000000001,0.09869455768032864,1,3.7826897278879916,5e-05,0.01733,0.13194999999999998,0.8030700000000001,0.005215,0.00128,1e-05,0.041095,0.0007056897321046963,0.02136416456423062,0.07872417033538676,0.09869455768032864,0.01117379204337671,0.004046971457519556,0.00031622776601683794,0.033353236925573106
 2CXO J110436.0-585108,166.1502083333333,-58.85226111111111,0.6133245441838894,6.23,3.580250397543581e-15,-0.7858788070953461,,0.13,15.48399,,,3,,YSO,0.326115,0.08164709439424665,0,0.5082885561074214,0.00512,0.14291,0.246985,0.20067500000000002,0.00031,0.07317,0.004715,0.326115,0.008040537932890455,0.05161633603953449,0.0740321925957927,0.06357130394828854,0.0017908397770618975,0.03460127668668234,0.007704098138531737,0.08164709439424665
 2CXO J110436.7-584757,166.15312499999996,-58.79936388888888,0.9513745767575762,5.35,2.23112021154392e-15,-0.6161388262915746,,0.351,13.437493,12.284,11.628,9,,LM-STAR,0.96409,0.05455958805424258,1,10.260953831758078,2e-05,0.00063,0.01914,0.96409,0.0002,0.00043,1e-05,0.01548,0.00044698970882985637,0.003051624552990162,0.037532240395013315,0.05455958805424258,0.0019909706085133355,0.005398540936609099,0.00031622776601683783,0.024185833757688714
