separation,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,dither_warning_flag,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,var_flag,var_inter_hard_flag,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,nh_gal,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,obsid,region_id,obi,ra_pnt,dec_pnt,gti_obs,gti_end,instrument,grating,datamode,theta,phi,src_cnts_aper90_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b,flux_significance_b,conf_code,dither_warning_flag.1,edge_code,extent_code,multi_chip_code,pileup_warning,sat_src_flag.1,streak_src_flag.1,var_code,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,usrid
0.0, 2CXO J110513.3-585426, 11 05 13.40,-58 54 26.07,0.81,0.75,83.4,5.85,                TRUE, TRUE,False,False,False,False,False,False,False,3.599e-15,2.896e-15,4.261e-15,1.244e-15,4.899e-16,1.997e-15,5.257e-16,3.561e-16,6.953e-16,1.995e-15,1.546e-15,2.419e-15,1,0.618,0.859,0.985,  ,         ,         ,89.69,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,20,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,3.824,24.12,46.263,38.039,54.488,5.85,15,False,0,0,0,0.0005551962,False,False,0,3.599e-15,2.896e-15,4.261e-15,1.244e-15,4.899e-16,1.997e-15,5.257e-16,3.561e-16,6.953e-16,1.995e-15,1.546e-15,2.419e-15,1,0.618,0.859,0.985,8.091e-05,0.0004265,0.0003669,0.0009197,74
0.0, 2CXO J110514.0-583947, 11 05 14.05,-58 39 48.00,3.01,1.65,3.7,6.51,                TRUE,False,False, TRUE,False,False,False,False,False,4.206e-15,2.381e-15,6.032e-15,0.0,0.0,1.387e-15,8.264e-16,5.165e-16,1.136e-15,6.428e-15,5.257e-15,7.53e-15,0,0.111,0.339,0.054,  ,         ,         ,83.92,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,425,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,10.972,223.48,72.472,58.783,85.356,4.72,7,False,1,16,0,0.0001206948,False,False,0,4.206e-15,2.381e-15,6.032e-15,0.0,0.0,1.387e-15,8.264e-16,5.165e-16,1.136e-15,6.428e-15,5.257e-15,7.53e-15,0,0.111,0.339,0.054,1.116e-05,0.001681,0.00167,0.001692,75
0.0, 2CXO J110514.3-584941, 11 05 14.39,-58 49 41.50,0.74,0.72,25.7,5.96,                TRUE,False,False,False,False,False,False, TRUE,False,4.696e-15,3.911e-15,5.481e-15,2.719e-15,1.894e-15,3.545e-15,5.592e-16,3.728e-16,7.353e-16,1.314e-15,9.801e-16,1.647e-15,8,1.0,1.0,1.0,  ,         ,         ,87.81,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,93,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,1.479,263.86,52.492,43.676,61.309,5.96,0,False,7,0,21,0.0008448637,False,False,28,4.696e-15,3.911e-15,5.481e-15,2.719e-15,1.894e-15,3.545e-15,5.592e-16,3.728e-16,7.353e-16,1.314e-15,9.801e-16,1.647e-15,8,1.0,1.0,1.0,0.0009804,0.001052,0.00025,0.004564,76
0.0, 2CXO J110514.8-585909, 11 05 14.84,-58 59 09.47,1.96,1.18,94.9,6.88,                TRUE,False,False,False,False,False,False,False,False,1.193e-14,9.999e-15,1.386e-14,4.181e-15,2.144e-15,6.218e-15,6.843e-16,4.474e-16,9.212e-16,6.613e-15,5.54e-15,7.686e-15,2,0.751,0.113,0.191,  ,         ,         ,91.43,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,361,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,8.506,30.65,93.182,80.283,105.32,6.62,7,False,1,0,0,0.0003138066,False,False,0,1.193e-14,9.999e-15,1.386e-14,4.181e-15,2.144e-15,6.218e-15,6.843e-16,4.474e-16,9.212e-16,6.613e-15,5.54e-15,7.686e-15,2,0.751,0.113,0.191,0.0001813,0.001077,0.001013,0.00307,77
0.0, 2CXO J110515.1-584744, 11 05 15.15,-58 47 44.78,0.78,0.74,29.8,5.49,                TRUE,False,False,False,False,False,False, TRUE,False,2.53e-15,2.024e-15,3.008e-15,9.362e-16,4.435e-16,1.404e-15,8.159e-16,5.957e-16,1.023e-15,8.762e-16,6.089e-16,1.129e-15,9,1.0,1.0,1.0,  ,         ,         ,87.01,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,117,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,3.196,239.4,45.598,37.342,53.854,5.49,0,False,0,0,0,0.00070003,False,False,22,2.53e-15,2.024e-15,3.008e-15,9.362e-16,4.435e-16,1.404e-15,8.159e-16,5.957e-16,1.023e-15,8.762e-16,6.089e-16,1.129e-15,9,1.0,1.0,1.0,0.0004341,0.0003463,8.574e-05,0.001695,78
0.0, 2CXO J110515.1-584831, 11 05 15.17,-58 48 31.89,0.74,0.72,29.1,8.29,                TRUE,False,False,False,False,False,False,False,False,5.023e-15,4.353e-15,5.654e-15,0.0,0.0,2.4e-16,5.153e-16,3.334e-16,6.971e-16,4.213e-15,3.632e-15,4.793e-15,0,0.456,0.256,0.413,  ,         ,         ,87.32,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,329,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,2.481,246.01,87.777,76.472,99.083,8.29,1,False,0,0,0,0.001569033,False,False,0,5.023e-15,4.353e-15,5.654e-15,0.0,0.0,2.4e-16,5.153e-16,3.334e-16,6.971e-16,4.213e-15,3.632e-15,4.793e-15,0,0.456,0.256,0.413,6.159e-05,0.00066,0.0006358,0.001195,79
0.0, 2CXO J110515.6-585437, 11 05 15.67,-58 54 37.45,0.92,0.81,92.9,5.03,                TRUE,False,False,False,False,False,False,False,False,3.01e-15,2.373e-15,3.648e-15,1.996e-15,1.318e-15,2.637e-15,6.151e-16,4.062e-16,8.124e-16,3.038e-16,1.48e-16,4.517e-16,0,0.455,0.823,0.942,  ,         ,         ,89.66,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,19,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,4.086,20.76,37.663,30.046,44.857,5.03,1,False,0,0,0,0.0005069183,False,False,0,3.01e-15,2.373e-15,3.648e-15,1.996e-15,1.318e-15,2.637e-15,6.151e-16,4.062e-16,8.124e-16,3.038e-16,1.48e-16,4.517e-16,0,0.455,0.823,0.942,3.548e-05,0.0003007,0.000276,0.0004922,80
0.0, 2CXO J110516.3-585611, 11 05 16.40,-58 56 11.86,0.83,0.78,108.3,8.97,                TRUE, TRUE,False,False,False,False,False, TRUE,False,7.802e-15,6.813e-15,8.791e-15,4.292e-15,3.046e-15,5.538e-15,2.328e-15,1.925e-15,2.708e-15,1.676e-15,1.299e-15,2.053e-15,7,0.998,1.0,1.0,  ,         ,         ,90.23,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,8,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,5.629,24.66,107.95,95.827,120.07,8.97,15,False,0,0,0,0.0008448638,False,False,28,7.802e-15,6.813e-15,8.791e-15,4.292e-15,3.046e-15,5.538e-15,2.328e-15,1.925e-15,2.708e-15,1.676e-15,1.299e-15,2.053e-15,7,0.998,1.0,1.0,0.0003797,0.0008388,0.0004976,0.001503,81
0.0, 2CXO J110516.9-584508, 11 05 16.96,-58 45 08.20,0.96,0.81,19.5,6.17,                TRUE,False,False,False,False,False,False,False,False,7.47e-15,6.232e-15,8.707e-15,6.655e-15,5.229e-15,8.081e-15,9.077e-16,6.666e-16,1.135e-15,1.931e-16,3.714e-17,3.491e-16,1,0.634,0.225,0.219,  ,         ,         ,85.91,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,139,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,5.759,232.15,63.502,53.535,73.468,6.17,7,False,0,0,0,0.0003379455,False,False,0,7.47e-15,6.232e-15,8.707e-15,6.655e-15,5.229e-15,8.081e-15,9.077e-16,6.666e-16,1.135e-15,1.931e-16,3.714e-17,3.491e-16,1,0.634,0.225,0.219,8.059e-05,0.0005903,0.0005479,0.001229,82
0.0, 2CXO J110517.7-585044, 11 05 17.74,-58 50 44.43,0.74,0.73,56.9,5.37,                TRUE,False,False,False,False,False,False, TRUE,False,2.715e-15,2.184e-15,3.217e-15,1.242e-15,7.505e-16,1.708e-15,6.554e-16,4.608e-16,8.499e-16,8.595e-16,5.986e-16,1.12e-15,8,1.0,1.0,1.0,  ,         ,         ,88.07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,74,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,1.492,308.77,44.157,35.659,52.183,5.37,0,False,0,0,0,0.0008690027,False,False,30,2.715e-15,2.184e-15,3.217e-15,1.242e-15,7.505e-16,1.708e-15,6.554e-16,4.608e-16,8.499e-16,8.595e-16,5.986e-16,1.12e-15,8,1.0,1.0,1.0,0.0003875,0.0003123,6.907e-05,0.001429,83
