name,ra,dec,PU_X,significance,F_s,e_Fcsc_s,F_m,e_Fcsc_m,F_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,P_intra,P_inter,CSC_flags,EDR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,G,e_Gmag,BP,e_BPmag,RP,e_RPmag,Plx_gaia,e_Plx_gaia,PM_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,J,e_Jmag,H,e_Hmag,K,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,Class,cp_flag_wise12,which_wise12,W1,e_W1mag,W2,e_W2mag
2CXO J093221.6+212821,143.09004166666662,21.47250833333333,0.87,3.64,8.743e-16,2.437e-16,2.116860888250529e-16,1.2165067179438334e-16,7.978845608028655e-18,6.028102749890869e-18,1.0939649344330816e-15,2.72442496631469e-16,,,,Gaia EDR3 634965216261935616,,,17.487444,0.002878,18.917652,0.027803,16.321905,0.006387,2.7166,0.1141,10.442,361.660034,348.402039,375.826477,357.696991,347.23938,369.721954,0,09322162+2128210,14.758,0.037,14.06,0.04,13.878,0.039,0,J093221.62+212821.0,13.719,0.014,13.636,0.014,0,1436p212o0014780,13.73659136572644,-0.004161795904313,13.617896203869185,-0.0116701691495659,0,J093221.62+212821.1,13.74,0.026,13.646,0.038,12.512,,8.496,,0,LM-STAR,0.0,allwise,13.74,0.026,13.646,0.038
2CXO J123555.0+621800,188.97954166666665,62.30019166666666,0.92,5.45,1.8071257045428127e-16,4.079219133672324e-17,5.84189791855541e-17,1.6262360431152845e-17,2.454867021174653e-16,7.232274570138971e-17,4.84618251757301e-16,8.46111504864013e-17,0.985,0.003,,Gaia EDR3 1583598598594619264,,,19.438974,0.004388,21.250166,0.109173,18.10839,0.017015,2.6738,0.2647,26.237,376.831573,339.832062,418.230957,376.899261,344.375092,424.920563,0,12355510+6218002,16.168,0.105,15.791,0.145,15.226,0.149,0,J123555.10+621800.1,15.257,0.017,15.122,0.025,0,1894p620o0019586,15.264733924156936,-0.0098926680326202,15.09419565269346,-0.0282888752912819,0,J123555.09+621800.2,15.325,0.034,15.036,0.059,12.696,,9.163,,0,LM-STAR,0.0,allwise,15.325,0.034,15.036,0.059
2CXO J123625.3+621405,189.10575,62.23476111111111,0.72,12.53,6.928482266671384e-16,5.667877096652e-17,1.727561838941456e-16,2.535800694380581e-17,2.1694038392409086e-16,4.8127387026564235e-17,1.082544794485375e-15,7.856053065275234e-17,1.0,1.0,,Gaia EDR3 1583586465311550720,,,17.767921,0.003014,19.123465,0.024691,16.6169,0.007437,2.1343,0.0862,18.039,461.934204,445.143799,478.408752,454.242371,440.46225,468.241852,0,12362539+6214046,15.096,0.045,14.499,0.055,14.218,0.059,0,J123625.37+621404.9,14.114,0.014,13.973,0.013,0,1894p620o0018238,14.10972050063932,-0.0046423970174979,13.94114124885767,-0.0115320466551675,0,J123625.37+621404.9,14.136,0.026,13.946,0.032,12.795,,9.169,,0,LM-STAR,0.0,allwise,14.136,0.026,13.946,0.032
2CXO J123640.0+621942,189.16704166666665,62.32836944444445,0.89,6.91,3.6721526172215573e-16,4.879543337705981e-17,7.921227823769463e-17,1.6813069798453725e-17,2.653333099969493e-16,5.768558498448227e-17,7.117608499567996e-16,7.740349055116756e-17,1.0,0.874,,Gaia EDR3 1583592345121655040,,,16.490553,0.00306,,,,,5.0339,0.0591,11.922,196.502731,194.268707,198.967606,,,,0,12364013+6219414,12.814,0.021,12.203,0.024,11.954,0.022,0,J123640.15+621941.3,11.8,0.013,11.697,0.008,0,1894p620o0020113,11.809047193485233,-0.0013137021694582,11.695735651421083,-0.0027707437773688,0,J123640.13+621941.4,11.797,0.022,11.689,0.021,11.522,0.154,9.072,,0,LM-STAR,0.0,allwise,11.797,0.022,11.689,0.021
2CXO J130121.9+275016,195.341625,27.838005555555554,0.77,6.27,4.116070363712223e-15,8.176050024618699e-16,1.2366040262609173e-15,3.609689295209908e-16,1.0042417487447977e-15,6.144716446057261e-16,6.3569161387179376e-15,1.084597579821507e-15,1.0,0.855,,,,,,,,,,,,,,,,,,,,-8,13012197+2750170,10.795,0.027,10.207,0.03,9.952,0.018,0,,,,,,-8,,,,,,-8,,,,,,,,,,-4,LM-STAR,,,,,,
2CXO J140229.9+542118,210.624625,54.35519722222222,0.71,43.58,6.331641870212204e-14,1.1325689459844353e-15,1.3896687408455642e-14,4.458921976531043e-16,1.2176760699965627e-14,8.48428160914964e-16,8.938986681054334e-14,1.4836989632569529e-15,1.0,1.0,,Gaia EDR3 1609277039827482752,,,14.439511,0.002803,15.895965,0.003984,13.253916,0.003941,10.3576,0.1146,58.943,96.3386612,95.3468628,97.3963852,95.9668198,95.0309296,96.9557648,0,14022994+5421186,11.664,0.023,11.052,0.024,10.8,0.02,0,J140229.84+542119.0,10.625,0.011,10.468,0.007,0,2093p545o0011544,10.624192973868029,-0.0007372371325964,10.45957916077496,-0.0014434023359023,2,J140229.86+542118.7,10.621,0.022,10.48,0.018,10.328,0.055,8.962,,0,LM-STAR,0.0,allwise,10.621,0.022,10.48,0.018
2CXO J141946.3+525942,214.9432083333333,52.995158333333336,0.71,71.25,6.648623484848908e-14,1.0367232521521319e-15,1.3138337004215588e-14,3.553439483958017e-16,9.509548776322638e-15,5.460462252148123e-16,8.913412062902733e-14,1.2244308487153354e-15,1.0,1.0,extent,Gaia EDR3 1608036653271712768,,,13.825651,0.002796,15.003542,0.003709,12.743957,0.004168,12.2138,0.0126,38.924,81.6293869,81.5551529,81.7166367,81.6256256,81.5595474,81.7001114,0,14194634+5259424,11.351,0.021,10.724,0.019,10.514,0.019,0,J141946.39+525942.9,10.41,0.013,10.29,0.008,0,2145p530o0015397,10.413339502421255,-0.0006551061842036,10.28416084761797,-0.001301410364757,0,J141946.38+525942.8,10.397,0.023,10.281,0.02,10.166,0.045,9.288,0.456,0,LM-STAR,0.0,allwise,10.397,0.023,10.281,0.02
2CXO J184632.0-025724,281.63337499999994,-2.956805555555556,0.78,6.12,2.0563477373799352e-16,9.862807113823392e-17,2.342818070796064e-16,9.6654260169536e-17,2.944282792765829e-16,1.696186474846094e-16,7.343448600941828e-16,2.1872363383932035e-16,0.519,1.0,,Gaia EDR3 4258637374547594752,,,9.250832,0.008677,13.154603,0.079604,7.722165,0.02308,0.8212,0.0803,4.423,1154.17969,1063.94531,1259.05896,1027.12061,963.01947,1217.10046,0,18463202-0257245,4.424,0.242,3.033,0.242,2.518,0.266,0,,,,,,-8,2813m031o0031910,2.5538188277034464,-0.0002011979783323,1.969640703276518,-0.0003629137585269,0,,,,,,,,,,-8,LM-STAR,0.0,unwise,2.5538188277034464,-0.0002011979783323,1.969640703276518,-0.0003629137585269
2CXO J195408.1+442216,298.533875,44.37118888888889,0.71,19.18,7.091116616751739e-14,4.6773983002188136e-15,1.3490151896748026e-14,1.6952382984206169e-15,3.857699424727605e-15,1.6333424684394432e-15,8.825901748899305e-14,5.236381896551257e-15,0.999,1.0,,Gaia EDR3 2079062040143355776,,,13.778998,0.002858,15.184706,0.004652,12.613084,0.003997,18.2837,0.0143,44.838,54.5909615,54.5417747,54.6327972,54.5750122,54.538929,54.6260872,0,19540810+4422164,11.018,0.021,10.427,0.018,10.166,0.016,0,J195408.17+442216.5,9.976,0.01,9.906,0.008,0,2975p439o0040821,10.067149393886243,-0.0005577357223391,9.910280582511389,-0.0010836771563895,0,J195408.15+442216.4,10.065,0.022,9.919,0.02,9.844,0.051,9.293,,0,LM-STAR,0.0,allwise,10.065,0.022,9.919,0.02
2CXO J221421.5-165352,333.5899583333333,-16.898002777777776,0.77,24.26,2.4073064377733646e-14,1.4310172380665114e-15,6.155608119513354e-15,4.936101428296442e-16,5.590925141305306e-15,1.0186439615084009e-15,3.5819597638552304e-14,1.8245812749958103e-15,1.0,0.97,extent,,,,,,,,,,,,,,,,,,,-4,22142160-1653531,12.589,0.022,12.017,0.023,11.807,0.026,0,J221421.62-165353.2,11.648,0.013,11.465,0.009,0,3332m167o0007965,11.650556251758662,-0.0012800982353537,11.457626876975764,-0.0026894661926932,0,J221421.61-165353.2,11.638,0.023,11.472,0.022,10.901,0.136,8.044,,0,LM-STAR,0.0,allwise,11.638,0.023,11.472,0.022
