name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,remove_code,sep,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,flux_aper90_ave_b,flux_aper90_ave_h,flux_aper90_ave_m,flux_aper90_ave_s,e_flux_aper90_ave_b,e_flux_aper90_ave_h,e_flux_aper90_ave_m,e_flux_aper90_ave_s,flux_flag,ks_intra_prob_b,kp_intra_prob_b,var_inter_prob_b,kp_prob_b_max,var_inter_prob,dof,chisqr,EDR3Name_gaia,Plx_gaia,e_Plx_gaia,X_PU_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,_r_gaia,X_PU_2mass,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,_r_2mass,X_PU_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,pmRA_catwise,pmDE_catwise,_r_catwise,X_PU_unwise,e_FW1_unwise,e_FW2_unwise,_r_unwise,W1mag_allwise,W2mag_allwise,W3mag_allwise,W4mag_allwise,e_W1mag_allwise,e_W2mag_allwise,e_W3mag_allwise,X_PU_allwise,e_W4mag_allwise,_r_allwise,X_PU_gaiadist,rgeo,rpgeo,_r_gaiadist,b_rgeo,B_rgeo,b_rpgeo,B_rpgeo,Flag_gaiadist,main_id,main_type,_r_simbad,W1mag_unwise,W2mag_unwise,e_W1mag_unwise,e_W2mag_unwise,pm_gaia,W1mag_comb,e_W1mag_comb,W2mag_comb,e_W2mag_comb,CSC_flags
J1816+4510,274.1497265,45.17607272222222,0.00105,NS_BIN,HE[ksr+12],2005AJ....129.1993M,0,0.311809,2CXO J181635.9+451033,274.149625,45.17610555555555,0.81,0.79,110.8,3.47,2.122472696144188e-15,7.869535423198662e-16,5.588e-16,7.767191538243211e-16,7.57180262798134e-16,5.945517742217365e-16,3.104e-16,3.5140002581223076e-16,0,0.887,0.505,,0.505,,0.0,,Gaia EDR3 2115337192179377792,0.2225,0.1013,0.8100008048299706,18.195118,0.003423,18.166552,0.016303,18.32115,0.025374,4.4,-0.059,0.123,-4.4,0.117,0.2883981791787576,0.8100007822636717,,,,,,,,0.94574864909645,17.958,0.074,17.467,0.16,-0.06395,0.09128,0.8561894470785005,1.0110026049757537,4.6296,0.0,1.199,,,,,,,,0.8100007822636717,,,0.8100008048299706,4093.76831,3808.41919,0.288,3115.09717,5942.65625,2988.94604,5118.45654,10022.0,PSR J1816+4510,Pulsar,0.282106,,,,,,17.958,0.074,17.467,0.16,
J1909-3744,287.4476399216667,-37.73736546111111,2e-05,NS_BIN,,2005AJ....129.1993M,0,0.284353,2CXO J190947.4-374414,287.4477083333333,-37.73731388888889,0.72,0.72,162.0,7.25,8.716865248862479e-15,6.0918486217298795e-16,2.298680386689491e-15,5.809e-15,1.273788748085011e-15,4.602456449541679e-16,6.681225344565929e-16,9.820000000000002e-16,0,0.315,0.161,,0.161,,0.0,,,,,0.7200009431562155,,,,,,,5.649,,0.458,,0.429,7.45683057680294,0.7528617073338768,,,,,,,7.537,0.7305324841303635,,,,,,,7.850723517366226,0.8706382718268707,9.3919,33.116,7.711,,,,,,,,0.9381272357040276,,7.389,0.7200009431562155,,,7.457,,,,,,PSR J1909-3744,Pulsar,0.524502,,,,,,,,,,
B1957+20,299.90320783333334,20.80420061111111,0.00075,NS_BIN,HE[aaa+10g],2005AJ....129.1993M,0,0.402509,2CXO J195936.7+204814,299.903125,20.80412777777778,0.71,0.71,0.0,34.31,4.98681932821533e-14,2.9628496401939785e-14,9.320863586909624e-15,1.0918833293303892e-14,2.023957045521384e-15,1.894302439937575e-15,4.999351291846525e-16,5.080209196178104e-16,0,0.872,0.862,0.98,0.862,0.261,1.0,0.1112283950738464,Gaia EDR3 1823773960079216896,1.1878,1.3556,0.7100105436130931,20.172272,0.024249,20.33053,0.06001,19.529503,0.209345,32.812,-19.267,1.235,-26.56,1.244,0.4031647695803162,0.7236801738895435,,,,,,,8.728,0.7817754371178466,,,,,,,2.525707662530516,1.2633835498694763,0.0,28.465,2.839,,,,,,,,0.7155406585797903,,8.826,0.7100105436130931,3736.28638,11972.7236,0.403,1544.17273,7593.63037,9741.66797,14125.0361,10033.0,NAME PSR B1957+20 b,Star,0.222127,,,,,,,,,,
J2017+0603,304.34460509583334,6.051545536111111,0.00014,NS_BIN,HE,2005AJ....129.1993M,0,0.34139,2CXO J201722.6+060305,304.34454166666666,6.051486111111111,0.77,0.76,31.6,3.82,1.1506558726401487e-14,1.914922945926877e-15,3.377371350574968e-15,6.214264429899643e-15,2.9744071787320894e-15,1.4467446599738089e-15,1.434759261225902e-15,2.1669088158149984e-15,0,0.398,0.029,,0.029,,0.0,,,,,0.7700003074723802,,,,,,,6.515,,0.223,,0.168,3.42179418181212,0.7700002456321686,,,,,,,,0.8116936726829894,,,,,,,3.3921914194299534,1.351747527563339,7.7918,28.35,3.417,,,,,,,,0.9555260426977384,,3.988,0.7700003074723802,,,3.422,,,,,,PSR J2017+0603,Pulsar,0.35062,,,,,,,,,,
J2043+1711,310.83700687041664,17.19136336111111,3.5e-05,NS_BIN,HE,2005AJ....129.1993M,0,0.424916,2CXO J204320.8+171129,310.8369166666666,17.19145,0.78,0.77,22.8,2.8,8.2010991049033e-15,7.978845608028655e-18,1.831760634631759e-15,6.361359624663513e-15,3.352657909674883e-15,6.028102749890869e-18,1.1101500045958747e-15,3.1635179292329883e-15,4,0.92,0.927,,,,-1.0,,,,,0.7800008095268107,,,,,,,3.815,,0.066,,0.061,2.1689471499985378,0.810432756607308,,,,,,,2.164,0.7892996218053826,,,,,,,1.9978455139565607,0.8928558130975685,8.5463,27.4,1.924,,,,,,,,0.8082453173276787,,2.034,0.7800008095268107,,,2.169,,,,,,PSR J2043+1711,Pulsar,0.412979,,,,,,,,,,
J2047+1053,311.79269166666666,10.8855,0.045,NS_BIN,HE,2005AJ....129.1993M,0,0.047088,2CXO J204710.2+105307,311.79270833333334,10.885505555555556,0.77,0.75,138.9,3.75,1.1150091011462532e-14,8.56265693486658e-15,1.873797884560803e-15,7.136361920351491e-16,3.923297443580239e-15,3.823691785160046e-15,7.585000747397641e-16,4.430819331936154e-16,0,0.358,0.781,0.7,0.781,,0.0,,,,,0.7700037904817612,,,,,,,6.497,,0.658,,0.678,8.909749294440296,0.7700030753938064,,,,,,,,0.7700030753938064,,,,,,,,0.7700030753938064,,,,,,,,,,,0.7700030753938064,,,0.7700037904817612,,,8.91,,,,,,,,,,,,,,,,,,
J2051-0827,312.7813323666667,-8.460486027777778,0.0008,NS_BIN,"HE[sbl+96,wkh+12]",2005AJ....129.1993M,0,0.095078,2CXO J205107.5-082737,312.7812916666667,-8.460488888888888,0.72,0.72,35.2,5.69,4.630136508146711e-15,1.853610666384683e-15,1.1287591997165058e-15,1.647766642045522e-15,1.0162474684501206e-15,8.29286269438131e-16,3.7649584832393496e-16,4.508814441153095e-16,0,0.824,0.79,0.678,0.79,0.323,4.0,2.319897814977753,,,,0.7200022077377541,,,,,,,7.164,,0.596,,0.43,6.047232067363066,0.72000170505812,,,,,,,,0.7579424089511023,,,,,,,6.338867412345535,1.4507731405311446,8.3434,30.853,6.362,,,,,,,,0.9200555935847572,,7.294,0.7200022077377541,,,6.047,,,,,,NAME PSR J2051-0827 b,Planet?,0.04272,,,,,,,,,,
J2214+3000,333.6618855375,30.01060906388889,0.00017,NS_BIN,HE,2005AJ....129.1993M,0,0.064094,2CXO J221438.8+300038,333.66187499999995,30.010591666666667,0.72,0.72,105.1,7.83,4.4625239829361264e-14,1.22586663633471e-14,5.016573466014165e-15,2.7349999999999995e-14,7.15637637158202e-15,5.338553774486761e-15,1.3522819116776654e-15,4.57e-15,0,0.887,0.916,,0.916,,0.0,,,,,0.72,,,,,,,,,,,,,0.72,,,,,,,,0.72,,,,,,,,0.72,,,,,,,,,,,0.72,,,0.72,,,,,,,,,PSR J2214+3000,Pulsar,0.111226,,,,,,,,,,
J2215+5135,333.88620166666664,51.59342777777778,0.013,NS_BIN,HE,2005AJ....129.1993M,0,0.2994,2CXO J221532.7+513536,333.8862916666666,51.593494444444445,0.71,0.71,111.2,10.37,8.45176463576706e-14,6.546797884560803e-14,1.0385849621825263e-14,8.663817890237305e-15,1.0642545238106688e-14,1.0315000549589073e-14,1.859424563215608e-15,1.845825858751294e-15,0,0.999,1.0,,1.0,,0.0,,Gaia EDR3 2001168543319218048,0.3016,0.2345,0.7100023090919353,19.204527,0.018501,19.550291,0.069529,18.740261,0.042822,2.24,0.014,0.241,2.24,0.239,0.2582872296572366,0.7376334579418425,,,,,,,6.689,0.7144726434757597,,,,,,,6.522490614800096,0.7483551084045863,7.6864,23.666,6.303,,,,,,,,0.7319748071315296,,6.499,0.7100023090919353,3358.80322,8289.53418,0.258,2224.04736,4752.97559,7094.56787,9559.6875,10033.0,PSR J2215+51,Pulsar,0.261465,,,,,,,,,,
J2222-0137,335.52487125416667,-1.6210345583333332,0.000105,NS_BIN,,2005AJ....129.1993M,0,0.235949,2CXO J222205.9-013715,335.5248333333333,-1.6209944444444444,0.74,0.73,129.5,4.32,4.483429984639077e-15,1.0593398487301045e-15,1.2252922513481692e-15,2.198797884560803e-15,1.2165500446054952e-15,8.827430843718508e-16,5.104177648192469e-16,6.6350008544101e-16,0,0.364,0.46,,0.46,,0.0,,,,,0.74,,,,,,,,,,,,,0.74,,,,,,,,0.74,,,,,,,,0.74,,,,,,,,,,,0.74,,,0.74,,,,,,,,,PSR J2222-0137,Pulsar,0.490234,,,,,,,,,,
J2241-5236,340.4250770833333,-52.61006277777778,0.00075,NS_BIN,HE,2005AJ....129.1993M,0,0.085937,2CXO J224142.0-523636,340.42504166666663,-52.61006111111112,0.73,0.72,32.3,8.23,4.4993400784732e-14,7.089987125373075e-15,9.695434813750884e-15,2.820797884560804e-14,6.321669303771799e-15,3.3460674291536887e-15,1.9018672949984333e-15,5.015001130410917e-15,0,0.872,0.674,,0.674,,0.0,,,,,0.7300016693851871,,,,,,,10.014,,0.4,,0.482,7.797384852907182,0.7300013217737348,,,,,,,,0.7300013217737348,,,,,,,,0.7300013217737348,,,,,,,,,,,0.7300013217737348,,,0.7300016693851871,,,7.797,,,,,,NAME PSR J2241-5236b,Planet?,0.098359,,,,,,,,,,
J2256-1024,344.23497058333334,-10.40955138888889,0.003,NS_BIN,HE,2005AJ....129.1993M,0,0.333243,2CXO J225656.3-102434,344.234875,-10.409530555555556,0.71,0.71,102.0,10.4,3.922902943415703e-14,1.3390848473109794e-14,5.770202115439197e-15,2.0067978845608032e-14,4.931197670176455e-15,4.066626582433002e-15,1.2665000447612417e-15,2.485002281291259e-15,0,0.794,0.666,,0.666,,0.0,,,,,0.71,,,,,,,,,,,,,0.71,,,,,,,,0.71,,,,,,,,0.71,,,,,,,,,,,0.71,,,0.71,,,,,,,,,PSR J2256-1024,Pulsar,0.287723,,,,,,,,,,
J2339-0533,354.91141666666664,-5.5514777777777775,0.15,NS_BIN,HE[rpp+20],2005AJ....129.1993M,0,0.151727,2CXO J233938.7-053305,354.91141666666664,-5.551438888888889,0.71,0.71,57.6,16.48,2.147602115439197e-13,1.4812021154391974e-13,2.991e-14,3.6730000000000005e-14,1.5454883817171723e-14,1.4250039782480483e-14,3.33e-15,4.97e-15,0,1.0,1.0,,1.0,,0.0,,Gaia EDR3 2440660623886405504,0.5346,0.1832,0.710001012296884,18.794209,0.054907,18.82446,0.167484,17.928967,0.192627,11.003,3.924,0.202,-10.28,0.186,0.1239426544364265,0.71000094153008,,,,,,,,0.7531953909667797,,,,,,,0.9039906078259076,1.3324254526890424,8.3274,31.412,0.878,16.441,16.438,12.079,8.354,0.084,0.274,,0.8843309205119992,,0.849,0.710001012296884,1713.38477,4480.71875,0.124,1381.55737,2401.07788,3670.35962,5545.30029,10033.0,PSR J2339-0533,Pulsar,0.099111,16.28935189829166,16.320839054096204,-0.0297559969442252,-0.1185647337523461,,16.28935189829166,-0.0297559969442252,16.320839054096204,-0.1185647337523461,
