name,ra,dec,PU_X,significance,F_s,e_Fcsc_s,F_m,e_Fcsc_m,F_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,P_intra,P_inter,CSC_flags,EDR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,G,e_Gmag,BP,e_BPmag,RP,e_RPmag,Plx_gaia,e_Plx_gaia,PM_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,J,e_Jmag,H,e_Hmag,K,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,Class,cp_flag_wise12,which_wise12,W1,e_W1mag,W2,e_W2mag
2CXO J103104.8+350652,157.770125,35.11455277777778,0.83,22.35,1.4412578972563236e-14,2.234231402141659e-15,1.8006327806194295e-15,5.43991680209078e-16,8.964884843509916e-15,2.222611404137592e-15,2.5178096596692582e-14,3.19808041804065e-15,1.0,1.0,extent|conf,Gaia EDR3 749775017843438848,,,14.684713,0.002803,15.445778,0.003784,13.825491,0.00437,2.7755,0.0295,9.16,354.879272,351.717316,359.021667,354.233521,350.778809,357.461151,0,10310486+3506528,12.712,0.023,12.083,0.035,11.952,0.021,0,J103104.85+350653.1,11.849,0.011,11.884,0.008,0,1571p348o0015702,11.888653074926047,-0.001420964084165,11.877917132205909,-0.0033350134038604,0,J103104.85+350653.0,11.867,0.023,11.868,0.022,11.995,0.275,9.164,,0,LM-STAR,0.0,allwise,11.867,0.023,11.868,0.022
2CXO J112332.9+535311,170.88712499999997,53.88646388888889,0.82,4.13,5.5470000000000004e-15,1.3679999999999997e-15,7.978845608028655e-18,6.028102749890869e-18,1.877319153824321e-15,1.580800005737866e-15,7.43229799943235e-15,2.090547535016508e-15,,,,Gaia EDR3 842896162293335168,,,12.403875,0.002762,13.126261,0.002856,11.581816,0.0038,9.1719,0.017,29.848,108.944099,108.742943,109.141861,108.927696,108.754425,109.124992,0,11233291+5353108,10.608,0.027,9.908,0.028,9.802,0.021,0,J112332.90+535310.8,9.764,0.011,9.785,0.008,0,1710p545o0002710,9.755202573718476,-0.0004829147285154,9.776034916229802,-0.0010284198138583,0,J112332.90+535310.8,9.737,0.023,9.772,0.021,9.646,0.038,8.432,,0,LM-STAR,0.0,allwise,9.737,0.023,9.772,0.021
2CXO J114212.0+264607,175.55037499999997,26.768666666666665,0.96,6.91,6.485306925211902e-15,1.1693861993135129e-15,1.5774577635301397e-15,5.159801508327868e-16,2.8641901597846478e-15,2.131714824183053e-15,1.0926954848526692e-14,2.4855397182181804e-15,0.829,,,Gaia EDR3 4017873636903462912,,,11.050104,0.00279,11.591071,0.003214,10.359383,0.003915,0.8487,0.0188,4.075,1131.55249,1101.32971,1159.72119,1135.02771,1112.24341,1162.98596,0,11421207+2646074,9.475,0.018,8.93,0.021,8.804,0.018,0,J114212.08+264607.3,8.772,0.013,8.87,0.008,0,1757p272o0004350,8.77624597492871,-0.0003036347402823,8.862271034284822,-0.0006610960226819,0,J114212.08+264607.3,8.747,0.023,8.85,0.02,8.714,0.026,8.613,0.383,0,LM-STAR,0.0,allwise,8.747,0.023,8.85,0.02
2CXO J131148.0-624139,197.950125,-62.69424166666666,0.81,4.49,1.1609997702569061e-15,3.374593799372813e-16,4.977e-16,1.9059999999999998e-16,2.295513881429844e-16,1.734285161143603e-16,1.8882511583998904e-15,4.2459939155547923e-16,0.91,,,Gaia EDR3 5862502888743006592,,,13.159336,0.002773,13.745072,0.003115,12.423169,0.003877,2.3708,0.0128,17.94,416.375671,414.343719,419.432617,415.847168,413.763306,418.389954,0,13114806-6241395,11.479,0.023,11.008,0.022,10.906,0.025,0,,,,,,-8,1989m621o0053576,10.891819066938284,-0.0010895518911007,11.009804645783746,-0.0028382703825535,0,,,,,,,,,,-8,LM-STAR,0.0,unwise,10.891819066938284,-0.0010895518911007,11.009804645783746,-0.0028382703825535
2CXO J135309.3+333118,208.288875,33.52177222222222,0.72,10.35,1.1163989422804015e-14,1.1975011835090985e-15,2.475871924932703e-15,6.431019106977859e-16,4.242444242231398e-16,4.305580688831483e-16,1.4064105771959855e-14,1.4258223601589436e-15,0.136,,extent,Gaia EDR3 1458661298490838912,,,13.841205,0.002796,14.30968,0.003404,13.209604,0.004036,1.7743,0.0157,27.564,552.336731,547.183899,557.494812,552.760864,547.584412,557.555725,0,13530934+3331183,12.514,0.019,12.023,0.016,11.912,0.015,0,J135309.35+333117.8,11.862,0.013,11.9,0.009,0,2087p333o0016963,11.87062116220847,-0.0013752821351292,11.89610111141091,-0.0032053389680213,0,J135309.34+333118.0,11.878,0.023,11.91,0.022,12.341,0.372,8.758,,0,LM-STAR,0.0,allwise,11.878,0.023,11.91,0.022
2CXO J141120.7+521411,212.83633333333333,52.236466666666665,0.75,4.32,1.2821223269831168e-15,3.515501951216574e-16,1.782239365368241e-16,1.1498500044371962e-16,2.929034222707319e-16,2.2129165194849382e-16,1.7532496857906728e-15,4.3102098004530006e-16,0.312,,,,,,,,,,,,,,,,,,,,,-8,14112070+5214113,10.816,0.022,10.174,0.032,10.038,0.022,0,,,,,,-8,,,,,,-8,,,,,,,,,,-4,LM-STAR,,,,,,
2CXO J142134.4+531753,215.3937083333333,53.298313888888885,0.95,4.4,1.0264163174705257e-15,2.6231000606341804e-16,1.5518315037978203e-16,8.290902960285752e-17,8.940879161438111e-16,4.828472182389506e-16,2.075687383994119e-15,5.557174485579616e-16,,,,Gaia EDR3 1608419729995032448,,,12.618165,0.002777,13.001155,0.003108,12.073474,0.00389,3.4839,0.0103,14.492,285.812622,285.000793,286.740784,286.084412,285.302948,286.933899,0,14213446+5317543,11.448,0.022,11.098,0.021,11.031,0.02,0,J142134.47+531754.0,11.002,0.013,11.045,0.008,0,2145p530o0021769,11.003792834230175,-0.0008733191104051,11.03986373453247,-0.0019169169363736,0,J142134.46+531754.1,10.98,0.022,11.045,0.02,11.001,0.089,9.395,,0,LM-STAR,0.0,allwise,10.98,0.022,11.045,0.02
2CXO J145713.0+221449,224.3042083333333,22.247061111111112,0.97,2.83,8.6048721829169145e-16,2.5707145915913353e-16,8.784709014439549e-17,6.636941127629848e-17,2.7375419281146314e-16,2.068242053487557e-16,1.2220885012475502e-15,3.365514608280772e-16,0.224,,,Gaia EDR3 1262387134217778304,,,13.450663,0.002783,14.20387,0.003314,12.603264,0.003912,5.6204,0.0191,24.916,176.831635,176.217697,177.51004,176.837082,176.31163,177.374969,0,14571300+2214497,11.591,0.029,10.934,0.031,10.789,0.021,0,J145712.99+221449.4,10.685,0.012,10.786,0.009,0,2247p227o0005855,10.733244563149158,-0.0008042125638051,10.78676247615731,-0.0017957817872971,0,J145712.99+221449.4,10.703,0.024,10.776,0.023,10.76,0.08,9.022,,0,LM-STAR,0.0,allwise,10.703,0.024,10.776,0.023
2CXO J152449.0+292721,231.20454166666664,29.45607777777778,0.76,7.57,3.994e-14,6.75e-15,6.824965970981105e-15,3.047056876205761e-15,1.8367302589681962e-14,1.387669253024878e-14,6.51322685606631e-14,1.5729260986641906e-14,0.498,,,Gaia EDR3 1273679805830715264,,,,,,,,,,,,,,,,,,0,15244905+2927220,9.415,0.02,8.916,0.019,8.765,0.015,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,LM-STAR,,,,,,
2CXO J160100.7+552706,240.2532916666666,55.45170555555556,0.74,11.25,1.543202115439197e-14,1.515003741917083e-15,2.3002021154391973e-15,5.605001011420316e-16,4.5457967358453335e-15,1.709786792436061e-15,2.2278020005676505e-14,2.352183576379995e-15,1.0,,,Gaia EDR3 1621420905237377536,,,11.406205,0.002781,12.127392,0.003293,10.586559,0.00389,15.0384,0.0116,13.296,66.3751755,66.3263245,66.4337616,66.3701782,66.3164368,66.4290085,0,16010078+5527063,9.599,0.021,8.982,0.026,8.829,0.021,0,J160100.79+552706.0,8.755,0.013,8.813,0.008,0,2399p560o0004612,8.780490729946706,-0.0003093890979243,8.81129389376748,-0.000643420018375,0,J160100.79+552706.1,8.728,0.022,8.771,0.02,8.669,0.021,8.378,0.14,0,LM-STAR,0.0,allwise,8.728,0.022,8.771,0.02
2CXO J162809.9+393213,247.0416666666666,39.536991666666665,0.88,6.36,3.850190147846293e-15,6.296723004762349e-16,5.259676957673767e-16,1.9990278520923662e-16,1.1818046465877596e-15,4.362246009729837e-16,5.557962490201429e-15,7.916692693388337e-16,0.998,1.0,,Gaia EDR3 1332597784944159744,,,11.103987,0.002772,11.448938,0.002959,10.592885,0.003846,5.9523,0.0115,34.604,167.004242,166.731964,167.278442,166.980072,166.674149,167.254089,0,16280996+3932132,10.014,0.022,9.721,0.021,9.64,0.016,0,J162810.00+393212.9,9.62,0.013,9.656,0.009,0,2477p393o0019688,9.626731915548977,-0.0004499032437964,9.651291841529275,-0.0009516716685315,0,J162809.99+393212.9,9.605,0.023,9.647,0.02,9.616,0.04,8.566,,0,LM-STAR,0.0,allwise,9.605,0.023,9.647,0.02
