GAIA_Source,CSC__2CXO
3.2632803185894093e+18,J033354.8-010923
3.263087968478596e+18,J033422.0-011517
4.732655322803848e+18,J033446.6-534430
4.4475297313116966e+17,J033459.9+531023
5.112057542432419e+18,J033514.4-150606
5.11205737492916e+18,J033518.1-150616
4.860248282791783e+18,J033609.3-360732
4.860286078504304e+18,J033650.6-354240
4.860288964722451e+18,J033702.4-353639
3.247951988331138e+18,J033731.4-050502
4.240706826894528e+16,J033829.4+153650
4.86038730229358e+18,J033851.6-352644
4.860085658150877e+18,J033930.6-354847
4.86008322290515e+18,J033941.1-354745
3.269936040430121e+18,J034313.7+010336
6.522358381299686e+16,J034635.5+240135
6.522361817273395e+16,J034639.3+240146
6.522561103755136e+16,J034639.3+240611
6.521155790456986e+16,J034643.5+235942
6.521317281226675e+16,J034658.2+240141
6.521317281226624e+16,J034659.3+240142
6.521293229409126e+16,J034709.1+240307
2.1801470890798067e+17,J034846.9+335315
4.855895801590236e+18,J035057.9-380536
5.080691263127536e+18,J035135.7-274435
5.093969377860656e+18,J035435.5-202740
4.85720336143367e+18,J035504.8-381142
1.6844982423751053e+17,J035515.5+310033
1.68641139261643e+17,J035518.0+311105
1.6878792406408883e+17,J035743.1+320336
3.3029762274051185e+18,J035854.4+102603
2.521984223367717e+17,J035904.7+540753
2.5219852541598528e+17,J035907.5+540940
3.245426998534322e+18,J040148.9-054056
3.259547751492164e+18,J040248.1+015757
3.303797734391876e+18,J040432.3+110535
1.63837403021862e+17,J040633.3+273125
3.2604704135472133e+18,J040716.4+034225
3.298483210578598e+18,J040924.8+075856
3.300546439851024e+18,J041247.4+102142
3.300571286238273e+18,J041247.4+103625
1.6451927632585075e+17,J041817.1+282842
1.6452109739159782e+17,J041832.0+283115
1.7265136740394906e+17,J042132.8+325327
1.49629483705467e+17,J042335.3+250302
3.2837679954907e+18,J042340.7+040801
4.899015246017691e+18,J042610.3-220217
1.5126270085229773e+17,J042704.6+260615
3.204844780267292e+18,J042921.6-024947
1.73360754267381e+17,J043013.0+351358
1.7336707645924915e+17,J043019.1+351745
3.314302777720463e+18,J043105.7+180320
3.314312226648611e+18,J043136.1+181343
3.2045842947941417e+18,J043244.8-031330
1.4779020690839578e+17,J043334.5+242105
3.3142377347358034e+18,J043339.3+175152
1.5112790759778867e+17,J043354.7+261327
1.4840156543782093e+17,J044008.0+260525
1.580484098782172e+17,J044116.8+283959
3.184664584368982e+18,J044754.1-101043
2.6075183252655258e+17,J045311.0+520613
2.6070472532525453e+17,J045325.2+520317
3.4056900610519736e+18,J045423.6+170953
1.5690790708274048e+17,J045510.9+302159
1.569137783024407e+17,J045514.1+302217
1.5672885848820608e+17,J045846.2+295036
2.066128076876317e+17,J050109.3+451626
4.823508724520907e+18,J050742.3-373045
2.9624682652448154e+18,J051100.5-220154
3.2407999443675443e+18,J051647.4+062404
3.44683035019252e+18,J052034.3+302954
1.8117865989630246e+17,J052214.8+332907
1.8117972934700582e+17,J052245.3+333105
1.8117326542084288e+17,J052247.8+332206
3.222286127060186e+18,J052438.9+015406
3.222267297922229e+18,J052545.9+014549
3.222238676262149e+18,J052646.5+014055
3.3342280544230446e+18,J053238.9+073243
3.0172683714481244e+18,J053419.5-053019
3.0172702912981023e+18,J053426.1-052630
3.209424035744296e+18,J053428.5-052457
3.017263453710145e+18,J053435.0-053700
3.01726414090228e+18,J053435.1-053432
3.01726349236528e+18,J053436.5-053617
3.017263939041876e+18,J053437.4-053452
3.0172708453492664e+18,J053438.2-052423
3.0172641795586324e+18,J053439.1-053402
3.017268921203932e+18,J053439.8-053006
3.0172622210549627e+18,J053440.0-054009
3.209518421946388e+18,J053440.8-052242
3.017270467392149e+18,J053441.6-052652
3.017262732153081e+18,J053441.7-053648
3.01726431270115e+18,J053442.1-053303
3.0172692648013097e+18,J053442.7-052837
3.01727067355133e+18,J053444.4-052438
3.01726235419592e+18,J053446.2-053907
3.017364750525704e+18,J053446.5-052325
3.0172640077613496e+18,J053446.9-053414
3.017263247551729e+18,J053446.9-053503
3.0172660006269414e+18,J053447.8-053046
3.0173647805782595e+18,J053448.1-052238
3.017244319631274e+18,J053448.1-054229
3.017268955560617e+18,J053448.2-053010
3.017264042121086e+18,J053448.8-053332
3.017265828826063e+18,J053448.9-053131
3.017243044023821e+18,J053449.1-054605
3.0172689899234e+18,J053449.5-052903
3.2095185980408714e+18,J053450.4-052020
3.017269780197376e+18,J053450.7-052701
3.017269883276585e+18,J053451.5-052513
3.017364887967711e+18,J053452.1-052231
3.0173649910441226e+18,J053452.6-052125
3.017266034986671e+18,J053452.6-052945
3.01726936788052e+18,J053452.9-052859
3.017269775899585e+18,J053453.0-052627
3.017364510007529e+18,J053453.1-052400
3.0172505387439145e+18,J053453.4-054004
3.0173649223243566e+18,J053454.2-052135
3.017363715426119e+18,J053454.8-052512
3.2095194226745897e+18,J053454.9-051701
3.01724301396122e+18,J053454.9-054644
3.017269569741153e+18,J053455.0-052659
3.2095759788037755e+18,J053455.1-044828
3.017250263866009e+18,J053455.8-054126
3.209576940876434e+18,J053456.8-044605
3.017364716165926e+18,J053456.9-052206
3.0172647980353265e+18,J053457.1-053329
3.017251054138574e+18,J053458.0-053758
3.017266447303734e+18,J053458.1-052847
3.0172495079517645e+18,J053458.2-054150
3.0172431471039e+18,J053458.2-054505
3.017264896816704e+18,J053458.5-053249
3.017364647446461e+18,J053459.1-052307
3.017262938311603e+18,J053459.1-053621
3.0172401578057994e+18,J053459.2-054559
3.0173634448556426e+18,J053459.6-052539
3.0173638528652324e+18,J053500.2-052409
3.017251088499724e+18,J053500.8-053808
3.017363852865233e+18,J053501.1-052406
3.0173650898159094e+18,J053501.2-052144
3.0173653346410496e+18,J053501.3-052022
3.017249542311501e+18,J053501.3-054113
3.01736512417565e+18,J053502.3-052123
3.017365437719986e+18,J053502.7-051944
3.017365025403441e+18,J053502.8-052208
3.209576013163656e+18,J053502.9-044832
3.0173642694893056e+18,J053503.0-052237
3.0172661681267937e+18,J053503.0-053001
3.0173655407998874e+18,J053503.1-051829
3.209575703925862e+18,J053503.2-044921
3.209520724048941e+18,J053503.3-051622
3.017363887225069e+18,J053503.4-052332
3.0173634104959007e+18,J053503.4-052610
3.209575600846656e+18,J053503.6-045053
3.0173642694893056e+18,J053503.6-052245
3.017363582294584e+18,J053503.7-052454
3.017365540799184e+18,J053503.9-051859
3.0173633761361654e+18,J053504.0-052637
3.01724991597159e+18,J053504.0-054051
3.0173642694923264e+18,J053504.1-052224
3.017363410495899e+18,J053504.5-052604
3.017363582297636e+18,J053504.6-052435
3.0172508823383163e+18,J053504.6-053838
3.2095764941998326e+18,J053504.7-044709
3.209520625265432e+18,J053504.7-051742
3.0173634104959027e+18,J053504.7-052638
3.0173652315618284e+18,J053504.8-052057
3.017364269489201e+18,J053504.8-052238
3.01725266474974e+18,J053505.0-053643
3.2095210719428746e+18,J053505.1-051450
3.017365231561559e+18,J053505.1-052024
3.017363410496163e+18,J053505.2-052603
3.017363822812731e+18,J053505.3-052410
3.017264626236632e+18,J053505.3-053428
3.0173642651821947e+18,J053505.4-052230
3.0173603524791936e+18,J053505.5-052752
3.017363582294584e+18,J053505.6-052519
3.01736420076983e+18,J053505.7-052315
3.0173636123470684e+18,J053505.7-052418
3.0172646262366305e+18,J053505.7-053355
3.017250878045906e+18,J053505.7-053839
3.209575807005071e+18,J053505.8-044843
3.017360421198667e+18,J053505.8-052708
3.209520655329465e+18,J053506.4-051722
3.017365162842352e+18,J053506.4-052118
3.017360421198665e+18,J053506.4-052704
3.017264660596368e+18,J053506.4-053335
3.017363582294576e+18,J053506.5-052501
3.017360455558401e+18,J053506.5-052650
3.01736341049616e+18,J053506.9-052600
3.0173643038489165e+18,J053507.2-052226
3.0173635135750897e+18,J053507.3-052548
3.017365261614613e+18,J053507.5-051950
3.017365162841656e+18,J053507.7-052101
3.017365162841787e+18,J053507.9-052117
3.0172652447119165e+18,J053508.0-053244
3.017365265922547e+18,J053508.2-051936
3.017365162844422e+18,J053508.2-052046
3.017363616654297e+18,J053508.2-052434
3.0172526003282084e+18,J053508.2-053704
3.0173669495408374e+18,J053508.3-051913
3.0173603524791905e+18,J053508.3-052756
3.017360146320763e+18,J053508.3-052829
3.017365162841149e+18,J053508.4-052119
3.017363513575096e+18,J053508.5-052517
3.017360558637611e+18,J053508.5-052619
3.209576459840252e+18,J053508.6-044652
3.017265279072423e+18,J053508.8-053149
3.0173667433900124e+18,J053508.9-051933
3.017265347791125e+18,J053509.2-053058
3.017364406927435e+18,J053509.3-052141
3.017360348171928e+18,J053509.4-052748
3.017360146320762e+18,J053509.5-052822
3.017360558637482e+18,J053509.6-052623
3.01736055864099e+18,J053509.7-052550
3.0173667390833705e+18,J053509.8-051933
3.017365197201799e+18,J053510.1-052020
3.0173642351323863e+18,J053510.1-052232
3.0173667433900145e+18,J053510.2-051955
3.017364235119026e+18,J053510.2-052316
3.017363994614284e+18,J053510.2-052321
3.0173644069304914e+18,J053510.3-052112
3.0172457928022205e+18,J053510.3-054633
3.01736055433036e+18,J053510.4-052600
3.0173644026211656e+18,J053510.5-052156
3.0173639903041976e+18,J053510.5-052416
3.0173605543303613e+18,J053510.8-052556
3.01736354793481e+18,J053510.9-052448
3.017367155709057e+18,J053511.2-051720
3.017363925891919e+18,J053511.6-052421
3.0173605586375526e+18,J053511.6-052608
3.017265382150863e+18,J053511.6-053101
3.0173667777495373e+18,J053511.7-051834
3.017366743390001e+18,J053511.8-051925
3.017366670363905e+18,J053511.8-052001
3.0173644412867456e+18,J053511.8-052103
3.017265279071651e+18,J053511.8-053155
3.017365197201793e+18,J053511.9-052032
3.017364235132342e+18,J053511.9-052253
3.017266236846519e+18,J053511.9-052932
3.01736017637306e+18,J053512.0-052808
3.017363925892203e+18,J053512.1-052433
3.0172654852300754e+18,J053512.1-053020
3.017364436980913e+18,J053512.2-052044
3.0173639903043144e+18,J053512.2-052347
3.017265450870337e+18,J053512.2-053032
3.0172462437767496e+18,J053512.3-054318
3.0173640289710106e+18,J053512.5-052344
3.017366674670235e+18,J053512.6-051935
3.017364441287008e+18,J053512.7-052034
3.017360489921436e+18,J053512.7-052710
3.017364436980916e+18,J053512.8-052043
3.017250087773385e+18,J053513.0-053934
3.017363925891923e+18,J053513.1-052455
3.0173666746705326e+18,J053513.2-052018
3.0173644412870164e+18,J053513.2-052052
3.017360180680492e+18,J053513.2-052753
3.20957240539098e+18,J053513.3-045145
3.017364441286758e+18,J053513.4-052107
3.0173640246640594e+18,J053513.4-052340
3.017366777749536e+18,J053513.5-051856
3.017360180680492e+18,J053513.5-052757
3.20957900246071e+18,J053513.6-044258
3.0173600776043653e+18,J053513.6-052846
3.017265377852812e+18,J053513.6-053057
3.017250092067309e+18,J053513.7-053910
3.017360180680489e+18,J053513.8-052736
3.017366670363917e+18,J053514.0-051951
3.017360588690111e+18,J053514.0-052520
3.0173666746595835e+18,J053514.2-052003
3.017360077604363e+18,J053514.2-052843
3.0172462437767485e+18,J053514.2-054317
3.017364028970885e+18,J053514.3-052333
3.017367121333532e+18,J053514.4-051725
3.0173659187560315e+18,J053514.6-052042
3.0172500920673085e+18,J053514.6-053911
3.0173659187556137e+18,J053514.7-052028
3.0172532145056527e+18,J053514.7-053416
3.0172515695360563e+18,J053514.8-053805
3.0172525316087265e+18,J053514.9-053639
3.017360279452469e+18,J053515.2-052737
3.017364372567255e+18,J053515.3-052113
3.0173641277432863e+18,J053515.3-052215
3.017363960241964e+18,J053515.4-052345
3.017366880827931e+18,J053515.6-051746
3.0173641277432883e+18,J053515.6-052256
3.017363960251436e+18,J053515.6-052402
3.017360902234948e+18,J053515.6-052533
3.209572508470187e+18,J053515.7-045054
3.0173593560467727e+18,J053515.8-052852
3.209521209381041e+18,J053515.9-051458
3.017367121346097e+18,J053515.9-051657
3.017365914449686e+18,J053516.0-052036
3.0173609709543e+18,J053516.1-052456
3.017366910881808e+18,J053516.2-051743
3.0173658500368143e+18,J053516.2-052108
3.017360107653781e+18,J053516.2-052833
3.0173675680226924e+18,J053516.3-051537
3.01736711704024e+18,J053516.6-051723
3.017366709030057e+18,J053516.6-051935
3.209576597279032e+18,J053516.7-044544
3.0173639559444787e+18,J053516.7-052404
3.017364063330453e+18,J053516.9-052300
3.0173602794524744e+18,J053516.9-052708
3.0172458658171034e+18,J053516.9-054555
3.0173640590238177e+18,J053517.0-052333
3.0173593560396723e+18,J053517.0-052858
3.0173603181194163e+18,J053517.1-052645
3.017249611031104e+18,J053517.1-054153
3.0173659187558845e+18,J053517.2-052027
3.017363960251515e+18,J053517.3-052400
3.0173674949977385e+18,J053517.5-051612
3.0173643682614656e+18,J053517.5-052145
3.0173640633334543e+18,J053517.5-052256
3.017360902234944e+18,J053517.5-052542
3.017249778532637e+18,J053517.5-054048
3.016943736342835e+18,J053517.7-063143
3.209578074747778e+18,J053517.8-044452
3.017366807802892e+18,J053517.8-051835
3.017367494997364e+18,J053517.9-051644
3.017360318119415e+18,J053517.9-052650
3.0173610053169684e+18,J053518.0-052402
3.0173669108818084e+18,J053518.2-051744
3.017364063330467e+18,J053518.2-052335
3.01735935604677e+18,J053518.2-052846
3.209571580757262e+18,J053518.3-045323
3.017361005316981e+18,J053518.3-052426
3.0172652103490714e+18,J053518.3-053142
3.017365850029114e+18,J053518.5-052042
3.0173668121116723e+18,J053518.6-051834
3.017364063333444e+18,J053518.6-052256
3.0173640590238254e+18,J053518.6-052313
3.0172497141103176e+18,J053518.6-054109
3.0173669151876664e+18,J053518.7-051728
3.017367701155797e+18,J053518.8-051445
3.017365850036801e+18,J053518.9-052051
3.017365850035789e+18,J053518.9-052107
3.017361108392968e+18,J053519.0-052349
3.017364059023828e+18,J053519.1-052326
3.017367499303217e+18,J053519.2-051644
3.017265206054357e+18,J053519.2-053103
3.01736728883931e+18,J053519.5-051702
3.017360210733006e+18,J053519.5-052735
3.017265137334876e+18,J053519.5-053158
3.0173610010069883e+18,J053519.6-052426
3.2095213425241774e+18,J053519.7-051405
3.017364166410348e+18,J053519.8-052221
3.0173658800899656e+18,J053520.0-052043
3.017365850036801e+18,J053520.0-052105
3.017360902234822e+18,J053520.0-052537
3.0173592873303613e+18,J053520.0-052911
3.017265107272954e+18,J053520.2-053217
3.017359046809133e+18,J053520.3-053039
3.0173672931447875e+18,J053520.4-051713
3.0173658843992653e+18,J053520.5-052042
3.017361108393219e+18,J053520.5-052420
3.209572916491596e+18,J053520.6-044949
3.0173640933835725e+18,J053520.6-052245
3.017360932287514e+18,J053520.6-052446
3.017365643870379e+18,J053520.7-052154
3.0173606960764114e+18,J053520.7-052615
3.01736564388075e+18,J053520.8-052121
3.017365639571801e+18,J053520.9-052150
3.017265141632814e+18,J053521.0-053121
3.017360696076379e+18,J053521.1-052556
3.0173611427526774e+18,J053521.4-052316
3.017365673931541e+18,J053521.5-052105
