angDist,_RAJ2000_1,_DEJ2000_1,name_cat,SubClass,Class,e_Pos,ref,_RAJ2000_2,_DEJ2000_2,2CXO,RAICRS,DEICRS,r0,r1,PA,fe,fc,fp,fv,fst,fs,fa,fi,fr,fm,ff,fVi,Ns,PFluxb,PFluxh,PFluxm,PFluxs,PFluxu,PFluxw,PF90b,PF90h,PF90m,PF90s,PF90u,PF90w,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,F90b,F90h,F90m,F90s,F90u,F90w,PFavgb,PFavgh,PFavgm,PFavgs,PFavgu,PFavgw,PF90avgb,PF90avgh,PF90avgm,PF90avgs,PF90avgu,PF90avgw,Favgb,Favgh,Favgm,Favgs,Favgu,Favgw,F90avgb,F90avgh,F90avgm,F90avgs,F90avgu,F90avgw,Ldet,LClass,S/N,NHGal,HRhm,HRhs,HRms,fdw,Nac,ExpAC,Nhrc,ExpHRC
0.037118,143.137749,21.698604,G16320223261560,G9,LM-STAR,,LAMOST-DR8-AFGK,143.13775944,21.698600505,J093233.0+214154,143.1377594,21.6986005,3.071,1.711,169.6,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6999600474986e-05,1.5652822520357e-06,4.158564268194e-06,1.811808005875e-05,3.0916043277569e-05,,2.8094764894541e-05,1.7020309652839e-06,4.1567064117437e-06,1.8377067410373e-05,3.5791472315294e-05,,5.2993399672403e-14,7.7160793456425e-15,9.102073587491e-15,3.5747673818862e-14,1.2039480052977e-12,,5.8837905716906e-14,9.9863421079377e-15,8.7763984954392e-15,3.4652475265958e-14,5.8540559573048e-13,,2.6999600474986e-05,1.5652822520357e-06,4.158564268194e-06,1.811808005875e-05,3.0916043277569e-05,,2.8094764894541e-05,1.7020309652839e-06,4.1567064117437e-06,1.8377067410373e-05,3.5791472315294e-05,,5.2993399672403e-14,7.7160793456425e-15,9.102073587491e-15,3.5747673818862e-14,1.2039480052977e-12,,5.8837905716906e-14,9.9863421079377e-15,8.7763984954392e-15,3.4652475265958e-14,5.8540559573048e-13,,534.3371,TRUE,15.146,3.09,-0.42224,-0.83823,-0.62711,0,1,93545.673,0,
1.131887,143.041144,21.575516,G16320302996938,F5,LM-STAR,,LAMOST-DR8-AFGK,143.041095877,21.575827212,J093209.8+213432,143.0410959,21.5758272,1.286,1.286,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0576719525907e-06,1.879608955857e-07,5.3508328677987e-08,6.5609354771772e-07,0.0,,1.1545191991002e-06,2.0326668196986e-07,7.4500479315386e-08,6.8636661317562e-07,0.0,,2.7543696733774e-15,1.4259084486165e-15,1.2476666339358e-16,1.212750948021e-15,0.0,,3.9605701081508e-15,1.8895927671817e-15,1.8444041188434e-16,1.2701888851236e-15,1.431670918923e-14,,1.0576719525907e-06,1.879608955857e-07,5.3508328677987e-08,6.5609354771772e-07,0.0,,1.1545191991002e-06,2.0326668196986e-07,7.4500479315386e-08,6.8636661317562e-07,0.0,,2.7543696733774e-15,1.4259084486165e-15,1.2476666339358e-16,1.212750948021e-15,0.0,,3.9605701081508e-15,1.8895927671817e-15,1.8444041188434e-16,1.2701888851236e-15,1.431670918923e-14,,52.60344,TRUE,4.258,3.13,0.61711,-0.52217,-0.84572,0,1,93548.894,0,
0.607467,181.275597,35.311327,G14985972751788,F9,LM-STAR,,LAMOST-DR8-AFGK,181.275545348,35.311163608,J120506.1+351840,181.2755453,35.3111636,1.489,0.991,29.4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0535847613736e-06,0.0,6.9246856745444e-07,1.64163489232e-06,0.0,,3.233892903949e-06,0.0,7.3107427536373e-07,1.8416612320112e-06,0.0,,4.2348891146161e-15,,1.6486200716619e-15,2.9030979055927e-15,,,4.5000812510457e-15,,1.7414420612442e-15,3.2600645000051e-15,,,3.0535847613736e-06,0.0,6.9246856745444e-07,1.64163489232e-06,0.0,,3.233892903949e-06,0.0,7.3107427536373e-07,1.8416612320112e-06,0.0,,4.2348891146161e-15,,1.6486200716619e-15,2.9030979055927e-15,,,4.5000812510457e-15,,1.7414420612442e-15,3.2600645000051e-15,,,19.3383,TRUE,2.0,1.52,-0.99938,-0.99938,-0.46721,0,1,6674.84,0,
1.909933,162.985236657,40.109438509,L16412913923742,G2,LM-STAR,,LAMOST-DR8-AFGK,162.98458057,40.109610792,J105156.2+400634,162.9845806,40.1096108,5.899,4.235,108.2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0900897452334e-05,2.1480075741389e-06,2.9875155452825e-06,2.8222900606023e-05,0.0,,3.0287616422102e-05,2.6882607948543e-06,2.7215633566092e-06,2.7972517515496e-05,0.0,,7.721027923068e-14,2.342399663765e-14,7.4845396790523e-15,4.8442587301897e-14,,,8.3584243044704e-14,3.0947339170433e-14,6.0035457082028e-15,4.926477208532e-14,,,3.0900897452334e-05,2.1480075741389e-06,2.9875155452825e-06,2.8222900606023e-05,0.0,,3.0287616422102e-05,2.6882607948543e-06,2.7215633566092e-06,2.7972517515496e-05,0.0,,7.721027923068e-14,2.342399663765e-14,7.4845396790523e-15,4.8442587301897e-14,,,8.3584243044704e-14,3.0947339170433e-14,6.0035457082028e-15,4.926477208532e-14,,,46.53152,TRUE,4.258,1.0,-0.02623,-0.85946,-0.82074,0,1,4084.427,0,
2.874463,160.8783447,11.8308456,G15627346347195,F5,LM-STAR,,LAMOST-DR8-AFGK,160.87807591,11.831599477,J104330.7+114953,160.8780759,11.8315995,4.57,2.276,116.7,0,0,0,0,0,0,0,0,0,0,0,1,1,2.2746702830285e-06,4.9513989554745e-07,1.7139381706367e-07,1.4776592768553e-06,1.7590811961616e-05,,2.1471933372184e-06,2.347938082282e-07,3.7929079013753e-07,1.5393581129224e-06,0.0,,3.3658031384264e-15,0.0,5.3578585921791e-16,3.6720854201303e-15,,,1.4539065597405e-15,0.0,1.0866233129343e-15,2.1613081009228e-15,,,2.2009074394582e-06,1.8481259950107e-07,1.385911033657e-07,1.9205279482127e-06,1.6892227466163e-05,,2.1184209627552e-06,0.0,2.6262412043614e-07,2.0361630866366e-06,0.0,,3.3628975769863e-15,0.0,3.6850900515324e-16,3.699697204276e-15,,,1.2371291962977e-15,0.0,6.867944760859e-16,3.3431751507962e-15,0.0,,43.88946,TRUE,4.0,2.85,0.56964,-0.44847,-0.7945,0,3,88837.729,0,
2.950762,150.588957,56.084987,G15856247583661,G3,LM-STAR,,LAMOST-DR8-AFGK,150.587515036,56.084830432,J100221.0+560505,150.587515,56.0848304,7.44,5.954,172.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1468232970632e-05,0.0,1.7566123575688e-06,1.8286555956067e-05,0.0,,2.1166876481611e-05,2.8341186911376e-06,1.2908915918355e-06,1.5220822020064e-05,0.0,,1.2839957823081e-13,5.9359581960242e-14,8.4790111875617e-15,6.3242902232487e-14,0.0,,1.3621688846503e-13,4.5809074791005e-14,4.5696280065474e-15,6.6650317179429e-14,0.0,,2.3372044858052e-05,1.6787253242978e-06,1.8998819592308e-06,1.8584608641076e-05,0.0,,2.3771441112265e-05,2.5811754520576e-06,1.7250358167071e-06,1.7447225330729e-05,0.0,,4.7539998375631e-14,0.0,4.8282213029032e-15,4.3622481359963e-14,0.0,,7.2159369786548e-14,0.0,4.3774540113099e-15,4.5647072034271e-14,0.0,,41.18166,TRUE,4.759,0.82,0.28357,-0.99938,-0.82573,0,4,12391.358,0,
0.732731,30.26789306,0.92002083,G17153448157824,K5,LM-STAR,,LAMOST-DR8-AFGK,30.267711753,0.919928292,J020104.2+005511,30.2677118,0.9199283,3.103,2.192,101.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2074782632153e-05,0.0,2.4848352510122e-06,1.440794656609e-05,0.00039843830640777,,1.2484489101559e-05,0.0,2.2868288179161e-06,1.4966974090114e-05,0.0,,2.7065346506145e-14,0.0,5.7869636525483e-15,2.2978332486801e-14,0.0,,2.9499555132192e-14,0.0,5.3832848561022e-15,2.5042351457676e-14,,,1.2074782632153e-05,0.0,2.4848352510122e-06,1.440794656609e-05,0.00039843830640777,,1.2484489101559e-05,0.0,2.2868288179161e-06,1.4966974090114e-05,0.0,,2.7065346506145e-14,0.0,5.7869636525483e-15,2.2978332486801e-14,0.0,,2.9499555132192e-14,0.0,5.3832848561022e-15,2.5042351457676e-14,,,50.93807,TRUE,4.258,2.83,-0.99938,-0.99938,-0.72455,0,1,9951.379,0,
0.363784,180.697572,57.702581,G14676781545194,F6,LM-STAR,,LAMOST-DR8-AFGK,180.697624067,57.702483854,J120247.4+574208,180.6976241,57.7024839,2.595,1.472,177.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0831696311196e-06,2.9301446280786e-07,7.7487145128698e-08,1.6101893744149e-06,0.0,,2.2794649977207e-06,4.2367883287155e-07,1.1932111624768e-07,1.7557793479474e-06,0.0,,3.9672278609796e-15,0.0,1.4954033520098e-16,2.4663822633896e-15,0.0,,4.9227435958701e-15,2.56105614363e-15,2.2131473326788e-16,2.9040054693161e-15,0.0,,2.0831696311196e-06,2.9301446280786e-07,7.7487145128698e-08,1.6101893744149e-06,0.0,,2.2794649977207e-06,4.2367883287155e-07,1.1932111624768e-07,1.7557793479474e-06,0.0,,3.9672278609796e-15,0.0,1.4954033520098e-16,2.4663822633896e-15,0.0,,4.9227435958701e-15,2.56105614363e-15,2.2131473326788e-16,2.9040054693161e-15,0.0,,46.28099,TRUE,3.875,1.37,0.66583,-0.67458,-0.91068,0,1,58989.82,0,
0.313432,18.089274,49.503319,L17326638817208,G3,LM-STAR,,LAMOST-DR8-AFGK,18.089219162,49.503398448,J011221.4+493012,18.0892192,49.5033984,1.375,0.923,119.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1956162416789e-06,0.0,0.0,1.0851889940639e-06,1.2586192220686e-05,,1.330523939415e-06,0.0,1.237718679619e-07,1.2247219415277e-06,1.3788976919026e-05,,1.8998083731995e-15,,0.0,1.8815184141668e-15,7.0781801528338e-14,,2.2360628385987e-15,,2.5186274302386e-16,2.0832862648773e-15,6.9991498940782e-14,,1.1956162416789e-06,0.0,0.0,1.0851889940639e-06,1.2586192220686e-05,,1.330523939415e-06,0.0,1.237718679619e-07,1.2247219415277e-06,1.3788976919026e-05,,1.8998083731995e-15,,0.0,1.8815184141668e-15,7.0781801528338e-14,,2.2360628385987e-15,,2.5186274302386e-16,2.0832862648773e-15,6.9991498940782e-14,,24.44808,TRUE,2.324,12.34,-0.99938,-0.99938,-0.99938,0,1,25623.16,0,
2.584856,147.726068,58.201419,G15854544029488,G8,LM-STAR,,LAMOST-DR8-AFGK,147.727429227,58.201386469,J095054.5+581204,147.7274292,58.2013865,6.024,5.659,120.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7535253482776e-05,0.0,2.0922096517435e-06,2.3842834325843e-05,6.0187182722088e-05,,2.8758563749313e-05,0.0,1.8174361848198e-06,2.4339483443111e-05,6.9272006372968e-05,,4.1637203938548e-14,0.0,4.440912108568e-15,4.2675695156316e-14,0.0,,4.8039736816167e-14,0.0,3.6763265049301e-15,4.5537695475602e-14,0.0,,2.7535253482776e-05,0.0,2.0922096517435e-06,2.3842834325843e-05,6.0187182722088e-05,,2.8758563749313e-05,0.0,1.8174361848198e-06,2.4339483443111e-05,6.9272006372968e-05,,4.1637203938548e-14,0.0,4.440912108568e-15,4.2675695156316e-14,0.0,,4.8039736816167e-14,0.0,3.6763265049301e-15,4.5537695475602e-14,0.0,,56.29676,TRUE,3.937,1.33,-0.92567,-0.99938,-0.84322,0,1,3904.136,0,
