angDist,_RAJ2000_1,_DEJ2000_1,name_cat,SubClass,Class,e_Pos,ref,_RAJ2000_2,_DEJ2000_2,2CXO,RAICRS,DEICRS,r0,r1,PA,fe,fc,fp,fv,fst,fs,fa,fi,fr,fm,ff,fVi,Ns,PFluxb,PFluxh,PFluxm,PFluxs,PFluxu,PFluxw,PF90b,PF90h,PF90m,PF90s,PF90u,PF90w,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,F90b,F90h,F90m,F90s,F90u,F90w,PFavgb,PFavgh,PFavgm,PFavgs,PFavgu,PFavgw,PF90avgb,PF90avgh,PF90avgm,PF90avgs,PF90avgu,PF90avgw,Favgb,Favgh,Favgm,Favgs,Favgu,Favgw,F90avgb,F90avgh,F90avgm,F90avgs,F90avgu,F90avgw,Ldet,LClass,S/N,NHGal,HRhm,HRhs,HRms,fdw,Nac,ExpAC,Nhrc,ExpHRC
0.147816,63.374317,10.370005,G16682368780263,G2,LM-STAR,,LAMOST-DR8-AFGK,63.374320692,10.370045899,J041329.8+102212,63.3743207,10.3700459,1.829,1.142,5.639,0,0,0,0,0,0,0,0,0,0,0,0,1,7.064752896445e-07,0.0,0.0,6.2613527122909e-07,0.0,,8.4808068249468e-07,0.0,0.0,6.8647071626992e-07,0.0,,3.0660545172095e-16,,0.0,1.0304831566706e-15,,,6.4010705066926e-16,,0.0,1.1358618076865e-15,,,5.7304208718266e-07,0.0,0.0,4.6544905910422e-07,,,7.7530950160122e-07,2.4312603390261e-07,4.4426025954396e-08,5.4709357507499e-07,,,0.0,0.0,,,,,7.4712517473211e-16,0.0,,,,,22.0673,TRUE,2.421,15.01,-0.99938,-0.99938,-0.99938,0,8,102797.411,0,
2.499416,94.33258,22.63715,G16168934858778,G3,LM-STAR,,LAMOST-DR8-AFGK,94.333305916,22.636967962,J061719.9+223813X,94.3333059,22.636968,2.154,2.154,0.0,1,,,,0,,1,0,1,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.16741851402375,0.019586660907651,0.036374179606181,0.079133882259794,0.078173991478332,,,,,,,,3.8473524441799e-10,1.502534031574e-10,8.7378829779359e-11,1.4021845367813e-10,1.552344492375e-09,,,,,,,,1402202.0,TRUE,1122.709,62.14,,,,0,7,340675.682,1,4112.361
0.148953,308.4291242,41.5001394,G14250358648493,K3,LM-STAR,,LAMOST-DR8-AFGK,308.429084733,41.500168352,J203342.9+413000,308.4290847,41.5001684,0.719,0.714,42.02,1,1,0,0,0,0,0,0,0,0,0,1,2,1.460200096707e-05,2.764531045271e-06,3.6785358130684e-06,4.8057564495386e-06,1.3607218321172e-05,,1.5327532051929e-05,2.8728019577353e-06,3.7047388183146e-06,5.0258996871147e-06,1.5538912944378e-05,,2.5355160947631e-14,1.0954383298992e-14,9.0529736337576e-15,5.7433592708186e-15,0.0,,2.8245023043938e-14,1.2692504809066e-14,8.9825938664299e-15,6.7069150008676e-15,0.0,,2.1571788713335e-05,4.4848260169969e-06,5.5533484183649e-06,6.10144548983e-06,,,2.2035984143199e-05,4.6022091198344e-06,5.5876145807253e-06,,,,4.4778612287038e-14,2.3844702752561e-14,1.3634117336471e-14,9.0183340287329e-15,,,4.6436978510175e-14,2.4783839072681e-14,1.3565786435831e-14,9.4251000433736e-15,,,1377.594,TRUE,13.869,144.16,-0.13866,-0.26608,-0.13117,0,5,141289.13,0,
0.3437,92.4800989,24.3532408,G16101800441327,F4,LM-STAR,,LAMOST-DR8-AFGK,92.480191151,24.353195503,J060955.2+242111,92.4801912,24.3531955,1.854,1.321,75.01,0,1,0,0,0,0,0,0,0,0,0,0,2,7.323892206813e-07,0.0,0.0,8.9891631903967e-07,0.0,,7.1577385425154e-07,0.0,6.9273343962403e-08,7.7534963485224e-07,0.0,,9.7718124802375e-16,0.0,0.0,1.2211372672684e-15,0.0,,0.0,0.0,1.5495378572638e-16,1.2345528787755e-15,0.0,,7.323892206813e-07,0.0,0.0,8.9891631903967e-07,0.0,,7.1577385425154e-07,0.0,6.9273343962403e-08,7.7534963485224e-07,0.0,,9.7718124802375e-16,0.0,0.0,1.2211372672684e-15,0.0,,0.0,0.0,1.5495378572638e-16,1.2345528787755e-15,0.0,,43.90577,TRUE,3.632,52.86,0.99938,-0.99938,-0.99938,0,3,132330.087,0,
1.130131,307.962201,40.310784,G14246895054102,K7,LM-STAR,,LAMOST-DR8-AFGK,307.962578236,40.310909702,J203151.0+401839,307.9625782,40.3109097,1.889,1.618,23.42,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6001089741614e-06,0.0,2.2962430698252e-07,1.3017246524879e-06,0.0,,1.3752344524165e-06,0.0,1.393471053736e-07,1.3071854345426e-06,0.0,,3.7839326845483e-15,0.0,5.295232332965e-16,4.5315678419719e-15,0.0,,3.9371215790816e-15,0.0,3.1673151565569e-16,4.4652064362581e-15,0.0,,1.6001089741614e-06,0.0,2.2962430698252e-07,1.3017246524879e-06,0.0,,1.3752344524165e-06,0.0,1.393471053736e-07,1.3071854345426e-06,0.0,,3.7839326845483e-15,0.0,5.295232332965e-16,4.5315678419719e-15,0.0,,3.9371215790816e-15,0.0,3.1673151565569e-16,4.4652064362581e-15,0.0,,25.12235,TRUE,3.086,144.54,-0.05372,-0.99938,-0.72705,1,1,39875.752,0,
0.157766,308.688209,41.132861,G14250386854183,G7,LM-STAR,,LAMOST-DR8-AFGK,308.688173009,41.132826566,J203445.1+410758,308.688173,41.1328266,0.811,0.763,3.348,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.2888439087615e-06,1.8720577036295e-07,3.7497646548228e-07,3.5661235885051e-07,0.0,,1.3979422841744e-06,1.9963265407524e-07,3.8271400791064e-07,3.8685941674999e-07,9.0978766836738e-06,,3.3299360140867e-15,1.0418173318181e-15,1.0032734409163e-15,3.8406802944812e-16,0.0,,4.0037371116353e-15,1.1155862359202e-15,1.0263761867804e-15,5.5140573892346e-16,5.493332848732e-15,,84.35604,TRUE,3.818,135.4,,,,0,4,112740.842,0,
0.131451,92.368814,24.258679,G16101584387491,G2,LM-STAR,,LAMOST-DR8-AFGK,92.368816412,24.258642552,J060928.5+241531,92.3688164,24.2586426,0.718,0.716,124.0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.3557382489334e-06,3.8545296402543e-07,1.1554511568185e-06,2.8748986948435e-06,4.6882148174947e-06,,5.4780867328414e-06,3.8599484680103e-07,1.2003943385647e-06,3.0522311702075e-06,4.5731913705712e-06,,1.2572565657818e-14,2.3404012341947e-15,2.9531587052442e-15,7.0387835431979e-15,0.0,,1.3037032797471e-14,2.3848354721059e-15,3.0775701915574e-15,7.5201434251207e-15,0.0,,8.2695891040732e-06,1.0398847487317e-06,1.8408198521164e-06,3.7050650488742e-06,4.7296949729187e-06,,8.3396826129509e-06,9.8958571867392e-07,1.861115324265e-06,3.7811059552651e-06,4.9727758862741e-06,,1.9293598767933e-14,6.5087986480428e-15,4.7204744634271e-15,7.7852972208624e-15,0.0,,1.9421575791496e-14,6.2243753325945e-15,4.7593944395719e-15,7.9641898280993e-15,0.0,,1345.012,TRUE,15.228,53.81,-0.49344,-0.76452,-0.43098,0,3,132320.73,0,
0.139351,92.345217,24.396676,G16101801588277,G1,LM-STAR,,LAMOST-DR8-AFGK,92.345174947,24.396670377,J060922.8+242348,92.3451749,24.3966704,1.112,0.86,19.14,0,0,0,1,0,0,0,0,0,0,0,1,1,9.8272130868831e-07,0.0,1.8934064047614e-07,6.4535826768935e-07,0.0,,1.1159191159662e-06,1.8598362595981e-07,1.8398288012355e-07,6.2783597074779e-07,0.0,,7.1899986643046e-16,0.0,3.3494717614135e-16,1.1395746810488e-15,0.0,,1.8953753740306e-15,8.1382942861628e-16,3.3895884380543e-16,7.740288336586e-16,0.0,,1.8468525682363e-06,0.0,3.5295618536925e-07,1.2344209400856e-06,0.0,,1.9704195987987e-06,1.6105737740891e-07,3.4486948485712e-07,1.2288028384736e-06,0.0,,1.8421851741058e-15,0.0,6.7735962472522e-16,1.9385593493139e-15,,,3.1119827957736e-15,7.119373604629e-16,6.5792491423807e-16,1.4926889732429e-15,0.0,,100.9537,TRUE,5.748,53.13,-0.57339,-0.99938,-0.57714,0,3,132327.049,0,
0.264569,92.2728065,24.2191379,G16101469586269,F0,LM-STAR,,LAMOST-DR8-AFGK,92.272734561,24.219104784,J060905.4+241308,92.2727346,24.2191048,1.094,0.912,114.6,0,0,0,0,0,0,0,0,0,0,0,1,1,1.682930822653e-06,0.0,4.4349767094064e-07,1.0967766803326e-06,0.0,,2.2419565343915e-06,7.8711111883863e-08,5.4501259805231e-07,1.2615290070516e-06,0.0,,0.0,0.0,1.1233307092312e-15,1.1136218882479e-15,0.0,,3.4701688393404e-15,0.0,1.3502812813783e-15,2.050898576435e-15,0.0,,1.682930822653e-06,0.0,4.4349767094064e-07,1.0967766803326e-06,0.0,,2.2419565343915e-06,7.8711111883863e-08,5.4501259805231e-07,1.2615290070516e-06,0.0,,0.0,0.0,1.1233307092312e-15,1.1136218882479e-15,0.0,,3.4701688393404e-15,0.0,1.3502812813783e-15,2.050898576435e-15,0.0,,118.4502,TRUE,4.882,54.38,-0.99938,-0.99938,-0.44347,0,3,132320.73,0,
0.542579,92.382919,24.1773778,G16101466632696,G4,LM-STAR,,LAMOST-DR8-AFGK,92.382754506,24.177391798,J060931.8+241038,92.3827545,24.1773918,1.32,1.32,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,3.9446199428565e-06,0.0,7.2922721951644e-07,3.5239607127442e-06,0.0,,4.2848052977441e-06,0.0,7.9216712471989e-07,3.7583003772569e-06,0.0,,2.6243765170716e-15,0.0,1.0406807793947e-15,3.2268894053097e-15,0.0,,3.8306932321975e-15,0.0,1.144662396122e-15,3.407354075542e-15,0.0,,3.9446199428565e-06,0.0,7.2922721951644e-07,3.5239607127442e-06,0.0,,4.2848052977441e-06,0.0,7.9216712471989e-07,3.7583003772569e-06,0.0,,2.6243765170716e-15,0.0,1.0406807793947e-15,3.2268894053097e-15,0.0,,3.8306932321975e-15,0.0,1.144662396122e-15,3.407354075542e-15,0.0,,111.3038,TRUE,6.757,54.24,-0.99938,-0.99938,-0.66708,0,3,132330.168,0,
