_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[4.579, 4.984, 7.561]",145.0,4.579,1670m591o0035305,166.1500858,-58.8200121,1338.022,1337.944,1626.804,1626.902,6458.8,6406.2,0.004,0.01,0.004,0.01,16.612,38.831,1.0,1.0,23.42,7.036,0.8261,0.8387,6417.2,6325.3,16.969,39.867,2.6307,2.8507,0.00122964,0.00245798,0.00011784,0.000258,-27.659,12.594,166.1500858,166.1499402,-58.8200121,-58.8200703,1670m591,1670m591w1o0035990,1670m591w2o0031079,200.0,196.0,1.0,1.0,0.0,128.0,0.0,0.0,1.0
[],146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.35, 9.771]",147.0,0.35,1670m591o0031813,166.3276043,-58.9257434,1201.053,1200.995,1505.015,1505.013,2087.2,2256.0,0.008,0.023,0.008,0.022,11.167,29.354,1.0,1.0,13.37,2.246,0.7214,0.7149,2113.4,2253.3,11.423,30.142,2.6291,2.8504,0.0010283,0.00103927,0.000220775,0.000523,-67.577,-54.96,166.3276043,166.3276063,-58.9257434,-58.9257876,1670m591,1670m591w1o0032430,1670m591w2o0053031,196.0,200.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.682, 8.7, 9.207]",148.0,1.682,1670m591o0136116,166.1746092,-58.7983475,1366.599,1366.536,1610.551,1610.642,1666.2,2002.6,0.013,0.03,0.012,0.029,12.188,32.873,1.0,1.0,69.6,8.047,0.3924,0.3953,1597.9,1901.2,12.472,33.777,2.6364,2.8558,0.0084514,0.00535667,0.000280901,0.000633,-29.979,7.9032,166.1746092,166.1744736,-58.7983475,-58.7983947,1670m591,1670m591w1o0154203,1670m591w2o0133562,202.0,195.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[0.241],149.0,0.241,1670m591o0036774,166.2538348,-58.7733836,1399.941,1399.955,1557.207,1557.22,32348.0,30393.0,0.001,0.003,0.001,0.003,31.458,65.296,1.0,1.0,173.9,15.22,0.9159,0.91,32443.0,30530.0,32.014,66.64,2.6309,2.8516,0.000148356,4.58956e-06,5.35951e-05,0.000105,-35.494,-4.0863,166.2538348,166.2538166,-58.7733836,-58.7733727,1670m591,1670m591w1o0037507,1670m591w2o0032388,191.0,192.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[4.511, 7.051]",150.0,4.511,1670m591o0102559,166.1780545,-58.7952689,1370.66,1370.76,1608.267,1608.238,1534.0,1792.5,0.014,0.034,0.014,0.033,12.59,33.447,1.0,1.0,50.24,5.61,0.325,0.3344,1436.5,1626.7,12.879,34.363,2.6338,2.8531,0.00450259,0.00256348,0.000311814,0.000717,-30.881,9.7541,166.1780545,166.1780988,-58.7952689,-58.7951928,1670m591,1670m591w1o0109939,1670m591w2o0094571,203.0,188.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[3.003, 4.494, 7.538, 8.632]",151.0,3.003,1670m591o0033348,166.1488506,-58.8809506,1258.24,1258.328,1626.577,1626.477,6172.3,5914.7,0.005,0.013,0.004,0.012,17.514,41.196,1.0,1.0,163.2,30.71,0.6511,0.6007,6144.8,5889.8,17.776,42.061,2.6351,2.8556,0.00378537,0.00294721,0.000118535,0.00028,-7.4708,48.535,166.1488506,166.148999,-58.8809506,-58.8808845,1670m591,1670m591w1o0033999,1670m591w2o0091804,202.0,197.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.637, 7.299, 9.425]",152.0,0.637,1670m591o0099954,166.4340818,-58.8758758,1267.042,1267.019,1433.663,1433.649,11793.0,11068.0,0.003,0.009,0.003,0.008,26.865,58.833,1.0,1.0,342.8,45.86,0.2719,0.2522,11864.0,11172.0,27.216,59.799,2.6328,2.8528,-0.00185001,-0.0038293,0.000113936,0.000249,-72.582,-64.124,166.4340818,166.4341017,-58.8758758,-58.8758934,1670m591,1670m591w1o0106941,1670m591w2o0092011,197.0,196.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[7.392],153.0,7.392,1670m591o0032506,166.1834247,-58.9053129,1226.654,1226.699,1602.777,1602.764,1231700.0,1288500.0,0.001,0.002,0.001,0.002,733.83,1717.8,0.07722,0.07012,1466.0,135.5,0.9076,0.9212,1189600.0,1219800.0,972.81,2154.8,2.633,2.8535,0.00490391,0.00156474,2.14928e-05,5.1e-05,-27.198,26.695,166.1834247,166.1834439,-58.9053129,-58.9052784,1670m591,1670m591w1o0033137,1670m591w2o0028607,38.0,202.0,1.0,1.0,35.0,35.0,16.0,16.0,1.0
"[1.576, 8.34]",154.0,1.576,1670m591o0032230,166.3839778,-58.9129646,1218.171,1218.175,1467.089,1467.121,54417.0,50167.0,0.001,0.002,0.001,0.002,39.421,79.512,1.0,1.0,134.1,26.87,0.9388,0.9103,54399.0,50086.0,39.972,80.779,2.63,2.8515,-3.58224e-05,0.000507653,4.14948e-05,8e-05,-69.158,-65.556,166.3839778,166.3839309,-58.9129646,-58.9129609,1670m591,1670m591w1o0032858,1670m591w2o0028367,210.0,202.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.38, 7.731, 9.107]",155.0,1.38,1670m591o0102559,166.1780545,-58.7952689,1370.66,1370.76,1608.267,1608.238,1534.0,1792.5,0.014,0.034,0.014,0.033,12.59,33.447,1.0,1.0,50.24,5.61,0.325,0.3344,1436.5,1626.7,12.879,34.363,2.6338,2.8531,0.00450259,0.00256348,0.000311814,0.000717,-30.881,9.7541,166.1780545,166.1780988,-58.7952689,-58.7951928,1670m591,1670m591w1o0109939,1670m591w2o0094571,203.0,188.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[6.943, 9.418, 9.703]",156.0,6.943,1670m591o0101730,166.1418522,-58.8198044,1338.219,1338.49,1632.388,1632.406,721.22,743.48,0.025,0.073,0.024,0.071,10.436,29.025,1.0,1.0,13.32,4.553,0.3122,0.306,678.91,633.71,10.719,29.918,2.6346,2.8561,0.000820339,0.00251377,0.000534742,0.001458,-27.995,14.943,166.1418522,166.141831,-58.8198044,-58.8195972,1670m591,1670m591w1o0109004,1670m591w2o0133148,196.0,188.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[8.458],157.0,8.458,1670m591o0032799,166.1557757,-58.8968234,1237.524,1237.525,1621.616,1621.455,2995.5,3008.2,0.008,0.021,0.007,0.021,14.418,35.825,1.0,1.0,59.35,16.21,0.4847,0.4499,3024.2,2943.6,14.739,36.794,2.6361,2.8564,-0.00426531,-0.000760019,0.0001957,0.000464,-12.167,46.189,166.1557757,166.1560137,-58.8968234,-58.8968244,1670m591,1670m591w1o0033439,1670m591w2o0131555,194.0,196.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[0.251],158.0,0.251,1670m591o0031943,166.3597518,-58.9223091,1205.775,1205.773,1483.339,1483.348,132070.0,126880.0,0.001,0.001,0.0,0.001,57.772,116.3,1.0,1.0,719.8,85.84,0.9961,0.9962,132480.0,127360.0,59.029,118.74,2.6339,2.8539,-0.000139833,-0.000726819,2.80706e-05,5.1e-05,-72.05,-65.698,166.3597518,166.359739,-58.9223091,-58.9223104,1670m591,1670m591w1o0032564,1670m591w2o0028119,205.0,201.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[0.274],159.0,0.274,1670m591o0102292,166.1612313,-58.8026593,1360.837,1360.817,1619.549,1619.469,2019.4,1939.1,0.01,0.029,0.009,0.028,12.222,31.472,1.0,1.0,15.08,3.996,0.5688,0.5556,1991.4,1949.0,12.556,32.469,2.6346,2.8543,-0.00239605,-0.00223231,0.000249214,0.000645,-31.378,4.6996,166.1612313,166.1613495,-58.8026593,-58.8026754,1670m591,1670m591w1o0109647,1670m591w2o0094312,194.0,191.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[0.39],160.0,0.39,1670m591o0031791,166.2324497,-58.9261164,1199.834,1199.836,1569.303,1569.321,94618.0,91334.0,0.001,0.002,0.001,0.001,49.985,101.42,1.0,1.0,457.1,42.75,0.986,0.9843,94539.0,91343.0,50.845,103.24,2.6329,2.8532,0.000587404,0.000495672,3.2417e-05,5.9e-05,-57.859,-25.649,166.2324497,166.2324221,-58.9261164,-58.9261146,1670m591,1670m591w1o0032406,1670m591w2o0027986,205.0,199.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[],161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
