_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[],11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.311],12.0,0.311,J110430.22-585146.9,166.1259514,-58.8630468,0.0383,0.0355,137.0,Im,9.445,0.023,9.482,0.02,9.798,0.121,9.346,,9.589,0.023,9.562,0.027,9.453,0.019,3285.73,2563.914,1.6700591013510367e+18,48.0,1.81,53.7,1.48,9.0,0.724,-3.2,0.937,1.33,1.0,0.0,0.0,0.0,0.0,0.001,0ho0,0.0,110n,62.0,62.0,62.0,62.0,39.0,39.0,0.0,39.0,0.0,166.1259514,0.0368,-58.8630468,0.0371,-0.0103,0,24,0,24,1.81,1.48,0.724,0.937,1.33,1N000,AABU,7.0,0.0,63.67,63.731,41.255,41.166,826795626,0.052,2M
[],13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2.631],14.0,2.631,J110431.35-585501.1,166.1306278,-58.9169828,0.0512,0.0508,150.0,Im,12.069,0.028,12.154,0.027,9.838,0.092,7.167,0.093,13.909,0.029,13.133,0.041,12.811,0.057,3277.481,2422.8,1.6700591013510333e+18,38.8,16.8,40.0,4.81,11.8,2.0,11.7,2.17,7.82,3.0,0.0,0.0,0.0,0.0,0.001,0hd0,1.0,5310,55.0,55.0,54.0,55.0,36.0,36.0,24.0,36.0,0.0,166.130791,0.052,-58.9169975,0.0513,-0.0069,5,97,153,32,17.3,5.21,2.05,2.19,8.11,3Y031,AAAA,15.0,0.0,58.126,57.488,38.374,38.867,826795048,2.143,2M
[1.414],15.0,1.414,J110432.88-584404.1,166.1370149,-58.7344915,0.0629,0.0613,9.1,Im,12.836,0.033,13.016,0.031,12.356,,9.365,,13.812,0.036,13.193,0.04,12.935,0.042,3275.293,2900.664,1.67005910135104e+18,33.0,4.55,35.0,1.53,-1.8,0.828,-2.2,1.05,2.21,1.0,0.0,0.0,0.0,0.0,0.0,hhhp,1.0,20nn,56.0,56.0,56.0,56.0,0.0,36.0,0.0,36.0,0.0,166.1370148,0.0617,-58.734491,0.0639,0.0054,-20,41,51,43,4.55,1.52,0.828,1.05,2.21,1N000,AAUU,3.0,0.0,56.748,57.44,37.679,37.904,826879380,0.439,2M
[0.596],16.0,0.596,J110433.50-585034.8,166.1396166,-58.8430133,0.1001,0.097,53.6,Im,14.286,0.044,14.528,0.057,11.887,0.382,8.633,,15.227,0.082,14.67,0.071,14.538,0.112,3267.938,2616.611,1.670059101351041e+18,24.6,2.16,18.9,1.32,2.8,0.665,2.0,0.934,1.38,1.0,0.0,0.0,0.0,0.0,0.0,0h00,0.0,31nn,65.0,66.0,49.0,65.0,0.0,41.0,1.0,41.0,0.0,166.1396203,0.1583,-58.8430143,0.155,-0.0286,75,126,-34,126,2.16,1.32,0.665,0.934,1.38,1N000,AACU,7.0,0.0,66.886,67.832,42.83,42.67,826880620,1.004,2M
[9.716],17.0,9.716,J110435.98-584912.2,166.1499469,-58.8200819,0.0481,0.0472,138.1,Im,13.033,0.024,13.278,0.03,12.766,,8.943,,13.596,0.034,13.283,0.037,13.128,0.033,3254.744,2676.832,1.67005910135104e+18,44.9,2.63,36.1,1.57,-2.2,0.828,0.7,0.897,1.61,1.0,0.0,0.0,0.0,0.0,0.0,0h00,0.0,22nn,64.0,64.0,64.0,64.0,0.0,41.0,0.0,41.0,0.0,166.1499471,0.0483,-58.8200819,0.0483,-0.0075,14,37,24,38,2.62,1.57,0.828,0.897,1.61,1N000,AAUU,3.0,0.0,64.86,64.371,41.13,41.387,826880356,0.27,2M
[],18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.604],19.0,0.604,J110435.99-584520.8,166.1499857,-58.755786,0.0415,0.0398,102.4,Im,5.362,0.186,5.259,0.044,5.357,0.015,5.362,0.036,6.006,0.032,5.548,0.042,5.381,0.018,3256.929,2845.154,1.670059101351039e+18,5.8,0.104,24.8,1.52,71.2,3.57,29.8,1.13,0.688,1.0,0.0,0.176,0.247,0.0,0.0,000p,1.0,1410,56.0,56.0,56.0,56.0,36.0,36.0,36.0,36.0,2300.0,166.1498343,0.0414,-58.7557897,0.0397,0.0026,229,28,-49,28,0.104,1.11,1.31,1.06,0.464,1N029,BAAA,15.0,0.0,15.88,31.5,36.583,36.288,826879596,0.279,2M
[2.123],20.0,2.123,J110436.06-585106.0,166.150281,-58.8516727,0.0389,0.0364,136.2,Im,10.071,0.023,10.164,0.021,11.057,0.348,9.346,,11.274,0.033,10.506,0.033,10.262,0.026,3253.192,2594.135,1.670059101351039e+18,47.6,1.97,52.7,1.31,3.1,0.741,-2.4,1.03,1.35,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,02nn,65.0,65.0,65.0,65.0,4.0,41.0,0.0,41.0,0.0,166.1502811,0.0378,-58.8516727,0.0378,-0.01,27,24,5,24,1.97,1.31,0.741,1.03,1.34,1N000,AABU,7.0,0.0,66.652,66.734,41.953,41.587,826880719,0.066,2M
