name,ra,dec,PU,significance,flux_significance_b_max,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,_r_gaia,PU_gaia,RA_ICRS_gaia,DE_ICRS_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,_r_2mass,PU_2mass,RAJ2000_2mass,DEJ2000_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,_r_catwise,PU_catwise,RA_ICRS_catwise,DE_ICRS_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,_r_unwise,PU_unwise,RAJ2000_unwise,DEJ2000_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,_r_allwise,PU_allwise,RAJ2000_allwise,DEJ2000_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,gaia_precomputed,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
2CXO J110536.7-584848,166.4032083333333,-58.81347222222222,1.01,3.88,3.88,2.972e-16,1.412e-16,4.395e-16,1.582e-16,5.594656934866582e-16,4.591576076675679e-16,1.2961656934866582e-15,5.0575724283395545e-16,0.133,,,Gaia DR3 5338658200252123904,0.2332110130613122,0.0009072537902924,166.40331744494,-58.81350391162,17.249157,0.003469,17.919134,0.015438,16.40268,0.008805,0.3628,0.0796,7.313,2830.477783203125,2302.029296875,3441.57080078125,2639.739013671875,2286.048095703125,3080.240478515625,0,11053680-5848486,0.317,0.1400028708419938,166.403357,-58.813515,15.241999626159668,0.0719999969005584,14.635000228881836,0.0649999976158142,14.392000198364258,0.0900000035762786,0,J110536.83-584848.1,0.622,0.078805100367933,166.4034581,-58.8133578,14.306,0.012,14.594,0.018,0,1670m591o0101990,1.017,0.1870021493031564,166.4036576,-58.8133119,14.24028093255947,-0.0066422718957956,14.383796755684138,-0.0196880418702476,0,,,,,,,,,,,,,,-8,True,0.0,catwise,14.306,0.012,14.594,0.018
2CXO J110445.4-584807,166.1894583333333,-58.80220277777777,0.85,5.03,5.03,6.504140035228682e-17,6.299323164188131e-17,3.7281798123317565e-16,1.5967565318935272e-16,4.042797884560803e-15,1.0265000552266072e-15,4.4806572661462656e-15,1.0407530085636853e-15,0.833,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
2CXO J110459.9-584657,166.24987499999995,-58.782716666666666,0.92,4.33,4.33,9.735808461756788e-16,3.073000295164912e-16,1.885638307648642e-16,1.0856000334208475e-16,2.083276588256281e-16,1.5739376279965058e-16,1.370472335766171e-15,3.619273118109526e-16,0.841,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,J110500.00-584658.4,0.651,0.0593583414074214,166.2499791,-58.7828892,14.307,0.009,14.379,0.016,0,1670m591o0102950,0.973,0.1430656237348441,166.2499991,-58.7829793,14.210067749976682,-0.006593699556146,14.092767786354734,-0.0159223854465199,-4,,,,,,,,,,,,,,-8,,0.0,catwise,14.307,0.009,14.379,0.016
2CXO J110454.9-584712,166.2292083333333,-58.78686666666666,0.9,5.73,5.73,1.828457116858323e-15,4.1559945161891636e-16,2.597935388108617e-16,1.2301887682028244e-16,2.5332834805490983e-16,1.9139226230903512e-16,2.341579003724094e-15,4.738011674867827e-16,0.262,,,Gaia DR3 5338656310466146176,0.2395986785910891,0.0042099432680263,166.22932743546,-58.78684176585,13.414476,0.002795,13.772511,0.003169,12.889278,0.003989,2.1049,0.0131,12.245,467.3134765625,464.424072265625,470.7310485839844,467.7117919921875,464.8638000488281,470.6756896972656,0,11045505-5847128,0.367,0.1400632824921649,166.229392,-58.786903,12.32900047302246,0.0299999993294477,11.97700023651123,0.0299999993294477,11.894000053405762,0.0320000015199184,0,J110455.02-584712.9,0.163,0.0396242741571375,166.2292595,-58.7869035,11.677,0.011,11.852,0.008,0,1670m591o0036357,0.311,0.0278203720765916,166.2293669,-58.7868935,11.79518020313081,-0.0015018904824117,11.820509366877722,-0.0034070168870873,0,,,,,,,,,,,,,,-8,True,0.0,catwise,11.677,0.011,11.852,0.008
2CXO J110438.5-585227,166.16074999999998,-58.87443611111111,0.88,4.67,4.67,1.1336008279765049e-15,3.2971405111246136e-16,2.82016923513577e-16,1.482244795388686e-16,3.946e-16,2.999e-16,1.8102177514900818e-15,4.697040151367234e-16,0.998,,,Gaia DR3 5338654077083089024,0.1678661547385639,0.0012791920731461,166.16083598505,-58.87445020987,16.562517,0.003159,17.069336,0.007884,15.897822,0.006133,0.6049,0.0472,8.09,1622.6558837890625,1521.439208984375,1717.9990234375,1642.682861328125,1540.50341796875,1764.119873046875,0,11043861-5852281,0.331,0.1600050916171107,166.16089,-58.874493,15.170000076293944,0.0610000006854534,14.5600004196167,0.0689999982714653,14.565999984741213,0.1120000034570694,0,J110438.55-585228.8,0.827,0.0624130542707212,166.1606151,-58.8746549,13.998,0.01,14.077,0.015,0,1670m591o0033566,0.954,0.1210067326366595,166.160764,-58.8747009,13.95894252689896,-0.0053595458070281,13.87536851234752,-0.0132109282466658,-4,,0.752,0.15600522216708,,,,,,,,,,,0,True,0.0,allwise,,,,
2CXO J110438.6-584929,166.16116666666665,-58.82494722222223,0.78,6.99,6.99,3.814e-15,6.119999999999999e-16,3.4057978845608033e-16,1.3325000425441748e-16,6.946515980665529e-16,6.644050030802193e-16,4.849231386522633e-15,9.130901224697529e-16,0.906,,,Gaia DR3 5338655932508971520,0.3128514556818419,0.0052877369299162,166.16112995258,-58.82486242267,9.729494,0.003416,9.751677,0.002832,9.578799,0.00379,1.9924,0.1587,12.976,512.9715576171875,474.9892578125,562.8947143554688,501.155517578125,470.2297058105469,532.6923828125,0,11043868-5849297,0.109,0.1400995427323016,166.161204,-58.824924,9.449999809265137,0.0270000007003545,9.368000030517578,0.0289999991655349,9.253000259399414,0.0240000002086162,0,J110438.68-584929.5,0.309,0.0578415237852531,166.1611541,-58.8248616,9.256,0.018,9.293,0.011,0,1670m591o0035159,0.236,0.0076244261292244,166.1611796,-58.824882,9.26874416776564,-0.0003953971307936,9.282316655603957,-0.0008241895412349,0,J110438.68-584929.6,0.175,0.0753851568533222,166.1611947,-58.8249009,9.23,0.022,9.264,0.02,9.552,0.058,9.59,,0,True,0.0,allwise,9.23,0.022,9.264,0.02
2CXO J110530.9-584748,166.37916666666666,-58.79686944444444,1.58,3.11,3.03,8.549404230878395e-16,3.140000072216705e-16,5.983336321460687e-17,4.520474252143163e-17,9.12779937558478e-16,6.8961495458751565e-16,1.8275537238609247e-15,7.590838286199878e-16,0.92,,,Gaia DR3 5338661155189635968,0.38884153814897,0.0042300684958993,166.37900701523,-58.79693890926,14.259522,0.002772,14.718374,0.003162,13.638049,0.003914,2.1149,0.0181,11.407,465.6861267089844,462.042724609375,469.2428588867188,467.198974609375,463.4041748046875,470.569091796875,0,11053097-5847491,0.492,0.2000447262950963,166.379054,-58.796993,12.79699993133545,0.0659999996423721,12.307000160217283,0.1940000057220459,9.602999687194824,,0,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,,,,,,
2CXO J110436.3-585124,166.15145833333332,-58.85674722222223,0.99,3.76,3.76,2.927594620406136e-16,1.682285246397495e-16,5.949e-16,1.912e-16,5.981e-16,3.859e-16,1.4857594620406136e-15,4.623603427008709e-16,0.739,,,Gaia DR3 5338654381976469760,0.3339616298042042,0.0011325967684926,166.15156914782,-58.85667427579,18.336227,0.004498,18.930496,0.031314,17.225176,0.035666,-0.0477,0.1269,11.934,6219.16455078125,4626.47265625,8938.5654296875,4692.955078125,3770.673828125,6357.1875,0,11043637-5851242,0.203,0.3000020593255986,166.151567,-58.856743,16.031999588012695,0.1049999967217445,15.362000465393066,0.125,15.03600025177002,,0,J110436.40-585124.8,0.617,0.1304047376424645,166.1516662,-58.8568808,15.227,0.02,16.112,0.16,0,1670m591o0209049,1.352,0.5995010305242185,166.1511064,-58.8570758,,,15.756335339935347,-0.0635238714590401,-4,,,,,,,,,,,,,,-8,True,0.0,catwise,15.227,0.02,16.112,0.16
2CXO J110451.7-585438,166.21562499999996,-58.910575,1.27,3.29,3.29,6.275e-16,2.4030000000000003e-16,1.733760634631759e-16,1.0981500046460959e-16,8.386675791827614e-16,8.511141692951385e-16,1.6395436426459372e-15,8.911782950128416e-16,0.543,,,Gaia DR3 5338653218057196928,0.3738034437076593,0.0047560789143999,166.21570824172,-58.91066951954,18.767988,0.003501,20.184223,0.068993,17.481215,0.018478,2.2977,0.1604,11.759,437.2025146484375,414.0989074707031,466.7891540527344,435.17279052734375,409.3514404296875,469.7563171386719,0,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,,,,,,
2CXO J110542.0-585020,166.42512499999998,-58.83896388888889,1.2,5.03,5.03,1.6380423087839428e-15,3.690614475816365e-16,2.999350196182996e-16,1.3147173839755428e-16,3.1364842085160643e-16,2.369647190982101e-16,2.251625749253849e-15,4.578683743016344e-16,0.988,,,Gaia DR3 5338658092830907008,0.2897579693431659,0.0042627217877783,166.42527536912,-58.83894328995,17.880873,0.003433,18.851114,0.048942,16.728739,0.014235,2.1247,0.1359,11.57,465.2231140136719,440.8768310546875,489.6199645996094,484.0758666992188,447.7990112304688,529.0914306640625,0,11054208-5850203,0.461,0.1400647395870923,166.425369,-58.838985,15.184000015258787,0.135000005364418,14.659000396728516,0.1180000007152557,14.482999801635742,0.1260000020265579,0,J110541.97-585021.6,1.443,0.1684538253516375,166.4248656,-58.8393417,13.886,0.025,14.127,0.031,-4,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,-4.0,catwise,13.886,0.025,14.127,0.031
