_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.359, 7.389]",12.0,0.359,166.125979,-58.863049,0.06,0.06,0.0,11043023-5851469,9.589,0.019,0.023,3862.2,9.562,0.026,0.027,1879.8,9.453,0.017,0.019,1216.8,AAA,222,111,000,666655,7.7,268.0,826880847.0,0.0,0.0,826795626.0,s,2000-02-04,72.0,289.478,1.187,-173.2,2451578.7255,1.05,5.03,5.65,9.577,0.011,9.526,0.047,9.462,0.017,4102.0,79.0,se,1.0,1.0,T,0.1,199,9.97,9.89,3.0,,45126.0,1037880.0,56.0,Opt
"[0.32, 7.027]",13.0,0.32,166.126556,-58.830063,0.06,0.06,0.0,11043037-5849482,14.388,0.037,0.039,46.5,13.771,0.036,0.037,39.0,13.598,0.043,0.044,26.7,AAA,222,111,000,665656,6.7,17.0,826795994.0,0.0,0.0,826795972.0,s,2000-02-04,72.0,289.466,1.217,-174.5,2451578.7255,1.09,0.71,0.67,14.41,0.035,13.862,0.083,13.704,0.094,4221.0,77.0,se,1.0,1.0,0,,,,,0.0,,45126.0,1037880.0,56.0,Opt
"[0.51, 4.759, 8.27, 9.671]",14.0,0.51,166.132307,-58.917053,0.06,0.06,0.0,11043175-5855013,13.686,0.045,0.046,88.7,13.1,0.052,0.052,72.3,12.975,0.028,0.029,47.5,AAA,222,111,000,664455,5.3,270.0,826795048.0,0.0,0.0,826795047.0,s,2000-02-04,72.0,289.503,1.139,-184.7,2451578.7255,1.25,1.67,1.1,13.614,0.052,12.891,0.079,12.878,0.042,3908.0,67.0,se,1.0,1.0,U,1.2,74,16.6,14.3,2.0,,45126.0,1037880.0,56.0,Opt
"[1.036, 7.971, 9.284]",15.0,1.036,166.13705,-58.734612,0.07,0.06,0.0,11043289-5844046,13.812,0.033,0.036,79.0,13.193,0.039,0.04,66.3,12.935,0.041,0.042,47.6,AAA,222,111,000,665555,7.0,39.0,826879364.0,0.0,0.0,826879380.0,s,2000-02-04,73.0,289.432,1.307,189.0,2451578.7331,1.98,1.21,1.03,13.752,0.028,13.21,0.055,12.894,0.043,4570.0,64.0,sw,1.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.422, 3.828]",16.0,0.422,166.140143,-58.842953,0.08,0.07,7.0,11043363-5850346,15.227,0.081,0.082,21.5,14.67,0.07,0.071,17.0,14.538,0.112,0.112,10.9,AAB,222,212,c0c,462616,4.2,263.0,826880621.0,0.0,0.0,826880620.0,s,2000-02-04,73.0,289.477,1.208,182.6,2451578.7332,0.67,1.45,1.07,15.079,0.076,14.622,0.119,14.274,0.206,4180.0,70.0,sw,1.0,1.0,U,3.7,79,19.0,17.6,1.0,,45127.0,1037917.0,221.0,Opt
"[6.714, 9.501, 9.94]",17.0,6.714,166.142074,-58.819962,0.15,0.12,1.0,11043409-5849118,16.122,0.111,0.111,9.4,16.369,,,,15.575,,,,BUU,200,100,000,060000,10.4,122.0,826796072.0,0.0,0.0,826880354.0,s,2000-02-04,73.0,289.469,1.23,179.1,2451578.7332,0.83,,,16.004,0.187,,,,,4263.0,74.0,sw,1.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.559, 5.009, 7.841]",18.0,0.559,166.148312,-58.806992,0.07,0.06,0.0,11043559-5848251,11.39,0.026,0.029,735.2,11.034,0.032,0.033,484.5,10.962,0.026,0.027,292.8,AAA,222,111,000,666666,4.7,178.0,826880217.0,0.0,0.0,826880199.0,s,2000-02-04,73.0,289.467,1.243,167.6,2451578.7332,1.21,0.76,1.34,11.336,0.017,11.05,0.042,10.97,0.017,4310.0,85.0,sw,1.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
[0.401],19.0,0.401,166.149849,-58.755817,0.07,0.06,0.0,11043596-5845209,6.006,0.027,0.032,104720.0,5.548,0.039,0.042,75807.1,5.381,0.011,0.018,50005.8,AAA,111,111,000,556666,15.9,342.0,826879550.0,0.0,0.0,826879596.0,s,2000-02-04,73.0,289.447,1.29,165.0,2451578.7331,,19.4,33.14,,,,,,,4494.0,88.0,sw,1.0,1.0,T,0.1,202,8.67,7.66,2.0,,45127.0,1037917.0,221.0,Opt
[2.155],20.0,2.155,166.150313,-58.851665,0.07,0.06,0.0,11043607-5851059,11.274,0.031,0.033,818.1,10.506,0.032,0.033,788.0,10.262,0.024,0.026,558.0,AAA,222,111,000,666666,10.0,321.0,826795760.0,0.0,0.0,826880719.0,s,2000-02-04,73.0,289.485,1.203,163.6,2451578.7332,4.91,5.63,3.94,11.153,0.011,10.425,0.037,10.187,0.008,4149.0,89.0,sw,1.0,1.0,U,0.8,358,16.1,14.2,1.0,,45127.0,1037917.0,221.0,Opt
"[0.335, 4.757, 7.769]",21.0,0.335,166.153298,-58.799389,0.06,0.06,0.0,11043679-5847578,12.284,0.026,0.029,322.7,11.965,0.035,0.036,205.6,11.851,0.029,0.03,133.7,AAA,222,111,s00,666666,4.6,47.0,826880101.0,0.0,0.0,826796324.0,s,2000-02-04,72.0,289.466,1.251,-224.5,2451578.7255,1.25,3.16,1.88,12.274,0.015,11.961,0.033,11.828,0.014,4331.0,27.0,se,0.0,0.0,0,,,,,0.0,,45126.0,1037880.0,56.0,Opt
