_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[2.559, 7.061, 9.293]",143.0,2.559,1304m485o0096249,130.6657226,-48.2415372,1312.242,1311.979,879.006,879.268,620.42,657.08,0.029,0.079,0.028,0.075,10.078,27.403,1.0,1.0,34.16,1.2,0.6739,0.5069,416.26,622.28,10.307,28.149,2.6409,2.8664,0.0157661,0.00502014,0.000646994,0.001594,103.21,86.253,130.6657226,130.6654224,-48.2415372,-48.2417389,1304m485,1304m485w1o0107073,1304m485w2o0089635,216.0,217.0,1.0,1.0,160.0,128.0,160.0,0.0,1.0
"[1.285, 8.92, 9.421]",144.0,1.285,1304m485o0104164,130.5712116,-47.9863846,1646.4,1646.421,961.095,961.13,912.61,1018.8,0.017,0.047,0.016,0.045,8.8282,25.715,1.0,1.0,23.17,1.651,0.3849,0.3537,910.51,1027.0,8.9904,26.31,2.6423,2.8672,0.00493193,0.00371134,0.000374422,0.000966,-31.29,-27.19,130.5712116,130.5711708,-47.9863846,-47.9863687,1304m485,1304m485w1o0116786,1304m485w2o0097775,218.0,209.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0
"[0.484, 5.526]",145.0,0.484,1304m485o0098519,130.7976548,-48.1704874,1404.907,1404.899,763.619,763.625,3529.9,3864.8,0.007,0.016,0.006,0.016,14.627,36.262,1.0,1.0,20.51,2.836,0.5881,0.5297,3417.7,3874.8,14.868,37.032,2.6444,2.8677,0.00049448,-0.000528038,0.000172573,0.000388,53.301,44.239,130.7976548,130.7976482,-48.1704874,-48.1704935,1304m485,1304m485w1o0109759,1304m485w2o0126404,224.0,218.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[],146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2.814, 8.336, 9.715]",147.0,2.814,1304m485o0206374,130.7817489,-48.035214,0.0,1582.052,0.0,776.854,0.0,290.55,0.0,0.148,0.0,0.143,0.0,22.567,0.0,1.0,0.0,2.332,0.0,0.2503,0.0,277.36,0.0,23.251,0.0,2.8652,0.0,0.0150996,0.0,0.003155,0.0,-37.917,0.0,130.7817489,0.0,-48.035214,1304m485,,1304m485w2o0128765,0.0,212.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
[],148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2.185, 6.429, 8.052]",149.0,2.185,1304m485o0033206,130.7079319,-48.2362352,1319.093,1319.065,842.187,842.317,6075.6,6893.3,0.004,0.009,0.004,0.009,16.208,39.093,1.0,1.0,136.0,2.667,0.9387,0.8877,5799.8,6800.6,16.535,40.059,2.6415,2.867,0.00483608,0.000929058,0.000119984,0.000243,108.16,89.964,130.7079319,130.7077832,-48.2362352,-48.2362572,1304m485,1304m485w1o0034167,1304m485w2o0029203,222.0,223.0,1.0,1.0,128.0,128.0,160.0,0.0,1.0
"[0.947, 9.102]",150.0,0.947,1304m485o0033765,130.7509398,-48.218487,1342.216,1342.216,804.61,804.605,87247.0,84530.0,0.001,0.002,0.001,0.001,48.117,97.36,1.0,1.0,174.0,21.35,0.9958,0.9942,87074.0,84491.0,49.005,99.227,2.6451,2.8683,0.000258148,8.04663e-05,3.35734e-05,6.2e-05,87.924,65.181,130.7509398,130.7509461,-48.218487,-48.2184871,1304m485,1304m485w1o0034739,1304m485w2o0029711,232.0,233.0,1.0,1.0,0.0,0.0,160.0,0.0,1.0
"[1.568, 5.118, 7.775, 9.132]",151.0,1.568,1304m485o0104328,130.5623422,-47.9814289,1652.895,1653.002,968.861,969.251,376.3,518.84,0.034,0.084,0.032,0.08,7.1387,23.088,1.0,1.0,4.995,1.845,0.427,0.4706,369.15,518.75,7.308,23.717,2.641,2.8662,0.00304419,0.00644499,0.000701561,0.001727,-30.76,-26.786,130.5623422,130.5618973,-47.9814289,-47.9813474,1304m485,1304m485w1o0116998,1304m485w2o0097912,214.0,227.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0
[1.781],152.0,1.781,1304m485o0100558,130.8339755,-48.1027678,1493.431,1493.582,731.521,731.699,597.43,711.82,0.021,0.06,0.02,0.058,7.3919,22.835,1.0,1.0,5.015,2.567,0.6811,0.6871,620.7,743.38,7.5693,23.467,2.6471,2.8689,0.000455141,0.00359029,0.000470498,0.001221,-36.796,-39.139,130.8339755,130.8337721,-48.1027678,-48.1026528,1304m485,1304m485w1o0112329,1304m485w2o0094102,212.0,220.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[9.599],153.0,9.599,1304m485o0141517,130.401386,-48.0947686,1504.481,0.0,1109.715,0.0,2163.8,0.0,0.02,0.0,0.018,0.0,24.199,0.0,0.99993,0.0,24.36,0.0,0.0995,0.0,2245.2,0.0,24.717,0.0,2.6449,0.0,-0.00681198,0.0,0.00042232,0.0,76.08,0.0,130.401386,0.0,-48.0947686,0.0,1304m485,1304m485w1o0038768,,225.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,1.0
"[1.83, 5.665, 6.365, 8.764, 8.98, 9.379]",154.0,1.83,1304m485o0128096,130.8203172,-48.0519894,1559.958,1559.84,743.184,743.513,247.54,260.55,0.056,0.174,0.049,0.161,7.3,23.113,1.0,1.0,7.88,1.456,0.2094,0.1936,210.31,228.1,7.4627,23.722,2.6413,2.8685,0.00556672,0.00358909,0.00106515,0.003304,-31.498,-36.874,130.8203172,130.8199414,-48.0519894,-48.0520805,1304m485,1304m485w1o0155938,1304m485w2o0142768,209.0,213.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.037, 1.962, 6.178, 6.337]",155.0,1.037,1304m485o0041180,130.5162243,-47.9820956,1652.042,1651.633,1009.274,1009.032,4153.3,8333.5,0.005,0.007,0.005,0.007,15.02,38.243,1.0,1.0,12.77,16.14,0.5839,0.9423,4183.3,8319.6,15.258,39.052,2.6428,2.8664,0.000786603,0.0031662,0.000173999,0.000207,-23.074,-18.782,130.5162243,130.5165004,-47.9820956,-47.9824082,1304m485,1304m485w1o0042395,1304m485w2o0036099,213.0,225.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
[0.695],156.0,0.695,1304m485o0035629,130.4029709,-48.1600664,1418.999,1418.998,1108.221,1108.221,7711.4,7898.0,0.003,0.009,0.003,0.008,17.786,42.422,1.0,1.0,24.15,7.813,0.7927,0.6476,7824.1,8077.6,18.135,43.46,2.6419,2.8659,-0.000890613,-0.00259119,0.000110497,0.000236,3.4073,-36.158,130.4029709,130.4029718,-48.1600664,-48.1600674,1304m485,1304m485w1o0036640,1304m485w2o0031325,227.0,219.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[0.184, 6.153, 6.399]",157.0,0.184,1304m485o0136335,130.5860158,-47.9637185,1676.061,1675.622,948.09,947.98,423.41,1516.4,0.034,0.033,0.034,0.033,8.4991,27.623,1.0,1.0,8.807,6.712,0.1787,0.4223,433.11,1504.0,8.6555,28.244,2.6403,2.8665,-0.00255114,0.00470716,0.000755473,0.000723,-35.395,-32.412,130.5860158,130.5861418,-47.9637185,-47.9640533,1304m485,1304m485w1o0176072,1304m485w2o0098484,212.0,218.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0
"[0.658, 4.836, 9.169]",158.0,0.658,1304m485o0032458,130.7017426,-48.2589948,1289.313,1289.321,847.662,847.699,6514.9,6620.1,0.004,0.01,0.004,0.009,16.844,38.839,1.0,1.0,9.845,4.256,0.8601,0.8367,6582.5,6611.0,17.146,39.743,2.6453,2.8684,3.76701e-05,0.00122869,0.000117613,0.000252,76.662,69.411,130.7017426,130.7016997,-48.2589948,-48.258989,1304m485,1304m485w1o0033400,1304m485w2o0028546,224.0,211.0,1.0,1.0,0.0,0.0,160.0,0.0,1.0
"[0.308, 5.409]",159.0,0.308,1304m485o0041047,130.4718922,-47.9865536,1646.203,1646.204,1048.12,1048.119,15163.0,15211.0,0.002,0.005,0.002,0.004,21.504,47.418,1.0,1.0,15.78,2.667,0.9653,0.9683,15154.0,15226.0,21.89,48.41,2.6412,2.8657,0.000520408,-2.98023e-07,7.88398e-05,0.00015,-19.61,-17.639,130.4718922,130.4718925,-47.9865536,-47.9865529,1304m485,1304m485w1o0042258,1304m485w2o0035982,211.0,217.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
[0.9],160.0,0.9,1304m485o0035369,130.3814323,-48.1677388,1408.929,1408.928,1127.014,1127.02,10493.0,11569.0,0.003,0.006,0.002,0.006,19.045,44.983,1.0,1.0,14.48,3.972,0.9096,0.8344,10490.0,11404.0,19.38,45.952,2.6399,2.8646,0.000176132,-4.94122e-05,9.37857e-05,0.000179,-0.89484,-22.621,130.3814323,130.3814252,-48.1677388,-48.1677393,1304m485,1304m485w1o0036377,1304m485w2o0031101,223.0,221.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
