name,ra,dec,PU,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,_r_gaia,PU_gaia,RA_ICRS_gaia,DE_ICRS_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,_r_2mass,PU_2mass,RAJ2000_2mass,DEJ2000_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,_r_catwise,PU_catwise,RA_ICRS_catwise,DE_ICRS_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,_r_unwise,PU_unwise,RAJ2000_unwise,DEJ2000_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,_r_allwise,PU_allwise,RAJ2000_allwise,DEJ2000_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,gaia_precomputed,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
2CXO J084229.2-480705,130.62174999999996,-48.11833333333333,0.87,2.26,3.271326699291748e-16,2.4715221274552564e-16,6.740176770220973e-16,3.931008152155485e-16,1.4207035128782937e-15,8.65889777868e-16,2.4218538598295656e-15,9.825362968381538e-16,,,,Gaia DR3 5329110144320086400,0.2627103202403851,0.0015494876830746,130.6218016173,-48.11826900674,15.956807,0.002845,16.588928,0.004807,15.173203,0.004362,0.6768,0.0443,7.818,1429.41796875,1347.93701171875,1519.907470703125,1414.8128662109375,1342.1810302734375,1507.611328125,0,08422924-4807058,0.291,0.1400085483780187,130.621856,-48.118294,14.218000411987305,0.0289999991655349,13.628000259399414,0.0299999993294477,13.437000274658203,0.0489999987185001,0,,,,,,,,,,-8,1304m485o0036949,0.414,0.0770155414115878,130.6218867,-48.1182633,13.44113887822611,-0.0035763384133899,13.4808865126074,-0.0091012959915898,0,J084229.25-480705.7,0.408,0.1202099564051164,130.6218797,-48.1182602,13.438,0.027,13.588,0.034,12.556,,9.077,,0,True,0.0,allwise,13.438,0.027,13.588,0.034
2CXO J084225.2-480704,130.6053333333333,-48.11784166666667,0.79,2.15,9.99580846175679e-16,8.693000104341633e-16,9.829455923074516e-16,8.687443993204996e-16,1.3313877811342044e-15,6.479812287978799e-16,3.313914219617335e-15,1.3893448140638025e-15,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
2CXO J084232.9-480634,130.637375,-48.10957222222223,0.92,1.91,5.680140188355601e-15,4.291406347647311e-15,7.410345223886507e-16,4.62030755672199e-16,2.383901822515992e-15,1.4482693178019254e-15,8.805076533260243e-15,4.552705226203549e-15,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
2CXO J084227.5-480737,130.61462499999996,-48.12695277777778,0.86,2.92,6.99383263905039e-16,5.014812231509608e-16,9.136035622560028e-16,4.197918423909374e-16,7.560144340160268e-16,4.665499499664502e-16,2.3690012601770687e-15,8.033538846141584e-16,0.705,0.371,,Gaia DR3 5329110041240868992,0.3413846697256281,0.002789033043906,130.61476035038,-48.12698159655,16.976738,0.003171,18.176456,0.014962,15.892709,0.006244,1.3926,0.0534,5.526,708.9901733398438,682.905517578125,734.7564697265625,709.016357421875,680.4301147460938,737.4465942382812,0,08422754-4807371,0.376,0.1400277427700668,130.614773,-48.126987,14.42199993133545,0.0390000008046627,13.696000099182127,0.0430000014603138,13.489999771118164,0.0439999997615814,0,,,,,,,,,,-4,1304m485o0099834,0.332,0.0770504298838105,130.6147328,-48.1270106,13.370814294334956,-0.0039255745625074,13.234320190352854,-0.0085531057121909,0,,,,,,,,,,,,,,-8,True,0.0,unwise,13.370814294334956,-0.0039255745625074,13.234320190352854,-0.0085531057121909
2CXO J084229.4-480540,130.6227083333333,-48.09463333333333,0.92,2.85,8.245095181780128e-16,5.031437015665518e-16,6.07139613085168e-16,3.490923606423659e-16,7.44928895462035e-16,5.110256282218016e-16,2.176578026725216e-15,7.976003092930929e-16,0.704,0.028,conf,Gaia DR3 5329121929710325760,0.3327858319884654,0.0029361599820173,130.62282514208,-48.09468291789,17.049383,0.030664,,,,,1.4436,0.0529,5.624,675.7884521484375,653.4474487304688,702.9268188476562,,,,0,08422940-4805406,0.42,0.1400307513137025,130.622535,-48.09462,13.190999984741213,0.0379999987781047,12.380000114440918,0.0419999994337558,11.939000129699709,0.0270000007003545,0,J084229.44-480540.7,0.114,0.0391102456330818,130.6226641,-48.0946451,11.226,0.012,10.822,0.008,0,1304m485o0037700,0.313,0.0113846964597217,130.6225802,-48.0946182,11.295946691672375,-0.0011011229500856,10.806865178547106,-0.0018014804074747,0,,0.093,0.0702613073709847,,,,,,,,,,,0,True,0.0,allwise,,,,
2CXO J084229.2-480540,130.62191666666664,-48.09451388888889,0.83,2.49,5.318128249664847e-15,2.440744619265772e-15,3.218195046457954e-16,2.3423259885068497e-16,1.4953159817457742e-15,8.013869239411996e-16,7.135263736056416e-15,2.579596908182188e-15,0.468,0.476,conf,Gaia DR3 5329121929710324480,0.3336215456459771,0.0027947057018584,130.62205342299,-48.09449822973,16.050943,0.003928,16.982224,0.022066,14.920467,0.019632,1.3967,0.0303,5.531,701.990966796875,684.7623291015625,716.5634765625,702.99951171875,685.5335693359375,718.2109985351562,0,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,True,,,,,,
2CXO J084234.9-480614,130.64583333333331,-48.10409722222222,0.83,2.15,8.560695156953431e-16,4.793024060125666e-16,6.784074423025301e-16,3.819607434907286e-16,6.175304368701487e-16,4.264266871631725e-16,2.1520073948680217e-15,7.466354702948307e-16,,0.726,,Gaia DR3 5329110178679846656,0.1506172338362541,0.0012335912288922,130.64578983386,-48.10412733268,17.543692,0.0048,18.401283,0.021882,16.607515,0.013433,0.6099,0.0671,3.574,1609.9664306640625,1450.830322265625,1772.9927978515625,1596.9273681640625,1422.2386474609375,1791.59912109375,0,08423500-4806150,0.257,0.1600047059360442,130.645846,-48.104168,15.385000228881836,0.0509999990463256,14.717000007629396,0.0799999982118606,14.45699977874756,0.0979999974370002,0,J084235.02-480615.1,0.483,0.0836090062234924,130.6459435,-48.1042094,14.451,0.02,14.484,0.02,0,1304m485o0037373,0.156,0.1485050703568063,130.6458039,-48.1041358,14.427375948825397,-0.0065254784515078,14.351692000083563,-0.0167356379342344,0,,0.53,0.1266059474182788,,,,,,,,,,,0,True,0.0,allwise,,,,
2CXO J084233.8-480742,130.64087499999997,-48.12856388888889,0.74,3.94,1.0573793609828404e-15,6.089399306157529e-16,1.7544313710914e-15,5.497609668048656e-16,1.1806804626940618e-15,7.406874178699905e-16,3.992491194768302e-15,1.1052885644533976e-15,0.209,0.282,,Gaia DR3 5329110075591309952,0.176392689867401,0.0027170458958214,130.64080647644,-48.12858146569,16.855976,0.004756,17.142385,0.026006,15.35597,0.012331,1.2382,0.0756,5.11,802.4915771484375,757.76318359375,851.880615234375,773.2229614257812,732.8203125,811.0303955078125,2,08423381-4807427,0.051,0.1400262868978536,130.640884,-48.128551,14.038000106811523,0.0359999984502792,13.276000022888184,0.0350000001490116,13.140999794006348,0.0379999987781047,0,J084233.80-480742.9,0.111,0.093039566972337,130.6408603,-48.1285932,13.009,0.017,12.951,0.025,0,1304m485o0036623,0.064,0.0495742980020897,130.6408483,-48.1285632,12.935376179072398,-0.0026108832070533,12.887334622764428,-0.0060205783544502,0,J084233.81-480742.8,0.109,0.1554236823087138,130.6409124,-48.1285812,13.006,0.038,13.013,0.036,10.902,,8.065,,0,True,0.0,allwise,13.006,0.038,13.013,0.036
2CXO J084221.4-480711,130.58949999999996,-48.11994722222222,0.88,2.0,1.3236801569463972e-15,1.112564403450693e-15,1.0489055138342528e-15,9.270341741321813e-16,4.872906596758552e-16,3.2780930922595136e-16,2.859876330456505e-15,1.4848066726175929e-15,0.826,,,Gaia DR3 5329121787965559808,0.2502137966768813,0.0152107463446078,130.58946391891,-48.12001241893,18.996233,0.012938,20.915607,0.169392,17.399311,0.009186,1.826,0.7253,9.247,4041.817138671875,1977.0589599609373,5508.73193359375,652.098876953125,505.3196716308594,832.41064453125,0,08422148-4807121,0.323,0.1408153112710404,130.589501,-48.120037,15.237000465393066,0.0340000018477439,14.579999923706056,0.0630000010132789,14.154999732971191,0.0680000036954879,0,J084221.45-480712.1,0.407,0.0599412369605432,130.5894028,-48.1200398,14.278,0.012,14.159,0.012,0,1304m485o0036881,0.306,0.1055897811739374,130.5893937,-48.1199938,14.11005653041688,-0.005211668215552,13.905632652094717,-0.0120506760840843,0,,,,,,,,,,,,,,-8,True,0.0,catwise,14.278,0.012,14.159,0.012
2CXO J084224.5-480545,130.6020833333333,-48.09603333333334,0.86,2.44,1.0134618213433037e-15,5.915117111798259e-16,3.0130336615334513e-16,2.3671930340675874e-16,6.718115999198172e-16,4.344112736627145e-16,1.986576787416466e-15,7.711259869525399e-16,0.111,0.853,,Gaia DR3 5329121959764294912,0.1419894139800817,0.0058724629313432,130.60203783711,-48.09600818755,17.980766,0.003226,19.554989,0.04869,16.706972,0.00994,2.8691,0.1071,16.812,342.84375,331.38739013671875,358.7216796875,342.633056640625,329.6873474121094,354.80780029296875,0,08422451-4805458,0.195,0.1401229696262536,130.602148,-48.096066,14.946999549865724,0.0689999982714653,14.27400016784668,0.0790000036358833,14.041000366210938,0.0750000029802322,0,J084224.45-480545.9,0.505,0.0889937448188354,130.6018912,-48.0960901,14.022,0.014,13.848,0.016,0,1304m485o0201320,0.145,0.1211422577669741,130.6020889,-48.0959933,,,13.68745673691594,-0.0131904013512106,0,,,,,,,,,,,,,,-8,True,0.0,catwise,14.022,0.014,13.848,0.016
