src,KS,KP,RA,DEC,COMPONENT,NET_COUNTS,NET_ERR,SRC_SIGNIFICANCE_0.7-1.2,THETA_0.7-1.2,NET_COUNTS_0.7-1.2,NET_ERR_0.7-1.2,NET_FLUX_APER_0.7-1.2,NET_FLUX_APER_LO_0.7-1.2,NET_FLUX_APER_HI_0.7-1.2,NET_MFLUX_APER_0.7-1.2,NET_MFLUX_APER_LO_0.7-1.2,NET_MFLUX_APER_HI_0.7-1.2,NET_UMFLUX_APER_0.7-1.2,NET_UMFLUX_APER_LO_0.7-1.2,NET_UMFLUX_APER_HI_0.7-1.2,SRC_SIGNIFICANCE_soft,THETA_soft,NET_COUNTS_soft,NET_ERR_soft,NET_FLUX_APER_soft,NET_FLUX_APER_LO_soft,NET_FLUX_APER_HI_soft,NET_MFLUX_APER_soft,NET_MFLUX_APER_LO_soft,NET_MFLUX_APER_HI_soft,NET_UMFLUX_APER_soft,NET_UMFLUX_APER_LO_soft,NET_UMFLUX_APER_HI_soft,SRC_SIGNIFICANCE_medium,THETA_medium,NET_COUNTS_medium,NET_ERR_medium,NET_FLUX_APER_medium,NET_FLUX_APER_LO_medium,NET_FLUX_APER_HI_medium,NET_MFLUX_APER_medium,NET_MFLUX_APER_LO_medium,NET_MFLUX_APER_HI_medium,NET_UMFLUX_APER_medium,NET_UMFLUX_APER_LO_medium,NET_UMFLUX_APER_HI_medium,SRC_SIGNIFICANCE_hard,THETA_hard,NET_COUNTS_hard,NET_ERR_hard,NET_FLUX_APER_hard,NET_FLUX_APER_LO_hard,NET_FLUX_APER_HI_hard,NET_MFLUX_APER_hard,NET_MFLUX_APER_LO_hard,NET_MFLUX_APER_HI_hard,NET_UMFLUX_APER_hard,NET_UMFLUX_APER_LO_hard,NET_UMFLUX_APER_HI_hard,SRC_SIGNIFICANCE_broad,THETA_broad,NET_COUNTS_broad,NET_ERR_broad,NET_FLUX_APER_broad,NET_FLUX_APER_LO_broad,NET_FLUX_APER_HI_broad,NET_MFLUX_APER_broad,NET_MFLUX_APER_LO_broad,NET_MFLUX_APER_HI_broad,NET_UMFLUX_APER_broad,NET_UMFLUX_APER_LO_broad,NET_UMFLUX_APER_HI_broad,SRC_SIGNIFICANCE_0.7-7.0,THETA_0.7-7.0,NET_COUNTS_0.7-7.0,NET_ERR_0.7-7.0,NET_FLUX_APER_0.7-7.0,NET_FLUX_APER_LO_0.7-7.0,NET_FLUX_APER_HI_0.7-7.0,NET_MFLUX_APER_0.7-7.0,NET_MFLUX_APER_LO_0.7-7.0,NET_MFLUX_APER_HI_0.7-7.0,NET_UMFLUX_APER_0.7-7.0,NET_UMFLUX_APER_LO_0.7-7.0,NET_UMFLUX_APER_HI_0.7-7.0
1,0.0972363574898453,0.0077906922766434,92.1309294733034,13.920620627138069,1,186.0,13.638181696985855,6.53562,3.1157653579750146,43.50169779286927,6.63480912240907,2.0329889456502908e-14,1.7381263852814778e-14,2.355777780374253e-14,1.697959404e-14,1.4516891729999997e-14,1.9675537559999997e-14,1.3243756792e-13,1.1322896354e-13,1.5346540887999998e-13,6.6864,3.1157653579750146,45.46017260894171,6.783982343115497,2.816634893531973e-14,2.4005266730782596e-14,3.236969680765656e-14,1.8137555939999997e-14,1.545805135e-14,2.084427726e-14,2.2086173759999997e-13,1.88233304e-13,2.538215904e-13,9.27104,3.1157653579750146,86.67148288973384,9.32810218835896,2.0807281125231008e-14,1.8590229153493926e-14,2.3046654552240155e-14,2.3035724032e-14,2.0581227594999997e-14,2.5514932533999995e-14,4.292312576e-14,3.8349592099999996e-14,4.754270612e-14,7.06061,3.1157653579750146,50.54318524096386,7.142756532600468,3.3202631328282465e-14,2.8557294214979164e-14,3.789482964241641e-14,3.605735327e-14,3.101261571e-14,4.11529811e-14,3.9481387849999994e-14,3.395759805e-14,4.50609005e-14,13.5275,3.1157653579750146,184.9181378673475,13.63983197741378,8.313730590468871e-14,7.706620476860405e-14,8.926964006030504e-14,9.946945828000001e-14,9.220570184e-14,1.0680647684e-13,1.7616208805e-13,1.632978529e-13,1.8915607165e-13,13.4568,3.1157653579750146,182.9597479493726,13.566255377706606,7.537197323856816e-14,6.983908035743958e-14,8.096073056827655e-14,9.83540496e-14,9.11340924e-14,1.0564690517999999e-13,1.522561808e-13,1.410793852e-13,1.6354582614e-13
2,0.21571016608351,0.0216457070382854,92.12612417560338,13.923370854097257,2,108.0,10.392304845413264,4.71962,2.8339145842867928,22.750536480686694,4.796912758005023,1.2048167249259548e-14,9.679288833028546e-15,1.4748172400676254e-14,8.365826798999999e-15,6.720960312e-15,1.0240616133e-14,6.5224367716e-14,5.2400127008e-14,7.9841207372e-14,4.77919,2.8339145842867928,23.625804721030043,4.900567111250191,1.5191913245194295e-14,1.2254590272731896e-14,1.8571396313283838e-14,8.877016704e-15,7.160665072e-15,1.0851733591999999e-14,1.080363936e-13,8.714779479999999e-14,1.320693878e-13,7.17793,2.8339145842867928,51.87715976331361,7.2114513038580785,1.2604167928744618e-14,1.0869580693535993e-14,1.43562551514213e-14,1.3259713716e-14,1.1434910183999999e-14,1.5102927414e-14,2.47037907e-14,2.1304051799999998e-14,2.8137829049999995e-14,5.27804,2.8339145842867928,27.87588005215124,5.291987835758695,1.5074474756719006e-14,1.2407458210961187e-14,1.808945472872893e-14,1.9026880623e-14,1.566059382e-14,2.2832364059999996e-14,2.0833037483999998e-14,1.714720056e-14,2.4999762479999996e-14,10.3328,2.8339145842867928,107.62555183946488,10.393054365643154,5.854946168582734e-14,5.2951959960230194e-14,6.420340284458762e-14,5.57408092e-14,5.041182295999999e-14,6.112352743999999e-14,9.87082881e-14,8.927148378e-14,1.0824024342e-13,10.1914,2.8339145842867928,104.66715719063545,10.24762645894005,4.008436689546542e-14,3.6199144816425525e-14,4.400898041530669e-14,5.417321568e-14,4.892241618e-14,5.947725191999999e-14,8.385866896e-14,7.573057371e-14,9.206917324e-14
3,0.201981203708301,0.2560978277942877,92.12148897829762,13.92411334241645,3,79.0,8.888194417315589,4.90679,2.676466490323145,23.958250099880143,4.899157382056634,2.058978519342132e-14,1.6683236185204064e-14,2.5047844108366606e-14,7.929721184e-15,6.4251962879999996e-15,9.64664848e-15,6.177319084200001e-14,5.0052816144e-14,7.514819799e-14,4.93544,2.676466490323145,23.91650019976029,4.899335272087432,2.0154472283718388e-14,1.6378236234099706e-14,2.4501502523279015e-14,8.298358925e-15,6.743539642999999e-15,1.0088195775e-14,1.00910761e-13,8.200364956e-14,1.22675763e-13,5.88177,2.676466490323145,33.8756884343037,5.831393583165916,8.199707019390374e-15,6.889545491384625e-15,9.65714361154947e-15,7.9977427e-15,6.7198513349e-15,9.419281645e-15,1.4896015e-14,1.2515907304999999e-14,1.7543670249999997e-14,4.53856,2.676466490323145,20.875738020046683,4.583137245732517,1.2380311398791551e-14,9.854828728462624e-15,1.5290089569001332e-14,1.3683205631999999e-14,1.0891943152e-14,1.6899206568e-14,1.4981085696e-14,1.1925066255999998e-14,1.8502130904e-14,8.82628,2.676466490323145,78.6298013245033,8.8890509870873,3.9835247532275585e-14,3.537693260168957e-14,4.433849576128225e-14,3.892375984e-14,3.456745756e-14,4.332396728e-14,6.892241076e-14,6.120869409e-14,7.671387042e-14,8.83099,2.676466490323145,78.67093451066961,8.888955816744367,4.025656403760837e-14,3.575359198960303e-14,4.4805224570291456e-14,3.891750236e-14,3.4564313520000006e-14,4.3314859940000006e-14,6.023805582e-14,5.350001724e-14,6.704446053e-14
4,0.676855052546161,0.8743494556999872,92.1163299530209,13.924769671773195,4,21.0,4.58257569495584,2.56436,2.5343751773342174,6.875735702387562,2.6467238626687846,5.061314421215089e-15,3.3479504954100343e-15,7.286709376547343e-15,2.583188318e-15,1.7087234440000001e-15,3.718983049e-15,2.0109327676000002e-14,1.3301887208000001e-14,2.8951140817999997e-14,2.5436,2.5343751773342174,6.834314269850084,2.6470479671312774,4.368012255245306e-15,2.8665186584017163e-15,6.3131465461775866e-15,2.628763668e-15,1.725132546e-15,3.7993872960000004e-15,3.194186246e-14,2.096192487e-14,4.616600112e-14,2.55354,2.5343751773342174,6.834250941756013,2.647048958288681,1.7984951882492853e-15,1.175672941693288e-15,2.589281822488935e-15,1.7718990743999997e-15,1.1582871117999998e-15,2.5509915703999996e-15,3.2995035359999997e-15,2.156879292e-15,4.7502737759999994e-15,1.3991,2.5343751773342174,2.5006726888333652,1.7380383521774603,1.0107608679150857e-15,4.1996376458493426e-16,1.886274096499034e-15,1.725133424e-15,7.167803484999999e-16,3.219430623e-15,1.88876576e-15,7.847683899999999e-16,3.5248000199999996e-15,4.43143,2.5343751773342174,20.502700959445296,4.584823754661828,2.571690208004697e-14,2.0412060555203082e-14,3.1944282555756736e-14,1.0684674624e-14,8.480656992000001e-15,1.3271982144000001e-14,1.8916643044e-14,1.5014548102e-14,2.3497332164e-14,4.32214,2.5343751773342174,19.502700959445296,4.474439502475297,9.200748811032918e-15,7.23369420003238e-15,1.1485072557040781e-14,1.0163036168e-14,7.990251369e-15,1.2686272627e-14,1.5728992527999997e-14,1.2366245873999999e-14,1.9634121542e-14
5,0.545806147681858,0.1878274760845601,92.10404060750417,13.945531047563678,5,189.0,13.74772708486752,5.89703,1.1721513524070635,35.483792544570505,6.001707898827575,1.5929587135546852e-14,1.3368962843682956e-14,1.8759690186253536e-14,1.2944660959999998e-14,1.08638529e-14,1.5244452169999998e-14,1.0071650512e-13,8.45266863e-14,1.1861013199e-13,5.96687,1.1721513524070635,36.44408427876823,6.084576768290653,2.4026957454387196e-14,2.0250227844183625e-14,2.8285942908955878e-14,1.356345144e-14,1.1431450799999999e-14,1.59676902e-14,1.64724582e-13,1.3883199e-13,1.9392343500000001e-13,9.67353,1.1721513524070635,94.50356633380885,9.747847823942676,2.19360152044708e-14,1.969595355782903e-14,2.4198653916024766e-14,2.2822105528e-14,2.0491558123999998e-14,2.5176141982e-14,4.249028032e-14,3.815125856e-14,4.6873034079999996e-14,7.03761,1.1721513524070635,49.8754311747478,7.071433550849142,2.6437956087429824e-14,2.2726988018772126e-14,3.018644546292506e-14,3.292100002e-14,2.830003842e-14,3.7588683800000004e-14,3.6042099190000006e-14,3.098304399e-14,4.1152306100000005e-14,13.6534,1.1721513524070635,188.13343373493976,13.749027562308925,7.35548624609113e-14,6.823313385202393e-14,7.893036239886602e-14,9.234667484e-14,8.566534984e-14,9.909550868e-14,1.6348590175000002e-13,1.5165762050000002e-13,1.7543369725e-13,13.6199,1.1721513524070635,187.17469879518072,13.712551042892558,6.583351273626863e-14,6.105873155502296e-14,7.065645725617004e-14,9.181342332000001e-14,8.515436796e-14,9.853964874000001e-14,1.4208682506000002e-13,1.3178153418e-13,1.5249606567000002e-13
6,0.0010146408593037,0.0001504559231161,92.10051171521934,13.946638033667014,6,51.0,7.14142842854285,3.12292,1.1160869993337617,9.880592917924787,3.163029036185079,6.2617642527518366e-15,4.458220386587548e-15,8.470609382848968e-15,6.6155294400000005e-15,4.7100924e-15,8.949165680000001e-15,5.144779398e-14,3.662954955e-14,6.959606731e-14,3.28863,1.1160869993337617,10.880592917924787,3.317341207013518,1.0500204985788332e-14,7.615887746249536e-15,1.400026380779833e-14,7.431940178000002e-15,5.3904492540000005e-15,9.909246842000001e-15,9.020974846e-14,6.542989578e-14,1.2027958294e-13,4.90333,1.1160869993337617,23.83483976992605,4.899675445924915,5.483892854493957e-15,4.4349990746593074e-15,6.669597367037361e-15,1.078104072e-14,8.71897152e-15,1.311207252e-14,2.0069750066e-14,1.6231047056e-14,2.4409147981e-14,3.94808,1.1160869993337617,15.875165650675855,4.000649264589069,8.329609085793769e-15,6.40576262930678e-15,1.0612841331349772e-14,1.9428102041999996e-14,1.4940894433e-14,2.4753546321e-14,2.1270308723999997e-14,1.6357616226e-14,2.7100720961999998e-14,7.0614,1.1160869993337617,50.548588863463,7.142725301211205,2.3584392683903107e-14,2.028514942023619e-14,2.69169729560082e-14,4.65722484e-14,4.0057212e-14,5.31531156e-14,8.244264536e-14,7.09096648e-14,9.409216024e-14,6.99055,1.1160869993337617,49.548588863463,7.072377586679228,1.9462890999525197e-14,1.6712616562615258e-14,2.2240996015592614e-14,4.562118606e-14,3.9174518819999996e-14,5.213308842e-14,7.059549282e-14,6.061974054e-14,8.067219174e-14
7,2.11758236813575e-22,3.193418002684457e-132,92.05966398489959,13.950310506111073,7,742.0,27.23967694375247,10.9905,2.686666365541569,121.66772698354994,11.045985726483744,6.542622898172421e-14,5.95456755389837e-14,7.136612201520883e-14,4.399354367999999e-14,4.00393744e-14,4.7987613759999993e-14,3.4019525232e-13,3.0961827435000003e-13,3.7108077699e-13,10.9828,2.686666365541569,121.58465872943742,11.046141898287532,6.408532447615e-14,5.832135042693166e-14,6.99076189326081e-14,4.492148787e-14,4.088115114e-14,4.900270509e-14,5.420012534999999e-13,4.932524769999999e-13,5.912432744999999e-13,16.6783,2.686666365541569,280.21032551343455,16.76403353328148,6.810521154713903e-14,6.407142244349916e-14,7.217968468125756e-14,6.9675421056e-14,6.5548630347e-14,7.384383379199999e-14,1.2945685504e-13,1.2178928248e-13,1.3720176128e-13,18.4772,2.686666365541569,343.9753846153846,18.575353110917334,2.430233812268819e-13,2.300315520148742e-13,2.561477801247264e-13,2.32238841e-13,2.198235444e-13,2.447808243e-13,2.5418194100000003e-13,2.405935844e-13,2.6790895430000003e-13,27.0892,2.686666365541569,739.57572287432,27.241536844458082,3.878094068221359e-13,3.7366767432729065e-13,4.020947102052537e-13,3.79950924e-13,3.6609575640000004e-13,3.9394675320000004e-13,6.720235970000001e-13,6.475178017e-13,6.967781821e-13,27.0724,2.686666365541569,738.6175207557973,27.22314424501827,3.8003768127157166e-13,3.661703620922725e-13,3.94044378023947e-13,3.7917966930000005e-13,3.653436584e-13,3.931547431e-13,5.863046301e-13,5.649107688e-13,6.079135167e-13
8,0.735778026299713,0.520781840009929,92.05987541244271,13.956744808407374,8,23.0,4.795831523312719,2.42841,2.5732930058398713,5.958353796287201,2.4498437514020535,5.083833873428728e-15,3.2571949530171404e-15,7.460698770225775e-15,2.243431938e-15,1.4373591600000001e-15,3.2923125179999998e-15,1.7351840396000002e-14,1.1117264720000001e-14,2.5464414756e-14,2.39542,2.5732930058398713,5.9167075925744035,2.450197708873179,4.911147949692201e-15,3.142317540777167e-15,7.26267964753904e-15,2.342183814e-15,1.4986079340000002e-15,3.463656744e-15,2.8265279580000003e-14,1.8085075980000005e-14,4.179912168e-14,3.7463,2.5732930058398713,13.958562811434566,3.741886828940208,3.2845003559864137e-15,2.48683513750261e-15,4.241697137114547e-15,3.511030976e-15,2.65835112e-15,4.53424522e-15,6.524414560000001e-15,4.939912200000001e-15,8.42581445e-15,1.84247,2.5732930058398713,3.7927031509121063,2.0021474463006848,2.0264130425137396e-15,1.1053118026902477e-15,3.3267665759364627e-15,2.701828836e-15,1.47371895e-15,4.435598112e-15,2.9571731279999995e-15,1.6129971e-15,4.854797375999999e-15,4.67983,2.5732930058398713,22.627296387017758,4.797440382156695,9.499688051317456e-15,7.6239529058513e-15,1.1657789488340397e-14,1.2067173546e-14,9.684482514000002e-15,1.480854615e-14,2.1343992175e-14,1.7129572075e-14,2.6192835625e-14,4.68977,2.5732930058398713,22.66870789957134,4.797261646708026,9.667046557155309e-15,7.762303826731254e-15,1.1858506306261451e-14,1.2084041333e-14,9.703066984e-15,1.4823418869999998e-14,1.8684466584e-14,1.5002980032e-14,2.292011976e-14
9,0.833997356939764,0.7203275437646711,92.13345590385137,13.966944847676189,9,17.0,4.123105625617661,2.3648,1.7634732673345443,5.876782658300057,2.450522564222823,2.5960026750322245e-15,1.6540001728899967e-15,3.855669873982594e-15,2.3711334030000003e-15,1.510728435e-15,3.5216865210000004e-15,1.8553664313000002e-14,1.1821160385e-14,2.7556521891000002e-14,2.3648,1.7634732673345443,5.876782658300057,2.450522564222823,2.5960026750322245e-15,1.6540001728899967e-15,3.855669873982594e-15,2.421085653e-15,1.542554685e-15,3.595877271e-15,2.957972436e-14,1.88462322e-14,4.393279452e-14,2.57434,1.7634732673345443,6.876040563039201,2.6467190974243087,1.6574683297287888e-15,1.0921271098739591e-15,2.383417113501935e-15,1.8899130600000002e-15,1.2452879196e-15,2.717669502e-15,3.5251335000000003e-15,2.32275561e-15,5.0690944500000005e-15,1.80306,1.7634732673345443,3.709183078895234,2.0030182397572225,6.209356189998313e-15,3.325232686124618e-15,1.0281063515612645e-14,2.758221972e-15,1.4770822572000003e-15,4.5668913840000006e-15,3.020557556e-15,1.6175681356e-15,5.001250232e-15,3.97438,1.7634732673345443,16.55037647902474,4.125333719951021,1.0499167202009982e-14,8.084364585776204e-15,1.3360182116496948e-14,9.264505327999999e-15,7.133674255999999e-15,1.1789075839999999e-14,1.6415183134999998e-14,1.2639700144999998e-14,2.08883078e-14,3.97438,1.7634732673345443,16.55037647902474,4.125333719951021,1.0499167202009982e-14,8.084364585776204e-15,1.3360182116496948e-14,9.258375061e-15,7.128953947e-15,1.178127508e-14,1.433925181e-14,1.104123187e-14,1.82466868e-14
10,1.17762205033707e-14,3.9564648992766527e-16,92.12945689048098,13.971918608592263,10,112.0,10.583005244258363,3.82407,1.5815635386757294,14.839434276206322,3.873815346388409,5.567909654104458e-15,4.2345375306493185e-15,7.135714091195875e-15,6.072439096e-15,4.6182450600000005e-15,7.782308248e-15,4.7506202668e-14,3.612968073e-14,6.0882934684e-14,3.79166,1.5815635386757294,14.799292845257904,3.87402331851435,5.364117235961411e-15,4.079553195457192e-15,6.902768269312802e-15,6.2010724609999995e-15,4.716079806e-15,7.979796924000001e-15,7.574484451999999e-14,5.760595992e-14,9.747160368e-14,6.20003,1.5815635386757294,39.550983606557374,6.326004165503043,9.375020564595477e-15,7.96274754292085e-15,1.0967542105992723e-14,1.1265503462e-14,9.568444079e-15,1.3179158671e-14,2.1011276199999998e-14,1.7846092899999998e-14,2.4580432099999996e-14,7.13678,1.5815635386757294,51.58576324174833,7.212292229880087,3.4373260851935285e-14,2.961568378210988e-14,3.917912306681216e-14,3.969013728e-14,3.419665536e-14,4.523937312e-14,4.346471362e-14,3.7448795439999997e-14,4.954168798e-14,10.492,1.5815635386757294,111.29521242459248,10.5843856292472,5.088514945066834e-14,4.609426293465492e-14,5.5724495945324505e-14,6.403835878e-14,5.800908476e-14,7.012861911e-14,1.1346444088e-13,1.0278165296e-13,1.2425528556e-13,10.4959,1.5815635386757294,111.33667051726351,10.584304435113662,5.1094194655157926e-14,4.628542224575876e-14,5.595147171060873e-14,6.402102431999999e-14,5.799563264e-14,7.010719232e-14,9.915533646e-14,8.982324992e-14,1.0858155296000001e-13
