_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[5.919, 9.039]",80.0,5.919,168.02132,-60.712761,0.06,0.06,45.0,11120511-6042459,14.62,0.039,0.041,40.2,14.25,0.063,0.063,28.8,14.139,0.08,0.081,16.3,AAA,222,111,00c,554616,9.2,203.0,794090858.0,0.0,0.0,794090886.0,s,2000-01-23,100.0,291.074,-0.149,-142.8,2451566.822,0.93,1.22,0.79,14.622,0.077,14.458,0.163,14.266,0.187,3109.0,110.0,ne,0.0,1.0,U,0.4,220,16.9,16.2,1.0,,43449.0,999324.0,233.0,Opt
"[0.208, 5.939]",81.0,0.208,168.108446,-60.688908,0.07,0.07,45.0,11122602-6041200,15.432,0.086,0.087,19.0,14.694,0.057,0.057,19.1,14.667,0.112,0.112,10.0,AAB,222,111,00c,363604,5.8,57.0,794112769.0,0.0,0.0,794112781.0,s,2000-01-23,101.0,291.105,-0.111,127.0,2451566.8235,1.44,1.27,1.16,15.217,0.081,14.393,0.129,14.287,0.222,3020.0,126.0,nw,0.0,1.0,U,3.6,257,17.3,16.3,1.0,,43450.0,999331.0,44.0,Opt
"[4.764, 7.84]",82.0,4.764,168.104621,-60.693279,0.06,0.06,90.0,11122510-6041358,11.178,0.021,0.024,957.7,9.816,0.02,0.022,1708.1,9.286,0.017,0.019,1419.1,AAA,222,111,000,666666,5.6,56.0,794112821.0,0.0,0.0,794112839.0,s,2000-01-23,101.0,291.105,-0.116,133.7,2451566.8235,0.85,0.79,0.71,11.191,0.014,9.849,0.038,9.289,0.018,3036.0,119.0,nw,0.0,1.0,0,,,,,0.0,,43450.0,999331.0,44.0,Opt
"[0.361, 8.027, 9.993]",83.0,0.361,167.770088,-60.632633,0.07,0.07,17.0,11110482-6037574,15.561,0.051,0.052,15.8,15.132,0.076,0.077,13.2,15.014,0.135,0.135,7.0,AAB,222,111,000,061606,7.7,49.0,793976012.0,0.0,0.0,793976030.0,s,2000-01-23,99.0,290.93,-0.121,-131.9,2451566.8138,1.56,0.95,0.95,16.19,0.269,15.48,0.365,15.323,0.469,2817.0,120.0,ne,0.0,1.0,U,0.2,147,18.9,16.9,1.0,,43448.0,999284.0,33.0,Opt
[0.444],84.0,0.444,168.073434,-60.706833,0.06,0.06,90.0,11121762-6042245,13.551,0.039,0.041,107.7,13.196,0.041,0.042,76.0,13.018,0.036,0.037,45.6,AAA,222,111,000,666666,12.0,135.0,794113035.0,0.0,0.0,794113000.0,s,2000-01-23,101.0,291.095,-0.134,188.6,2451566.8236,2.43,2.41,1.63,13.473,0.035,13.106,0.049,13.022,0.042,3085.0,64.0,nw,1.0,1.0,U,0.3,327,16.6,14.9,1.0,,43450.0,999331.0,44.0,Opt
"[0.299, 4.179, 8.225]",85.0,0.299,168.180719,-60.661587,0.06,0.06,90.0,11124337-6039417,14.767,0.05,0.051,35.1,14.116,0.06,0.061,32.6,13.99,0.061,0.061,18.6,AAA,222,222,ccc,666605,4.0,344.0,794112421.0,0.0,0.0,794112432.0,s,2000-01-23,101.0,291.127,-0.072,-0.4,2451566.8235,0.75,0.68,0.81,14.513,0.064,13.874,0.05,13.923,0.052,2921.0,252.0,ne,0.0,1.0,U,1.8,181,16.3,15.4,1.0,,43450.0,999330.0,33.0,Opt
"[2.408, 4.273, 4.275, 8.126]",86.0,2.408,167.739385,-60.633606,0.06,0.06,0.0,11105745-6038009,10.775,0.031,0.033,1295.5,10.212,0.032,0.033,1227.8,10.085,0.028,0.029,656.8,AAA,222,111,000,556666,5.5,157.0,793976069.0,0.0,0.0,793976046.0,s,2000-01-23,99.0,290.916,-0.127,-77.7,2451566.8138,1.25,1.38,0.87,10.752,0.011,10.213,0.043,10.043,0.014,2821.0,174.0,ne,0.0,1.0,U,2.8,340,12.4,11.4,1.0,,43448.0,999284.0,33.0,Opt
[0.177],87.0,0.177,168.068463,-60.725002,0.12,0.11,10.0,11121643-6043300,16.872,,,,15.293,0.092,0.093,11.0,14.883,,,,UAU,020,010,000,000600,11.4,272.0,794113266.0,0.0,0.0,794113268.0,s,2000-01-23,101.0,291.1,-0.152,197.2,2451566.8236,,0.84,,,,16.553,0.646,,,3150.0,56.0,nw,1.0,1.0,0,,,,,0.0,,43450.0,999331.0,44.0,Opt
"[0.274, 6.897, 9.24]",88.0,0.274,167.732442,-60.602688,0.06,0.06,0.0,11105578-6036096,11.285,0.019,0.023,809.9,10.633,0.02,0.022,833.1,10.441,0.021,0.023,473.2,AAA,222,111,000,556655,7.1,311.0,793975596.0,0.0,0.0,793975617.0,s,2000-01-23,99.0,290.901,-0.1,-65.5,2451566.8138,0.73,0.83,1.06,11.297,0.02,10.651,0.037,10.443,0.023,2710.0,187.0,ne,0.0,1.0,U,5.0,320,14.4,12.4,1.0,,43448.0,999284.0,33.0,Opt
"[0.715, 7.239, 7.415, 7.471]",89.0,0.715,168.11973,-60.713692,0.06,0.06,45.0,11122873-6042492,15.066,0.07,0.071,26.7,14.34,0.084,0.085,26.5,14.244,0.072,0.072,14.8,AAA,222,111,000,564606,6.6,158.0,794113126.0,0.0,0.0,794113105.0,s,2000-01-23,101.0,291.119,-0.132,107.0,2451566.8236,1.25,0.8,0.94,15.183,0.135,14.488,0.056,15.018,0.294,3109.0,146.0,nw,0.0,1.0,U,0.2,81,19.0,17.5,1.0,,43450.0,999331.0,44.0,Opt
