_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[],12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.474],16.0,0.474,J111209.34-603658.9,168.0389258,-60.6163857,0.0402,0.0371,145.4,Im,10.221,0.023,10.317,0.021,10.193,0.204,8.834,,11.142,0.024,10.484,0.022,10.393,0.021,2001.618,1946.905,1.680060601351026e+18,47.8,2.63,52.4,1.96,5.3,0.428,-1.4,0.695,1.64,1.0,0.0,0.0,0.0,0.0,0.0,H0D0,0.0,n0nn,54.0,54.0,54.0,54.0,29.0,34.0,1.0,32.0,0.0,168.038942,0.0392,-60.6163823,0.0395,-0.0099,73,25,37,25,2.6,1.92,0.428,0.695,1.61,2N003,AABU,7.0,0.0,55.258,55.606,35.863,33.177,794092147,0.408,2M
[8.319],17.0,8.319,J111153.90-603505.1,167.9746034,-60.5847528,0.042,0.0395,139.6,Im,10.153,0.024,10.246,0.023,9.496,0.063,7.428,0.153,11.562,,11.198,0.043,10.528,0.027,2084.283,2029.731,1.680060601351027e+18,45.5,1.58,48.1,1.74,17.2,2.69,7.1,2.2,1.97,2.0,0.0,0.0,0.0,0.0,0.0,0hd0,0.0,1211,57.0,57.0,57.0,57.0,37.0,37.0,14.0,34.0,0.0,167.9746043,0.0417,-60.5847528,0.0415,-0.0098,27,25,-4,25,1.58,1.74,2.69,2.2,1.97,2N000,AAAB,15.0,0.0,56.961,57.428,38.625,35.225,794092580,0.148,2M
[5.256],18.0,5.256,J111159.99-603506.4,167.9999624,-60.5851157,0.0518,0.0493,148.0,Im,11.785,0.029,11.951,0.026,9.256,0.144,7.538,0.3,13.363,0.037,12.374,,12.079,0.033,2051.674,2028.788,1.6800606013510275e+18,37.0,2.98,42.4,1.83,7.6,1.16,3.6,0.833,1.87,1.0,0.0,0.0,0.0,0.0,0.0,ddhd,0.0,310n,56.0,56.0,56.0,56.0,36.0,36.0,3.0,33.0,0.0,167.999964,0.0746,-60.5851155,0.0715,-0.0241,26,42,9,41,2.98,1.84,1.16,0.833,1.87,1N000,AABB,15.0,0.0,57.043,57.77,38.05,35.346,794092575,0.24,2M
[1.877],19.0,1.877,J111140.74-603531.9,167.919782,-60.5922188,0.0672,0.0651,175.5,Im,12.371,0.032,12.511,0.037,10.469,0.383,7.91,0.298,12.881,0.024,12.759,0.036,12.723,0.037,2154.752,2010.124,1.6800606013510267e+18,34.0,4.93,29.7,1.29,2.8,0.448,3.6,0.936,2.2,1.0,0.0,0.0,0.0,0.0,0.0,dd00,1.0,42nn,57.0,57.0,56.0,56.0,4.0,35.0,3.0,35.0,0.0,167.9197903,0.0807,-60.5922216,0.0772,-0.0113,170,42,-134,41,4.91,1.28,0.448,0.936,2.19,1N000,AACB,15.0,0.0,58.916,59.529,37.751,35.668,794092471,0.588,2M
[],20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9.133],22.0,9.133,J111148.58-603934.8,167.952432,-60.6596674,0.2286,0.2091,35.9,Im,13.363,0.082,13.785,0.15,9.115,0.249,6.902,0.242,16.345,0.125,14.39,0.029,13.705,0.049,2112.643,1833.574,1.6800606013510262e+18,13.3,0.792,7.2,1.24,4.4,0.696,4.5,0.748,0.908,3.0,0.0,0.0,0.0,0.0,0.001,00h0,0.0,011n,58.0,58.0,53.0,58.0,35.0,35.0,7.0,34.0,0.0,167.9526327,0.2223,-60.6594978,0.2247,0.0533,-424,161,-443,144,0.941,1.25,0.771,0.767,0.976,3Y081,ABBB,15.0,0.0,60.01,59.945,36.928,36.241,794091609,0.663,2M
[],23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3.495],24.0,3.495,J111132.53-603808.9,167.8855617,-60.6358298,0.0471,0.0452,151.0,Im,10.789,0.025,10.902,0.026,10.042,,8.211,,11.393,,11.576,0.071,11.296,0.042,2198.542,1895.876,1.680060601351026e+18,43.3,3.78,42.2,1.5,-0.7,0.103,-1.6,0.414,1.72,1.0,0.0,0.0,0.0,0.0,0.0,hhP0,1.0,13nn,62.0,62.0,62.0,62.0,0.0,38.0,0.0,38.0,0.0,167.8855624,0.046,-60.6358298,0.047,-0.0101,48,26,28,26,3.77,1.49,0.103,0.414,1.72,1N000,AAUU,3.0,0.0,64.267,63.957,39.923,38.595,794091907,0.661,2M
[3.954],25.0,3.954,J111130.80-603632.3,167.8783337,-60.608989,0.0414,0.0378,142.2,Im,9.766,0.024,9.899,0.021,10.619,,7.751,,11.598,0.04,10.667,0.039,10.303,0.032,2207.955,1966.133,1.6800606013510257e+18,45.6,10.1,51.4,7.4,0.2,0.511,-2.9,0.725,5.66,1.0,0.0,0.0,0.0,0.0,0.0,hhP0,1.0,88nn,60.0,60.0,60.0,60.0,0.0,38.0,0.0,36.0,0.0,167.8783308,0.0404,-60.6089874,0.0395,-0.0115,133,24,26,24,10.1,7.36,0.511,0.725,5.64,1N001,AAUU,3.0,0.0,60.083,61.571,38.805,36.177,794092241,0.695,2M
[],26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3.233],27.0,3.233,J111214.44-603823.2,168.0601972,-60.6397911,0.0549,0.0538,175.1,Im,12.179,0.028,12.266,0.03,11.176,,9.047,,12.313,0.03,12.249,0.036,12.293,0.034,1974.345,1885.606,1.6800606013510277e+18,39.3,2.45,35.7,1.42,2.0,0.538,0.7,0.913,1.47,3.0,0.0,0.0,0.0,0.0,0.0,00DD,0.0,21nn,57.0,57.0,57.0,57.0,1.0,37.0,0.0,35.0,0.0,168.0601972,0.0546,-60.6397911,0.0553,-0.0035,0,32,0,33,2.45,1.42,0.538,0.913,1.47,1N000,AAUU,3.0,0.0,57.105,56.768,36.9,34.545,794091863,0.671,2M
[],28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1.484],30.0,1.484,J111131.18-603829.3,167.8799528,-60.6414736,0.0394,0.036,138.4,Im,8.145,0.023,8.21,0.021,8.376,0.136,7.041,,8.767,,8.562,0.059,8.445,0.046,2205.715,1881.086,1.6800606013510257e+18,47.3,7.35,52.4,4.89,8.0,0.131,0.1,0.277,3.87,1.0,0.0,0.0,0.0,0.0,0.0,00h0,1.0,000n,62.0,62.0,62.0,62.0,38.0,38.0,0.0,37.0,0.0,167.8799528,0.0388,-60.6414739,0.041,-0.0141,9,23,-54,24,7.35,4.87,0.131,0.277,3.87,1N000,AABU,7.0,0.0,64.638,64.57,39.745,38.44,794091827,0.742,2M
[0.313],31.0,0.313,J111144.49-604002.7,167.9354038,-60.6674241,0.0379,0.034,142.5,Im,8.816,0.022,8.885,0.02,7.486,0.042,5.467,0.059,9.503,0.026,9.012,0.022,8.92,0.021,2134.467,1813.246,1.6800606013510257e+18,48.9,1.89,54.0,1.83,25.9,18.1,18.3,18.7,7.99,2.0,0.0,0.0,0.0,0.0,0.0,HHh0,1.0,nn00,59.0,59.0,59.0,59.0,35.0,35.0,34.0,34.0,0.0,167.9354034,0.0486,-60.6674241,0.0528,-0.0233,38,26,-40,27,1.91,1.83,18.1,18.7,7.99,3N000,AAAA,15.0,0.0,61.536,62.034,36.651,35.352,794091508,0.147,2M
[],32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[7.239, 7.946]",33.0,7.239,J111136.15-603920.4,167.9006438,-60.6556942,0.1523,0.1461,43.2,Im,13.658,0.068,14.139,0.099,10.177,,8.672,,13.829,0.033,13.578,0.036,13.482,0.033,2179.098,1843.9,1.6800606013510275e+18,15.9,2.49,11.0,2.24,-5.3,0.783,-15.9,1.67,1.93,1.0,0.0,0.0,0.0,0.0,0.0,0oh0,0.0,10nn,61.0,61.0,40.0,61.0,0.0,0.0,0.0,36.0,0.0,167.900643,0.1596,-60.6556942,0.1627,0.0061,-192,93,109,97,2.49,2.24,0.78,1.67,1.93,1N000,AAUU,3.0,0.0,60.593,60.681,37.204,36.299,794091658,1.088,2M
"[6.407, 8.626, 9.635]",34.0,6.407,J111136.15-603920.4,167.9006438,-60.6556942,0.1523,0.1461,43.2,Im,13.658,0.068,14.139,0.099,10.177,,8.672,,13.829,0.033,13.578,0.036,13.482,0.033,2179.098,1843.9,1.6800606013510275e+18,15.9,2.49,11.0,2.24,-5.3,0.783,-15.9,1.67,1.93,1.0,0.0,0.0,0.0,0.0,0.0,0oh0,0.0,10nn,61.0,61.0,40.0,61.0,0.0,0.0,0.0,36.0,0.0,167.900643,0.1596,-60.6556942,0.1627,0.0061,-192,93,109,97,2.49,2.24,0.78,1.67,1.93,1N000,AAUU,3.0,0.0,60.593,60.681,37.204,36.299,794091658,1.088,2M
[7.459],35.0,7.459,J111143.90-603409.6,167.9329515,-60.5693525,0.0438,0.0413,138.5,Im,10.506,0.024,10.624,0.023,11.468,0.403,9.327,,10.7,0.024,10.707,0.033,10.705,0.032,2137.886,2070.012,1.6800606013510272e+18,45.0,11.6,47.5,4.76,2.7,0.755,-1.9,1.12,5.38,1.0,0.0,0.0,0.0,0.0,0.0,0hdd,1.0,32nn,53.0,53.0,53.0,53.0,3.0,33.0,0.0,32.0,0.0,167.9329518,0.0424,-60.5693525,0.0427,-0.0108,45,26,32,26,11.5,4.76,0.755,1.12,5.38,1N000,AACU,7.0,0.0,55.309,55.997,34.834,33.411,794092774,0.517,2M
[8.62],36.0,8.62,J111202.19-604013.0,168.0091292,-60.6702857,0.0466,0.0441,129.1,Im,11.975,0.029,12.007,0.022,11.626,,9.198,,14.083,0.069,13.096,0.099,12.739,0.061,2039.909,1805.798,1.6800606013510264e+18,37.2,4.12,50.4,2.54,-0.1,1.1,-2.0,0.905,2.44,2.0,1.0,0.0,0.0,0.0,0.0,00d0,1.0,nnnn,60.0,60.0,60.0,60.0,1.0,38.0,0.0,36.0,0.0,168.0091302,0.0477,-60.6702851,0.0466,-0.0128,82,32,-9,32,6.85,3.72,1.11,0.906,3.65,1N000,AAUU,3.0,0.0,59.867,59.698,37.851,35.93,794091477,0.556,2M
