_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[2.141, 5.104]",81.0,2.141,1680m606o0076113,168.1094691,-60.6886671,878.28,878.036,955.151,955.971,2836.1,2670.6,0.008,0.024,0.008,0.024,13.953,35.504,1.0,1.0,207.0,13.81,0.4664,0.3305,2857.7,2608.5,14.322,36.556,2.6411,2.8569,0.00762373,0.00390762,0.000198209,0.00053,-95.528,-85.823,168.1094691,168.1081907,-60.6886671,-60.6888545,1680m606,1680m606w1o0085196,1680m606w2o0068271,225.0,214.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[4.871],82.0,4.871,1680m606o0018627,168.1046622,-60.6933008,872.219,872.226,958.241,958.245,252660.0,216730.0,0.0,0.001,0.0,0.001,79.698,150.45,1.0,1.0,838.2,90.42,0.9946,0.9926,253380.0,216800.0,81.327,153.43,2.6418,2.8595,-3.80278e-05,-6.68764e-05,1.99775e-05,3.9e-05,-101.29,-95.334,168.1046622,168.1046572,-60.6933008,-60.6932956,1680m606,1680m606w1o0020158,1680m606w2o0015550,224.0,216.0,1.0,1.0,1.0,0.0,8.0,0.0,1.0
"[2.295, 8.709, 9.576, 9.932]",83.0,2.295,1680m606o0135772,167.7702002,-60.6320979,952.126,952.488,1172.842,1172.292,1187.1,1269.7,0.016,0.042,0.016,0.042,11.209,28.981,1.0,1.0,35.82,10.49,0.4551,0.3949,1270.2,1286.4,11.486,29.821,2.64,2.8617,0.00227004,0.00607693,0.000354853,0.00088,-96.226,-101.0,167.7702002,167.7710581,-60.6320979,-60.6318227,1680m606,1680m606w1o0174400,1680m606w2o0133970,232.0,218.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.318, 9.529]",84.0,0.318,1680m606o0018144,168.0734862,-60.7068818,854.467,854.514,978.238,978.251,6910.8,6072.4,0.004,0.01,0.003,0.01,16.985,37.267,1.0,1.0,60.16,18.28,0.8834,0.8759,7084.9,6422.1,17.354,38.277,2.6434,2.8614,-0.000915647,-0.00459152,0.00011477,0.000266,-112.51,-129.43,168.0734862,168.0734652,-60.7068818,-60.7068459,1680m606,1680m606w1o0019665,1680m606w2o0015139,219.0,210.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[2.026, 3.457, 8.302]",85.0,2.026,1680m606o0077039,168.1807635,-60.6610593,914.323,914.018,909.363,909.301,3513.9,3576.7,0.007,0.019,0.007,0.019,16.099,37.797,1.0,1.0,65.11,15.11,0.3916,0.3679,3546.5,3686.9,16.377,38.62,2.6445,2.8589,0.00262272,0.00374204,0.000185802,0.00043,-93.362,-93.866,168.1807635,168.1808608,-60.6610593,-60.6612922,1680m606,1680m606w1o0086260,1680m606w2o0069201,205.0,209.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[2.472, 3.38]",86.0,2.472,1680m606o0020713,167.7394108,-60.6335924,950.095,950.107,1192.6,1192.59,102680.0,96914.0,0.001,0.002,0.001,0.001,55.262,110.29,0.9995,0.99974,300.3,59.98,0.9,0.8819,103260.0,97141.0,56.222,112.31,2.6431,2.8599,0.00140363,0.000564814,3.08405e-05,5.9e-05,-117.19,-132.73,167.7394108,167.7394263,-60.6335924,-60.6335835,1680m606,1680m606w1o0022289,1680m606w2o0017382,226.0,220.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
[2.975],87.0,2.975,1680m606o0139223,168.0669162,-60.7253385,830.309,830.375,982.469,982.106,435.38,758.37,0.044,0.071,0.043,0.07,10.737,28.92,1.0,1.0,137.8,16.9,0.1714,0.2156,524.33,893.85,11.042,29.821,2.6453,2.8597,0.0108067,-0.000325322,0.000914034,0.001441,-114.08,-130.98,168.0669162,168.0674838,-60.7253385,-60.725288,1680m606,1680m606w1o0185709,1680m606w2o0154519,220.0,219.0,1.0,1.0,32.0,160.0,0.0,0.0,1.0
"[0.797, 6.251, 9.18]",88.0,0.797,1680m606o0021798,167.731924,-60.6026206,990.62,990.614,1197.574,1197.574,71426.0,73740.0,0.001,0.002,0.001,0.002,45.055,93.675,1.0,1.0,532.6,58.92,0.9571,0.9537,71885.0,73994.0,45.79,95.357,2.6453,2.8622,-0.00134772,-0.00101054,3.65424e-05,6.6e-05,-104.86,-119.08,167.731924,167.7319228,-60.6026206,-60.6026253,1680m606,1680m606w1o0023391,1680m606w2o0018321,230.0,226.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.792, 2.146, 5.152, 7.49, 7.957]",89.0,0.792,1680m606o0196319,168.1192438,-60.713351,0.0,845.956,0.0,948.944,0.0,1857.2,0.0,0.032,0.0,0.03,0.0,31.897,0.0,1.0,0.0,20.28,0.0,0.4156,0.0,1973.1,0.0,32.769,0.0,2.857,0.0,-0.000790536,0.0,0.000673,0.0,-111.9,0.0,168.1192438,0.0,-60.713351,1680m606,,1680m606w2o0067476,0.0,211.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.817, 7.287]",90.0,1.817,1680m606o0079641,167.7238423,-60.5857383,1012.699,1012.77,1202.861,1202.799,4766.9,4383.6,0.005,0.015,0.006,0.016,16.96,38.852,1.0,1.0,85.26,22.81,0.4246,0.3508,5019.1,4808.1,17.249,39.681,2.6411,2.8591,-0.000401318,-0.00293672,0.000150788,0.000366,-109.28,-126.55,167.7238423,167.7239382,-60.5857383,-60.5856845,1680m606,1680m606w1o0089248,1680m606w2o0071793,234.0,224.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
