_rs_catwise,_q,_r_catwise,objID_catwise,RA_ICRS_catwise,e_RA_ICRS_catwise,DE_ICRS_catwise,e_DE_ICRS_catwise,Name_catwise,ePos_catwise,Xpos_catwise,Ypos_catwise,skyW1_catwise,e_skyW1_catwise,confW1_catwise,skyW2_catwise,e_skyW2_catwise,confW2_catwise,nW1_catwise,mW1_catwise,nW2_catwise,mW2_catwise,_tab1_20_catwise,RAPMdeg_catwise,e_RAPMdeg_catwise,DEPMdeg_catwise,e_DEPMdeg_catwise,ePosPM_catwise,pmRA_catwise,e_pmRA_catwise,pmDE_catwise,e_pmDE_catwise,snrW1pm_catwise,snrW2pm_catwise,FW1pm_catwise,e_FW1pm_catwise,FW2pm_catwise,e_FW2pm_catwise,W1mproPM_catwise,e_W1mproPM_catwise,chi2W1pm_catwise,W2mproPM_catwise,e_W2mproPM_catwise,chi2W2pm_catwise,chi2pm_catwise,pmQual_catwise,Dist_catwise,dW1mpro_catwise,chi2dW1mpro_catwise,dW2mpro_catwise,chi2dW2mpro_catwise,ELONavg_catwise,e_ELONavg_catwise,ELATavg_catwise,e_ELATavg_catwise,dELON_catwise,e_dELON_catwise,dELAT_catwise,e_dELAT_catwise,snrdELON_catwise,snrdELAT_catwise,chi2pmRA_catwise,chi2pmDE_catwise,ka_catwise,k1_catwise,k2_catwise,km_catwise,plx1_catwise,e_plx1_catwise,plx2_catwise,e_plx2_catwise,Sep_catwise,ccf_catwise,abf_catwise,WISEA_catwise
"[4.611, 6.153, 9.477]",99.0,4.611,1680m606_b0-007647,168.2163785,0.0182,-60.675575,0.0202,J111251.94-604032.1,0.0009,887.556,896.238,-47.79,25.7,13.97,34.11,39.3,11.03,13,13,13,13,57006.914278,168.2164167,0.0182,-60.6755859,0.0203,-0.0006,0.00612,0.0032,0.00306,0.0036,106.6,130.5,50000.0,500.0,44000.0,300.0,10.753,0.01,2.736,10.896,0.008,0.9823,1.847,3N000,0.04,0.025,1.389,-0.011,0.457,208.011623,0.019,-57.108497,0.019,-0.005,0.038,0.004,0.039,0.131,0.102,0.0,0.0,3,3,3,3,-0.003,0.019,-0.003,0.019,0.057,00h0,00,WISEA
[8.772],100.0,8.772,1680m606_b0-012531,168.1411423,0.0196,-60.7307431,0.0239,J111233.88-604350.7,-0.006,935.944,824.147,-23.71,38.0,34.83,19.2,43.0,52.66,13,13,13,13,57009.506686,168.141175,0.0198,-60.7307518,0.0244,-0.0055,-0.00337,0.0036,0.0007,0.0043,91.8,119.3,29000.0,300.0,23000.0,200.0,11.33,0.012,2.677,11.585,0.009,1.413,2.029,3N000,0.062,0.02,0.653,0.003,0.027,208.037327,0.023,-57.173339,0.021,-0.007,0.046,0.048,0.042,0.146,1.154,8.85,28.5,3,3,3,3,-0.016,0.023,-0.014,0.023,0.043,00H0,00,WISEA
"[2.944, 5.02, 8.875]",101.0,2.944,1680m606_b0-164927,168.2256549,0.1657,-60.680545,0.1758,J111254.16-604050.0,-0.0379,881.631,889.712,-34.71,33.4,16.75,37.65,48.2,9.33,12,13,7,13,56960.240266,168.2257317,0.1727,-60.6805243,0.1824,-0.0379,0.02375,0.0465,0.114,0.0478,21.5,7.7,620.0,30.0,650.0,80.0,15.52,0.051,1.351,15.465,0.141,0.4583,0.8985,2N000,1.102,-0.1,0.296,-0.076,0.043,208.024015,0.175,-57.108704,0.166,-0.852,0.45,-0.75,0.473,1.895,1.587,1.35,0.532,3,3,3,3,-0.45,0.226,-0.421,0.228,,,00,WISEA
"[0.86, 4.608]",102.0,0.86,1680m606_b0-068375,168.0537846,0.0172,-60.7549913,0.0219,J111212.91-604518.0,0.0054,991.881,792.484,29.86,59.6,23.25,132.1,61.8,12.11,13,13,13,13,56995.676114,168.0538161,0.0171,-60.7550024,0.0217,0.0053,-0.01706,0.0048,-0.02184,0.006,131.0,129.0,4500.0,30.0,3700.0,30.0,13.364,0.008,24.69,13.567,0.008,5.155,14.83,2N000,0.37,0.021,1.409,-0.038,4.979,208.014667,0.019,-57.220878,0.02,-0.286,0.038,0.281,0.041,7.499,6.891,0.113,50.1,3,3,3,3,-0.155,0.019,-0.156,0.019,0.26,0hDD,00,WISEA
"[0.29, 9.416]",103.0,0.29,1680m606_b0-015701,167.6832909,0.0224,-60.5992001,0.0279,J111043.99-603557.1,0.0057,1229.822,995.943,-26.23,37.0,0.0,-14.37,28.2,0.0,13,13,13,13,57002.923188,167.6833289,0.0226,-60.5992108,0.028,0.0056,0.00401,0.0039,-0.00855,0.0044,70.0,112.0,20000.0,300.0,19000.0,200.0,11.73,0.016,2.786,11.816,0.01,2.196,2.473,2N000,0.068,-0.022,0.5,0.002,0.01,207.574691,0.025,-57.242896,0.026,0.023,0.05,-0.006,0.052,0.462,0.113,0.4,9.35,3,3,3,3,0.012,0.025,0.008,0.025,0.179,0h00,00,WISEA
"[0.838, 7.596, 7.955, 8.777]",104.0,0.838,1680m606_b0-021843,167.6984925,0.0205,-60.5673078,0.0211,J111047.64-603402.3,0.0021,1220.245,1037.739,-29.27,30.3,34.21,22.45,25.3,74.1,13,13,13,13,57035.581035,167.6985237,0.0206,-60.567317,0.0213,0.002,-0.00753,0.0036,-0.00426,0.0041,91.0,129.0,13000.0,100.0,18000.0,100.0,12.222,0.012,6.862,11.886,0.008,3.555,5.173,3N000,0.108,0.041,2.724,0.039,5.281,207.541988,0.021,-57.215337,0.021,0.06,0.042,0.023,0.042,1.45,0.554,16.0,20.5,3,3,3,3,0.021,0.021,0.022,0.021,,,00,WISEA
[],105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.111, 5.089]",106.0,0.111,1680m606_b0-015957,168.1002341,0.0157,-60.753435,0.0183,J111224.06-604512.4,0.0033,962.171,794.488,-15.33,46.6,21.14,48.0,47.4,16.57,13,13,13,13,57017.173038,168.1002662,0.0153,-60.753446,0.0179,0.0026,-0.01475,0.0031,-0.00878,0.0037,125.4,143.3,23000.0,200.0,19000.0,100.0,11.58,0.009,7.63,11.792,0.008,2.799,5.18,3N000,0.06,-0.026,1.852,-0.006,0.149,208.04174,0.017,-57.203487,0.017,-0.053,0.034,0.06,0.035,1.563,1.729,4.94,8.93,3,3,3,3,-0.034,0.017,-0.031,0.017,0.088,0hhD,00,WISEA
"[9.827, 9.918]",107.0,9.827,1680m606_b0-194582,168.0509516,0.4095,-60.760509,0.5004,J111212.23-604537.8,0.2098,993.698,785.262,-6.35,46.5,0.0,109.4,106.6,0.0,4,13,2,13,56566.883607,168.0491773,0.3733,-60.7604337,0.537,0.203,-2.11349,0.1302,0.23278,0.1953,14.1,0.9,290.0,20.0,38.0,40.0,16.347,0.077,5.584,17.233,,1.414,3.476,1N003,0.0,,,0.399,0.683,208.020217,0.408,-57.22571,0.502,-0.045,1.584,0.0,1.673,0.028,0.0,12.2,0.0177,3,3,3,3,0.404,0.448,-0.265,0.81,,,00,WISEA
"[0.321, 8.064]",108.0,0.321,1680m606_b0-047625,168.1192218,0.0242,-60.760338,0.0287,J111228.62-604537.2,0.0039,950.043,785.431,21.25,51.5,36.37,82.46,64.6,17.61,13,13,13,13,56978.814465,168.1192675,0.0243,-60.7603449,0.0287,0.0038,0.01826,0.0052,-0.00384,0.0063,105.6,77.1,5600.0,50.0,5400.0,70.0,13.137,0.01,18.52,13.171,0.014,2.612,10.5,3N000,0.227,0.137,41.524,0.073,5.921,208.062806,0.026,-57.201622,0.027,-0.189,0.053,0.175,0.056,3.569,3.13,1.74,33.9,3,3,3,3,-0.097,0.027,-0.103,0.027,0.158,00P0,00,WISEA
[3.955],109.0,3.955,1680m606_b0-004951,168.0636131,0.0187,-60.7739645,0.0231,J111215.27-604626.3,0.0042,985.618,767.641,72.81,71.8,92.9,138.7,90.1,179.66,13,13,13,13,57016.222317,168.0636449,0.0185,-60.7739742,0.0229,0.004,-0.00691,0.0033,0.00876,0.004,99.7,122.6,76000.0,800.0,71000.0,600.0,10.299,0.011,2.691,10.367,0.009,2.001,2.331,2N000,0.077,-0.02,0.832,-0.01,0.319,208.046028,0.021,-57.230617,0.021,0.014,0.042,0.05,0.043,0.329,1.165,14.1,2.0,3,3,3,3,-0.005,0.021,0.002,0.021,0.22,hhHD,00,WISEA
[2.994],110.0,2.994,1680m606_b0-000829,168.1991569,0.0182,-60.7379875,0.021,J111247.80-604416.7,-0.0036,898.841,814.568,-32.04,36.7,51.18,34.74,24.2,60.96,13,13,13,13,57009.722192,168.1991889,0.0184,-60.7379963,0.0212,-0.0036,-0.0044,0.0032,-0.00114,0.0036,93.6,128.2,530000.0,6000.0,520000.0,4000.0,8.197,0.012,1.094,8.203,0.008,0.8981,0.9899,1N000,0.03,-0.023,0.971,-0.011,0.42,208.083325,0.02,-57.158017,0.019,-0.017,0.04,0.009,0.039,0.423,0.241,20.6,31.9,3,3,3,3,-0.02,0.02,-0.019,0.02,0.063,00hd,00,WISEA
[1.248],111.0,1.248,1680m606_b0-071310,168.1828953,0.0279,-60.750019,0.0295,J111243.90-604500.1,0.0069,909.29,798.848,-14.47,40.6,11.7,2.77,32.0,35.91,13,13,13,13,57067.112981,168.1829489,0.0254,-60.7500391,0.0273,0.0067,0.01475,0.0073,-0.00408,0.0087,118.4,78.3,3800.0,30.0,3200.0,40.0,13.548,0.009,14.56,13.752,0.014,4.651,9.552,1N000,0.966,-0.024,1.168,0.004,0.018,208.089059,0.028,-57.172109,0.03,0.91,0.058,-0.147,0.062,15.688,2.362,2.23,0.84,3,3,3,3,0.456,0.026,0.449,0.027,,,00,WISEA
"[0.289, 5.801, 8.045, 8.943, 9.672]",112.0,0.289,1680m606_b0-037591,167.6736351,0.0198,-60.703243,0.0262,J111041.68-604211.7,0.0068,1235.345,859.712,-58.66,22.7,12.97,51.67,25.3,19.64,13,13,13,13,56999.112136,167.673673,0.02,-60.7032512,0.0261,0.0062,0.03217,0.0044,0.01176,0.0053,96.9,119.1,8300.0,90.0,8000.0,70.0,12.7,0.011,33.41,12.743,0.009,13.01,23.06,3N000,0.353,-0.182,57.11,0.009,0.238,207.706994,0.022,-57.318617,0.024,0.305,0.046,-0.05,0.05,6.675,0.99,0.00013,0.00156,3,3,3,3,0.158,0.023,0.152,0.024,1.567,00h0,00,WISEA
"[1.233, 1.385, 9.851]",113.0,1.233,1680m606_b0-021740,168.0724079,0.0188,-60.7814686,0.0225,J111217.38-604653.3,0.0041,980.007,757.811,9.58,48.3,28.26,152.24,102.3,47.26,13,13,13,13,56999.728354,168.072441,0.0176,-60.7814758,0.0214,0.0034,-0.00599,0.0039,0.00394,0.0045,97.6,126.5,33000.0,300.0,29000.0,200.0,11.199,0.011,4.681,11.334,0.009,1.491,3.065,2N000,0.264,0.172,40.862,0.237,99.999,208.061511,0.02,-57.232744,0.021,0.167,0.041,-0.157,0.042,4.093,3.732,4.06,27.5,3,3,3,3,0.071,0.019,0.075,0.02,0.996,00PD,00,WISEA
"[1.145, 7.263, 9.472]",114.0,1.145,1680m606_b0-041813,168.099116,0.0523,-60.7848515,0.0709,J111223.79-604705.5,0.017,962.946,753.361,48.46,69.0,0.0,175.5,107.5,0.0,13,13,13,13,56980.953784,168.0991311,0.0562,-60.7848562,0.0721,0.0195,-0.01391,0.0088,0.00498,0.0106,53.7,25.5,7200.0,100.0,6700.0,300.0,12.856,0.02,6.224,12.932,0.043,0.5637,3.372,3N000,0.384,0.064,2.337,-0.088,1.034,208.082742,0.06,-57.225723,0.064,0.333,0.124,0.063,0.133,2.682,0.471,6.39,18.0,3,3,3,3,0.138,0.063,0.147,0.063,0.135,00PD,00,WISEA
"[5.332, 5.66, 5.942]",115.0,5.332,1680m606_b0-048940,168.0937152,0.0291,-60.7904824,0.034,J111222.50-604725.7,0.0073,966.407,745.995,42.12,54.5,14.33,200.47,57.2,11.25,13,13,13,13,57001.039722,168.0937541,0.0302,-60.7904859,0.0362,0.0055,0.00816,0.0062,0.03907,0.0076,70.0,80.3,6300.0,90.0,5000.0,60.0,13.003,0.016,8.783,13.252,0.014,1.428,5.073,3N000,0.133,-0.005,0.025,0.067,5.899,208.086838,0.031,-57.23153,0.032,0.06,0.062,0.081,0.065,0.971,1.252,2.29,18.2,3,3,3,3,0.011,0.033,0.022,0.032,0.075,00Pd,00,WISEA
"[0.291, 2.959, 7.745]",116.0,0.291,1680m606_b0-145739,168.2213516,0.1206,-60.754959,0.1255,J111253.13-604517.8,0.0507,884.713,792.306,-1.93,41.4,55.65,56.38,54.7,90.54,11,13,10,13,56865.664895,168.2214104,0.1434,-60.7549165,0.1453,0.0462,0.02074,0.0506,0.19933,0.0515,20.3,15.1,520.0,30.0,500.0,30.0,15.702,0.054,13.26,15.741,0.072,6.126,9.63,1N000,0.0,-0.005,0.003,0.611,13.92,208.119717,0.112,-57.162041,0.133,-0.045,0.226,0.0,0.272,0.199,0.0,23.5,9.97,3,3,3,3,0.009,0.149,-0.007,0.12,,,D0,WISEA
"[7.396, 7.757, 8.684]",117.0,7.396,1680m606_b0-102977,168.109803,0.139,-60.7874884,0.1551,J111226.36-604714.9,0.0168,956.123,749.899,45.5,65.6,0.0,215.77,92.4,0.0,13,13,11,13,57001.524451,168.1098393,0.1835,-60.7874988,0.1954,0.0505,-0.00847,0.0372,0.03443,0.04,22.9,6.4,2700.0,100.0,1400.0,200.0,13.938,0.047,2.945,14.598,0.169,0.7078,1.812,1N000,0.118,-0.164,1.817,-0.109,0.104,208.092942,0.147,-57.223803,0.148,0.053,0.37,-0.067,0.382,0.143,0.175,0.0781,0.373,3,3,3,3,0.005,0.203,0.022,0.192,,,00,WISEA
