name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J191416.6+094905,0.4203824435318275,0.0016067761806981,0.0367171457905544,0.0015246406570841,0.0,0.0270841889117043,0.2861798997759095,0.006348106294188,0.0484426990487286,0.0052345704969945,0.0,0.0276181772907732,0.1365195071868583,0.3761652977412731,0.1619866422917305,0.262505914164402,AGN,0.4203824435318275,0.2861798997759095,0.0,288.56920833333334,9.818116666666668,1.61,5.14,5.2114727069605886e-14,0.940995561088979,,,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191411.4+095237,0.0585215605749486,0.0100872689938398,0.0216598220396988,0.0002104722792607,0.0002686516084873,0.0061960985626283,0.148911677221005,0.0371812258835977,0.0371548669380505,0.0024794848250572,0.002751401388276,0.0132348361977949,0.1278062970568104,0.7752498288843258,0.1577482165961324,0.2151104819757386,NS,0.7752498288843258,0.2151104819757386,0.0,288.5478333333333,9.877008333333334,0.85,5.14,2.9857676710799995e-14,0.8654310929191426,,0.601,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191355.5+094615,2.053388090349076e-05,0.0511293634496919,0.3976103696098562,0.0336960985626283,0.2896098562628336,0.2233136550308008,0.0004529103357533,0.0488443813253464,0.1469517066789462,0.0363223838072538,0.112308540954853,0.1095309603388576,0.0044866529774127,0.0001334702258726,0.0085478717526168,0.0011481469366399,HM-STAR,0.3976103696098562,0.1469517066789462,0.0,288.4812916666666,9.770991666666667,1.49,6.03,2.272112233148995e-14,0.19010047560464666,,0.421,12.299035,9.79,8.721,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191408.5+095504,0.0,0.0043223819301848,0.1608932238193018,0.0016632443531827,0.7611601642710473,0.0646303901437371,0.0,0.0096869166209742,0.1034816460744747,0.0044312197272495,0.1259373447963768,0.0467111231303906,0.0071868583162217,0.0001437371663244,0.0106467135560293,0.0011908683026254,LM-STAR,0.7611601642710473,0.1259373447963768,1.0,288.53545833333334,9.917930555555555,0.75,8.75,1.954387378810518e-14,-0.8928910147974362,,0.817,13.118026,11.694,11.145,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191417.8+100116,8.213552361396305e-05,0.063223819301848,0.0880595482546201,0.0316016427104722,0.1203080082135523,0.6904209445585215,0.0009030206009077,0.0546828396961753,0.0595204590233016,0.0442860624950697,0.0788790141098594,0.1288223495828111,0.0059958932238193,0.0003080082135523,0.0130845924931624,0.0020040035817167,YSO,0.6904209445585215,0.1288223495828111,1.0,288.57416666666666,10.021272222222224,2.07,5.09,2.1118210395204243e-14,-0.27510804637665265,,0.883,14.744969,12.203,10.965,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191348.6+095235,3.080082135523614e-05,0.0567453798767967,0.1835112936344969,0.0261293634496919,0.1437782340862423,0.56847022587269,0.0005544141981805,0.0589788302659262,0.0884733565306332,0.0341856923637632,0.0811473232869186,0.1399082823798111,0.0191273100616016,0.0022073921971252,0.0226587856892864,0.0070349375350076,YSO,0.56847022587269,0.1399082823798111,0.0,288.45287499999995,9.8764,0.88,4.11,4.337940974921948e-15,-0.638483253526321,,0.555,17.249744,14.052,12.991959135961505,8,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191346.8+095635,0.0052977412731006,0.127700205338809,0.1414681724845995,0.0058008213552361,0.0455133470225872,0.4222895277207392,0.0088503404008835,0.0648157199598572,0.0851746920983356,0.0128364428282909,0.0308735997887255,0.0844086153207882,0.2168069815195072,0.0351232032854209,0.0901339058232667,0.035272179330796,YSO,0.4222895277207392,0.0844086153207882,0.0,288.4453333333333,9.943205555555556,1.73,3.17,5.564296620973786e-15,-0.41498407846030383,,0.857,18.02978,,13.251597539102937,5,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191342.2+095601,0.6267864476386037,0.0004620123203285,0.0254979466119096,0.0011344969199178,3.080082135523614e-05,0.0196663244353182,0.3106138728176047,0.0029192796517902,0.0525215513529374,0.003789337139165,0.0007161877889086,0.0273704846138574,0.0830338809034907,0.2433880903490759,0.1298952454925608,0.263935779861129,AGN,0.6267864476386037,0.3106138728176047,0.0,288.4261249999999,9.933613888888887,1.28,5.03,3.717580775315866e-14,0.9665955197090176,,,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191347.3+095852,0.0419404517453798,0.0117761806981519,0.0142813141683778,0.0011036960985626,0.0012936344969199,0.015805954825462,0.1033490207432719,0.0480993021232136,0.0276186949791504,0.0041600219747578,0.0091364004672702,0.023426698463205,0.258829568788501,0.6549691991786448,0.1979443839702028,0.22645906743836,NS,0.6549691991786448,0.22645906743836,0.0,288.44724999999994,9.981266666666668,1.95,3.88,2.9654256605113954e-14,0.8931514874096866,,0.51,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191351.1+101153,0.1379568788501027,0.0098665297741273,0.0077156057494866,0.0098408624229979,0.0020482546201232,0.0609342915811088,0.1239560069695505,0.0190345779606595,0.0172548821693132,0.0143423969808675,0.0047807781484697,0.0374419701009067,0.1976796714579055,0.5739579055441478,0.1480281703471874,0.1868154644387639,NS,0.5739579055441478,0.1868154644387639,0.0,288.4631666666666,10.198097222222222,2.42,5.5,7.436922992066311e-14,0.9451593105686703,,0.154,,,17.721,2,,44.459999,-0.13,58.8,extent,J1912+101,
