#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
03913_000,52,ens0205900_001,acisf03913_000N020_b0041_h_ecf90_prep3.fits,6.97E-13,2.18E-14,6.81E-13,6.58E-13,7.04E-13,0.9994
14334_000,416,ens0042100_001,acisf14334_000N020_b0277_h_ecf90_prep3.fits,6.53E-13,3.93E-14,6.54E-13,6.11E-13,6.97E-13,0.9991
02801_000,29,ens0229500_001,acisf02801_000N021_b0022_h_ecf90_prep3.fits,6.23E-13,4.31E-14,5.99E-13,5.54E-13,6.50E-13,0.9994
13905_002,6,ens0288900_001,acisf13905_002N020_b0005_h_ecf90_prep3.fits,5.81E-13,2.22E-14,5.67E-13,5.44E-13,5.88E-13,0.9995
13637_000,2516,ens0042100_001,acisf13637_000N020_b0996_h_ecf90_prep3.fits,5.14E-13,1.96E-14,5.13E-13,4.92E-13,5.36E-13,1.0002
06419_000,129,ens0042100_001,acisf06419_000N020_b0117_h_ecf90_prep3.fits,5.08E-13,2.34E-14,5.07E-13,4.82E-13,5.31E-13,1.0001
15546_000,3297,ens0042100_001,acisf15546_000N020_b1069_h_ecf90_prep3.fits,3.40E-13,2.12E-14,3.39E-13,3.17E-13,3.63E-13,0.9999
14433_000,5,ens0150500_001,acisf14433_000N021_b0004_h_ecf90_prep3.fits,2.89E-13,1.50E-14,2.79E-13,2.60E-13,2.92E-13,0.9999
14334_000,806,ens0042100_001,acisf14334_000N020_b0447_h_ecf90_prep3.fits,2.74E-13,2.49E-14,2.71E-13,2.45E-13,3.00E-13,0.999
13624_000,12,ens0380500_001,acisf13624_000N020_b0011_h_ecf90_prep3.fits,2.74E-13,1.36E-14,2.63E-13,2.50E-13,2.77E-13,1.0029
15546_000,2883,ens0042100_001,acisf15546_000N020_b1135_h_ecf90_prep3.fits,2.57E-13,1.83E-14,2.55E-13,2.35E-13,2.75E-13,0.9996
13858_000,10,ens0238300_001,acisf13858_000N020_b0008_h_ecf90_prep3.fits,2.65E-13,1.69E-14,2.50E-13,2.34E-13,2.68E-13,1.0012
14334_000,678,ens0042100_001,acisf14334_000N020_b0382_h_ecf90_prep3.fits,2.20E-13,2.31E-14,2.18E-13,1.94E-13,2.45E-13,1.004
14334_000,688,ens0042100_001,acisf14334_000N020_b0383_h_ecf90_prep3.fits,2.17E-13,2.18E-14,2.15E-13,1.92E-13,2.41E-13,0.9991
15546_000,978,ens0042100_001,acisf15546_000N020_b0533_h_ecf90_prep3.fits,2.08E-13,1.54E-14,2.08E-13,1.91E-13,2.24E-13,1.0021
13637_000,2669,ens0042100_001,acisf13637_000N020_b1069_h_ecf90_prep3.fits,1.97E-13,1.23E-14,1.97E-13,1.83E-13,2.11E-13,1.0005
04374_000,3297,ens0042100_001,acisf04374_000N020_b1069_h_ecf90_prep3.fits,1.95E-13,5.20E-15,1.95E-13,1.90E-13,2.01E-13,0.9996
04674_000,240,ens0138700_001,acisf04674_000N021_b0044_h_ecf90_prep3.fits,1.93E-13,1.38E-14,1.90E-13,1.74E-13,2.04E-13,0.9999
14335_000,872,ens0042100_001,acisf14335_000N020_b0485_h_ecf90_prep3.fits,1.87E-13,1.22E-14,1.88E-13,1.76E-13,2.01E-13,0.9992
03498_000,2657,ens0042100_001,acisf03498_000N020_b1069_h_ecf90_prep3.fits,1.87E-13,7.10E-15,1.87E-13,1.79E-13,1.95E-13,0.9998
15546_000,688,ens0042100_001,acisf15546_000N020_b0383_h_ecf90_prep3.fits,1.83E-13,1.42E-14,1.81E-13,1.67E-13,1.98E-13,0.9996
01522_002,361,ens0042100_001,acisf01522_002N020_b0259_h_ecf90_prep3.fits,1.87E-13,1.04E-14,1.81E-13,1.69E-13,1.92E-13,0.9998
03498_000,3297,ens0042100_001,acisf03498_000N020_b1069_h_ecf90_prep3.fits,1.73E-13,7.72E-15,1.72E-13,1.64E-13,1.82E-13,1.0007
01522_002,2669,ens0042100_001,acisf01522_002N020_b1069_h_ecf90_prep3.fits,1.72E-13,9.37E-15,1.71E-13,1.62E-13,1.82E-13,0.9995
14335_000,2516,ens0042100_001,acisf14335_000N020_b0996_h_ecf90_prep3.fits,1.69E-13,1.13E-14,1.69E-13,1.57E-13,1.81E-13,1.001
01522_002,3297,ens0042100_001,acisf01522_002N020_b1069_h_ecf90_prep3.fits,1.66E-13,9.72E-15,1.67E-13,1.55E-13,1.79E-13,1.0004
15546_000,2208,ens0042100_001,acisf15546_000N020_b0573_h_ecf90_prep3.fits,1.59E-13,1.42E-14,1.59E-13,1.42E-13,1.75E-13,1.0015
13637_000,3297,ens0042100_001,acisf13637_000N020_b1069_h_ecf90_prep3.fits,1.54E-13,1.08E-14,1.55E-13,1.42E-13,1.66E-13,0.9995
14334_000,708,ens0042100_001,acisf14334_000N020_b0400_h_ecf90_prep3.fits,1.50E-13,1.84E-14,1.50E-13,1.31E-13,1.72E-13,1.0004
13637_000,801,ens0042100_001,acisf13637_000N020_b0444_h_ecf90_prep3.fits,1.49E-13,1.05E-14,1.49E-13,1.37E-13,1.61E-13,1.0026
14335_000,688,ens0042100_001,acisf14335_000N020_b0383_h_ecf90_prep3.fits,1.48E-13,1.05E-14,1.49E-13,1.37E-13,1.61E-13,1.0051
