#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
03498_000,2657,ens0042100_001,acisf03498_000N020_b1069_m_ecf90_prep3.fits,7.84E-14,2.52E-15,7.84E-14,7.56E-14,8.11E-14,1.0014
13637_000,2669,ens0042100_001,acisf13637_000N020_b1069_m_ecf90_prep3.fits,7.66E-14,4.17E-15,7.66E-14,7.20E-14,8.14E-14,0.9992
01522_002,2669,ens0042100_001,acisf01522_002N020_b1069_m_ecf90_prep3.fits,7.13E-14,3.20E-15,7.11E-14,6.78E-14,7.47E-14,0.9995
15546_000,688,ens0042100_001,acisf15546_000N020_b0383_m_ecf90_prep3.fits,7.02E-14,4.96E-15,7.01E-14,6.50E-14,7.60E-14,1.0014
04674_000,240,ens0138700_001,acisf04674_000N021_b0044_m_ecf90_prep3.fits,7.07E-14,4.06E-15,6.99E-14,6.56E-14,7.43E-14,0.999
04373_000,2657,ens0042100_001,acisf04373_000N020_b1069_m_ecf90_prep3.fits,6.96E-14,1.49E-15,6.95E-14,6.79E-14,7.12E-14,0.9996
04396_000,2669,ens0042100_001,acisf04396_000N020_b1069_m_ecf90_prep3.fits,6.66E-14,1.50E-15,6.68E-14,6.50E-14,6.83E-14,1.0014
15546_000,806,ens0042100_001,acisf15546_000N020_b0447_m_ecf90_prep3.fits,6.50E-14,4.68E-15,6.51E-14,6.03E-14,7.01E-14,1.0005
15546_000,708,ens0042100_001,acisf15546_000N020_b0400_m_ecf90_prep3.fits,6.45E-14,4.68E-15,6.44E-14,5.96E-14,6.93E-14,1.0005
04374_000,2657,ens0042100_001,acisf04374_000N020_b1069_m_ecf90_prep3.fits,6.34E-14,1.44E-15,6.34E-14,6.18E-14,6.50E-14,0.9996
15546_000,978,ens0042100_001,acisf15546_000N020_b0533_m_ecf90_prep3.fits,6.31E-14,4.89E-15,6.32E-14,5.78E-14,6.86E-14,1
14334_000,2663,ens0042100_001,acisf14334_000N020_b1080_m_ecf90_prep3.fits,6.35E-14,7.00E-15,6.30E-14,5.57E-14,7.16E-14,0.9999
15546_000,409,ens0042100_001,acisf15546_000N020_b0277_m_ecf90_prep3.fits,6.30E-14,4.70E-15,6.29E-14,5.80E-14,6.82E-14,1.0015
04374_000,2669,ens0042100_001,acisf04374_000N020_b1069_m_ecf90_prep3.fits,6.28E-14,1.43E-15,6.27E-14,6.13E-14,6.41E-14,0.9997
04136_000,2,ens0317300_001,acisf04136_000N020_b0001_m_ecf90_prep3.fits,6.25E-14,5.54E-15,6.25E-14,5.62E-14,6.84E-14,0.999
04396_000,2657,ens0042100_001,acisf04396_000N020_b1069_m_ecf90_prep3.fits,6.12E-14,1.44E-15,6.12E-14,5.97E-14,6.28E-14,0.9992
03498_000,2669,ens0042100_001,acisf03498_000N020_b1069_m_ecf90_prep3.fits,6.07E-14,2.23E-15,6.08E-14,5.82E-14,6.33E-14,1.0026
04395_000,2657,ens0042100_001,acisf04395_000N020_b1069_m_ecf90_prep3.fits,6.02E-14,1.83E-15,6.02E-14,5.83E-14,6.22E-14,1.0001
13637_000,801,ens0042100_001,acisf13637_000N020_b0444_m_ecf90_prep3.fits,6.03E-14,3.66E-15,6.01E-14,5.64E-14,6.43E-14,0.9996
14335_000,2516,ens0042100_001,acisf14335_000N020_b0996_m_ecf90_prep3.fits,5.74E-14,3.80E-15,5.80E-14,5.36E-14,6.20E-14,1.0041
12094_001,14,ens0219600_001,acisf12094_001N021_b0012_m_ecf90_prep3.fits,5.59E-14,4.21E-15,5.59E-14,5.13E-14,6.03E-14,1.0017
15546_000,2669,ens0042100_001,acisf15546_000N020_b1069_m_ecf90_prep3.fits,5.48E-14,4.31E-15,5.43E-14,4.98E-14,5.96E-14,1.0026
01522_002,2657,ens0042100_001,acisf01522_002N020_b1069_m_ecf90_prep3.fits,4.73E-14,2.56E-15,4.73E-14,4.45E-14,5.00E-14,0.9996
06419_000,129,ens0042100_001,acisf06419_000N020_b0117_m_ecf90_prep3.fits,4.56E-14,3.56E-15,4.56E-14,4.16E-14,4.98E-14,0.9991
04374_000,708,ens0042100_001,acisf04374_000N020_b0400_m_ecf90_prep3.fits,4.36E-14,1.22E-15,4.37E-14,4.23E-14,4.50E-14,1.002
14334_000,242,ens0042100_001,acisf14334_000N020_b0162_m_ecf90_prep3.fits,4.35E-14,5.77E-15,4.31E-14,3.70E-14,4.91E-14,1.0013
14335_000,2669,ens0042100_001,acisf14335_000N020_b1069_m_ecf90_prep3.fits,4.28E-14,3.20E-15,4.30E-14,3.94E-14,4.64E-14,0.9993
04373_000,2516,ens0042100_001,acisf04373_000N020_b0996_m_ecf90_prep3.fits,4.05E-14,1.19E-15,4.07E-14,3.93E-14,4.18E-14,1
13637_000,2657,ens0042100_001,acisf13637_000N020_b1069_m_ecf90_prep3.fits,4.05E-14,2.96E-15,4.04E-14,3.75E-14,4.40E-14,1.0014
14334_000,2208,ens0042100_001,acisf14334_000N020_b0573_m_ecf90_prep3.fits,3.90E-14,5.85E-15,3.90E-14,3.29E-14,4.52E-14,0.9991
15546_000,2657,ens0042100_001,acisf15546_000N020_b1069_m_ecf90_prep3.fits,3.80E-14,3.55E-15,3.81E-14,3.40E-14,4.21E-14,0.9997
