CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref,HESS_name
2CXO J171423.4-381541,258.5976964,-38.2614223,1.26,5.82,8e-18,6e-18,1.2e-15,7e-16,4.9e-14,9e-15,5e-14,9e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.002,0.06,0.001,0.0,0.2,0.4,0.02,0.3,0.007,0.08,0.006,0.0004,0.2,0.3,0.03,NS,0.4,0.3,0.246,,,,,J1713-381
2CXO J171441.4-381046,258.6725943,-38.179689,3.18,3.29,8e-18,6e-18,4e-16,4e-16,2.7e-14,8e-15,2.8e-14,8e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.001,0.06,0.001,0.0001,0.2,0.5,0.03,0.3,0.005,0.09,0.004,0.0008,0.2,0.3,0.04,NS,0.5,0.3,0.388,,,,,J1713-381
2CXO J171436.8-381231,258.6535578,-38.2088228,1.35,5.47,8e-18,6e-18,1.1e-15,6e-16,5e-14,1e-14,5.1e-14,1e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.002,0.06,0.001,0.0,0.2,0.4,0.02,0.3,0.009,0.08,0.004,0.001,0.2,0.3,0.03,NS,0.4,0.3,0.139,,,,,J1713-381
2CXO J171428.6-381756,258.619289,-38.2990598,3.1,3.7,5e-15,2e-15,2e-15,8e-16,1e-15,1e-15,9e-15,2e-15,0.895,,16.64,0.003,17.84,0.01,15.56,0.005,13.95,0.03,13.24,0.04,13.14,0.04,13.126,0.005,13.23,0.01,,,2.12,0.07,7.574,461.0,447.0,475.0,0.0,0.1,0.14,0.02,0.2,0.04,0.002,0.5,0.0,0.09,0.08,0.04,0.1,0.05,0.005,0.2,YSO,0.5,0.2,0.751,,,,,J1713-381
2CXO J171405.7-381030,258.5239082,-38.1752647,0.71,29.01,3e-15,1e-15,5.9e-14,4e-15,6.9e-13,3e-14,7.5e-13,3e-14,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.04,0.01,0.001,0.0,0.07,0.88,0.005,0.03,0.03,0.01,0.003,0.002,0.05,0.08,0.008,NS,0.88,0.08,6.433,extent,J1714-3810,NS,2005AJ....129.1993M,J1713-381
2CXO J180847.0-202745,272.1959254,-20.4626755,1.13,4.54,8e-18,6e-18,2e-15,2e-15,5e-14,1e-14,5e-14,1e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.1,0.001,0.0,0.3,0.6,0.02,0.1,0.01,0.1,0.004,0.0,0.2,0.3,0.03,NS,0.6,0.3,0.61,,,,,J1808-204
2CXO J180841.4-202512,272.1728146,-20.4201311,0.76,3.37,8e-16,3e-16,4e-16,2e-16,5e-15,4e-15,6e-15,4e-15,,,15.74,0.003,16.249,0.007,15.061,0.004,14.17,0.04,13.74,0.07,13.36,0.08,,,,,,,0.72,0.04,1.53,1332.0,1262.0,1403.0,0.0001,0.09,0.3,0.21,0.14,0.08,0.01,0.2,0.0008,0.07,0.1,0.09,0.08,0.06,0.01,0.07,HM-STAR,0.3,0.1,0.297,,,,,J1808-204
2CXO J180843.4-202358,272.1811105,-20.3994884,0.74,5.0,1.9e-15,4e-16,6e-16,3e-16,3e-16,2e-16,2.8e-15,5e-16,0.802,0.628,16.987,0.005,17.63,0.02,15.34,0.03,,,,,,,,,,,,,0.84,0.09,2.652,1169.0,1050.0,1292.0,0.0,0.05,0.7,0.0,0.01,0.06,0.004,0.2,0.0003,0.06,0.2,0.003,0.02,0.06,0.008,0.1,HM-STAR,0.7,0.2,1.968,,,,,J1808-204
2CXO J180839.3-202439,272.1638208,-20.4110088,0.72,84.24,2.2e-14,5e-15,8.2e-14,7e-15,1.35e-11,2e-13,1.36e-11,2e-13,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,0.0,0.01,0.0,0.2,0.7,0.01,0.03,0.04,0.01,0.01,0.003,0.1,0.1,0.01,NS,0.7,0.1,1.783,extent,,,,J1808-204
2CXO J180851.0-201935,272.2128764,-20.3266392,1.42,4.43,1e-15,1e-15,9e-15,3e-15,1.5e-13,4e-14,1.6e-13,4e-14,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.02,0.01,0.0,0.001,0.1,0.9,0.002,0.008,0.06,0.02,0.002,0.006,0.1,0.2,0.006,NS,0.9,0.2,2.583,,,,,J1808-204
