CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref,HESS_name
2CXO J191416.6+094905,288.5692284,9.8181154,1.61,5.14,8e-18,6e-18,1.5e-15,7e-16,5e-14,1e-14,5e-14,1e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.002,0.04,0.002,0.0,0.1,0.4,0.03,0.3,0.006,0.05,0.005,0.0,0.2,0.3,0.03,AGN,0.4,0.3,0.081,,,,,J1912+101
2CXO J191411.4+095237,288.5478204,9.8770076,0.85,5.14,4e-16,3e-16,1.6e-15,7e-16,2.8e-14,6e-15,3e-14,6e-15,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.01,0.02,0.0,0.0,0.1,0.8,0.01,0.1,0.04,0.04,0.002,0.003,0.2,0.2,0.01,NS,0.8,0.2,1.736,,,,,J1912+101
2CXO J191355.5+094615,288.4812998,9.7709925,1.49,6.03,5e-15,1e-15,5e-15,1e-15,1.4e-14,5e-15,2.3e-14,5e-15,0.421,,12.299,0.003,13.22,0.007,11.253,0.005,9.79,0.02,9.12,0.02,8.94,0.02,8.72,0.02,8.76,0.02,8.75,0.06,0.8,0.01,4.547,1250.0,1228.0,1271.0,0.0,0.05,0.4,0.03,0.3,0.004,0.0,0.2,0.0005,0.05,0.1,0.04,0.1,0.009,0.001,0.1,HM-STAR,0.4,0.1,0.417,,,,,J1912+101
2CXO J191408.5+095504,288.5354505,9.9179315,0.75,8.75,1.3e-14,2e-15,5e-15,1e-15,1e-15,1e-15,2e-14,2e-15,0.817,,13.118,0.003,13.566,0.003,12.5,0.004,11.69,0.02,11.39,0.02,11.33,0.03,11.14,0.03,11.29,0.03,11.97,,2.16,0.02,3.776,455.0,451.0,459.0,0.0,0.004,0.2,0.002,0.8,0.01,0.0,0.06,0.0,0.01,0.1,0.004,0.1,0.01,0.001,0.05,LM-STAR,0.8,0.1,2.616,,,,,J1912+101
2CXO J191417.8+100116,288.5741823,10.0212735,2.07,5.09,7e-15,2e-15,7e-15,2e-15,8e-15,5e-15,2.1e-14,5e-15,0.883,,14.745,0.004,15.843,0.009,13.703,0.008,12.2,0.02,11.45,0.03,11.23,0.03,10.96,0.03,11.07,0.03,10.2,0.1,0.72,0.03,7.338,1315.0,1272.0,1360.0,0.0001,0.06,0.09,0.03,0.12,0.01,0.0,0.7,0.0009,0.05,0.06,0.04,0.08,0.01,0.002,0.1,YSO,0.7,0.1,2.745,,,,,J1912+101
2CXO J191348.6+095235,288.4528694,9.876399,0.88,4.11,3.2e-15,9e-16,4e-16,3e-16,8e-16,8e-16,4e-15,1e-15,0.555,,17.25,0.005,18.15,0.02,15.658,0.007,14.05,0.03,13.31,0.03,13.09,0.04,12.992,0.004,12.93,0.008,,,0.3,0.4,8.231,3304.0,1978.0,4615.0,0.0,0.06,0.18,0.03,0.14,0.02,0.002,0.6,0.0006,0.06,0.09,0.03,0.08,0.02,0.007,0.1,YSO,0.6,0.1,1.686,,,,,J1912+101
2CXO J191346.8+095635,288.445344,9.9432048,1.73,3.17,2.2e-15,1e-15,1.7e-15,9e-16,2e-15,2e-15,6e-15,2e-15,0.857,,18.03,0.003,19.53,0.06,16.824,0.008,,,,,,,13.252,0.005,12.983,0.009,,,2.7,0.2,15.626,381.0,362.0,408.0,0.005,0.13,0.14,0.01,0.05,0.22,0.04,0.42,0.009,0.06,0.09,0.01,0.03,0.09,0.04,0.08,YSO,0.42,0.08,1.177,,,,,J1912+101
2CXO J191342.2+095601,288.426126,9.9336142,1.28,5.03,8e-18,6e-18,6e-16,5e-16,3.7e-14,8e-15,3.7e-14,8e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,0.03,0.001,0.0,0.1,0.2,0.02,0.3,0.003,0.05,0.004,0.0007,0.1,0.3,0.03,AGN,0.6,0.3,0.667,,,,,J1912+101
2CXO J191347.3+095852,288.4472704,9.9812657,1.95,3.88,1.2e-15,1e-15,4e-16,3e-16,2.8e-14,8e-15,3e-14,8e-15,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.01,0.001,0.001,0.3,0.7,0.02,0.1,0.05,0.03,0.004,0.009,0.2,0.2,0.02,NS,0.7,0.2,0.933,,,,,J1912+101
2CXO J191351.1+101153,288.4631559,10.198096,2.42,5.5,1e-15,1e-15,7e-16,7e-16,7e-14,1e-14,7e-14,1e-14,0.154,,,,,,,,,,,,,,17.72,,14.35,0.08,,,,,,,,,0.1,0.01,0.01,0.01,0.002,0.2,0.6,0.06,0.1,0.02,0.02,0.01,0.005,0.1,0.2,0.04,NS,0.6,0.2,1.124,,,,,J1912+101
2CXO J191354.6+101342,288.4777617,10.2283448,3.65,3.76,1e-15,8e-16,2e-15,1e-15,3.1e-14,8e-15,3.5e-14,8e-15,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,0.02,0.0,0.0,0.1,0.8,0.004,0.04,0.02,0.04,0.001,0.006,0.2,0.2,0.009,NS,0.8,0.2,2.087,,,,,J1912+101
2CXO J191340.1+101229,288.4173148,10.2082249,1.34,5.94,3e-16,2e-16,3e-15,1e-15,3e-14,6e-15,3.4e-14,6e-15,1.0,,18.526,0.004,21.2,0.3,16.82,0.007,12.6,0.02,11.24,0.02,10.52,0.02,9.94,0.03,9.59,0.02,6.98,0.05,0.3,0.3,7.074,4151.0,2445.0,8028.0,0.002,0.001,0.04,0.03,0.02,0.001,0.0,0.91,0.004,0.004,0.03,0.03,0.03,0.003,0.002,0.06,YSO,0.91,0.06,9.951,,,,,J1912+101
2CXO J191338.3+101159,288.4099586,10.1999921,1.27,4.43,8e-18,6e-18,8e-16,5e-16,2.2e-14,5e-15,2.3e-14,5e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.001,0.1,0.001,0.0,0.1,0.5,0.02,0.3,0.006,0.1,0.003,0.0008,0.1,0.3,0.03,NS,0.5,0.3,0.522,,,,,J1912+101
2CXO J191327.2+101032,288.3637421,10.17578,1.08,3.53,2.4e-15,8e-16,3e-16,2e-16,5e-15,4e-15,8e-15,4e-15,0.327,,13.846,0.003,14.426,0.003,13.116,0.004,12.23,0.02,11.78,0.02,11.68,0.03,11.63,0.04,11.86,0.05,11.2,,1.67,0.02,3.652,587.0,579.0,593.0,0.0,0.05,0.17,0.09,0.4,0.07,0.002,0.18,0.002,0.06,0.08,0.06,0.2,0.07,0.005,0.08,LM-STAR,0.4,0.2,1.092,,,,,J1912+101
2CXO J191331.9+101231,288.3830265,10.2087708,0.99,4.33,2.6e-15,8e-16,2e-15,8e-16,7e-16,7e-16,5e-15,1e-15,0.999,,18.999,0.004,20.8,0.1,17.7,0.01,16.02,0.1,15.4,0.1,15.29,,,,,,,,2.8,0.3,7.581,352.0,319.0,391.0,0.0,0.17,0.06,0.01,0.09,0.21,0.02,0.4,0.002,0.08,0.03,0.02,0.04,0.07,0.02,0.1,YSO,0.4,0.1,1.259,,,,,J1912+101
2CXO J191316.1+100902,288.3174064,10.1505613,0.74,9.27,1.7e-14,2e-15,2.4e-15,8e-16,7e-16,7e-16,2e-14,2e-15,0.352,,9.999,0.003,10.457,0.004,9.336,0.004,8.56,0.02,8.18,0.03,8.07,0.03,7.85,0.02,7.84,0.02,7.79,0.04,2.6,0.2,7.302,411.0,368.0,462.0,0.0,0.002,0.1,0.003,0.9,0.001,0.0,0.02,0.0,0.006,0.1,0.009,0.1,0.003,0.0003,0.02,LM-STAR,0.9,0.1,3.464,,,,,J1912+101
2CXO J191245.3+100657,288.18884,10.1161073,4.13,4.38,8e-15,2e-15,1.3e-15,8e-16,8e-18,6e-18,9e-15,2e-15,,,12.82,0.02,12.925,0.004,11.806,0.004,11.03,0.02,10.68,0.03,10.55,0.02,10.11,0.02,10.1,0.02,8.88,0.09,,,,,,,0.0001,0.006,0.19,0.01,0.69,0.002,0.0,0.1,0.0007,0.01,0.07,0.01,0.09,0.004,0.0,0.05,LM-STAR,0.69,0.09,2.958,,,,,J1912+101
2CXO J191257.6+101053,288.2401296,10.1814056,1.93,3.76,2.3e-15,9e-16,9e-16,6e-16,1e-15,1e-15,5e-15,2e-15,0.997,,18.894,0.005,20.8,0.1,17.61,0.01,15.84,0.07,15.18,0.08,15.05,,,,,,,,2.4,0.2,6.719,420.0,384.0,470.0,0.001,0.18,0.06,0.03,0.07,0.19,0.02,0.4,0.003,0.09,0.04,0.04,0.04,0.07,0.02,0.1,YSO,0.4,0.1,1.329,,,,,J1912+101
2CXO J191249.0+100917,288.2042045,10.1549425,5.77,3.29,1.6e-15,8e-16,1.2e-15,8e-16,4e-15,3e-15,7e-15,3e-15,0.886,,17.612,0.009,18.83,0.03,16.319,0.007,14.37,0.06,13.37,0.05,12.61,0.04,12.06,0.04,12.14,0.04,10.71,,1.6,0.3,5.108,707.0,587.0,829.0,0.0,0.003,0.05,0.02,0.02,0.01,0.002,0.89,0.002,0.007,0.05,0.05,0.03,0.02,0.006,0.09,YSO,0.89,0.09,6.208,,,,,J1912+101
2CXO J191246.9+100948,288.1955981,10.1634943,1.45,7.55,1.1e-14,3e-15,6e-15,1e-15,2e-14,7e-15,3.7e-14,7e-15,0.694,,15.167,0.003,15.93,0.007,14.3,0.007,13.12,0.02,12.59,0.03,12.45,0.03,12.42,0.01,12.611,0.009,,,2.02,0.03,4.627,486.0,478.0,493.0,0.0,0.2,0.12,0.1,0.2,0.2,0.005,0.22,0.0005,0.1,0.08,0.06,0.1,0.1,0.01,0.08,YSO,0.22,0.08,0.138,,,,,J1912+101
2CXO J191237.9+101044,288.1582275,10.1791483,1.58,14.66,6e-15,2e-15,2.5e-14,3e-15,2.3e-13,2e-14,2.7e-13,2e-14,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1,0.002,0.0,0.0,0.1,0.8,0.001,0.002,0.1,0.007,0.002,0.002,0.1,0.2,0.003,NS,0.8,0.2,2.585,extent,,,,J1912+101
2CXO J191300.3+101941,288.2514929,10.3281826,4.13,4.19,8e-15,2e-15,3e-15,1e-15,7e-15,6e-15,1.7e-14,7e-15,0.667,,11.084,0.003,11.89,0.003,10.206,0.004,9.0,0.03,8.42,0.03,8.24,0.02,8.07,0.02,8.14,0.02,8.21,0.04,1.41,0.02,5.891,695.0,685.0,705.0,0.0,0.03,0.4,0.04,0.4,0.0,0.0,0.09,0.0003,0.03,0.1,0.05,0.1,0.01,0.001,0.05,LM-STAR,0.4,0.1,0.177,,,,,J1912+101
2CXO J190806.2+060108,287.0262465,6.0191665,1.07,3.06,8e-18,6e-18,4e-16,4e-16,2e-14,7e-15,2e-14,7e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.001,0.04,0.001,0.0,0.1,0.3,0.03,0.3,0.004,0.08,0.003,0.0006,0.1,0.3,0.03,AGN,0.5,0.3,0.273,,,,,J1908+063
2CXO J190808.1+060346,287.0340025,6.0629981,1.04,3.31,9e-16,5e-16,9e-16,6e-16,4e-15,2e-15,6e-15,2e-15,0.342,,19.481,0.008,20.7,0.2,18.16,0.03,15.71,0.08,14.63,0.06,14.29,0.09,,,,,,,0.3,0.5,13.609,2309.0,1360.0,4071.0,0.0,0.04,0.04,0.05,0.14,0.1,0.01,0.6,0.002,0.04,0.03,0.05,0.1,0.09,0.01,0.2,YSO,0.6,0.2,1.977,,,,,J1908+063
2CXO J190804.9+060625,287.0206667,6.1071511,1.81,3.35,8e-18,6e-18,4e-16,3e-16,2.4e-14,7e-15,2.4e-14,7e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,0.03,0.001,0.0,0.1,0.3,0.02,0.3,0.003,0.08,0.004,0.001,0.1,0.3,0.03,AGN,0.6,0.3,0.542,,,,,J1908+063
2CXO J190732.6+055850,286.8861033,5.9806885,1.89,4.49,1.2e-14,3e-15,1.8e-15,9e-16,2e-15,2e-15,1.5e-14,3e-15,0.753,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1,0.04,0.0,0.06,0.5,0.3,0.01,0.005,0.1,0.06,0.0005,0.07,0.2,0.2,0.02,LMXB,0.5,0.2,0.419,,,,,J1908+063
2CXO J190754.7+060214,286.9781697,6.0374263,0.73,5.09,8e-18,6e-18,2.6e-15,9e-16,2e-14,5e-15,2.3e-14,5e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.2,0.0,0.0,0.2,0.4,0.03,0.2,0.003,0.2,0.001,0.0,0.1,0.2,0.05,NS,0.4,0.2,0.54,,J1907+0602,NS,2005AJ....129.1993M,J1908+063
2CXO J161642.1-520746,244.1757282,-52.1297049,3.42,4.61,1.7e-15,7e-16,1.9e-15,7e-16,8e-15,4e-15,1.2e-14,4e-15,1.0,,18.299,0.004,18.94,0.02,17.05,0.01,15.05,,14.18,0.07,13.8,0.07,12.857,0.002,13.77,0.02,,,-0.2,0.3,4.788,4644.0,3297.0,6706.0,0.01,0.1,0.04,0.04,0.03,0.2,0.01,0.5,0.01,0.05,0.03,0.04,0.02,0.1,0.02,0.1,YSO,0.5,0.1,1.152,,,,,J1614-518
2CXO J161653.4-520535,244.2227614,-52.0930806,1.52,7.65,8e-15,2e-15,2.6e-15,7e-16,5e-15,2e-15,1.6e-14,3e-15,0.582,,16.8,0.003,18.23,0.01,15.583,0.007,13.98,0.05,13.35,0.05,13.1,0.07,,,,,,,4.1,0.06,25.148,243.0,239.0,247.0,0.0,0.11,0.12,0.03,0.2,0.2,0.01,0.4,0.001,0.07,0.08,0.04,0.1,0.1,0.01,0.1,YSO,0.4,0.1,0.488,,,,,J1614-518
2CXO J161636.5-520747,244.15248,-52.1299818,6.31,3.59,8e-16,6e-16,1.9e-15,7e-16,1.1e-14,5e-15,1.4e-14,5e-15,0.217,,18.793,0.003,19.96,0.04,17.78,0.02,,,,,,,,,,,,,0.4,0.2,6.208,3121.0,2138.0,4635.0,0.01,0.3,0.05,0.01,0.002,0.3,0.2,0.13,0.02,0.1,0.04,0.02,0.005,0.1,0.1,0.07,CV,0.3,0.1,0.256,,,,,J1614-518
2CXO J161641.6-520625,244.1737277,-52.1071656,7.06,3.41,1e-15,6e-16,1.6e-15,6e-16,7e-15,4e-15,1e-14,4e-15,0.638,,18.929,0.004,,,,,12.51,0.04,11.71,0.05,11.11,0.04,11.861,0.003,11.727,0.006,,,0.3,0.2,4.747,4363.0,3010.0,6216.0,0.02,0.02,0.15,0.05,0.06,0.04,0.01,0.7,0.02,0.02,0.06,0.05,0.03,0.04,0.01,0.1,YSO,0.7,0.1,3.006,,,,,J1614-518
2CXO J161659.6-520315,244.2486259,-52.0543581,1.37,3.94,5e-16,3e-16,1.1e-15,4e-16,1.1e-15,9e-16,3e-15,1e-15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,0.01,0.0,0.2,0.5,0.1,0.03,0.07,0.06,0.01,0.0005,0.2,0.2,0.1,0.03,LMXB,0.5,0.2,0.766,,,,,J1614-518
2CXO J161651.8-520349,244.2161601,-52.0638865,1.49,5.09,8e-18,6e-18,1.7e-15,6e-16,1.1e-14,3e-15,1.3e-14,3e-15,,,19.289,0.004,20.33,0.05,18.41,0.02,,,,,,,,,,,,,0.5,0.3,4.355,3593.0,2501.0,4856.0,0.04,0.3,0.05,0.01,0.001,0.3,0.2,0.1,0.06,0.1,0.04,0.02,0.004,0.1,0.1,0.05,CV,0.3,0.1,0.197,,,,,J1614-518
2CXO J161650.2-520348,244.2092763,-52.0634158,1.84,3.94,8e-18,6e-18,9e-16,5e-16,7e-15,2e-15,8e-15,2e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.1,0.0,0.0,0.05,0.6,0.02,0.3,0.01,0.1,0.0003,0.001,0.08,0.3,0.03,NS,0.6,0.3,0.626,,,,,J1614-518
2CXO J161715.1-515925,244.3132076,-51.9903563,0.73,5.73,8e-18,6e-18,7e-16,3e-16,1.4e-14,3e-15,1.5e-14,3e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.0,0.06,0.0,0.0,0.1,0.5,0.02,0.3,0.003,0.09,0.001,0.0006,0.1,0.3,0.03,NS,0.5,0.3,0.221,,,,,J1614-518
2CXO J161658.9-520147,244.2457197,-52.0298602,0.92,4.06,2.5e-15,7e-16,2e-16,1e-16,8e-18,6e-18,2.7e-15,7e-16,,,13.008,0.003,13.329,0.003,12.521,0.004,12.07,0.03,11.77,0.03,11.68,0.03,11.704,0.002,11.708,0.004,,,1.74,0.02,15.008,563.0,559.0,568.0,0.0,0.0,0.06,0.001,0.91,0.001,0.0,0.03,0.0,0.002,0.06,0.003,0.08,0.003,0.0005,0.03,LM-STAR,0.91,0.08,6.099,,,,,J1614-518
2CXO J161714.2-515855,244.3092939,-51.9821211,0.74,5.92,2.1e-15,5e-16,1.5e-15,4e-16,3e-15,2e-15,7e-15,2e-15,0.073,,13.271,0.003,14.161,0.003,12.325,0.004,10.87,0.03,10.25,0.03,9.95,0.03,9.6725,0.001,,,,,0.47,0.02,2.764,1974.0,1915.0,2035.0,0.0,0.03,0.5,0.04,0.2,0.004,0.0,0.2,0.0003,0.03,0.2,0.04,0.1,0.009,0.002,0.1,HM-STAR,0.5,0.2,1.287,,,,,J1614-518
2CXO J161713.3-515910,244.3056767,-51.9863719,0.78,3.41,1.2e-16,9e-17,1.2e-15,4e-16,7e-16,5e-16,2e-15,7e-16,0.107,,13.19,0.004,13.758,0.006,12.004,0.004,9.35,0.03,7.36,0.02,5.61,0.02,3.2,0.4,0.46,,-1.0,0.3,0.37,0.09,5.284,2646.0,2190.0,3263.0,0.006,0.006,0.08,0.002,0.3,0.001,0.0,0.6,0.009,0.009,0.04,0.005,0.1,0.003,0.0006,0.1,YSO,0.6,0.1,1.505,,,,,J1614-518
2CXO J161656.3-520114,244.2347527,-52.0207322,0.84,4.21,1.3e-16,1e-16,2e-16,2e-16,1.1e-14,3e-15,1.1e-14,3e-15,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,0.01,0.0,0.0,0.1,0.3,0.01,0.2,0.02,0.03,0.002,0.001,0.1,0.2,0.02,AGN,0.6,0.2,0.817,,,,,J1614-518
2CXO J161701.9-520028,244.2582059,-52.0078221,0.74,4.45,1.5e-15,4e-16,6e-16,3e-16,1.3e-15,9e-16,3e-15,1e-15,0.93,,15.334,0.003,15.921,0.003,14.583,0.004,13.25,,12.64,,12.9,0.08,,,,,,,0.93,0.04,1.613,1043.0,998.0,1084.0,0.001,0.1,0.5,0.005,0.06,0.07,0.002,0.28,0.003,0.07,0.1,0.009,0.03,0.04,0.005,0.07,HM-STAR,0.5,0.1,1.157,,,,,J1614-518
2CXO J161710.5-515903,244.2939825,-51.9842717,0.87,3.76,7e-16,3e-16,8e-16,3e-16,7e-16,6e-16,2.2e-15,7e-16,0.884,,15.832,0.003,16.44,0.004,15.074,0.004,14.02,0.06,13.78,0.05,13.12,,,,,,,,0.45,0.04,3.123,2053.0,1906.0,2232.0,0.002,0.2,0.36,0.01,0.17,0.07,0.002,0.22,0.007,0.1,0.1,0.01,0.07,0.04,0.005,0.08,HM-STAR,0.36,0.1,0.778,,,,,J1614-518
2CXO J161649.6-520149,244.2070279,-52.03042,0.79,7.91,4.2e-15,9e-16,4.3e-15,9e-16,1e-14,2e-15,1.8e-14,3e-15,0.879,,16.364,0.004,17.3,0.01,15.33,0.01,13.67,0.06,13.03,0.06,12.73,0.06,,,,,,,0.53,0.05,12.531,1800.0,1660.0,2042.0,0.0,0.08,0.11,0.04,0.16,0.2,0.003,0.4,0.001,0.07,0.08,0.04,0.1,0.1,0.007,0.2,YSO,0.4,0.2,0.646,,,,,J1614-518
2CXO J161703.1-515951,244.2632289,-51.9977348,0.76,3.53,2e-16,1e-16,5e-16,3e-16,1.7e-15,8e-16,2.4e-15,9e-16,0.176,,19.0,0.004,20.34,0.07,17.69,0.02,,,,,,,,,,,,,0.2,0.3,3.662,4476.0,2764.0,6199.0,0.01,0.3,0.1,0.01,0.01,0.2,0.1,0.26,0.01,0.1,0.1,0.01,0.01,0.09,0.1,0.09,YSO,0.26,0.09,0.045,,,,,J1614-518
2CXO J161717.1-515745,244.321423,-51.9626321,0.73,8.87,1.6e-15,4e-16,4.5e-15,8e-16,1.9e-14,4e-15,2.5e-14,4e-15,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.02,0.03,0.0,0.0,0.1,0.8,0.001,0.008,0.05,0.05,0.0,0.003,0.1,0.1,0.004,NS,0.8,0.1,2.881,,,,,J1614-518
2CXO J161632.0-520410,244.1335346,-52.069586,3.51,3.35,2e-16,2e-16,5e-16,4e-16,1.6e-14,4e-15,1.7e-14,4e-15,0.869,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.01,0.01,0.001,0.0,0.1,0.3,0.01,0.3,0.04,0.02,0.003,0.002,0.2,0.2,0.01,AGN,0.5,0.3,0.491,,,,,J1614-518
2CXO J161701.2-515939,244.2553697,-51.9943338,0.77,3.71,9e-16,3e-16,5e-16,3e-16,6e-16,4e-16,1.9e-15,6e-16,0.039,,18.677,0.005,,,,,,,,,,,,,,,,,-1.1,0.3,3.903,6229.0,4685.0,8433.0,0.01,0.03,0.22,0.0,0.04,0.4,0.3,0.02,0.04,0.03,0.1,0.002,0.04,0.2,0.2,0.02,LMXB,0.4,0.2,0.156,,,,,J1614-518
2CXO J161721.5-515648,244.3396101,-51.9468253,1.09,3.0,1.3e-16,1e-16,9e-16,4e-16,7e-16,7e-16,1.7e-15,8e-16,0.604,,18.89,0.01,,,,,,,,,,,,,,,,,1.1,0.6,10.168,6858.0,4280.0,9450.0,0.04,0.05,0.19,0.0,0.03,0.4,0.3,0.02,0.08,0.06,0.1,0.002,0.04,0.2,0.2,0.02,LMXB,0.4,0.2,0.349,,,,,J1614-518
2CXO J161711.0-515753,244.2962294,-51.9649305,0.74,5.03,1.4e-15,4e-16,1e-15,4e-16,2e-15,1e-15,5e-15,1e-15,0.485,,15.92,0.003,16.355,0.005,14.444,0.007,,,,,,,11.092,0.001,10.993,0.002,,,0.2,0.1,4.258,4521.0,3438.0,6070.0,0.002,0.09,0.4,0.007,0.12,0.06,0.01,0.34,0.007,0.06,0.1,0.01,0.07,0.03,0.01,0.08,HM-STAR,0.4,0.1,0.189,,,,,J1614-518
2CXO J161649.8-520031,244.2078524,-52.0088482,0.79,6.4,4.3e-15,9e-16,1.6e-15,5e-16,2e-15,1e-15,8e-15,1e-15,0.693,,15.816,0.003,16.399,0.006,14.48,0.02,,,,,,,,,,,,,1.55,0.06,2.929,639.0,615.0,662.0,0.0,0.09,0.7,0.001,0.02,0.08,0.01,0.15,0.0003,0.08,0.2,0.004,0.02,0.08,0.01,0.09,HM-STAR,0.7,0.2,1.827,,,,,J1614-518
2CXO J161646.9-520104,244.1954698,-52.0177807,1.14,3.87,9e-16,4e-16,8e-16,4e-16,4e-15,2e-15,6e-15,2e-15,0.867,,18.275,0.004,,,,,,,,,,,,,,,,,1.5,0.2,3.324,698.0,619.0,805.0,0.02,0.09,0.1,0.001,0.02,0.5,0.2,0.02,0.08,0.06,0.06,0.005,0.03,0.2,0.2,0.02,LMXB,0.5,0.2,0.913,,,,,J1614-518
2CXO J161716.1-515627,244.3172984,-51.9410064,0.94,3.64,7e-16,3e-16,6e-16,3e-16,1.4e-15,9e-16,2.7e-15,1e-15,0.742,,16.304,0.003,17.009,0.005,15.465,0.005,14.26,0.06,13.79,0.08,13.59,0.08,,,,,,,0.25,0.05,5.771,3712.0,3134.0,4448.0,0.0,0.06,0.3,0.05,0.2,0.07,0.002,0.3,0.001,0.05,0.1,0.05,0.1,0.07,0.005,0.1,HM-STAR,0.3,0.1,0.24,,,,,J1614-518
2CXO J161700.3-515833,244.2514839,-51.9758607,0.8,3.06,5e-16,2e-16,3e-16,2e-16,2e-15,1e-15,3e-15,1e-15,1.0,,20.21,0.008,21.1,0.2,18.74,0.05,,,,,,,,,,,,,0.0,0.9,8.384,4010.0,2030.0,6764.0,0.01,0.2,0.08,0.01,0.01,0.4,0.07,0.25,0.02,0.09,0.06,0.02,0.02,0.1,0.07,0.1,LMXB,0.4,0.1,0.547,,,,,J1614-518
2CXO J161710.9-515705,244.2955533,-51.9514481,0.73,6.24,1e-16,1e-16,1.6e-15,5e-16,1.5e-14,3e-15,1.6e-14,3e-15,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.003,0.03,0.0,0.0,0.05,0.8,0.0,0.2,0.008,0.06,0.0003,0.003,0.09,0.2,0.01,NS,0.8,0.2,1.495,,,,,J1614-518
2CXO J161638.1-520136,244.1591659,-52.0268609,1.24,4.97,2.7e-15,7e-16,1.5e-15,5e-16,3e-15,2e-15,7e-15,2e-15,0.566,,9.583,0.003,10.084,0.003,8.901,0.004,8.13,0.02,7.92,0.02,7.81,0.02,7.63,0.03,7.63,0.02,7.52,0.02,0.24,0.02,5.419,3763.0,3530.0,4011.0,0.0,0.0,0.3,0.01,0.7,0.003,0.0,0.03,0.0007,0.02,0.1,0.02,0.2,0.008,0.0006,0.03,LM-STAR,0.7,0.2,1.127,,,,,J1614-518
2CXO J161700.6-515822,244.2525771,-51.9728123,0.73,6.69,1.9e-15,4e-16,2.5e-15,6e-16,4e-15,2e-15,8e-15,2e-15,0.2,,13.308,0.003,14.389,0.003,12.283,0.004,10.72,,9.9,0.03,9.62,0.03,9.05,0.01,9.53,0.01,,,0.37,0.02,7.493,2425.0,2331.0,2513.0,0.005,0.03,0.26,0.04,0.13,0.02,0.006,0.5,0.007,0.02,0.06,0.03,0.05,0.02,0.009,0.07,YSO,0.5,0.07,1.769,,,,,J1614-518
2CXO J161719.1-515444,244.3298017,-51.912389,1.33,3.64,1.5e-15,4e-16,7e-16,4e-16,6e-16,5e-16,2.8e-15,7e-16,0.243,,19.689,0.007,,,,,,,,,,,,,,,,,2.2,0.6,1.44,1100.0,732.0,1464.0,0.01,0.04,0.17,0.0,0.03,0.4,0.3,0.02,0.02,0.04,0.08,0.002,0.04,0.2,0.2,0.02,LMXB,0.4,0.2,0.176,,,,,J1614-518
2CXO J161650.7-515852,244.2115164,-51.9811332,0.83,4.49,6e-16,3e-16,1.5e-15,5e-16,2e-15,1e-15,5e-15,2e-15,0.691,,18.174,0.005,18.98,0.03,16.68,0.02,,,,,,,,,,,,,0.1,0.3,4.289,5099.0,3064.0,10147.0,0.001,0.2,0.2,0.002,0.01,0.3,0.04,0.3,0.008,0.1,0.1,0.006,0.01,0.1,0.05,0.1,LMXB,0.3,0.1,0.006,,,,,J1614-518
2CXO J161708.8-515606,244.2867036,-51.9352728,0.97,3.17,5e-16,2e-16,7e-16,3e-16,3e-15,3e-15,5e-15,3e-15,0.273,,14.493,0.003,14.898,0.003,13.873,0.004,13.07,0.02,12.86,0.03,12.75,0.03,12.852,0.004,12.937,0.009,,,0.42,0.02,4.228,2179.0,2085.0,2296.0,0.002,0.1,0.2,0.07,0.3,0.1,0.002,0.16,0.005,0.1,0.1,0.07,0.2,0.1,0.005,0.07,LM-STAR,0.3,0.2,0.506,,,,,J1614-518
