name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J191355.5+094615,2.053388090349076e-05,0.0511293634496919,0.3976103696098562,0.0336960985626283,0.2896098562628336,0.2233136550308008,0.0004529103357533,0.0488443813253464,0.1469517066789462,0.0363223838072538,0.112308540954853,0.1095309603388576,0.0044866529774127,0.0001334702258726,0.0085478717526168,0.0011481469366399,HM-STAR,0.3976103696098562,0.1469517066789462,0.0,288.4812916666666,9.770991666666667,1.49,6.03,2.272112233148995e-14,0.19010047560464666,,0.421,12.299035,9.79,8.721,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191408.5+095504,0.0,0.0043223819301848,0.1608932238193018,0.0016632443531827,0.7611601642710473,0.0646303901437371,0.0,0.0096869166209742,0.1034816460744747,0.0044312197272495,0.1259373447963768,0.0467111231303906,0.0071868583162217,0.0001437371663244,0.0106467135560293,0.0011908683026254,LM-STAR,0.7611601642710473,0.1259373447963768,1.0,288.53545833333334,9.917930555555555,0.75,8.75,1.954387378810518e-14,-0.8928910147974362,,0.817,13.118026,11.694,11.145,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191316.1+100902,0.0,0.0020225872689938,0.1043069815195071,0.0030492813141683,0.8696149897330595,0.0204209445585215,0.0,0.0061928167684277,0.1021729847889554,0.0091152061435259,0.1187377109826688,0.0217177875182434,0.0005749486652977,1.026694045174538e-05,0.002658738186341,0.000320420668056,LM-STAR,0.8696149897330595,0.1187377109826688,1.0,288.3174166666666,10.150561111111111,0.74,9.27,1.9795080156946402e-14,-0.9294208892943507,,0.352,9.999143,8.556,7.85,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191246.9+100948,2.053388090349076e-05,0.17217659137577,0.1230287474332648,0.0957802874743326,0.197741273100616,0.2237166324435318,0.0004529103357533,0.1142282097003617,0.0779343096711432,0.0629144591416377,0.109024596265119,0.0796068563837539,0.18217659137577,0.005359342915811,0.1220229689862077,0.009640198787438,YSO,0.2237166324435318,0.0796068563837539,0.0,288.1955833333333,10.163494444444444,1.45,7.55,3.666115980665525e-14,0.08932608520383777,,0.694,15.166695,13.117,12.417,8,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191237.9+101044,0.0004774127310061,0.1019558521560575,0.0023665297741273,0.0004055441478439,0.0001950718685831,0.0010677618069815,0.0022101799139171,0.0959101964216473,0.0065833379069088,0.0020186209363543,0.0017153368828765,0.0031556940038898,0.1099383983572895,0.7835934291581109,0.1066925268065353,0.1538709934618207,NS,0.7835934291581109,0.1538709934618207,1.0,288.1582083333333,10.17914722222222,1.58,14.66,2.660686252032787e-13,0.7657098789497219,,0.762,,,,0,extent,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J161653.4-520535,0.0001950718685831,0.1098254620123203,0.1171611909650924,0.0308932238193018,0.2338090349075975,0.3514887063655031,0.0014560842140501,0.0748350040418972,0.0815060933983913,0.0361583092117656,0.1076964658516235,0.1334780271679943,0.1508572895277207,0.0057700205338809,0.1152583637058786,0.0106795077371718,YSO,0.3514887063655031,0.1334780271679943,0.0,244.22275,-52.09308055555556,1.52,7.65,1.5918327893075554e-14,-0.37414993472090713,,0.582,16.800137,13.983,,6,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161649.6-520149,0.0001745379876796,0.0818377823408624,0.1108110882956878,0.0421457905544147,0.15652977412731,0.4016427104722792,0.0013102209247407,0.0662457535695053,0.0837817555893066,0.0403863064535899,0.0978718599115131,0.1688482587846216,0.2039835728952772,0.0028747433264887,0.1369456262912191,0.0072221196341589,YSO,0.4016427104722792,0.1688482587846216,0.0,244.2070416666666,-52.03041944444444,0.79,7.91,1.8175712118277453e-14,0.06363943844806941,,0.879,16.364489,13.669,,6,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161717.1-515745,0.0019969199178644,0.0230749486652977,0.0297997946611909,0.0,0.000441478439425,0.0012268993839835,0.0075824343144767,0.0495547029091966,0.0493923607771871,0.0,0.0034394130978114,0.0044258020491374,0.0938347022587269,0.8496252566735113,0.1157075396187673,0.1465835254273375,NS,0.8496252566735113,0.1465835254273375,1.0,244.32141666666664,-51.962633333333336,0.73,8.87,2.4707102325813445e-14,0.5073017154540987,,0.347,,,,0,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161649.8-520031,1.026694045174538e-05,0.0883521560574948,0.6545944558521561,0.0009342915811088,0.0201129363449692,0.145159137577002,0.000320420668056,0.0830565268357815,0.1856194728607406,0.0044479165487976,0.0193479944440035,0.0932707621972649,0.0846971252566735,0.0061396303901437,0.0756386691804274,0.0110792255929698,HM-STAR,0.6545944558521561,0.1856194728607406,0.0,244.20783333333327,-52.00884722222222,0.79,6.4,7.818663831666231e-15,-0.5101970042056531,,0.693,15.81566,,,3,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161710.9-515705,0.1378439425051334,0.0025410677618069,0.0316735112936345,1.026694045174538e-05,0.0002361396303901,0.0040400410677618,0.1929003818738891,0.007789355353543,0.0564277651420138,0.000320420668056,0.0030151532142592,0.011074235090285,0.0521201232032854,0.771534907597536,0.0853274747677543,0.2309455524900732,NS,0.771534907597536,0.2309455524900732,0.0,244.29554166666665,-51.95144722222223,0.73,6.24,1.6383558681815464e-14,0.7935466592589498,,0.115,,,,0,,331.470001,-0.6,50.4,extent,J1614-518,
