_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[7.743],14.0,7.743,J110459.98-584952.9,166.2499175,-58.8313702,0.0383,0.0358,131.6,Im,9.637,0.023,9.676,0.02,10.132,0.087,9.196,,9.716,0.029,9.705,0.03,9.665,0.023,3118.9,2648.984,1.670059101351039e+18,47.7,1.58,53.7,1.5,12.5,0.934,-3.2,0.984,1.31,1.0,0.0,0.0,0.0,0.0,0.0,00o0,0.0,110n,57.0,57.0,57.0,57.0,36.0,36.0,0.0,36.0,0.0,166.2499176,0.0373,-58.8313702,0.0371,-0.0094,-5,24,27,24,1.58,1.49,0.934,0.984,1.31,1N000,AAAU,7.0,0.0,58.015,57.774,37.952,37.59,826880493,0.199,2M
[3.094],15.0,3.094,J110506.54-584927.3,166.2772667,-58.8242649,0.0486,0.048,1.0,Im,13.308,0.026,13.501,0.027,12.592,,9.174,,14.546,0.043,13.885,0.045,13.726,0.054,3082.055,2668.017,1.6700591013510403e+18,42.0,2.12,40.0,1.35,-6.7,0.966,-2.2,0.841,1.41,1.0,0.0,0.0,0.0,0.0,0.0,ddO0,0.0,31nn,55.0,55.0,55.0,55.0,0.0,35.0,0.0,35.0,0.0,166.2772677,0.0495,-58.8242639,0.0501,0.0036,89,45,171,47,2.1,1.34,0.965,0.841,1.4,1N000,AAUU,3.0,0.0,55.048,54.568,35.024,35.234,826880407,0.633,2M
[],16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6.242],18.0,6.242,J110456.37-585014.4,166.2349077,-58.837353,0.0669,0.0517,143.9,Im,12.293,0.032,12.253,0.032,11.65,,8.397,,13.182,0.038,12.641,0.039,12.53,0.041,3139.049,2633.078,1.6700591013510395e+18,34.0,1.5,34.4,1.13,1.5,0.697,0.4,0.933,1.12,2.0,1.0,0.0,0.0,0.0,0.0,0h00,0.0,nnnn,57.0,57.0,57.0,57.0,1.0,36.0,0.0,36.0,0.0,166.234752,0.0469,-58.8373118,0.0464,-0.0081,-8,30,25,31,2.6,1.25,0.699,0.933,1.5,1N033,AAUU,3.0,0.0,58.175,57.504,37.817,37.237,826880552,0.145,2M
[],19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.675, 5.665]",20.0,0.675,J110456.37-585014.4,166.2349077,-58.837353,0.0669,0.0517,143.9,Im,12.293,0.032,12.253,0.032,11.65,,8.397,,13.182,0.038,12.641,0.039,12.53,0.041,3139.049,2633.078,1.6700591013510395e+18,34.0,1.5,34.4,1.13,1.5,0.697,0.4,0.933,1.12,2.0,1.0,0.0,0.0,0.0,0.0,0h00,0.0,nnnn,57.0,57.0,57.0,57.0,1.0,36.0,0.0,36.0,0.0,166.234752,0.0469,-58.8373118,0.0464,-0.0081,-8,30,25,31,2.6,1.25,0.699,0.933,1.5,1N033,AAUU,3.0,0.0,58.175,57.504,37.817,37.237,826880552,0.145,2M
[],21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.575, 8.854, 9.851]",22.0,0.575,J110519.60-585221.7,166.3316791,-58.8726992,0.0566,0.0489,43.5,Im,12.463,0.029,12.63,0.026,12.45,,9.213,,13.206,0.036,12.71,0.036,12.641,0.032,3006.972,2542.027,1.6700591013510395e+18,37.8,2.56,41.8,2.15,-3.0,0.802,-2.2,0.928,1.77,4.0,1.0,0.0,0.0,0.0,0.0,0h00,0.0,nnnn,58.0,58.0,58.0,58.0,0.0,37.0,0.0,38.0,0.0,166.3316839,0.0516,-58.8726997,0.0531,0.0215,41,34,71,34,8.86,4.26,0.814,0.931,4.34,3N001,AAUU,3.0,0.0,63.395,63.23,42.334,42.334,826880947,0.75,2M
[0.344],23.0,0.344,J110454.34-585053.6,166.2264214,-58.8482481,0.0726,0.0701,39.3,Im,13.055,0.036,13.204,0.037,12.109,,8.926,,13.371,0.03,13.124,0.037,13.038,0.032,3150.198,2604.416,1.67005910135104e+18,30.5,3.02,29.4,1.44,-4.0,0.885,-2.6,0.72,1.68,1.0,0.0,0.0,0.0,0.0,0.0,0000,1.0,00nn,58.0,58.0,58.0,58.0,1.0,36.0,0.0,36.0,0.0,166.2264214,0.0723,-58.848248,0.0729,0.0141,96,43,54,45,3.02,1.45,0.885,0.72,1.68,1N000,AAUU,3.0,0.0,58.215,58.043,36.722,36.995,826880680,0.247,2M
