_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.32, 5.262, 6.882]",209.0,0.32,166.165552,-58.777546,0.08,0.07,0.0,11043973-5846391,14.774,0.101,0.102,32.6,14.167,0.096,0.096,27.1,13.807,0.087,0.087,21.3,AAA,222,111,ccc,665614,5.3,95.0,826879874.0,0.0,0.0,826879871.0,s,2000-02-04,73.0,289.463,1.274,135.6,2451578.7331,1.47,0.77,0.96,14.534,0.069,14.001,0.071,13.953,0.216,4416.0,117.0,sw,0.0,1.0,0,,,,,0.0,,45127.0,1037917.0,221.0,Opt
"[0.553, 8.469]",210.0,0.553,166.253279,-58.75526,0.07,0.06,0.0,11050078-5845189,9.994,0.026,0.029,2659.7,9.924,0.029,0.03,1346.8,9.817,0.017,0.019,840.7,AAA,222,111,sss,666655,8.0,36.0,826879573.0,0.0,0.0,826879587.0,s,2000-02-04,73.0,289.496,1.312,-28.2,2451578.7331,2.57,5.14,4.06,9.956,0.005,9.893,0.038,9.785,0.021,4496.0,224.0,se,0.0,1.0,U,2.4,294,0.0,9.7,1.0,,45127.0,1037917.0,221.0,Opt
[0.728],211.0,0.728,166.211943,-58.762203,0.07,0.06,7.0,11045086-5845439,14.099,0.058,0.059,60.7,13.468,0.043,0.044,51.5,13.239,0.055,0.056,36.0,AAA,222,111,ppp,444455,11.0,137.0,826879702.0,0.0,0.0,826879671.0,s,2000-02-04,73.0,289.479,1.297,49.0,2451578.7331,9.17,6.71,3.65,13.682,0.019,13.288,0.114,13.033,0.073,4471.0,204.0,sw,0.0,1.0,U,1.4,292,19.1,14.4,1.0,,45127.0,1037917.0,221.0,Opt
"[7.443, 9.61]",212.0,7.443,166.419217,-58.777996,0.13,0.13,163.0,11054061-5846407,15.416,,,,15.361,0.116,0.116,8.7,15.574,,,,UBU,020,010,000,000600,3.9,116.0,826908862.0,0.0,0.0,826908870.0,s,2000-02-04,74.0,289.584,1.326,48.0,2451578.7353,,1.11,,,,15.393,0.188,,,4410.0,205.0,sw,0.0,1.0,U,2.8,290,18.7,16.6,1.0,,45128.0,1037926.0,56.0,Opt
[0.574],213.0,0.574,166.456051,-58.806492,0.18,0.17,42.0,11054945-5848233,16.105,0.095,0.096,9.6,15.613,0.135,0.136,6.9,15.264,,,,BCU,220,110,000,060600,11.8,20.0,826908584.0,0.0,0.0,826908550.0,s,2000-02-04,74.0,289.613,1.307,-20.8,2451578.7352,1.05,1.22,,16.498,0.326,16.294,0.596,,,4308.0,232.0,se,0.0,1.0,U,0.5,21,25.5,25.7,1.0,,45128.0,1037926.0,56.0,Opt
"[0.747, 9.235]",214.0,0.747,166.105271,-58.870247,0.18,0.16,7.0,11042526-5852128,16.335,0.122,0.123,7.7,15.665,0.163,0.164,6.8,16.305,,,,BCU,220,110,000,060600,8.6,7.0,826795570.0,0.0,0.0,826795549.0,s,2000-02-04,72.0,289.472,1.176,-134.7,2451578.7255,1.19,1.11,,16.632,0.399,15.637,0.241,,,4076.0,117.0,se,0.0,1.0,U,0.5,41,28.2,25.0,2.0,,45126.0,1037880.0,56.0,Opt
"[0.58, 6.037]",215.0,0.58,166.436365,-58.78968,0.06,0.06,0.0,11054472-5847228,12.602,0.019,0.023,240.8,12.203,0.02,0.022,159.5,12.157,0.017,0.019,97.4,AAA,222,111,000,666666,6.6,335.0,826908745.0,0.0,0.0,826908726.0,s,2000-02-04,74.0,289.597,1.318,15.9,2451578.7353,1.17,1.18,0.84,12.623,0.024,12.266,0.054,12.21,0.019,4368.0,237.0,sw,0.0,1.0,U,0.6,3,16.2,14.3,1.0,,45128.0,1037926.0,56.0,Opt
[0.381],216.0,0.381,166.113798,-58.886616,0.06,0.06,0.0,11042731-5853118,12.75,0.018,0.022,210.1,12.248,0.021,0.023,158.4,12.116,0.017,0.019,104.7,AAA,222,111,000,666666,12.6,359.0,826795434.0,0.0,0.0,826795386.0,s,2000-02-04,72.0,289.482,1.163,-150.5,2451578.7255,0.57,0.51,0.82,12.781,0.016,12.327,0.043,12.169,0.033,4017.0,101.0,se,1.0,1.0,U,0.2,339,16.7,15.5,1.0,,45126.0,1037880.0,56.0,Opt
[0.46],217.0,0.46,166.399649,-58.769413,0.06,0.06,0.0,11053591-5846098,8.741,0.029,0.034,8433.9,8.74,0.053,0.055,3871.8,8.693,0.019,0.021,2367.1,AAA,112,111,000,676666,15.8,330.0,826909024.0,0.0,0.0,826908966.0,s,2000-02-04,74.0,289.571,1.329,84.5,2451578.7353,0.71,0.68,0.77,8.814,0.012,8.836,0.038,8.708,0.016,4441.0,168.0,sw,0.0,1.0,T,0.1,307,9.06,8.96,2.0,,45128.0,1037926.0,56.0,Opt
"[3.161, 7.253, 8.194]",218.0,3.161,166.117227,-58.807156,0.06,0.06,163.0,11042813-5848257,15.082,0.058,0.059,24.5,14.424,0.068,0.068,21.4,14.162,0.074,0.075,15.9,AAA,222,111,ccc,555556,4.2,194.0,826796216.0,0.0,0.0,826796225.0,s,2000-02-04,72.0,289.452,1.237,-157.2,2451578.7255,1.12,1.26,1.0,14.134,0.072,13.611,0.076,13.56,0.113,4303.0,95.0,se,1.0,1.0,U,3.3,27,17.2,14.0,1.0,,45126.0,1037880.0,56.0,Opt
