Name,RAdeg,DEdeg,PosErr,Coord_Ref,ID_Flag,GLON,GLAT,Xray_Type,Porb,Ppulse,CRSF,Alt_Name,SpType,Gaia_DR3_ID,Gmag,e_Gmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,N_H,Min_Soft_Flux,Max_Soft_Flux,Soft_Xray_Var,Min_Hard_Flux,Max_Hard_Flux,Hard_Xray_Var,Mean_Mass,Low_Mass,High_Mass,Mean_Dist,Low_Dist,High_Dist,Teff,Lopt,IDS,CRSF_Ref,Spin_Ref,Orb_Ref,Spectral_Ref,Dist_Ref,Mass_Ref,Misc_Ref,Comments,_2MASS_ID,CatWISE_ID,ROSAT_ID,XMM_ID,Chandra_ID,XRT_ID,BAT_ID,INTEGRAL_ID
HR 4804,189.8102418428,-75.37063019321,3.3960712595586095E-5,2022arXiv220800211G,0.0,302.1433892058773,-12.517560044224027,BE,,,,I 296AB,B8Vn(e),5837600152935767680,6.5432,0.0028,,,6.169,0.026,6.169,0.033,6.102,0.024,6.5980000495910645,0.019999999552965164,5.988999843597412,0.009999999776482582,,,,,,,,,,,208.0,206.0,210.0,8530.92,,"HD 109857,** I  296AB,AKARI-IRC-V1 J1239143-752213,CCDM J12392-7522AB,CD-74   711,CPC 21.2  1860,CPD-74   955,GC 17214,GCRV 63429,GEN# +1.00109857,1H 1253-761,Hen 3-802,HIC  61738,HIP  61738,HR  4804,IDS 12328-7449 AB,INTREF   512,IRAS 12360-7505,2MASS J12391449-7522140,PPM 371589,SAO 256967,SA 203-513,SKY# 23617,TD1 16402,TIC 360632151,UBV   11334,uvby98 100109857,WDS J12392-7522AB,WEB 10982,WISEA J123914.44-752214.3,WISE J123914.45-752214.2,[JE82]  641,[ML88] F2 18",,,,1975mcts.book.....H,,,,,12391449-7522140,J123914.54-752214.0,,,,,,
1A 1238-59,190.50416666666663,-60.2,,2006A&A...455.1165L,2.0,301.7603918720998,2.650315264337553,XP,,191.0,,3A 1239-599,,,,,13.8,0.20000000298023224,,,,,,,,,,,,,,,,,,,,,,,,,,"1H 1238-599,1A 1238-59,3A 1239-599,INTREF   516,2S 1239-599,[BM83] X1239-599",,1977MNRAS.180p..21H,,,,,,HMXB candidate,,,,,,,,
HD 110432,190.70931703329,-63.05864217079,7.595169517528888E-5,2022arXiv220800211G,0.0,301.9579095967549,-0.2031612419944597,"BE,Gcas",226.0,14200.0,,1H 1249-637,B0.5IVpe,6055103928246312960,5.1368,0.003,5.31,,4.655,0.22,4.339,0.208,4.038,0.31,,,,,1.59,10.2077,43.8943,4.300116578661206,,,,,,,468.0,424.0,525.0,35305.3,,"HD 110432,ALS 14973,CD-62   671,CEL   4145,Cl Loden  670     1,CPC 20.1  3670,CPD-62  2898,CSV 101318,2E  2828,2E 1239.8-6246,EM* MWC  224,1ES 1239-62.7,FK5 3015,GC 17286,GCRV 22628,GEN# +1.00110432,GSC 08992-01861,1H 1249-637,Hen 3-810,HIC  62027,HIP  62027,HR  4830,INTREF   519,IRAS 12398-6247,JP11  2272,LLNS  8883,2MASS J12425028-6303310,NSV  5874,PBC J1243.1-6306,PPM 359572,ROT  6492,1RXS J124250.1-630332,SAO 252002,SKY# 23703,SWIFT J1243.3-6305,TIC 433936219,TYC 8992-1861-1,UBV   11388,UBV M  18510,UCAC3 54-175577,uvby98 100110432,V* BZ Cru,WEB 11028,2XMM J124250.4-630330,[JE82]  644,Gaia DR2 6055103928246312960,Gaia DR3 6055103928246312960",,2001A&A...377..148T,2012ApJ...755...64S,2006MNRAS.371..252L,,,,,12425028-6303310,,2RXS J124250.4-630326,4XMM J124250.3-630330,,,,
SRGA J124404.1-632232,191.01578611571,-63.37559907241,2.335401464416771E-5,2022arXiv220800211G,0.0,302.10577399736064,-0.5156819430064012,,138.0,538.7,,SRGE J124403.8-632231,Be,5862928537183584768,15.0821,0.0053,,,11.714,0.023,10.941,0.022,10.37,0.033,,,,,6.298,1.863,1.863,,,,,,,,6159.0,4649.0,8272.0,21012.74,,"2MASS J12440380-6322320,SRGA J124404.1-632232,SRGE J124403.8-632231,2SXPS J124403.6-632234",,,2021ATel14361....1M,2022A&A...661A..21D,,,,,12440380-6322320,,,,,2SXPS J124403.6-632234,,
1A 1244-60,191.89583333333331,-60.64277777777778,,2006A&A...455.1165L,2.0,302.45915580586205,2.225431433815262,XT,,,,1A 1244-604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1A 1244-60,1A 1244-604",,,,,,,,,,,,,,,,
mu.02 Cru,193.6534513,-57.16871140742,1.0121264743103998E-4,2022arXiv220800211G,0.0,303.36452108566937,5.7003685593996325,BE,,,,DUN 126B,B5Vne,6060547335455660032,5.1472,0.0029,5.2,,5.316,0.017,5.383,0.047,5.313,0.021,6.7769999504089355,0.02199999988079071,6.113999843597412,0.01600000075995922,,,,,,,,,,,123.0,118.0,130.0,13747.8,362.29998779296875,"HD 112091,* mu.02 Cru,** DUN  126B,CCDM J12546-5711B,CD-56  4689,CPC 20  3981,CPD-56  5487B,CSI-56  5487 42,EM* MWC  225,GC 17513,GCRV  7718,GEN# +1.00112091,GSC 08656-03487,1H 1255-567,Hen 3-837,HIC  63005,HIP  63005,HR  4899,IDS 12487-5638 B,INTREF   529,IRAS 12516-5653,JP11  2320,2MASS J12543689-5710070,PPM 341412,ROT  1905,SAO 240367,SKY# 24000,TIC 261862960,TYC 8656-3487-1,UBV   11621,uvby98 100112091,V* mu.02 Cru,WDS J12546-5711B,WEB 11170,[B10]  3359,[JE82]  653,AAVSO 1248-56,Gaia DR3 6060547335455660032,Gaia DR2 6060547331128876928",,,,2006MNRAS.371..252L,,,,,12543689-5710070,J125436.84-571007.1,,,,,,
3U 1258-61,195.32119649506,-61.60184481323,1.4135416513141735E-5,2022arXiv220800211G,0.0,304.1027072799486,1.247516361442437,"BE,CL,XP,XT",133.0,272.0,51,4U 1258-61,B2 Vne,5863533199843070208,12.6477,0.0029,14.4,0.10000000149011612,9.798,0.022,9.297,0.022,9.04,0.021,,,,,11.0,117.4,117.4,,21.45,529.05,24.66433566433567,,,,1853.0,1802.0,1907.0,,,"4U 1258-61,3A 1258-613,GX 304-01,1H 1257-610,H 1258-613,INTREF   537,1M 1258-613,2MASS J13011709-6136065,PBC J1301.2-6136,2S 1258-613,SWIFT J1301.2-6139,SWIFT J1300.8-6139,TIC 438873057,2U 1258-61,3U 1258-61,V* V850 Cen,1XRS 12582-613,[BM83] X1258-613,[W74] 34,Gaia DR2 5863533199843070208,Gaia DR3 5863533199843070208",2011PASJ...63S.751Y,"1983ApJ...273..709P,1989PASJ...41....1N","1983ApJ...273..709P,1989PASJ...41....1N",1980MNRAS.190..537P,,,,,13011709-6136065,,,,,2SXPS J130117.0-613604,SWIFT J1301.2-6139,4U 1258-61
2RXP J130159.6-635806,195.4946052393,-63.96912167623,8.853840974402014E-5,2022arXiv220800211G,0.0,304.0882574633323,-1.1210420673748618,"BE,XP,XT",,643.0,,IGR J13020-6359,B0-6Ve,5862285700835092352,17.3067,0.003,,,12.962,1.339,12.047,0.031,11.346,0.088,,,,,22.0,32.9088,148.632,4.516481913652275,,,,,,,4258.0,1378.0,8329.0,5615.4,570.2999877929688,"2MASS J13015871-6358089,CXOU J130158.6-635807,IGR J13020-6359,NuSTAR J130157-6358.1,PBC J1302.1-6356,1RXP J130159.6-635806,2RXP J130159.6-635806,SWIFT J1302.0-6358,SWIFT J1301.7-6357,TIC 439169923,2XMM J130158.7-635808,[KRL2007b] 129,Gaia DR3 5862285700835092352,Gaia DR2 5862285700835092352",,2015ApJ...809..140K,,2018A&A...618A.150F,,,,,13015871-6358089,,,4XMM J130158.7-635808,,2SXPS J130158.6-635808,,
PSR B1259-63,195.69848851536,-63.83573123377,1.3386933928274988E-5,2022arXiv220800211G,0.0,304.1835510004008,-0.9915846982021324,GP,1236.72,0.05,,LS 2883,O9.5Ve,5862299960127967488,9.6328,0.0028,9.98,0.05999999865889549,8.026,0.027,7.699,0.055,7.248,0.02,6.7829999923706055,0.01600000075995922,6.439000129699707,0.00800000037997961,7.323,0.9778,40.9181,41.84814688780099,,,,,,,2098.0,1945.0,2233.0,35609.8,,"CPD-63  2495,AKARI-IRC-V1 J1302480-635009,ALS  2883,AX J1302-638,GEN# -0.06302495,GSC 08997-01597,Hbg  757,Hen 3-852,HESS J1302-638,INTREF   538,LLNS  9661,LS 2883,2MASS J13024765-6350085,MSX6C G304.1845-00.9916,NAME OKM2018 SWIFT J1302.3-6385,PSR J1302-6350,PSR B1259-63,SSTGLMC G304.1836-00.9916,TeV J1302-638,THA 17-8,TIC 439164152,TYC 8997-1597-1,UCAC2   3710789,UCAC4 131-076808,uvby98 -006302495,WISEA J130247.65-635008.6,WISE J130247.65-635008.6,WRAY 15-1053,2XMM J130247.6-635008,XMMOM J130247.7-635008,[GM76] 259,[KRL2007b] 130,[L68] 195,[VDD70] Cen-Mus  1,AAVSO 1256-63,Gaia DR3 5862299960127967488,Gaia DR1 5862299955795862144,Gaia DR2 5862299960127967488",,1992ApJ...387L..37J,2014MNRAS.437.3255S,2014MNRAS.439..432C,,,,,13024765-6350085,J130247.67-635008.5,,4XMM J130247.6-635008,J130247.6-635008,2SXPS J130247.6-635008,,
IGR J13186-6257,199.604394,-62.97102,0.1555634910181035,2003yCat.2246....0C,0.0,305.9915029600663,-0.2596571164876881,BE,19.99,,,2MASS J13182505-6258156,B0-6Ve,,,,,,13.581,,12.689,,12.842,0.05,,,,,,0.1594,12.57,78.86575996125477,,,,,,,,,,,,"2MASS J13182505-6258156,CXOU J131825.0-625815,IGR J13186-6257,PBC J1318.2-6259,SSTGLMC G305.9915-00.2597,SWIFT J1318.6-6259,TIC 443658242",,,2011A&A...529A..30D,2018A&A...618A.150F,,,2007ApJS..170..175B,,13182505-6258156,,,,J131825.0-625815,2SXPS J131825.4-625814,,
