name,Class,Class_prob,Class_prob_e,P_AGN,e_P_AGN,P_CV,e_P_CV,P_HM-STAR,e_P_HM-STAR,P_HMXB,e_P_HMXB,P_LM-STAR,e_P_LM-STAR,P_LMXB,e_P_LMXB,P_NS,e_P_NS,P_YSO,e_P_YSO,P_CO,e_P_CO,Candidate_CO,ra,dec,PU,significance,flux_flag,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,EDR3Name_gaia,source_id,RA_pmcor_gaia,DEC_pmcor_gaia,Gmag_gaia,e_Gmag_gaia,BPmag_gaia,e_BPmag_gaia,RPmag_gaia,e_RPmag_gaia,Plx_gaia,e_Plx_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,VPHASDR2_vphas,gmag_vphas,rmag_vphas,imag_vphas,Gmag_vphas,RPmag_vphas,BPmag_vphas,e_Gmag_vphas,e_RPmag_vphas,e_BPmag_vphas,cp_flag_vphas,_2MASS_2mass_gaia,Jmag_2mass_gaia,e_Jmag_2mass_gaia,Hmag_2mass_gaia,e_Hmag_2mass_gaia,Kmag_2mass_gaia,e_Kmag_2mass_gaia,cp_flag_2mass_gaia,AllWISE_allwise_gaia,W1mag_allwise_gaia,e_W1mag_allwise_gaia,W2mag_allwise_gaia,e_W2mag_allwise_gaia,W3mag_allwise_gaia,e_W3mag_allwise_gaia,W4mag_allwise_gaia,e_W4mag_allwise_gaia,cp_flag_allwise_gaia,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag,which_gaia,cp_flag_comb,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP,Jmag-Hmag,W1mag-W2mag,Jmag-W2mag,HRMS,HRHM
2CXO J110514.3-584941,YSO,0.625,0.105,0.010416667,0.015,0.208333333,0.08,0.010416667,0.015,0,0.005,0.114583333,0.055,0.03125,0.03,0,0.005,0.625,0.105,0.239583333,0.085732141,FALSE,166.3099583,-58.82819444,0.378173,5.96,0,1.31E-15,3.33E-16,5.51E-16,1.81E-16,2.72E-15,8.26E-16,4.58E-15,9.09E-16,1,,Gaia EDR3 5338655382721666816,5338655382721666816,166.3100603,-58.82821958,17.838081,0.004233,18.98923,0.024241,16.506708,0.009573,2.2329,0.1821,453.727112,415.986542,497.6474,448.772827,416.46579,483.990204,0,11051441-5849417,14.922,0.042,14.206,0.049,14.019,0.054,0,J110514.42-584941.5,13.814,0.012,13.829,0.012,0,1670m591o0035106,13.79199934,-0.004487514,13.64403917,-0.010411868,0,J110514.41-584941.6,13.974,0.041,14.142,0.048,10.982,0.128,8.654,0.278,0,VPHASDR2 J110514.4-584941.6,19.89,18.16,16.62,17.77781584,16.59033272,19.09504853,0.050602267,0.17366523,0.26235718,0,11051441-5849417,14.922,0.042,14.206,0.049,14.019,0.054,0,J110514.41-584941.6,13.974,0.041,14.142,0.048,10.982,0.128,8.654,0.278,0,0,allwise,13.974,0.041,14.142,0.048,gaia,0,17.838081,0.004233,18.98923,0.024241,16.506708,0.009573,2.482522,0.716,-0.168,0.78,-0.408901443,0.663088411
2CXO J110514.8-585909,LM-STAR,0.95959596,0.065,0,0,0.01010101,0.025,0.01010101,0.025,0,0,0.95959596,0.065,0,0.005,0,0,0.02020202,0.02,0.01010101,0.025495098,FALSE,166.3118333,-58.98596389,1.593868976,6.88,0,6.61E-15,1.07E-15,6.84E-16,2.37E-16,4.18E-15,2.04E-15,1.15E-14,2.31E-15,0.191,,Gaia EDR3 5338649507237473792,5338649507237473792,166.311854,-58.985971,12.551964,0.002766,12.846985,0.003031,12.092455,0.003834,2.1229,0.0187,466.748047,462.671875,470.682831,466.248352,462.670349,470.685913,0,11051484-5859095,11.558,0.023,11.286,0.022,11.226,0.019,0,J110514.83-585909.5,10.904,0.014,11.139,0.011,0,1670m591o0029799,11.18803254,-0.00103011,11.19210672,-0.002211803,0,J110514.85-585909.4,11.079,0.023,11.167,0.022,10.83,0.158,9.025,0.372,0,VPHASDR2 J110514.8-585909.4,,12.44,,,,,,,,0,11051484-5859095,11.558,0.023,11.286,0.022,11.226,0.019,0,J110514.85-585909.4,11.079,0.023,11.167,0.022,10.83,0.158,9.025,0.372,0,0,allwise,11.079,0.023,11.167,0.022,gaia,0,12.551964,0.002766,12.846985,0.003031,12.092455,0.003834,0.75453,0.272,-0.088,0.391,-0.812451181,0.718701827
2CXO J110515.1-584744,YSO,0.540816327,0.08,0.010204082,0.01,0.132653061,0.045,0.020408163,0.015,0,0.005,0.112244898,0.04,0.173469388,0.055,0.010204082,0.01,0.540816327,0.08,0.316326531,0.071937473,FALSE,166.313125,-58.79577222,0.586291411,5.49,0,8.65E-16,2.60E-16,8.05E-16,2.14E-16,9.16E-16,4.80E-16,2.59E-15,5.87E-16,1,,Gaia EDR3 5338661395677860096,5338661395677860096,166.3133171,-58.79583642,19.2109,0.00389,20.890175,0.16642,17.962404,0.01816,2.2361,0.2326,474.902588,429.362793,561.905945,2969.38989,2611.11304,3466.6499,0,11051518-5847455,16.16,0.132,15.441,0.147,15.028,,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110515.2-584745.1,21.55,19.76,18.07,19.31823413,18.03706022,20.73593478,0.097564817,0.214398378,0.365982035,0,11051518-5847455,16.16,0.132,15.441,0.147,15.028,,0,,,,,,,,,,,,,,,,,gaia,0,19.2109,0.00389,20.890175,0.16642,17.962404,0.01816,2.927771,0.719,,,-0.035437236,0.064401339
2CXO J110515.1-584831,LM-STAR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,166.3132083,-58.80885833,0.380855634,8.29,0,4.21E-15,5.81E-16,5.15E-16,1.82E-16,1.91E-16,1.45E-16,4.92E-15,6.25E-16,0.413,,Gaia EDR3 5338655520192048512,5338655520192048512,166.3133127,-58.80888002,12.575594,0.00277,12.862728,0.002914,12.128795,0.003867,2.1183,0.012,467.637451,464.895508,470.515869,467.055969,464.79126,470.043121,0,11051519-5848320,11.639,0.024,11.395,0.029,11.319,0.021,0,J110515.19-584832.0,11.276,0.011,11.363,0.008,0,1670m591o0035671,11.30566066,-0.001076233,11.30172065,-0.002340066,0,J110515.19-584831.9,11.322,0.023,11.371,0.02,12.647,,9.299,,0,VPHASDR2 J110515.2-584831.9,,12.47,,,,,,,,0,11051519-5848320,11.639,0.024,11.395,0.029,11.319,0.021,0,J110515.19-584831.9,11.322,0.023,11.371,0.02,12.647,,9.299,,0,0,allwise,11.322,0.023,11.371,0.02,gaia,0,12.575594,0.00277,12.862728,0.002914,12.128795,0.003867,0.733933,0.244,-0.049,0.268,-0.782029116,-0.458075829
2CXO J110515.6-585437,Unconfident Classification,0.430446194,0.1025,0.031496063,0.03,0.307086614,0.095,0.010498688,0.01,0,0,0,0.005,0.430446194,0.1025,0,0.005,0.220472441,0.085,0.737532808,0.139843663,TRUE,166.3152917,-58.91040278,0.795289908,5.03,0,2.97E-16,1.52E-16,6.06E-16,2.03E-16,1.97E-15,6.60E-16,2.87E-15,7.07E-16,0.942,,Gaia EDR3 5338653046258795648,5338653046258795648,166.3155998,-58.91043319,20.780518,0.01587,20.315619,0.194421,18.94243,0.318704,-2.2676,1.2381,4690.76465,2815.87305,6564.33643,8101.22949,6783.59082,10054.5205,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110515.7-585437.6,,20.47,19.26,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,gaia,0,20.780518,0.01587,20.315619,0.194421,18.94243,0.318704,1.373189,,,,0.341341466,0.528951392
2CXO J110516.3-585611,Unconfident Classification,0.482051282,0.135,0,0,0.061538462,0.03,0.030769231,0.02,0.020512821,0.015,0.030769231,0.025,0.374358974,0.14,0,0,0.482051282,0.135,0.456410256,0.1439618,FALSE,166.3183333,-58.93662778,0.713644934,8.97,0,1.68E-15,3.77E-16,2.31E-15,3.92E-16,4.29E-15,1.25E-15,8.28E-15,1.36E-15,1,,Gaia EDR3 5338653011930897664,5338653011930897664,166.318438,-58.93654641,16.145748,0.006115,16.69723,0.011923,15.413497,0.017612,0.2385,0.0361,3879.15283,3386.52393,4414.37158,3603.66479,3203.87671,4127.70801,0,11051642-5856116,14.39,0.054,13.844,0.051,13.572,0.048,0,J110516.45-585611.2,13.299,0.018,13.511,0.022,0,1670m591o0031433,13.51112426,-0.003779335,13.52585143,-0.009549128,0,,,,,,,,,,-8,VPHASDR2 J110516.4-585611.6,17.05,16.93,16.06,16.72418149,16.05836617,17.13145445,0.049417057,0.162553192,0.183029717,0,11051642-5856116,14.39,0.054,13.844,0.051,13.572,0.048,0,,,,,,,,,,,0,catwise,,,,,gaia,0,16.145748,0.006115,16.69723,0.011923,15.413497,0.017612,1.283733,0.546,,,0.158982567,0.300281255
2CXO J110516.9-584508,Unconfident Classification,0.346938776,0.06,0.06122449,0.035,0.346938776,0.06,0.081632653,0.035,0.051020408,0.03,0,0.005,0.234693878,0.07,0.020408163,0.02,0.204081633,0.055,0.653061224,0.098994949,TRUE,166.3206667,-58.75227778,0.946226546,6.17,0,1.93E-16,1.56E-16,8.97E-16,2.34E-16,6.66E-15,1.43E-15,7.74E-15,1.45E-15,0.219,,Gaia EDR3 5338661567478218624,5338661567478218624,166.3205526,-58.75201119,18.67963,0.003329,19.513174,0.060069,17.80446,0.018821,0.5026,0.154,2638.75415,1933.56238,4017.80151,2381.63062,1934.18542,3266.14453,0,11051692-5845073,16.386,,15.634,0.15,15.509,,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110516.9-584507.3,20.1,18.48,17.71,18.63633796,17.71648124,19.36844911,0.06381303,0.197130956,0.275611324,0,11051692-5845073,16.386,,15.634,0.15,15.509,,0,,,,,,,,,,,,,,,,,gaia,0,18.67963,0.003329,19.513174,0.060069,17.80446,0.018821,1.708714,0.752,,,0.645571344,0.762519571
2CXO J110517.7-585044,Unconfident Classification,0.386768448,0.07,0.020356234,0.015,0.152671756,0.05,0.040712468,0.02,0,0.005,0.043256997,0.03,0.386768448,0.07,0.010178117,0.015,0.34605598,0.07,0.549618321,0.087464278,FALSE,166.3239167,-58.845675,0.40530263,5.37,0,8.59E-16,2.61E-16,6.55E-16,1.95E-16,1.22E-15,4.79E-16,2.74E-15,5.79E-16,1,,Gaia EDR3 5338655142203407360,5338655142203407360,166.3240759,-58.84572393,19.9402,0.005841,21.229872,0.130264,18.590172,0.023394,2.1269,0.4686,652.571167,483.338989,953.376038,1105.74329,732.014343,5462.02002,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110517.8-585044.7,,20.35,18.62,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,gaia,0,19.9402,0.005841,21.229872,0.130264,18.590172,0.023394,2.6397,,,,-0.134605805,0.301726974
2CXO J110518.3-584842,Unconfident Classification,0.43877551,0.1129,0.020408163,0.015,0.071428571,0.035,0.183673469,0.055,0,0,0.051020408,0.025,0.43877551,0.1129,0.183673469,0.105,0.051020408,0.03,0.693877551,0.15810253,TRUE,166.32625,-58.81193889,0.541469019,5.09,0,9.46E-16,2.59E-16,4.76E-16,1.63E-16,6.91E-16,3.83E-16,2.11E-15,4.90E-16,0.011,,Gaia EDR3 5338655314033619840,5338655314033619840,166.3262664,-58.81203463,17.617765,0.003567,,,,,0.681,0.0937,1545.98083,1326.78723,1824.4386,,,,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,gaia,0,17.617765,0.003567,,,,,,,,,-0.330165696,0.183637353
2CXO J110518.4-584615,LM-STAR,0.727272727,0.065,0,0,0,0.005,0.151515152,0.0508,0,0,0.727272727,0.065,0,0,0,0,0.121212121,0.045,0,0.005,FALSE,166.3269167,-58.77087778,0.683935015,7.19,0,3.42E-15,5.43E-16,4.77E-16,1.56E-16,5.23E-16,3.95E-16,4.42E-15,6.89E-16,0.063,,Gaia EDR3 5338661533146770304,5338661533146770304,166.3270491,-58.77095343,9.646238,0.002772,9.681407,0.002813,9.560839,0.003805,2.1645,0.0304,459.959961,453.504547,468.314331,457.711243,452.026611,463.879089,0,11051849-5846153,9.477,0.032,9.305,0.071,9.193,0.036,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,11051849-5846153,9.477,0.032,9.305,0.071,9.193,0.036,0,,,,,,,,,,,,,,,,,gaia,0,9.646238,0.002772,9.681407,0.002813,9.560839,0.003805,0.120568,0.172,,,-0.755069907,0.045268786
