name,Class,Class_prob,Class_prob_e,P_AGN,e_P_AGN,P_CV,e_P_CV,P_HM-STAR,e_P_HM-STAR,P_HMXB,e_P_HMXB,P_LM-STAR,e_P_LM-STAR,P_LMXB,e_P_LMXB,P_NS,e_P_NS,P_YSO,e_P_YSO,P_CO,e_P_CO,Candidate_CO,ra,dec,PU,significance,flux_flag,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,EDR3Name_gaia,source_id,RA_pmcor_gaia,DEC_pmcor_gaia,Gmag_gaia,e_Gmag_gaia,BPmag_gaia,e_BPmag_gaia,RPmag_gaia,e_RPmag_gaia,Plx_gaia,e_Plx_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,VPHASDR2_vphas,gmag_vphas,rmag_vphas,imag_vphas,Gmag_vphas,RPmag_vphas,BPmag_vphas,e_Gmag_vphas,e_RPmag_vphas,e_BPmag_vphas,cp_flag_vphas,_2MASS_2mass_gaia,Jmag_2mass_gaia,e_Jmag_2mass_gaia,Hmag_2mass_gaia,e_Hmag_2mass_gaia,Kmag_2mass_gaia,e_Kmag_2mass_gaia,cp_flag_2mass_gaia,AllWISE_allwise_gaia,W1mag_allwise_gaia,e_W1mag_allwise_gaia,W2mag_allwise_gaia,e_W2mag_allwise_gaia,W3mag_allwise_gaia,e_W3mag_allwise_gaia,W4mag_allwise_gaia,e_W4mag_allwise_gaia,cp_flag_allwise_gaia,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag,which_gaia,cp_flag_comb,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP,Jmag-Hmag,W1mag-W2mag,Jmag-W2mag,HRMS,HRHM
2CXO J110519.6-584459,AGN,0.97979798,0.05,0.97979798,0.05,0,0,0,0.005,0,0,0,0,0,0.005,0.02020202,0.04,0,0,0.02020202,0.040311289,FALSE,166.3319583,-58.74994444,1.023302644,6.24,0,9.39E-17,7.10E-17,8.72E-16,2.32E-16,5.39E-15,1.24E-15,6.35E-15,1.27E-15,0.35,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805623601,0.72128389
2CXO J110520.0-585357,Unconfident Classification,0.357142857,0.07,0.010204082,0.01,0.163265306,0.05,0.051020408,0.025,0,0,0.12244898,0.04,0.285714286,0.06,0.010204082,0.015,0.357142857,0.07,0.459183673,0.079529869,FALSE,166.3335,-58.89921667,0.359875804,10.13,0,5.61E-15,7.01E-16,1.85E-15,3.44E-16,7.43E-16,4.36E-16,8.20E-15,8.94E-16,0.935,,Gaia EDR3 5338654558119211776,5338654558119211776,166.3335587,-58.899217,16.447186,0.002848,17.536167,0.011118,15.355092,0.005867,2.089,0.0521,474.071442,463.447449,489.280243,472.354248,460.003082,488.409363,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110520.1-585357.2,18.26,16.55,15.38,16.39101901,15.36370338,17.46203466,0.05314224,0.148078399,0.194644292,0,,,,,,,,,,,,,,,,,,,,,,,,,gaia,0,16.447186,0.002848,17.536167,0.011118,15.355092,0.005867,2.181075,,,,-0.503535501,-0.427311593
2CXO J110520.7-584757,LM-STAR,0.777777778,0.085,0,0,0.02020202,0.02,0,0.005,0,0,0.777777778,0.085,0,0,0,0,0.202020202,0.0758,0.02020202,0.02,FALSE,166.33625,-58.79931944,0.310140729,14.39,0,1.22E-14,1.04E-15,3.10E-15,4.25E-16,1.61E-15,5.95E-16,1.69E-14,1.27E-15,0.19,,Gaia EDR3 5338661189549342976,5338661189549342976,166.3363943,-58.79936644,14.233187,0.003232,14.741745,0.006917,13.565154,0.006008,2.4281,0.0176,406.336334,403.937805,408.96347,406.491791,403.562103,409.382507,-4,11052075-5847577,12.738,0.026,12.244,0.023,12.12,0.019,-4,J110520.73-584757.7,12.037,0.01,12.104,0.008,0,1670m591o0035996,12.07490362,-0.001627352,12.08186398,-0.003713536,-4,J110520.73-584757.6,12.136,0.023,12.198,0.023,10.933,0.158,8.618,,-4,VPHASDR2 J110520.7-584757.8,15.16,14.09,13.52,14.19336143,13.52572749,14.69323829,0.00713933,0.10977108,0.090190092,-4,11052075-5847577,12.738,0.026,12.244,0.023,12.12,0.019,-4,J110520.73-584757.6,12.136,0.023,12.198,0.023,10.933,0.158,8.618,,-4,-4,allwise,12.136,0.023,12.198,0.023,gaia,-4,14.233187,0.003232,14.741745,0.006917,13.565154,0.006008,1.176591,0.494,-0.062,0.54,-0.593389323,-0.315755332
2CXO J110521.8-584528,Unconfident Classification,0.6,0.14,0.052631579,0.0325,0,0.005,0,0,0,0,0.221052632,0.145,0.6,0.14,0.126315789,0.065,0,0.005,0.726315789,0.154434452,FALSE,166.341,-58.7578,0.518968747,9.94,0,4.07E-15,6.20E-16,1.88E-15,3.41E-16,4.68E-15,1.14E-15,1.06E-14,1.34E-15,1,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.368339875,0.427483006
2CXO J110522.3-584435,LM-STAR,1,0.005,0,0,0,0,0,0,0,0,1,0.005,0,0,0,0,0,0,0,0,FALSE,166.343,-58.74315556,1.020413133,7.3,0,4.45E-15,7.11E-16,5.43E-16,1.85E-16,5.74E-16,4.34E-16,5.56E-15,8.53E-16,0.531,,Gaia EDR3 5338661945464004480,5338661945464004480,166.3432363,-58.7432718,11.645756,0.002766,11.884285,0.002843,11.253838,0.003799,2.0128,0.0185,488.730225,484.732513,493.256927,487.361481,481.566986,491.913879,0,11052238-5844358,10.803,0.03,10.572,0.042,10.548,0.055,0,J110522.38-584435.8,10.461,0.021,10.513,0.015,0,1670m591o0104232,10.42966305,-0.001021568,10.53234644,-0.002360447,0,,,,,,,,,,-8,VPHASDR2 J110522.4-584435.8,,,,,,,,,,0,11052238-5844358,10.803,0.03,10.572,0.042,10.548,0.055,0,,,,,,,,,,,0,catwise,,,,,gaia,0,11.645756,0.002766,11.884285,0.002843,11.253838,0.003799,0.630447,0.231,,,-0.782197895,0.027387304
2CXO J110522.5-585718,Unconfident Classification,0.357894737,0.1,0.010526316,0.015,0.031578947,0.02,0.042105263,0.035,0.357894737,0.1,0.010526316,0.015,0.326315789,0.08,0.010526316,0.02,0.210526316,0.1166,0.726315789,0.13114877,TRUE,166.3438333,-58.95504167,0.891927332,9.16,0,6.45E-16,3.05E-16,1.92E-15,3.56E-16,1.23E-14,1.77E-15,1.49E-14,1.83E-15,0.468,,Gaia EDR3 5338649953914163584,5338649953914163584,166.3445439,-58.95516209,16.801805,0.002834,17.891317,0.007294,15.767972,0.004314,0.1141,0.0506,6088.09961,5070.33398,8180.76367,6856.94238,5330.77197,7945.72021,-4,11052269-5857185,14.066,0.033,13.286,0.026,12.972,0.029,-4,J110522.65-585719.0,12.798,0.016,12.903,0.017,-4,1670m591o0030797,12.7860661,-0.00251412,12.76361138,-0.005672229,-4,,,,,,,,,,-8,VPHASDR2 J110522.7-585718.6,18.64,16.79,15.79,16.7817494,15.78206823,17.76698517,0.048946295,0.15679593,0.205358396,-4,11052269-5857185,14.066,0.033,13.286,0.026,12.972,0.029,-4,,,,,,,,,,,-4,catwise,,,,,gaia,-4,16.801805,0.002834,17.891317,0.007294,15.767972,0.004314,2.123345,0.78,,,0.497730374,0.729196104
2CXO J110523.5-584338,YSO,0.62244898,0.07,0.020408163,0.015,0.051020408,0.03,0.020408163,0.015,0,0,0.275510204,0.07,0.010204082,0.015,0,0,0.62244898,0.07,0.06122449,0.03354102,FALSE,166.3482083,-58.72744167,1.326811097,6,4,2.75E-15,5.33E-16,1.25E-15,3.05E-16,7.98E-18,6.03E-18,4.01E-15,6.14E-16,,,Gaia EDR3 5338662082902970368,5338662082902970368,166.3487043,-58.72722638,17.55856,0.002994,18.518396,0.058253,16.346083,0.01901,1.8037,0.0876,547.654846,519.699951,578.231628,548.861023,528.49823,575.029175,0,11052360-5843400,13.245,0.03,12.656,0.035,12.524,0.032,-4,J110523.60-584339.8,12.35,0.01,12.404,0.009,0,1670m591o0038214,12.29913316,-0.001846331,12.29373728,-0.004234288,0,,,,,,,,,,-8,VPHASDR2 J110523.7-584338.1,19.45,17.73,16.46,17.52884954,16.4417787,18.6568104,0.048868107,0.170542416,0.244032226,0,,,,,,,,,,,,,,,,,,,0,catwise,,,,,gaia,0,17.55856,0.002994,18.518396,0.058253,16.346083,0.01901,2.172313,0.589,,,-0.373611041,
2CXO J110523.7-584949,Unconfident Classification,0.520833333,0.115,0,0.005,0.260416667,0.125,0,0,0,0,0.21875,0.0758,0,0.005,0,0,0.520833333,0.115,0.260416667,0.12509996,FALSE,166.349,-58.83033611,0.381032252,7.8,0,3.11E-15,5.23E-16,1.14E-15,2.70E-16,8.09E-16,3.92E-16,5.05E-15,7.08E-16,1,,Gaia EDR3 5338655210954387328,5338655210954387328,166.3491105,-58.83036745,17.621939,0.003056,19.000868,0.018813,16.500748,0.005628,2.2286,0.0893,445.001373,425.849152,462.204346,445.927307,429.383636,462.727509,0,11052380-5849494,15.05,0.064,14.251,0.068,14.009,0.068,0,J110523.76-584949.2,14.035,0.031,13.955,0.048,0,,,,,,-8,J110523.82-584949.6,13.943,0.047,13.884,0.043,11.942,,9.186,,0,VPHASDR2 J110523.8-584949.4,19.62,17.98,16.55,17.65687318,16.52498498,18.87307048,0.048978943,0.172303569,0.251395056,0,11052380-5849494,15.05,0.064,14.251,0.068,14.009,0.068,0,J110523.82-584949.6,13.943,0.047,13.884,0.043,11.942,,9.186,,0,0,allwise,13.943,0.047,13.884,0.043,gaia,0,17.621939,0.003056,19.000868,0.018813,16.500748,0.005628,2.50012,0.799,0.059,1.166,-0.464451232,-0.168425016
2CXO J110524.4-584913,Unconfident Classification,0.656084656,0.135,0.656084656,0.135,0.063492063,0.04,0,0.005,0,0,0,0,0.164021164,0.14,0.105820106,0.0579,0.010582011,0.0125,0.333333333,0.156692087,FALSE,166.3519583,-58.82048889,0.378788669,8.54,0,2.45E-16,1.25E-16,1.31E-15,2.98E-16,1.05E-14,1.53E-15,1.21E-14,1.56E-15,0.97,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.685019131,0.778334607
2CXO J110525.4-585807,Unconfident Classification,0.575757576,0.115,0,0.005,0.121212121,0.05,0.04040404,0.03,0.03030303,0.02,0.050505051,0.035,0.181818182,0.1,0,0,0.575757576,0.115,0.333333333,0.113578167,FALSE,166.3559167,-58.96881944,1.590631947,5.29,0,1.33E-15,4.30E-16,1.30E-15,3.15E-16,3.35E-15,1.31E-15,5.98E-15,1.41E-15,0.532,,Gaia EDR3 5338649850834930816,5338649850834930816,166.3559107,-58.96876641,16.000652,0.002974,16.673454,0.006221,15.212509,0.005437,0.3092,0.0328,2966.13867,2677.85083,3304.21851,2952.60425,2717.48657,3208.0105,0,11052542-5858076,14.106,0.029,13.601,0.039,13.387,0.038,0,J110525.42-585807.7,13.404,0.014,13.515,0.02,0,1670m591o0059528,13.36022166,-0.003447767,13.35732214,-0.008395411,0,J110525.28-585808.4,13.239,0.033,13.356,0.034,11.518,0.192,9.355,0.523,0,VPHASDR2 J110525.4-585807.6,17.16,15.91,15.18,15.97214088,15.18249381,16.60992093,0.007470041,0.144302508,0.164706205,0,11052542-5858076,14.106,0.029,13.601,0.039,13.387,0.038,0,,,,,,,,,,,0,allwise,13.239,0.033,13.356,0.034,gaia,0,16.000652,0.002974,16.673454,0.006221,15.212509,0.005437,1.460945,0.505,-0.117,0.75,-0.012168972,0.440951397
2CXO J110525.5-584727,Unconfident Classification,0.680628272,0.18,0.680628272,0.18,0,0,0.020942408,0.03,0,0,0,0,0.015706806,0.035,0.261780105,0.1554,0.020942408,0.0254,0.277486911,0.159292687,FALSE,166.356375,-58.79090556,0.668520824,6.44,0,7.66E-17,7.79E-17,4.75E-16,1.69E-16,8.90E-15,1.63E-15,9.45E-15,1.64E-15,0.521,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721986916,0.898794183
2CXO J110526.1-584225,Unconfident Classification,0.559585492,0.1129,0.150259067,0.0675,0.010362694,0.02,0,0,0,0,0.093264249,0.0725,0.559585492,0.1129,0.186528497,0.08,0,0.005,0.756476684,0.139808476,TRUE,166.3589583,-58.70710278,1.821512636,5.76,0,2.81E-15,7.97E-16,1.43E-15,3.31E-16,6.36E-15,1.93E-15,1.06E-14,2.11E-15,0.999,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.325014199,0.632125908
2CXO J110526.5-584525,AGN,0.979591837,0.055,0.979591837,0.055,0,0,0,0.005,0,0,0,0,0,0.01,0.020408163,0.035,0,0.005,0.020408163,0.036400549,FALSE,166.3605417,-58.75708056,1.031020663,5.52,0,7.33E-17,5.54E-17,8.93E-16,2.49E-16,5.29E-15,1.21E-15,6.26E-15,1.23E-15,0.631,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.848434488,0.711019225
2CXO J110527.2-585737,Unconfident Classification,0.583333333,0.11,0,0.005,0.145833333,0.09,0,0.005,0,0,0.270833333,0.115,0,0.005,0,0,0.583333333,0.11,0.145833333,0.090138782,FALSE,166.3637083,-58.96030278,0.741297525,9.61,0,6.37E-15,9.21E-16,2.37E-15,3.98E-16,6.76E-16,5.10E-16,9.42E-15,1.13E-15,0.951,,Gaia EDR3 5338649885194690304,5338649885194690304,166.3638575,-58.96028349,16.530275,0.003057,17.546412,0.01713,15.500132,0.00611,2.1622,0.0474,458.2164,449.639343,465.839783,456.963806,448.171967,466.04776,0,11052733-5857370,14.087,0.053,13.426,0.051,13.253,0.049,0,J110527.33-585736.6,12.838,0.02,12.879,0.019,0,1670m591o0030645,12.86696755,-0.002573386,12.75867611,-0.005575977,0,J110527.26-585736.4,12.741,0.031,12.77,0.033,11.723,0.241,8.935,0.318,0,VPHASDR2 J110527.3-585737.0,18.29,16.69,15.53,16.52275312,15.51448087,17.55386622,0.051465294,0.151220172,0.197870694,0,11052733-5857370,14.087,0.053,13.426,0.051,13.253,0.049,0,,,,,,,,,,,0,allwise,12.741,0.031,12.77,0.033,gaia,0,16.530275,0.003057,17.546412,0.01713,15.500132,0.00611,2.04628,0.661,-0.029,1.317,-0.457227813,-0.55675532
2CXO J110528.5-584930,LM-STAR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,166.369125,-58.82518056,0.404508802,8.66,0,5.27E-15,7.02E-16,6.14E-16,1.82E-16,5.92E-16,3.59E-16,6.48E-15,8.08E-16,0.968,,Gaia EDR3 5338655245314145152,5338655245314145152,166.3693126,-58.82524589,12.886455,0.00278,13.267041,0.003004,12.317951,0.003898,2.0867,0.0291,476.18689,468.769073,483.577515,474.325104,467.98761,481.915863,0,11052864-5849309,11.673,0.024,11.298,0.022,11.226,0.021,0,J110528.63-584930.8,10.988,0.011,11.21,0.009,0,1670m591o0035180,11.14852943,-0.000985866,11.16741364,-0.002148303,0,J110528.62-584930.9,11.191,0.023,11.268,0.021,12.703,,9.399,,0,VPHASDR2 J110528.6-584930.8,13.52,12.75,,,,,,,,0,11052864-5849309,11.673,0.024,11.298,0.022,11.226,0.021,0,J110528.62-584930.9,11.191,0.023,11.268,0.021,12.703,,9.399,,0,0,allwise,11.191,0.023,11.268,0.021,gaia,0,12.886455,0.00278,13.267041,0.003004,12.317951,0.003898,0.94909,0.375,-0.077,0.405,-0.791395874,-0.018679437
2CXO J110529.2-584629,YSO,0.721649485,0.105,0,0.005,0.072164948,0.0458,0,0.005,0,0.005,0.195876289,0.09,0.010309278,0.025,0,0,0.721649485,0.105,0.082474227,0.052417936,FALSE,166.371875,-58.77486111,0.808815182,6.54,0,2.45E-15,4.93E-16,5.10E-16,1.67E-16,1.75E-15,7.35E-16,4.72E-15,9.00E-16,1,,Gaia EDR3 5338661288286781312,5338661288286781312,166.3719754,-58.77493336,17.012604,0.003185,17.9063,0.012886,16.044657,0.009437,1.106,0.07,882.621826,837.884338,953.160522,876.330017,822.240967,926.694214,0,11052928-5846297,14.929,0.1,14.113,0.047,13.892,0.073,0,J110529.20-584628.6,13.907,0.013,14.314,0.018,-4,1670m591o0103239,13.60370671,-0.004716873,13.68305928,-0.012155977,0,,,,,,,,,,-8,VPHASDR2 J110529.3-584629.8,18.47,16.9,16.04,16.94673968,16.03875818,17.75222708,0.047879372,0.162144617,0.204839887,0,11052928-5846297,14.929,0.1,14.113,0.047,13.892,0.073,0,,,,,,,,,,,-4,catwise,,,,,gaia,0,17.012604,0.003185,17.9063,0.012886,16.044657,0.009437,1.861643,0.816,,,-0.655689161,0.549727766
2CXO J110529.3-585405,AGN,0.969387755,0.1354,0.969387755,0.1354,0,0,0,0.005,0,0,0,0,0.010204082,0.0504,0.020408163,0.065,0,0.005,0.030612245,0.082250593,FALSE,166.3724167,-58.90160833,0.746772144,5.67,0,1.08E-16,1.04E-16,8.74E-16,2.32E-16,5.22E-15,1.20E-15,6.20E-15,1.23E-15,0.752,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.780545802,0.713307502
2CXO J110529.6-585718,Unconfident Classification,0.489583333,0.1658,0.010416667,0.01,0.489583333,0.1658,0,0.005,0,0.005,0.083333333,0.055,0.114583333,0.065,0.010416667,0.01,0.291666667,0.115,0.614583333,0.178436655,FALSE,166.3735,-58.95519444,1.493915695,5.52,0,1.95E-15,4.70E-16,6.40E-16,2.17E-16,2.05E-15,1.08E-15,4.64E-15,1.19E-15,0.877,,Gaia EDR3 5338649983932411392,5338649983932411392,166.3733308,-58.95516367,19.036549,0.003658,20.498716,0.057602,17.803288,0.011268,1.9396,0.1788,520.871704,479.703552,562.745667,527.922058,484.285889,578.132629,0,11052962-5857187,15.992,0.105,15.429,0.127,15.066,0.151,0,,,,,,-8,1670m591o0133780,15.19324111,-0.012304047,14.80479782,-0.025399239,-4,,,,,,,,,,-8,VPHASDR2 J110529.6-585718.6,21.34,19.53,17.89,19.12196019,17.85883887,20.51290969,0.08638171,0.210634795,0.340192741,0,11052962-5857187,15.992,0.105,15.429,0.127,15.066,0.151,0,,,,,,,,,,,-4,unwise,,,,,gaia,0,19.036549,0.003658,20.498716,0.057602,17.803288,0.011268,2.695428,0.563,,,-0.505288722,0.524679852
2CXO J110529.6-584720,Unconfident Classification,0.340206186,0.115,0,0.005,0.237113402,0.085,0,0.005,0,0.005,0.340206186,0.115,0.082474227,0.05,0,0.005,0.340206186,0.09,0.319587629,0.0988686,FALSE,166.37375,-58.78897222,0.645515301,7.3,0,2.40E-15,4.85E-16,1.01E-15,2.44E-16,1.46E-15,6.12E-16,4.87E-15,8.18E-16,1,,Gaia EDR3 5338661253927043456,5338661253927043456,166.3739146,-58.78906809,18.54345,0.004088,19.688467,0.045937,17.188477,0.015448,2.1826,0.1738,462.949036,432.854095,502.438263,483.190948,445.347626,514.375916,0,11052976-5847207,15.541,0.105,14.881,0.119,14.779,0.13,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110529.7-584720.7,20.74,19.02,17.43,18.62048348,17.39998262,19.9580551,0.065662834,0.190644805,0.306869373,0,11052976-5847207,15.541,0.105,14.881,0.119,14.779,0.13,0,,,,,,,,,,,,,,,,,gaia,0,18.54345,0.004088,19.688467,0.045937,17.188477,0.015448,2.49999,0.66,,,-0.407953593,0.184189659
2CXO J110532.7-584349,Unconfident Classification,0.545454545,0.1,0,0,0.01010101,0.01,0.383838384,0.095,0,0,0.545454545,0.1,0,0.005,0,0,0.060606061,0.035,0.01010101,0.01118034,FALSE,166.3864167,-58.73035833,1.642796422,5.24,0,4.58E-15,9.20E-16,3.70E-16,1.76E-16,5.79E-15,2.17E-15,1.07E-14,2.36E-15,0.934,,Gaia EDR3 5338661808024777856,5338661808024777856,166.3869825,-58.73049889,8.913376,0.002783,8.926033,0.002844,8.857903,0.003809,2.1127,0.0302,470.476715,464.569977,476.879028,469.060242,462.633301,476.650543,0,11053289-5843498,8.804,0.026,8.817,0.049,8.774,0.019,0,J110532.87-584349.8,8.753,0.013,8.788,0.008,0,1670m591o0038143,8.773883186,-0.000309111,8.772702537,-0.000631532,0,J110532.86-584349.8,8.733,0.022,8.748,0.019,8.517,0.044,7.753,0.168,0,,,,,,,,,,,-8,11053289-5843498,8.804,0.026,8.817,0.049,8.774,0.019,0,J110532.86-584349.8,8.733,0.022,8.748,0.019,8.517,0.044,7.753,0.168,0,0,allwise,8.733,0.022,8.748,0.019,gaia,0,8.913376,0.002783,8.926033,0.002844,8.857903,0.003809,0.06813,-0.013,-0.015,0.056,-0.85055674,0.879905181
2CXO J110533.2-585105,LM-STAR,1,0.005,0,0,0,0,0,0.005,0,0,1,0.005,0,0,0,0,0,0.005,0,0,FALSE,166.3884167,-58.85160278,0.619470233,5.76,0,2.44E-15,4.70E-16,1.89E-16,1.02E-16,2.78E-16,2.10E-16,2.91E-15,5.24E-16,0.253,,Gaia EDR3 5338652256016873472,5338652256016873472,166.3886307,-58.85169264,12.076157,0.002759,12.322375,0.002823,11.678807,0.003796,2.0648,0.0119,477.113983,473.983734,480.69754,477.945099,475.000458,480.486053,0,11053328-5851061,11.225,0.026,11.039,0.027,11.045,0.029,0,,,,,,-8,1670m591o0034392,10.91142025,-0.00109391,10.96780139,-0.002394111,-4,,,,,,,,,,-8,VPHASDR2 J110533.3-585106.2,,,,,,,,,,0,11053328-5851061,11.225,0.026,11.039,0.027,11.045,0.029,0,,,,,,,,,,,-4,unwise,,,,,gaia,0,12.076157,0.002759,12.322375,0.002823,11.678807,0.003796,0.643568,0.186,,,-0.856282519,0.190313059
2CXO J110535.5-584547,Unconfident Classification,0.424242424,0.0858,0,0,0.424242424,0.0858,0,0.005,0,0,0.111111111,0.055,0.050505051,0.03,0,0.005,0.414141414,0.08,0.474747475,0.091030984,FALSE,166.398125,-58.76319444,0.571983192,9.81,0,4.74E-15,6.74E-16,2.52E-15,3.92E-16,2.12E-15,9.09E-16,9.38E-15,1.20E-15,1,,Gaia EDR3 5338661670585774208,5338661670585774208,166.3982309,-58.7631852,17.390171,0.002946,18.652142,0.035822,16.27323,0.007241,2.215,0.0771,450.223358,434.668427,466.842438,447.34314,433.325104,461.967102,0,11053557-5845475,14.749,0.033,14.141,0.022,13.899,0.05,0,J110535.67-584547.5,13.599,0.012,13.552,0.01,-4,1670m591o0103616,13.73017721,-0.005003177,13.45603134,-0.009820502,-4,,,,,,,,,,-8,VPHASDR2 J110535.6-584547.5,19.3,17.61,16.28,17.35812215,16.25874637,18.52229471,0.047599637,0.166728544,0.235301214,0,11053557-5845475,14.749,0.033,14.141,0.022,13.899,0.05,0,,,,,,,,,,,-4,catwise,,,,,gaia,0,17.390171,0.002946,18.652142,0.035822,16.27323,0.007241,2.378912,0.608,,,-0.307047795,-0.085009606
2CXO J110535.6-584907,LM-STAR,0.98,0.02,0,0,0,0.005,0,0.005,0,0,0.98,0.02,0,0,0,0,0.02,0.02,0,0.005,FALSE,166.398625,-58.81883611,0.698907103,5.76,0,3.08E-15,6.12E-16,5.78E-16,1.89E-16,2.04E-16,1.54E-16,3.86E-15,6.59E-16,0.989,,Gaia EDR3 5338658161546304256,5338658161546304256,166.3987483,-58.81884716,14.124236,0.00278,14.593124,0.003495,13.48438,0.003935,2.0781,0.0193,472.572083,468.548584,476.686188,472.9841,468.697418,477.228302,0,11053571-5849079,12.651,0.029,12.225,0.029,12.131,0.032,0,,,,,,-8,1670m591o0035391,12.00018221,-0.001598414,12.03817219,-0.003682748,0,J110535.65-584907.7,12.037,0.026,12.153,0.025,11.329,0.155,8.798,,0,VPHASDR2 J110535.7-584907.9,14.9,13.99,13.43,14.07101008,13.43596077,14.52052836,0.00713933,0.107900598,0.084122116,0,11053571-5849079,12.651,0.029,12.225,0.029,12.131,0.032,0,,,,,,,,,,,0,allwise,12.037,0.026,12.153,0.025,gaia,0,14.124236,0.00278,14.593124,0.003495,13.48438,0.003935,1.108744,0.426,-0.116,0.498,-0.684104082,-0.477702013
2CXO J110535.7-585212,LM-STAR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,166.3989583,-58.87000556,0.377985397,10.76,0,9.10E-15,8.93E-16,9.05E-16,2.36E-16,4.72E-16,3.57E-16,1.05E-14,9.90E-16,0.821,,Gaia EDR3 5338652084218154112,5338652084218154112,166.3991185,-58.87007307,12.039777,0.002764,12.31218,0.002864,11.606029,0.003843,2.0419,0.0159,482.810425,479.462982,486.955841,483.229584,479.358704,487.088287,-4,11053580-5852123,11.108,0.023,10.876,0.022,10.816,0.021,-4,,,,,,-8,1670m591o0033784,10.7907276,-0.000902839,10.76804558,-0.001875998,0,,,,,,,,,,-8,VPHASDR2 J110535.8-585212.4,,,,,,,,,,-4,11053580-5852123,11.108,0.023,10.876,0.022,10.816,0.021,-4,,,,,,,,,,,0,unwise,,,,,gaia,-4,12.039777,0.002764,12.31218,0.002864,11.606029,0.003843,0.706151,0.232,,,-0.818979714,-0.314665244
