,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
2,2CXO J110400.3-584704,166.00175,-58.784475,LM-STAR,3.180412124125789e-15,1.2853920274534162e-15,2.2181798123317566e-16,1.673202115439197e-15,,,2.98,12.956649,13.270132,12.480425,11.949999809265137,11.6899995803833,11.618000030517578,11.593,11.682,12.799
14,2CXO J110414.8-585305,166.0618333333333,-58.88493611111111,LM-STAR,1.8358546195047692e-14,7.275579209591511e-16,2.922797884560803e-15,1.470819038952774e-14,,0.987,12.15,12.473644,12.772521,12.010019,11.479999542236328,11.178999900817873,11.092000007629396,11.032,11.092,10.264
20,2CXO J110423.1-584858,166.0965,-58.816375,LM-STAR,1.939206031479416e-15,6.633808461756789e-16,8.754351115155373e-17,1.1882816741521837e-15,,0.653,4.0,11.996346,12.289273,11.541873,11.015000343322754,10.786999702453612,10.718000411987305,10.666705838398377,10.672597262384585,
28,2CXO J110426.2-585128,166.1095,-58.85792777777778,LM-STAR,1.6173219792136925e-15,2.3936536824085963e-16,1.0731324446929148e-16,1.2706433665035413e-15,,0.671,3.76,13.068168,13.417681,12.544246,11.97599983215332,11.651000022888184,11.498000144958496,11.726,11.746,
29,2CXO J110427.2-585312,166.11374999999998,-58.886719444444445,LM-STAR,1.953709675339036e-15,4.077190105702642e-16,1.7413989422804012e-16,1.3718507705407309e-15,,0.382,4.38,14.319957,14.852334,13.615177,12.75,12.248000144958496,12.116000175476074,,,
47,2CXO J110435.5-584824,166.14812499999996,-58.80693333333333,LM-STAR,3.3573276155811104e-14,4.399797884560803e-15,6.543478271250295e-15,2.263e-14,,0.998,20.68,12.34267,12.645993,11.873609,11.390000343322754,11.034000396728516,10.961999893188477,10.896,10.93,
53,2CXO J110436.3-585124,166.15145833333332,-58.85674722222223,YSO,1.4857594620406136e-15,5.981e-16,5.949e-16,2.927594620406136e-16,,0.739,3.76,18.336227,18.930496,17.225176,16.031999588012695,15.362000465393066,15.03600025177002,15.227,16.112,
54,2CXO J110436.7-584757,166.1532083333333,-58.79937222222222,LM-STAR,2.23112021154392e-15,4.2822021154391976e-16,2.769e-16,1.526e-15,,0.351,5.35,13.437493,13.790999,12.896311,12.284000396728516,11.96500015258789,11.85099983215332,11.628,11.722,11.002
65,2CXO J110438.6-584929,166.16116666666665,-58.82494722222223,LM-STAR,4.849231386522633e-15,6.94651598066553e-16,3.4057978845608033e-16,3.814e-15,,0.906,6.99,9.729494,9.751677,9.578799,9.449999809265137,9.368000030517578,9.253000259399414,9.23,9.264,9.552
68,2CXO J110439.0-584957,166.16266666666664,-58.83258055555556,LM-STAR,1.4650573806541028e-15,5.737587876733405e-16,7.28445344096882e-17,8.184540585710739e-16,,0.95,2.89,15.109249,15.718637,14.357297,13.42300033569336,12.89900016784668,12.729999542236328,12.623,12.783,12.184
70,2CXO J110439.4-584939,166.16466666666665,-58.82758611111112,LM-STAR,5.7967809610472256e-15,7.978845608028655e-18,5.316e-16,5.257202115439197e-15,,,8.9,12.228724,12.48199,11.820057,11.407999992370604,11.182000160217283,11.088000297546388,11.058434726441847,11.063249907388418,
75,2CXO J110441.2-585647,166.17179166666665,-58.94653611111111,LM-STAR,9.899015200440372e-15,3.2035946204061368e-15,8.029000000000001e-16,5.892520580034236e-15,,0.984,7.72,12.252909,12.56774,11.772851,11.321999549865724,10.949999809265137,10.916999816894531,10.82,10.882,12.837
76,2CXO J110441.4-584352,166.1725833333333,-58.73131666666667,NS,2.7655449296579462e-14,2.5049999999999998e-14,2.443e-15,1.624492965794634e-16,,0.651,12.6,,,,,,,,,
87,2CXO J110444.6-584941,166.18604166666665,-58.828100000000006,LM-STAR,3.548233660528579e-15,1.841517566333013e-16,2.5387978845608027e-16,3.110202115439197e-15,,0.987,6.32,12.195616,12.446716,11.790575,11.373000144958496,11.12399959564209,11.065999984741213,11.032,11.085,10.173
88,2CXO J110445.0-585009,166.18758333333332,-58.83594166666667,LMXB,1.1997840193344748e-14,8.077797884560803e-15,2.0640423087839428e-15,1.856e-15,,1.0,10.54,,,,,,,,,
97,2CXO J110448.6-584926,166.20262499999998,-58.824000000000005,LM-STAR,6.167469302255966e-16,7.978845608028655e-18,1.230680846175679e-16,4.857000000000001e-16,,,3.06,12.609324,13.349789,11.770342,10.61400032043457,10.036999702453612,9.901000022888184,9.767,9.823,10.433
98,2CXO J110448.7-584358,166.20341666666664,-58.7329,LM-STAR,3.9758923135108456e-15,5.053002923564546e-16,1.5159202115439198e-16,3.319e-15,,0.011,4.65,13.3578,13.76251,12.766422,12.128999710083008,11.715999603271484,11.619999885559082,11.366,11.409,10.405
101,2CXO J110449.9-585549,166.20833333333331,-58.93034722222222,CV,1.469396308126156e-14,1.2992021154391971e-14,1.6077978845608029e-15,9.414404230878394e-17,,0.179,8.02,17.817636,18.222666,16.73073,15.677000045776367,15.17199993133545,13.074999809265137,,,
