name,usrid,ra,dec,significance,net_counts,remove_code,flux_significance_b_max,theta_mean,theta_median,e_theta,NET_COUNTS_broad,NET_ERR_broad,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,ra_ave,dec_ave,PU_ave,PU,err_ellipse_r0
IC2395_CXO-18.0,18.0,130.54910025136317,-48.10913807004356,200.41777,1008.49335,0,25.167,2.8118899493156673,2.8118899493156673,0.01053168227595691,977.6746823849345,31.323098827429646,1.0436802870168638e-13,8.862309083593604e-15,6.013996381579186e-14,2.8865110336459915e-15,1.2405866995098915e-13,6.281086987974781e-15,8.900101432069555,1.0,1.0,0.997,25.167,0,2.885666624684674e-13,1.1239418222978086e-14,130.5490998974412,-48.10913785918084,0.17579109195673553,0.17179349260558205,0.17179349260558205
IC2395_CXO-21.0,21.0,130.60455996446296,-48.09434647842238,146.5676,630.8333,0,18.8008,1.3012542875146655,1.3012542875146655,0.0029754678005693425,575.521343239087,24.06541213370191,7.630357776508504e-14,6.962797143061813e-15,2.8274870905124146e-14,1.9628264211753817e-15,2.2280522661305497e-14,2.547618775040793e-15,81.70105425254937,1.0,0.9999898812107648,1.0,18.8008,0,1.2685897133151468e-13,7.669654036397878e-15,130.60455960578867,-48.09434618155133,0.15307641032184705,0.09178461272140735,0.09178461272140735
IC2395_CXO-2.0,2.0,130.61490136081335,-48.17744097214102,81.80928,425.13776,0,16.9589,3.822503097925687,3.822503097925687,0.002420678294765999,411.67346576678756,20.349365013761794,6.768376613067926e-14,6.351588349692065e-15,2.8231828990430488e-14,2.0406154402591424e-15,2.0654981227271548e-14,2.4980188147527214e-15,1.9091137854476536,1.0,0.9999308525434456,0.833,16.9589,0,1.165705763483813e-13,7.123684716340734e-15,130.61490155855205,-48.17744118755921,0.253624184890672,0.25719567101239504,0.25719567101239504
IC2395_CXO-11.0,11.0,130.5792457691213,-48.13680822935239,106.086174,395.3169,0,14.9434,2.105982111089305,2.105982111089305,0.009456554174943177,366.0032193279138,19.185491015775053,6.305021834654076e-14,6.494209161739505e-15,2.312428516583752e-14,1.7902197924039347e-15,2.896373855564486e-14,3.0098575669048703e-15,0.027260022170669758,1.0,0.9922859157010131,0.131,14.9434,0,1.1513824206802314e-13,7.378270943425067e-15,130.57924608831945,-48.13680804247673,0.18071440554475343,0.17808340158646593,0.17808340158646593
IC2395_CXO-15.0,15.0,130.74482790072577,-48.12411586840355,62.383522,315.31177,0,14.9249,5.080238481901002,5.080238481901002,0.010459786231549195,316.3282583622365,17.892976502764117,4.880925362507071e-14,5.894476491837713e-15,2.2758615035358714e-14,1.818131712161664e-15,2.262030992767584e-14,2.5047975067661074e-15,9.780535922340079,1.0,0.9078374160666438,0.998,14.9249,0,9.418817858810526e-14,6.65766224627662e-15,130.7448277059598,-48.124116236066705,0.3524897907455711,0.3620770781442157,0.3620770781442157
IC2395_CXO-5.0,5.0,130.61958014507596,-48.155486332255755,90.481026,310.81982,0,14.3843,2.5019316789886217,2.5019316789886217,0.0018994145579782629,303.55532939875576,17.46595635923901,4.216312641156756e-14,4.937042163860758e-15,1.8956517590094202e-14,1.6372276772084877e-15,2.6558525561313368e-14,2.906964395209529e-15,12.121163423089694,1.0,0.9999999848452947,1.0,14.3843,0,8.767816956297514e-14,5.958635900084206e-15,130.61958029502568,-48.1554862490886,0.21246482296577598,0.2044123271407645,0.2044123271407645
IC2395_CXO-16.0,16.0,130.56037242560387,-48.12254164797685,79.39858,288.79477,0,12.8076,2.4041413091440678,2.4041413091440678,0.010961293600810773,272.39516832880236,16.554992538365166,5.775456274177517e-14,6.017530823415323e-15,1.835714543968089e-14,1.5597693179223526e-15,1.1113666014132097e-14,1.7290926803086018e-15,0.2228968070221336,1.0,0.7381067161266972,0.363,12.8076,0,8.722537419558815e-14,6.452388630033241e-15,130.5603726692871,-48.12254157820113,0.20928765614228678,0.20306222273217076,0.20306222273217076
IC2395_CXO-35.0,35.0,130.48276809755467,-48.144076061733315,35.818398,227.20091,0,12.0439,5.748244187796946,5.748244187796946,0.010824865471812384,234.33504854516417,15.49954735482471,7.184293340371026e-15,2.2292603552063283e-15,9.561493600442377e-15,1.186113826057505e-15,5.543744171344632e-14,4.480659097057087e-15,0.14437773318994956,1.0,0.6829538817069192,0.296,12.0439,0,7.218322865425973e-14,5.143225999671787e-15,130.48276795849677,-48.14407629263096,0.43279389691536546,0.4918581411741063,0.4918581411741063
IC2395_CXO-106.0,106.0,130.57078683070668,-47.98650832366783,15.278761,107.95634,0,7.80663,7.877357838290639,7.877357838290639,0.0007097311566419684,107.03781796711112,10.980329184200906,3.834912571486029e-14,2.514052985947003e-14,5.3089342830554296e-15,9.476888996883014e-16,2.744121969334606e-14,3.4387674224174234e-15,,0.0,0.9764211935617275,,7.80663,0,7.109927969126178e-14,2.5392311380632048e-14,130.57078703905586,-47.986508602541974,1.2533453009692763,1.2469440877499758,1.2469440877499758
IC2395_CXO-139.0,139.0,130.47209366151364,-47.986514145037525,12.086986,101.28744,0,9.60005,9.644094239959113,9.644094239959113,0.005003942763843305,131.4022409650999,12.405947178547692,4.318828078077304e-14,8.52975087078651e-15,8.792284712213984e-15,1.3473327982331115e-15,1.8674163954231277e-14,3.724225388514959e-15,1.6669188289649814,1.0,0.9999999767669334,0.803,9.60005,0,7.06547294472183e-14,9.404350606572326e-15,130.4720938673314,-47.9865140689893,1.801084125874845,2.0505399188091142,2.0505399188091142
