_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[5.256, 9.393, 9.97]",84.0,5.256,1304m485o0169164,130.6047869,-47.9706361,1666.984,0.0,931.647,0.0,285.21,0.0,0.049,0.0,0.046,0.0,7.6735,0.0,1.0,0.0,7.397,0.0,0.1557,0.0,287.32,0.0,7.8352,0.0,2.6439,0.0,0.00481141,0.0,0.000968186,0.0,-37.178,0.0,130.6047869,0.0,-47.9706361,0.0,1304m485,1304m485w1o0157834,,202.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,1.0
"[0.192, 7.718, 9.922]",85.0,0.192,1304m485o0036233,130.6337674,-48.1409963,1443.916,1443.933,906.636,906.616,9728.7,11198.0,0.003,0.007,0.003,0.006,18.968,45.431,1.0,1.0,21.72,2.59,0.8546,0.7776,9671.4,11241.0,19.241,46.247,2.6441,2.8675,0.00118118,0.000753224,9.22925e-05,0.000178,34.014,40.722,130.6337674,130.6337903,-48.1409963,-48.1409834,1304m485,1304m485w1o0037261,1304m485w2o0052507,228.0,233.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[1.159],86.0,1.159,1304m485o0034060,130.5866681,-48.2086159,1355.453,1355.45,947.881,947.88,12388.0,12070.0,0.002,0.006,0.002,0.005,20.136,44.736,1.0,1.0,17.93,5.345,0.9538,0.9459,12417.0,12025.0,20.52,45.804,2.6425,2.867,0.000519991,7.00951e-05,8.54654e-05,0.000171,15.659,30.008,130.5866681,130.5866687,-48.2086159,-48.2086184,1304m485,1304m485w1o0035040,1304m485w2o0029971,224.0,222.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[0.322],87.0,0.322,1304m485o0035713,130.6344731,-48.1569777,1422.994,1423.005,906.056,906.055,3668.9,3975.6,0.006,0.015,0.005,0.014,13.722,33.971,0.99947,0.99953,12.5,1.18,0.8058,0.7822,3547.9,3897.4,14.018,34.875,2.64,2.8646,0.00272059,0.00155699,0.000162605,0.000358,57.715,64.689,130.6344731,130.6344748,-48.1569777,-48.1569694,1304m485,1304m485w1o0036725,1304m485w2o0031399,228.0,230.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[1.31, 5.049, 8.5, 9.905]",88.0,1.31,1304m485o0104328,130.5623422,-47.9814289,1652.895,1653.002,968.861,969.251,376.3,518.84,0.034,0.084,0.032,0.08,7.1387,23.088,1.0,1.0,4.995,1.845,0.427,0.4706,369.15,518.75,7.308,23.717,2.641,2.8662,0.00304419,0.00644499,0.000701561,0.001727,-30.76,-26.786,130.5623422,130.5618973,-47.9814289,-47.9813474,1304m485,1304m485w1o0116998,1304m485w2o0097912,214.0,227.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0
[0.29],89.0,0.29,1304m485o0038656,130.5742282,-48.0647465,1543.809,1543.809,958.551,958.549,68213.0,66133.0,0.001,0.002,0.001,0.002,42.003,86.244,1.0,1.0,184.3,26.38,0.9942,0.9931,68044.0,66049.0,42.831,87.966,2.6454,2.8684,0.000338852,-0.00034827,3.79234e-05,7e-05,-19.709,-12.586,130.5742282,130.5742302,-48.0647465,-48.064746,1304m485,1304m485w1o0039791,1304m485w2o0033963,212.0,222.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[2.443, 6.528]",90.0,2.443,1304m485o0151555,130.699095,-48.1891027,1380.816,0.0,849.732,0.0,2168.0,0.0,0.01,0.0,0.011,0.0,14.328,0.0,1.0,0.0,13.01,0.0,0.4075,0.0,2072.4,0.0,14.596,0.0,2.6433,0.0,0.00073868,0.0,0.000267137,0.0,95.334,0.0,130.699095,0.0,-48.1891027,0.0,1304m485,1304m485w1o0109046,,231.0,0.0,1.0,0.0,32.0,0.0,160.0,0.0,1.0
"[0.258, 7.252]",91.0,0.258,1304m485o0039084,130.6345195,-48.0509875,1561.75,1561.748,905.772,905.786,7619.7,8282.6,0.003,0.007,0.003,0.007,16.159,38.351,1.0,1.0,8.981,4.043,0.9264,0.9307,7620.1,8296.1,16.437,39.185,2.643,2.8669,0.000500262,0.00088799,0.000106246,0.000208,-29.021,-24.061,130.6345195,130.6345039,-48.0509875,-48.0509891,1304m485,1304m485w1o0040227,1304m485w2o0034335,215.0,224.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[4.252, 7.689]",92.0,4.252,1304m485o0041505,130.4988008,-47.9714746,1665.949,1665.839,1024.542,1024.526,894.61,1170.3,0.015,0.039,0.014,0.037,8.1648,24.773,1.0,1.0,14.13,2.683,0.8145,0.8061,902.49,1185.7,8.3384,25.408,2.645,2.8684,0.0049538,0.00445181,0.000363878,0.000836,-23.803,-23.458,130.4988008,130.4988197,-47.9714746,-47.9715584,1304m485,1304m485w1o0042733,1304m485w2o0036363,202.0,215.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
[0.512],93.0,0.512,1304m485o0035774,130.5695924,-48.1551853,1425.415,1425.41,962.714,962.734,4302.5,4971.6,0.005,0.012,0.004,0.011,13.328,34.037,1.0,1.0,40.14,6.704,0.9,0.8943,4424.7,5137.5,13.57,34.824,2.645,2.8685,5.13792e-05,-0.000821352,0.000145293,0.000295,-1.6059,14.393,130.5695924,130.5695704,-48.1551853,-48.1551894,1304m485,1304m485w1o0036788,1304m485w2o0031455,228.0,226.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.468, 8.757]",94.0,0.468,1304m485o0033723,130.6380022,-48.2205934,1339.708,1339.698,903.125,903.127,4746.8,5287.7,0.005,0.012,0.004,0.011,14.553,35.738,1.0,1.0,51.91,6.415,0.9445,0.9352,4736.6,5282.0,14.81,36.548,2.6419,2.8665,0.00315148,0.00178379,0.000136841,0.000286,66.219,68.322,130.6380022,130.6379996,-48.2205934,-48.2206009,1304m485,1304m485w1o0034697,1304m485w2o0029672,224.0,226.0,1.0,1.0,32.0,0.0,160.0,0.0,1.0
