ra,dec,COMPONENT,significance,net_counts,NET_COUNTS_ERR,KS,KP,ra.1,dec.1,NET_COUNTS_y,NET_ERR,SRC_SIGNIFICANCE_0.7-1.2,THETA_0.7-1.2,NET_COUNTS_0.7-1.2,NET_ERR_0.7-1.2,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,NET_MFLUX_APER_0.7-1.2,NET_MFLUX_APER_LO_0.7-1.2,NET_MFLUX_APER_HI_0.7-1.2,NET_UMFLUX_APER_0.7-1.2,NET_UMFLUX_APER_LO_0.7-1.2,NET_UMFLUX_APER_HI_0.7-1.2,SRC_SIGNIFICANCE_soft,THETA_soft,NET_COUNTS_soft,NET_ERR_soft,NET_FLUX_APER_soft,NET_FLUX_APER_LO_soft,NET_FLUX_APER_HI_soft,NET_MFLUX_APER_soft,NET_MFLUX_APER_LO_soft,NET_MFLUX_APER_HI_soft,NET_UMFLUX_APER_soft,NET_UMFLUX_APER_LO_soft,NET_UMFLUX_APER_HI_soft,SRC_SIGNIFICANCE_medium,THETA_medium,NET_COUNTS_medium,NET_ERR_medium,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,NET_MFLUX_APER_medium,NET_MFLUX_APER_LO_medium,NET_MFLUX_APER_HI_medium,NET_UMFLUX_APER_medium,NET_UMFLUX_APER_LO_medium,NET_UMFLUX_APER_HI_medium,SRC_SIGNIFICANCE_hard,THETA_hard,NET_COUNTS_hard,NET_ERR_hard,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,NET_MFLUX_APER_hard,NET_MFLUX_APER_LO_hard,NET_MFLUX_APER_HI_hard,NET_UMFLUX_APER_hard,NET_UMFLUX_APER_LO_hard,NET_UMFLUX_APER_HI_hard,flux_significance_b,theta,NET_COUNTS_broad,NET_ERR_broad,NET_FLUX_APER_broad,NET_FLUX_APER_LO_broad,NET_FLUX_APER_HI_broad,NET_MFLUX_APER_broad,NET_MFLUX_APER_LO_broad,NET_MFLUX_APER_HI_broad,NET_UMFLUX_APER_broad,NET_UMFLUX_APER_LO_broad,NET_UMFLUX_APER_HI_broad,SRC_SIGNIFICANCE_0.7-7.0,THETA_0.7-7.0,NET_COUNTS_0.7-7.0,NET_ERR_0.7-7.0,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,NET_MFLUX_APER_0.7-7.0,NET_MFLUX_APER_LO_0.7-7.0,NET_MFLUX_APER_HI_0.7-7.0,NET_UMFLUX_APER_0.7-7.0,NET_UMFLUX_APER_LO_0.7-7.0,NET_UMFLUX_APER_HI_0.7-7.0,obsid,name,usrid,PU.1,kp_prob_b,ks_prob_b,NET_FLUX_APER_0.5-1.2,NET_FLUX_APER_LO_0.5-1.2,NET_FLUX_APER_HI_0.5-1.2,NET_FLUX_APER_0.5-7.0,NET_FLUX_APER_LO_0.5-7.0,NET_FLUX_APER_HI_0.5-7.0,per_remove_code,flux_aper90_mean_s.1,e_flux_aper90_mean_s.1,flux_aper90_mean_m.1,e_flux_aper90_mean_m.1,flux_aper90_mean_h.1,e_flux_aper90_mean_h.1,flux_aper90_mean_b.1,e_flux_aper90_mean_b.1,flux_aper90_ave2_b,e_flux_aper90_ave2_b
130.64744318699826,-48.15703972987932,4,29.446419,78.02805,8.944308,0.990654623994341,0.9553787653944634,130.64744407450922,-48.157039292177565,46.0,6.782329983125268,0.922835,2.837345338426979,1.0,1.0,4.134767449776109e-16,9.98047133612543e-17,1.0550783481649836e-15,3.3143722919999996e-16,8.000207522999999e-17,8.457361835999999e-16,2.846770836e-15,6.871514558999999e-16,7.264172188e-15,0.889164,2.837345338426979,0.9584569732937686,1.0008625395467226,,,,3.5125993349999995e-16,7.71998976e-17,9.109586205e-16,4.734437253e-15,1.0405344768e-15,1.2278304519e-14,3.74827,2.837345338426979,13.958546977684698,3.7418870043146777,3.0262041422872973e-15,2.2849095998062687e-15,3.898304910213829e-15,2.9750828024e-15,2.2463108686e-15,3.832451266199999e-15,5.721120616e-15,4.319683274e-15,7.369850658e-15,5.46797,2.837345338426979,30.542593406593408,5.569472153801649,2.0463705147390813e-14,1.695351886132882e-14,2.442202584921404e-14,1.6809710044e-14,1.392630192e-14,2.0061233792e-14,1.8491254116e-14,1.531940688e-14,2.2068041088e-14,6.69292,2.837345338426979,45.50359712230216,6.783843648803793,2.3113317859499415e-14,1.9701894109764032e-14,2.6559148591219768e-14,1.9609873920000002e-14,1.671554304e-14,2.253339648e-14,3.5219469740000004e-14,3.0021231380000003e-14,4.0470136560000004e-14,6.69913,2.837345338426979,45.54496402877698,6.783717522897328,2.377207101715977e-14,2.0266618375631842e-14,2.731268366512228e-14,1.9620474e-14,1.672721988e-14,2.2542747720000002e-14,3.07901e-14,2.6249762e-14,3.5375977999999995e-14,24613.0,IC2395_CXO-4.0,4.0,0.5272468164128904,0.044621234605536575,0.00934537600565899,6.715924191691086e-16,1.6210848543463718e-16,1.713718193015757e-15,2.7245837058900898e-14,2.32281395087034e-14,3.1303832478207696e-14,0,6.751266871648229e-16,4.902342195566049e-16,3.130572410027163e-15,8.078991725838883e-16,2.0821264678891113e-14,3.737300988601015e-15,2.46269637760831e-14,3.854925335526504e-15,2.5862747839020156e-14,3.759357010780859e-15
130.61958008334602,-48.15548634069476,5,90.44299,310.81314,17.776436,1.00616656422632e-07,1.5154705223386452e-08,130.6195797513227,-48.15548624576832,210.0,14.491376746189438,8.08024,2.500032264430643,65.79286892003297,8.124566490395514,4.3451547349079224e-14,3.8139424669434e-14,4.8817379619676317e-14,2.4970874600000003e-14,2.19180869e-14,2.8054528300000003e-14,2.132936288e-13,1.872176432e-13,2.396332624000001e-13,8.31798,2.500032264430643,69.75144270403958,8.367215593507149,1.2570216520952925e-13,1.1077373820357593e-13,1.4078114888928982e-13,2.680733037e-14,2.362368374e-14,3.0023084820000004e-14,3.591921876e-13,3.165344152e-13,4.022801736e-13,9.02144,2.500032264430643,81.87495459498729,9.055672924624188,1.798296809873119e-14,1.6013900091568697e-14,1.9971963785946183e-14,1.8204246576000002e-14,1.62109494e-14,2.0217716640000002e-14,3.4941031240000004e-14,3.11151185e-14,3.880566359999999e-14,7.72818,2.500032264430643,60.502012822424334,7.811572564839456,2.7874124219543314e-14,2.431128173309785e-14,3.147303481831781e-14,3.3135157640000005e-14,2.8899855159999996e-14,3.7413335820000004e-14,3.643779983999999e-14,3.1780356960000003e-14,4.114239192e-14,14.3843,2.500032264430643,208.9292438029495,14.49289815317186,1.7002204316212337e-13,1.5834601675919849e-13,1.8181623397100065e-13,9.0758256e-14,8.45255595e-14,9.7054029e-14,1.6286724544e-13,1.5168256478000002e-13,1.7416511796000004e-13,14.2511,2.500032264430643,205.01160966426107,14.354118043636731,8.810081094441471e-14,8.199406270341885e-14,9.426932370182324e-14,8.902318236000001e-14,8.285249952e-14,9.525627636000001e-14,1.3959394302e-13,1.2991792464e-13,1.4936782602e-13,24613.0,IC2395_CXO-5.0,5.0,0.2653016118271391,0.9999999848452947,0.9999998993833435,7.05764717248834e-14,6.194822028225583e-14,7.929196133642396e-14,1.0097480938938183e-13,9.397569402354771e-14,1.0804471479908662e-13,0,4.349440140246676e-14,5.3390081054517525e-15,1.7998868086977696e-14,1.9790432225914764e-15,2.7902902409507955e-14,3.5808971376935695e-15,8.93961718989524e-14,6.726399032001206e-15,7.556925683466582e-14,4.7841752139954066e-15
130.544521123145,-48.15358711246452,6,49.408447,205.73885,14.662987,0.0125546546627882,0.0001364701786952,130.5445205988256,-48.15358733593575,119.0,10.908712114635714,5.17663,3.80912745000281,27.62651661684544,5.29296692515951,1.476702930058076e-14,1.2102722198415274e-14,1.7771446731526843e-14,1.139750054e-14,9.34113287e-15,1.371637244e-14,9.578498014000001e-14,7.850319667e-14,1.1527285804000002e-13,5.34554,3.80912745000281,29.50202215579392,5.479111712778816,4.801948829031239e-14,3.9629509862086146e-14,5.748063606449262e-14,1.2348166526e-14,1.0190691415999998e-14,1.4781091831999998e-14,1.6265526840000004e-13,1.342360944e-13,1.947027888e-13,7.58789,3.80912745000281,57.91648822269807,7.616002042310261,1.296907734651909e-14,1.1280665812721586e-14,1.4674518369341372e-14,1.4096165089999999e-14,1.226102084e-14,1.594981879e-14,2.6913699190000004e-14,2.340987244e-14,3.0452865890000005e-14,5.47795,3.80912745000281,31.10538865045303,5.6602218089919,1.532453528425265e-14,1.2700663247663824e-14,1.8283368537662408e-14,1.86512873e-14,1.5457807675000002e-14,2.2252443750000003e-14,2.0495112208e-14,1.6985932268000002e-14,2.4452271e-14,10.7475,3.80912745000281,117.529987901135,10.91154164251362,7.615653547538976e-14,6.915700892206133e-14,8.322697484864441e-14,5.5681262079999996e-14,5.056361236e-14,6.085075916000001e-14,9.96896768e-14,9.05272256e-14,1.089449536e-13,10.6664,3.80912745000281,115.65598893818056,10.819262864409788,4.275468381172804e-14,3.879507143173453e-14,4.6754205301346996e-14,5.47685256e-14,4.969628291999999e-14,5.989189163999999e-14,8.568765439999999e-14,7.775191807999999e-14,9.370337536e-14,24613.0,IC2395_CXO-6.0,6.0,0.43415475060773306,0.9998635298213048,0.9874453453372118,2.398544791788751e-14,1.9657928960927437e-14,2.8865393392819053e-14,4.900234177318002e-14,4.446411901405082e-14,5.358630548172989e-14,0,1.5038398080884385e-14,2.8366749408346388e-15,1.2982664912890322e-14,1.6969359665824473e-15,1.559179566762181e-14,2.7936303869349878e-15,4.361285866139652e-14,4.327896386634832e-15,4.67302019143693e-14,3.545659804339973e-15
130.65270227100606,-48.14679721556965,7,7.329983,17.734985,4.3589444,0.0475909347350783,0.2574621556521964,130.65270243128313,-48.14679743110965,6.0,2.449489742783178,0.0,2.40232939806607,-0.0412031782065834,0.0412031782065834,,,,0.0,,4.2483240010000006e-16,0.0,,3.661608355e-15,0.0,2.40232939806607,-0.0824063564131668,0.0582700934326258,,,,0.0,,4.36644466e-16,0.0,,5.906371115999999e-15,0.849279,2.40232939806607,0.9164835164835164,1.0017422330667105,3.1430340102475943e-16,5.714603767246491e-17,8.393320648901991e-16,2.0010539247999999e-16,3.6382776196e-17,5.34371794e-16,3.852371768e-16,7.004307985999998e-17,1.02875729e-15,2.27567,2.40232939806607,5.66930775646372,2.452278465018172,2.5297652237363728e-15,1.5618527227957e-15,3.794647835604559e-15,3.0832921080000002e-15,1.9035948984e-15,4.624938162e-15,3.392271324e-15,2.0943556952e-15,5.088406986e-15,2.23609,2.40232939806607,5.586576716830998,2.4529761273005946,,,,2.417968503e-15,1.4871624724e-15,3.659066661e-15,4.344600483e-15,2.6721302564e-15,6.574602920999999e-15,2.27567,2.40232939806607,5.669261373464798,2.452279246922197,2.5508141925269413e-15,1.574853384742748e-15,3.826237867590571e-15,2.45899052e-15,1.518162144e-15,3.688501762e-15,3.8609628400000006e-15,2.383729248e-15,5.791469354e-15,24613.0,IC2395_CXO-7.0,7.0,1.2864853697942138,0.7425378443478037,0.9524090652649218,,,,2.9235596598610735e-15,1.80498361633643e-15,4.38535849121927e-15,0,,,5.280337759863827e-16,4.013593743036062e-16,2.76671309026535e-15,1.1208669178726671e-15,,,,
130.636081567482,-48.14449216171106,8,88.95273,268.66818,16.492455,5.63446316513561e-18,2.3850591330412878e-21,130.6360818575443,-48.14449283950039,199.0,14.106735979665885,5.22832,1.9677885324619684,26.837640821736247,5.19678651915697,2.8565116845057684e-14,2.346421870437149e-14,3.434618497683795e-14,9.980628606e-15,8.198378942000001e-15,1.2000529112000001e-14,8.576945163000002e-14,7.045352491e-14,1.0312765276000001e-13,5.22832,1.9677885324619684,26.837640821736247,5.19678651915697,2.8565116845057684e-14,2.346421870437149e-14,3.434618497683795e-14,1.010450421e-14,8.300133970000001e-15,1.214947492e-14,1.3625596233e-13,1.1192461481000001e-13,1.6383172916e-13,9.94857,1.9677885324619684,99.71048158640228,10.000598702876404,2.2577478193707947e-14,2.0335680442964896e-14,2.4841862292919734e-14,2.2613990380000002e-14,2.0368567205e-14,2.4882036429999998e-14,4.349341224e-14,3.917479734e-14,4.7855537640000006e-14,8.53423,1.9677885324619684,73.58427247683446,8.603329758724335,3.6273537009620525e-14,3.2074837984323626e-14,4.0514445081458715e-14,4.0201457230000006e-14,3.554809742e-14,4.490159674e-14,4.4223777180000005e-14,3.9104829720000006e-14,4.9394184840000015e-14,14.0282,1.9677885324619684,198.3403041825095,14.107700021999545,8.723724631346276e-14,8.10942065430498e-14,9.344224008230145e-14,8.558008720000002e-14,7.955374064000002e-14,9.166721088000001e-14,1.5370831735000004e-13,1.4288454257000001e-13,1.6464125244000005e-13,14.0282,1.9677885324619684,198.3403041825095,14.107700021999545,8.723724631346276e-14,8.10942065430498e-14,9.344224008230145e-14,8.55478981e-14,7.952381821999998e-14,9.163273224000001e-14,1.3426073610000004e-13,1.2480641382000002e-13,1.4381040744e-13,24613.0,IC2395_CXO-8.0,8.0,0.24665289832342785,1.0,1.0,4.639708558908031e-14,3.8111917042481286e-14,5.578702487626798e-14,9.998505375522766e-14,9.294434365007096e-14,1.0709677107490246e-13,0,2.9107813979673065e-14,5.44580120105787e-15,2.2595499492436063e-14,2.2531037606734e-15,3.630721495618203e-14,4.2198274831e-15,8.801052842829117e-14,7.248459923661717e-15,5.674930908905897e-14,4.355753779159728e-15
130.63384589582367,-48.14100576845242,9,12.190273,32.0862,5.8310046,0.896888273600609,0.6468902143202885,130.63384624743057,-48.14100542293504,15.0,3.872983346207417,2.20497,1.740430385839003,4.9589093701996925,2.236445492261635,2.0106833194289885e-15,1.2298309926353945e-15,3.0550522891475484e-15,1.82400223e-15,1.1156478254999999e-15,2.7714071800000003e-15,1.56781847e-14,9.589534695e-15,2.38215902e-14,2.14528,1.740430385839003,4.876728110599078,2.2372003306749617,1.3117124795261576e-15,7.870274877156944e-16,2.0133232253242088e-15,1.927935136e-15,1.1567610816e-15,2.959151984e-15,2.600556334e-14,1.5603338004e-14,3.9915458210000004e-14,1.91764,1.740430385839003,3.9170403587443943,2.000860102815444,8.869472600971439e-16,4.963207629723716e-16,1.4292230839760402e-15,8.671235399999999e-16,4.8522774276e-16,1.3972792248000001e-15,1.6678469999999998e-15,9.33299118e-16,2.6875616400000003e-15,2.16683,1.740430385839003,5.415360295086287,2.4544682808613354,2.5104536924339216e-15,1.5131552467285366e-15,3.840200101403297e-15,2.947882644e-15,1.7768119375999998e-15,4.5093280400000006e-15,3.2427570870000002e-15,1.9545450748e-15,4.9603926700000004e-15,3.72598,1.740430385839003,14.585729221118662,3.875198321095773,5.192099922302471e-15,3.932152728492882e-15,6.715119234759755e-15,6.358870252000001e-15,4.815787328e-15,8.224142944e-15,1.1421830826e-14,8.650138464e-15,1.4772241872e-14,3.75579,1.740430385839003,14.66858337689493,3.874755427412006,5.866184804131351e-15,4.438434559916441e-15,7.557754933872566e-15,6.406630994000001e-15,4.847343438e-15,8.254043918000001e-15,1.0055127451e-14,7.607845077e-15,1.2954618997e-14,24613.0,IC2395_CXO-9.0,9.0,0.6827826586397631,0.3531097856797115,0.10311172639939103,3.2658660760991714e-15,1.997561366015577e-15,4.962189488233066e-15,6.723398866484593e-15,5.087014283643435e-15,8.662154816496874e-15,0,2.2209391803334203e-15,9.16914082174304e-16,1.0079459165704084e-15,4.692378384081012e-16,2.7757087895926177e-15,1.1688949518913929e-15,6.004593886496446e-15,1.5579573138056881e-15,7.128064399585984e-15,1.4687533455119554e-15
130.61568127415927,-48.137072064440936,10,3.2448227,6.6492233,2.645772,0.139597800975102,0.5373568347723688,130.6156822764127,-48.13707174989854,5.0,2.23606797749979,1.68053,1.4000370742946224,2.958429561200924,1.732549595648548,1.6498049223212978e-15,8.452710132740886e-16,2.8311476935148403e-15,1.0925867653999999e-15,5.59782499e-16,1.87493349e-15,9.364348968e-15,4.797787080000001e-15,1.6069690799999997e-14,1.68053,1.4000370742946224,2.958429561200924,1.732549595648548,1.6498049223212978e-15,8.452710132740886e-16,2.8311476935148403e-15,1.1063205087999999e-15,5.668189280000002e-16,1.89850128e-15,1.4876105062000002e-14,7.62171347e-15,2.55281397e-14,0.807367,1.4000370742946224,0.8761869978086194,1.0025516876968892,2.528011816887969e-16,3.611435993864218e-17,6.921928184327274e-16,1.8759917843999998e-16,2.6799812442e-17,5.136637542299999e-16,3.604865824e-16,5.149794832e-17,9.870453208e-16,0.479424,1.4000370742946224,0.7104896080345934,1.005969061371455,4.472836789130939e-16,0.0,1.3681608385627698e-15,3.7113608639999995e-16,0.0,1.1352389616000001e-15,4.0821663659999995e-16,0.0,1.2486617379e-15,2.09757,1.4000370742946224,4.792873696407879,2.2379857598134865,2.4156570257018164e-15,1.4357205073558101e-15,3.760213199456236e-15,2.034001449e-15,1.208887504e-15,3.1661278960000003e-15,3.651919263000001e-15,2.170480048e-15,5.6845797520000004e-15,2.09757,1.4000370742946224,4.792873696407879,2.2379857598134865,2.4156570257018164e-15,1.4357205073558101e-15,3.760213199456236e-15,2.0332321110000004e-15,1.208430256e-15,3.1649303440000003e-15,3.189803571e-15,1.895826416e-15,4.9652501840000004e-15,24613.0,IC2395_CXO-10.0,10.0,1.068822829641101,0.46264316522763116,0.860402199024898,2.6797068816986547e-15,1.3729372003472835e-15,4.598510923789994e-15,2.768652241739957e-15,1.6455195248786776e-15,4.309685768024157e-15,0,1.9504548958015524e-15,1.001011902861969e-15,4.304939151887891e-16,3.3650126946618415e-16,8.251566052897019e-16,7.024216399733975e-16,3.206105416280043e-15,1.2683272820240882e-15,3.206105416280043e-15,1.2683272820240882e-15
130.57924570738476,-48.136808237791385,11,106.0685,395.31366,20.049992,0.0128266960550438,0.0077140842989869,130.57924627522448,-48.136808112981846,227.0,15.066519173319364,7.38761,2.096525556914362,55.4173949230129,7.484934529133128,4.2190859156709975e-14,3.6549471797567645e-14,4.788926729376307e-14,2.1525805280000002e-14,1.864756558e-14,2.4433137020000003e-14,1.830037216e-13,1.585340876e-13,2.077206844e-13,7.51559,2.096525556914362,57.37578027465668,7.617478367830603,5.4418457202475935e-14,4.7265981525940464e-14,6.16433754764531e-14,2.257434648e-14,1.9607293160000003e-14,2.557145108e-14,3.0098097e-13,2.61421615e-13,3.409409950000001e-13,10.0478,2.096525556914362,102.214336492891,10.150491995196466,2.2435952069205464e-14,2.0230221696899708e-14,2.4663979808122985e-14,2.3671859580000004e-14,2.134462428e-14,2.6022620520000004e-14,4.536692865e-14,4.09068009e-14,4.98721431e-14,7.6257,2.096525556914362,58.70899591094957,7.681933195862354,2.7936896092268828e-14,2.4317936037047227e-14,3.1592389802855304e-14,3.32458623e-14,2.8939176e-14,3.75960249e-14,3.655233304e-14,3.18173248e-14,4.133514152e-14,14.9434,2.096525556914362,225.6671980868872,15.068361267216895,1.2136960787628138e-13,1.1334648269950829e-13,1.2947387692539126e-13,1.013800386e-13,9.46783218e-14,1.0814953488000001e-13,1.8180746845000002e-13,1.6978910485e-13,1.9394738276e-13,14.8431,2.096525556914362,222.6671980868872,14.968483933897994,9.574395471708977e-14,8.937205346598612e-14,1.0218009523949425e-13,9.999014995000001e-14,9.333565815e-14,1.0671173e-13,1.5669449457000004e-13,1.4626624509000002e-13,1.67227878e-13,24613.0,IC2395_CXO-11.0,11.0,0.24698325604224033,0.9922859157010131,0.9871733039449562,6.852879034203553e-14,5.936572850115357e-14,7.778446856980054e-14,1.0973483074796425e-13,1.0243181608350113e-13,1.171114718422568e-13,0,4.2236355155049947e-14,5.669930256612839e-15,2.2453742793771552e-14,2.2168917692903566e-15,2.7966045731834155e-14,3.6372476857115156e-15,9.265614368065566e-14,7.09170564524606e-15,9.286375786554463e-14,5.478186712101654e-15
130.6523778799676,-48.13373716374983,12,20.994032,51.621685,7.280141,0.0054534729004604,0.0193348425821439,130.65237842342302,-48.13373766221494,33.0,5.744562646538029,2.5436,1.802749445242458,6.83633263875734,2.6470165755589887,2.8426021387182056e-15,1.8765685823157413e-15,4.108445456482732e-15,2.565615315e-15,1.6937133159999998e-15,3.7081132250000004e-15,2.217856605e-14,1.4641373719999997e-14,3.2054935749999996e-14,2.74396,1.802749445242458,7.83633263875734,2.8296107066669145,1.4853769812102544e-14,1.004654701726923e-14,2.090332712618168e-14,2.98205391e-15,2.016952275e-15,4.196567550000001e-15,4.0461615040000005e-14,2.73667576e-14,5.69405872e-14,3.36829,1.802749445242458,11.794811320754716,3.465316793428572,2.47513629155984e-15,1.810718591577117e-15,3.278280217904561e-15,2.5411917887999996e-15,1.8590423616e-15,3.3657697152e-15,4.896775450000001e-15,3.5823006500000005e-15,6.4857043e-15,3.0404,1.802749445242458,9.71320182094082,3.1641350250110483,3.865938048561756e-15,2.716265405364747e-15,5.2682855093104585e-15,5.24613348e-15,3.686011184e-15,7.149139134000001e-15,5.772468240000001e-15,4.055821792e-15,7.866398892000001e-15,5.6376,1.802749445242458,32.50140628995142,5.746365486749719,2.180829348804689e-14,1.8180000119550013e-14,2.5899831427408534e-14,1.3835797736e-14,1.1533905880000001e-14,1.6431585039999998e-14,2.4871451775999998e-14,2.0733534079999998e-14,2.9537680639999994e-14,5.52439,1.802749445242458,31.50140628995142,5.65868503340735,1.0134530657694956e-14,8.421133895162694e-15,1.2066654609727567e-14,1.3402550471999999e-14,1.1136645186e-14,1.595771456e-14,2.1051678288e-14,1.7492571444e-14,2.5065130240000003e-14,24613.0,IC2395_CXO-12.0,12.0,0.4785012246074718,0.9806651574178561,0.9945465270995396,4.617115884426377e-15,3.04802930090401e-15,6.67317051480846e-15,1.1615469715224801e-14,9.651697649446246e-15,1.3829931145054812e-14,0,3.081815718486986e-15,1.120495371864847e-15,2.5858238057525216e-15,7.352661289489258e-16,4.067543384389933e-15,1.278843369560934e-15,9.73518290862944e-15,1.8524487908225813e-15,9.73518290862944e-15,1.8524487908225813e-15
130.64082780851402,-48.12860971679454,13,8.999275,20.20071,4.582604,0.568180499622271,0.9782874397604434,130.64082681632456,-48.12860999452224,13.0,3.605551275463989,1.33142,1.254746763824096,1.9586523736600303,1.4148178773976352,6.391207178331137e-16,2.6232529157622867e-16,1.2448551532111458e-15,6.890538353999999e-16,2.8282019849999996e-16,1.3421129904e-15,5.9492828020000004e-15,2.4418663050000002e-15,1.1587787952e-14,1.33142,1.254746763824096,1.9586523736600303,1.4148178773976352,6.391207178331137e-16,2.6232529157622867e-16,1.2448551532111458e-15,6.974216784000002e-16,2.86254756e-16,1.3584115583999998e-15,9.451098312e-15,3.879176580000001e-15,1.8408491711999998e-14,2.96383,1.254746763824096,8.917110716400236,3.0005724981522848,1.8989473036001978e-15,1.326660277505389e-15,2.6077969946511803e-15,1.9192671928999997e-15,1.3408563480999998e-15,2.6357020060999997e-15,3.696920946e-15,2.582777394e-15,5.076928314e-15,0.928249,1.254746763824096,1.375865411243423,1.4233655886637686,5.361445387835504e-16,9.594167765687164e-17,1.2303097074761852e-15,7.263062335999999e-16,1.299706208e-16,1.6666804287999998e-15,7.991108920000002e-16,1.42998826e-16,1.833747836e-15,3.47286,1.254746763824096,12.712095917438155,3.607192987842006,3.3926215799147088e-15,2.513052280736113e-15,4.455839856075971e-15,5.3272771500000006e-15,3.946130058e-15,6.996799757999999e-15,9.5746596e-15,7.092338352000001e-15,1.2575275152e-14,3.47286,1.254746763824096,12.712095917438155,3.607192987842006,3.3926215799147088e-15,2.513052280736113e-15,4.455839856075971e-15,5.325243450000001e-15,3.9446236140000004e-15,6.994128714e-15,8.3632523e-15,6.194999876e-15,1.0984223276e-14,24613.0,IC2395_CXO-13.0,13.0,0.6449543412598391,0.02171256023955659,0.431819500377729,1.0380961789129885e-15,4.2608364150796644e-16,2.02196446115845e-15,3.888378707187245e-15,2.880279674076797e-15,5.106962981541155e-15,0,8.217876185763834e-16,4.972764201598145e-16,2.0079085455508235e-15,6.422167008512783e-16,7.387771430162954e-16,5.735942596636253e-16,3.568473307143502e-15,9.943523035716883e-16,3.838686294240467e-15,8.503069179918064e-16
