_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.719, 6.183]",49.0,0.719,130.608013,-48.192196,0.07,0.06,0.0,08422592-4811319,14.477,0.032,0.034,58.4,13.722,0.072,0.073,43.7,13.428,0.056,0.057,31.3,AAA,222,111,000,666655,6.8,100.0,157282021.0,0.0,0.0,157282023.0,s,1998-11-21,114.0,266.692,-3.649,-54.4,2451138.8489,0.74,0.8,0.7,14.478,0.048,13.792,0.087,13.417,0.073,1239.0,198.0,ne,0.0,1.0,U,0.8,294,18.3,17.2,1.0,,9546.0,219557.0,257.0,Opt
"[0.833, 5.514, 7.162, 9.667]",50.0,0.833,130.598837,-48.015354,0.07,0.06,173.0,08422372-4800552,13.694,0.059,0.06,120.2,12.952,0.065,0.065,88.7,12.727,0.047,0.047,59.7,EAA,222,112,00c,666666,4.7,107.0,157283478.0,0.0,0.0,157283482.0,s,1998-11-21,114.0,266.548,-3.546,-32.4,2451138.849,10.26,6.42,1.12,13.484,0.019,12.809,0.029,12.588,0.045,603.0,220.0,ne,0.0,1.0,U,1.4,305,17.4,14.4,2.0,,9546.0,219558.0,267.0,Opt
[1.235],51.0,1.235,130.622535,-48.09462,0.07,0.06,0.0,08422940-4805406,13.191,0.036,0.038,191.0,12.38,0.041,0.042,150.3,11.939,0.026,0.027,123.3,AAA,222,111,000,666655,12.3,249.0,157282780.0,0.0,0.0,157282786.0,s,1998-11-21,114.0,266.621,-3.582,-89.3,2451138.849,6.3,4.26,5.81,12.974,0.009,12.158,0.048,11.807,0.023,888.0,163.0,ne,0.0,1.0,U,0.8,118,15.4,14.7,1.0,,9546.0,219557.0,257.0,Opt
"[0.289, 3.905]",52.0,0.289,130.522364,-48.155106,0.07,0.06,173.0,08420536-4809183,13.347,0.053,0.055,165.4,12.419,0.049,0.05,145.0,11.932,0.032,0.033,124.1,EAA,222,112,00c,666666,4.2,8.0,157282318.0,0.0,0.0,157282312.0,s,1998-11-21,114.0,266.627,-3.672,151.3,2451138.8489,50.01,9.36,0.72,13.087,0.018,12.291,0.036,11.849,0.017,1107.0,101.0,nw,0.0,1.0,U,3.3,191,15.3,13.7,1.0,,9546.0,219557.0,257.0,Opt
[0.323],53.0,0.323,130.482345,-48.114738,0.07,0.06,0.0,08415576-4806530,13.614,0.019,0.023,129.4,12.871,0.02,0.022,99.0,12.705,0.024,0.026,63.0,AAA,222,111,000,665555,14.0,321.0,157209065.0,0.0,0.0,157209125.0,s,1998-11-21,113.0,266.579,-3.668,-187.3,2451138.84,1.0,0.93,0.99,13.611,0.034,12.871,0.087,12.745,0.034,956.0,65.0,ne,0.0,1.0,U,0.3,315,17.1,15.4,1.0,,9545.0,219513.0,9.0,Opt
[7.583],54.0,7.583,130.746543,-48.14587,0.09,0.08,177.0,08425917-4808451,15.993,0.088,0.088,14.5,15.391,0.113,0.113,9.7,15.404,0.204,0.204,5.3,ABC,222,111,pp0,061605,12.7,252.0,157287131.0,0.0,0.0,157287121.0,s,1998-11-21,115.0,266.712,-3.548,48.0,2451138.8497,1.09,1.03,1.01,15.885,0.069,15.233,0.27,15.152,0.367,1070.0,204.0,nw,0.0,1.0,U,0.2,286,18.6,17.4,1.0,,9547.0,219560.0,21.0,Opt
[0.209],55.0,0.209,130.595269,-48.077965,0.07,0.06,0.0,08422286-4804406,14.482,0.028,0.03,58.2,13.639,0.039,0.04,47.1,13.416,0.043,0.044,31.6,AAA,222,111,000,666656,12.1,122.0,157282921.0,0.0,0.0,157282938.0,s,1998-11-21,114.0,266.596,-3.586,-23.8,2451138.849,0.68,0.93,1.06,14.504,0.055,13.651,0.1,13.485,0.095,828.0,228.0,ne,0.0,1.0,U,0.4,11,19.9,17.3,1.0,,9546.0,219557.0,257.0,Opt
"[0.418, 5.486, 8.954, 9.755]",56.0,0.418,130.797856,-48.170498,0.06,0.06,45.0,08431148-4810137,14.548,0.019,0.023,54.7,13.799,0.031,0.032,42.1,13.661,0.06,0.061,26.1,AAA,222,111,000,666666,5.2,60.0,157287317.0,0.0,0.0,157287325.0,s,1998-11-21,115.0,266.753,-3.536,-75.3,2451138.8497,0.86,1.11,0.89,14.491,0.068,13.681,0.068,13.498,0.088,1158.0,177.0,ne,0.0,1.0,U,0.3,270,19.3,17.0,2.0,,9547.0,219560.0,21.0,Opt
"[0.431, 9.096]",57.0,0.431,130.711107,-48.103153,0.06,0.06,90.0,08425066-4806113,13.758,0.026,0.029,113.3,13.058,0.02,0.022,83.3,12.855,0.036,0.037,54.9,AAA,222,111,000,666666,9.0,95.0,157286791.0,0.0,0.0,157286788.0,s,1998-11-21,115.0,266.664,-3.54,133.2,2451138.8497,1.07,1.07,1.01,13.755,0.028,13.058,0.049,12.774,0.037,917.0,119.0,nw,0.0,1.0,U,0.9,335,17.5,15.9,1.0,,9547.0,219559.0,9.0,Opt
"[0.629, 8.557]",58.0,0.629,130.735679,-48.167828,0.06,0.06,45.0,08425656-4810041,14.423,0.045,0.046,61.4,13.714,0.052,0.053,45.5,13.522,0.083,0.083,29.7,AAA,222,111,ccc,666666,9.0,182.0,157287323.0,0.0,0.0,157287295.0,s,1998-11-21,115.0,266.725,-3.567,74.0,2451138.8497,0.96,0.94,0.94,14.329,0.028,13.661,0.05,13.406,0.081,1149.0,178.0,nw,0.0,1.0,U,0.5,3,19.2,17.4,1.0,,9547.0,219560.0,21.0,Opt
