,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
97,2CXO J084234.9-480614,130.64583333333331,-48.10409722222222,YSO,2.1520073948680217e-15,6.175304368701487e-16,6.7840744230253015e-16,8.560695156953431e-16,0.726,,2.15,17.543692,18.401283,16.607515,15.385000228881836,14.717000007629396,14.45699977874756,,,
101,2CXO J084236.5-480801,130.65241666666665,-48.13372222222223,YSO,9.112666729591206e-15,4.4941619307218e-15,2.566235045794582e-15,2.052269753074823e-15,0.968,0.988,6.37,14.948035,15.643533,14.120306,13.12600040435791,12.440999984741213,12.29699993133545,,,
102,2CXO J084236.6-480608,130.65266666666662,-48.10225,YSO,1.8974457171714243e-14,5.082026768395826e-15,5.169834190274794e-15,8.72259621304362e-15,0.971,0.994,8.17,15.927036,16.878202,14.950168,13.529999732971191,12.779000282287598,12.609000205993652,12.585,12.567,12.816
108,2CXO J084238.7-480303,130.66145833333331,-48.05108333333333,YSO,1.0910950615993608e-14,5.040622719991091e-15,3.679049727542252e-15,2.191278168460265e-15,0.885,0.459,7.02,16.944868,18.438152,15.750097,14.01200008392334,13.255000114440918,13.01200008392334,12.913,12.79,12.467
116,2CXO J084241.9-480553,130.67466666666664,-48.098194444444445,YSO,2.2986536148641784e-15,9.042671361766246e-16,6.332765321945251e-16,7.611099464930286e-16,0.597,0.552,2.67,17.548378,18.93259,16.354887,14.654999732971191,13.958000183105469,13.67300033569336,,,
117,2CXO J084242.0-480516,130.6753333333333,-48.088033333333335,LM-STAR,7.6886813423277e-14,1.626696249566769e-14,1.2775315170311579e-14,4.78445357572977e-14,0.433,0.992,13.13,11.05584,11.127798,10.874005,10.597000122070312,10.373000144958496,10.29599952697754,10.229,10.253,10.281
118,2CXO J084244.4-481115,130.68520833333332,-48.187752777777774,YSO,9.994055767611805e-15,4.6609247422530064e-15,4.099241977399554e-15,1.2338890479592438e-15,0.949,0.756,6.5,16.419329,17.55077,15.348783,13.803999900817873,13.121000289916992,12.911999702453612,12.826,12.788,12.152
121,2CXO J084245.2-480919,130.68862499999997,-48.15541944444444,YSO,4.372368600597619e-15,7.097085912558278e-16,1.114166284404928e-15,2.548493724936863e-15,0.926,0.713,4.0,17.224165,18.56287,16.090656,14.4350004196167,13.708000183105469,13.425999641418455,13.407,13.353,10.478
125,2CXO J084246.5-481303,130.69379166666664,-48.21757777777778,YSO,1.2990247733509762e-14,3.546770170466767e-15,4.065362781851621e-15,5.378114781191374e-15,0.019,0.518,5.93,15.539556,16.465145,14.507289,13.128999710083008,12.428999900817873,12.223999977111816,12.2,12.132,10.566
126,2CXO J084246.6-481035,130.69429166666666,-48.17646944444444,YSO,7.194699261108971e-15,1.7891620564243953e-15,3.048338086543032e-15,2.3571991181415438e-15,1.0,1.0,9.94,16.28261,17.524715,15.180927,13.67099952697754,13.008000373840332,12.77400016784668,12.582,12.535,9.586
133,2CXO J084250.3-481019,130.70966666666664,-48.17198333333333,YSO,4.115783762555837e-15,1.0501693368609455e-15,1.9041271480580696e-15,1.1614872776368216e-15,0.071,0.882,3.57,17.903114,19.454098,16.700218,14.923999786376951,14.145999908447266,13.887999534606934,14.023,13.758,10.092
134,2CXO J084250.6-480610,130.71112499999998,-48.10302777777778,YSO,8.782652365438035e-15,3.956938503351566e-15,2.6878124997144802e-15,2.1379013623719904e-15,0.78,0.911,5.85,16.753231,18.154839,15.575695,13.758000373840332,13.05799961090088,12.854999542236328,12.69,12.664,11.231
137,2CXO J084251.7-481239,130.7158333333333,-48.21104722222223,AGN,4.405885078924048e-14,3.898943454806562e-14,3.626878651465484e-15,1.4425375897093594e-15,0.51,0.239,8.97,,,,,,,15.508,15.123,
140,2CXO J084253.1-480739,130.72137499999997,-48.12768055555556,NS,3.7042591407615006e-14,1.0596058292994932e-14,8.041531872961217e-15,1.8405001241658856e-14,0.817,0.473,10.62,15.518781,,,,,,,,
144,2CXO J084256.9-480630,130.73741666666663,-48.10834166666667,YSO,2.918862458058599e-15,1.0880982992356476e-15,8.0286985345929775e-16,1.0278943053636537e-15,0.178,0.387,2.7,18.379335,20.086132,17.079206,15.196000099182127,14.56700038909912,14.170000076293944,14.114,14.153,12.777
145,2CXO J084257.2-480335,130.73837499999996,-48.059891666666665,LM-STAR,2.18095697160899e-14,2.315012059919499e-15,2.815823777791205e-15,1.6678733878379196e-14,0.999,0.27,7.75,13.166957,13.60971,12.549538,11.845000267028809,11.4350004196167,11.29800033569336,11.137,11.175,10.966
152,2CXO J084301.2-481011,130.75520833333331,-48.16979722222222,YSO,1.5297130886481424e-14,6.173888189877883e-15,5.849782106483484e-15,3.2734605901200576e-15,0.113,0.803,7.21,15.27329,16.230062,14.292103,12.890000343322754,12.149999618530272,11.993000030517578,11.805,11.791,10.341
